Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,-0.5568271008297903,-2.155317302057744,0.0,0.0,0.0,59/159,8.51%,COL5A1;TAGLN;VCAN;COL4A1;MATN2;TPM1;COL4A2;SERPINE1;IL32;TGFBI;MYL9;CCN2;LAMC2;WIPF1;CDH2;FN1;FSTL1;PMEPA1;COL7A1;SPARC;DAB2;GLIPR1;FBN2;NNMT;TGM2;IGFBP3;SPOCK1;TIMP3;THBS1;COL1A1;CADM1;CAPG;BMP1;SLIT3;GADD45B;CALD1;LRP1;SDC4;MMP14;TPM2;CCN1;CD59;ITGAV;JUN;COL6A2;BASP1;ITGA5;NOTCH2;ID2;DST;TGFB1;SNAI2;FLNA;VEGFA;PTHLH;PVR;FSTL3;TNFAIP3;SGCD
prerank,HALLMARK_TGF_BETA_SIGNALING,-0.6569694443543104,-2.0591144430399013,0.0,0.0,0.0,19/51,9.25%,SERPINE1;TGFBR1;SMAD7;PMEPA1;LTBP2;JUNB;SPTBN1;CDH1;THBS1;NCOR2;FURIN;TJP1;SKIL;ID2;TGFB1;SMAD6;CTNNB1;SMURF2;BMPR2
prerank,HALLMARK_APICAL_JUNCTION,-0.506918058720962,-2.0169125196377733,0.0,0.0,0.0,64/155,18.97%,VCAN;CDH4;TGFBI;SPEG;MYL9;LAMC2;EPB41L2;MSN;FLNC;CDH1;GRB7;BMP1;ADRA1B;ZYX;COL17A1;EVL;EGFR;ITGB4;RSU1;FSCN1;VCL;NEXN;TJP1;CNN2;CRB3;SIRPA;PARVA;LAMB3;B4GALT1;CLDN4;AMH;INPPL1;NF2;CAP1;TRO;WNK4;VAV2;AKT3;MAPK13;MYH9;NECTIN4;CNTN1;MYH10;ACTG1;PBX2;CD274;BAIAP2;STX4;SHROOM2;ACTN4;ACTN1;AMIGO2;TSC1;ACTB;NECTIN3;CTNNA1;NRTN;NHERF4;PKD1;NLGN3;PLCG1;MAPK14;COL16A1;SKAP2
prerank,HALLMARK_HYPOXIA,-0.4806911295832392,-1.9300308806476392,0.0,0.0,0.0,54/171,11.43%,COL5A1;SERPINE1;ACKR3;VLDLR;TGFBI;CCN2;TES;IGFBP1;EDN2;MT2A;KLF7;TGM2;IGFBP3;PDGFB;DUSP1;PPARGC1A;BNIP3L;BHLHE40;NDST1;ANKZF1;ZFP36;CCN5;SULT2B1;HOXB9;EGFR;MAP3K1;SDC4;EFNA1;CCN1;JUN;NDRG1;LARGE1;FOSL2;AK4;LDHA;CSRP2;KDM3A;PDK1;F3;VEGFA;STC1;CAV1;CAVIN3;PGK1;STC2;TNFAIP3;TPST2;MYH9;CAVIN1;NOCT;IL6;P4HA2;CHST3;SLC2A1
prerank,HALLMARK_COAGULATION,-0.4892098807413042,-1.802987781438225,0.0,0.0018855218855218857,0.01,33/89,10.49%,HNF4A;SERPINE1;F2;FN1;SPARC;KLF7;PDGFB;TIMP3;THBS1;CSRP1;BMP1;CFB;LRP1;C1R;MMP14;CFI;THBD;FURIN;PROS1;PRSS23;F12;SIRT2;S100A13;F3;ANG;OLR1;SERPINA1;CTSK;CAPN2;FYN;C3;CPQ;FGA
prerank,HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,0.4997886960267228,1.7729591509917166,0.0,0.01083743842364532,0.01,14/46,12.80%,GCLC;SRXN1;TXNRD1;GSR;TXN;NQO1;GCLM;MBP;GPX4;PRNP;GLRX;ABCC1;NDUFB4;CDKN2D
prerank,HALLMARK_MITOTIC_SPINDLE,-0.4302139080625175,-1.7267205628764506,0.0,0.0031425364758698097,0.02,55/198,16.36%,TUBA4A;BCL2L11;TRIO;EPB41L2;FGD4;DOCK2;SPTBN1;CLIP2;SPTAN1;HOOK3;AKAP13;PXN;FSCN1;VCL;ARHGAP29;RASAL2;NOTCH2;DST;MYO1E;STK38L;FLNA;PPP4R2;ARHGAP10;SYNPO;CEP131;DOCK4;KPTN;MYH9;CDC42EP1;FLNB;PREX1;FARP1;NEDD9;ITSN1;MYH10;TUBGCP6;ARFGEF1;KIF3C;PCNT;ALMS1;EZR;WASF2;BCAR1;PALLD;SHROOM2;ACTN4;MAP3K11;OPHN1;TSC1;KIF1B;CLASP1;MYO9B;ARAP3;TIAM1;LMNB1
prerank,HALLMARK_COMPLEMENT,-0.42566976734127,-1.6633287861855468,0.0,0.009427609427609427,0.06,40/147,12.31%,HNF4A;COL4A2;SERPINE1;CDA;RASGRP1;F2;FN1;PDGFB;CSRP1;CPM;TIMP2;C4BPB;CFB;LRP1;C1R;MMP14;DOCK9;PRSS3;F5;CD59;IRF7;GNB4;DYRK2;S100A13;F3;ANG;OLR1;SERPINA1;TNFAIP3;DGKH;DOCK4;FYN;C3;F7;CPQ;IL6;LGALS3;PRKCD;GCA;CALM1
prerank,HALLMARK_MYOGENESIS,-0.4248246400392272,-1.6440239838471635,0.0,0.010606060606060607,0.08,31/129,10.32%,TAGLN;COL4A2;SPEG;ERBB3;NAV2;PDLIM7;IGFBP7;SPARC;IGFBP3;SPTAN1;COL1A1;BHLHE40;GADD45B;ITGB4;CNN3;TPM2;SMTN;LARGE1;COL6A2;SPHK1;TGFB1;SIRT2;DENND2B;ADCY9;STC2;SGCD;MYH9;REEP1;CACNA1H;DMPK;HDAC5
prerank,HALLMARK_INFLAMMATORY_RESPONSE,0.38218079350858164,1.6043968993317856,0.0,0.03793103448275862,0.06,27/117,6.34%,KCNJ2;ADORA2B;CSF1;LPAR1;NAMPT;TACR1;CDKN1A;TNFSF15;EDN1;BTG2;EREG;HAS2;CXCL8;P2RX4;AHR;BEST1;PDE4B;TNFSF9;RNF144B;CD40;ADM;LDLR;ICOSLG;CCL2;IFNGR2;HBEGF;LYN
prerank,HALLMARK_UV_RESPONSE_DN,-0.4130153719083456,-1.579740080305664,0.0,0.016760194537972315,0.14,39/134,9.62%,SERPINE1;VLDLR;MGLL;SMAD7;GRK5;DAB2;EFEMP1;FHL2;MAP1B;ANXA4;DUSP1;COL1A1;RUNX1;BHLHE40;ZMIZ1;SLC22A18;SYNE1;RBPMS;CCN1;TJP1;SFMBT1;FZD2;SCN8A;NOTCH2;SNAI2;PIK3CD;IGF1R;F3;ADD3;DLC1;NFKB1;CAV1;SLC7A1;VAV2;AKT3;PPARG;PRKCE;FYN;SYNJ2
prerank,HALLMARK_ANGIOGENESIS,-0.5407671408647003,-1.5465300617956539,0.021739130434782608,0.02074074074074074,0.19,10/27,8.58%,VCAN;JAG1;FSTL1;PDGFA;THBD;ITGAV;VEGFA;STC1;OLR1;VAV2
