gRNA_id,ABE_T0_REP1,ABE_T0_REP2,ABE_T0_REP3,ABE_DMSO_REP1,ABE_DMSO_REP2,ABE_DMSO_REP3,ABE_RIBO_REP1,ABE_RIBO_REP2,ABE_RIBO_REP3,ABE_ABEMA_REP1,ABE_ABEMA_REP2,ABE_ABEMA_REP3,ABE_ATIRMO_REP1,ABE_ATIRMO_REP2,ABE_ATIRMO_REP3,ABE_PALBO_REP1,ABE_PALBO_REP2,ABE_PALBO_REP3,ABE_TAGTO_REP1,ABE_TAGTO_REP2,ABE_TAGTO_REP3,ABE_INX_REP1,ABE_INX_REP2,ABE_INX_REP3,PLASMID_LIBRARY
gRNA_CDK2_targ_6973,2223.0,1373.0,1930.0,1859.0,244.0,1229.0,766.0,379.0,4645.0,872.0,1793.0,978.0,679.0,2045.0,4570.0,648.0,374.0,29.0,467.0,897.0,10160.0,910.0,58.0,423.0,7851.0
gRNA_CDK2_targ_6974,194.0,288.0,546.0,599.0,267.0,938.0,200.0,100.0,459.0,133.0,220.0,638.0,278.0,843.0,381.0,422.0,235.0,12.0,211.0,325.0,1096.0,73.0,4.0,20.0,2268.0
gRNA_CDK2_targ_6975,1153.0,1271.0,563.0,2178.0,150.0,1092.0,356.0,203.0,1427.0,520.0,225.0,294.0,323.0,1481.0,1354.0,481.0,467.0,17.0,112.0,1202.0,2449.0,137.0,21.0,304.0,3758.0
gRNA_CDK2_targ_6976,355.0,494.0,1093.0,662.0,282.0,875.0,123.0,216.0,535.0,59.0,134.0,147.0,276.0,1396.0,1701.0,234.0,102.0,2.0,17.0,131.0,133.0,482.0,17.0,60.0,3780.0
gRNA_CDK2_targ_6977,1294.0,1211.0,920.0,2226.0,301.0,287.0,394.0,1337.0,2971.0,872.0,1188.0,1041.0,464.0,2453.0,3695.0,706.0,821.0,27.0,355.0,607.0,11592.0,1185.0,102.0,485.0,5117.0
gRNA_CDK2_targ_6978,1365.0,1450.0,2039.0,740.0,152.0,1025.0,688.0,290.0,4450.0,507.0,684.0,1337.0,957.0,1996.0,2115.0,602.0,875.0,21.0,93.0,1666.0,1094.0,95.0,6.0,891.0,4951.0
gRNA_CDK2_targ_6979,346.0,972.0,611.0,1049.0,632.0,696.0,342.0,473.0,451.0,559.0,1423.0,1296.0,683.0,1857.0,2688.0,963.0,893.0,18.0,973.0,691.0,2589.0,164.0,12.0,378.0,4584.0
gRNA_CDK2_targ_6980,801.0,1092.0,974.0,1019.0,334.0,579.0,736.0,245.0,2103.0,420.0,1288.0,1446.0,833.0,383.0,1520.0,694.0,474.0,24.0,403.0,753.0,433.0,54.0,15.0,453.0,5099.0
gRNA_CDK2_targ_6981,233.0,708.0,519.0,513.0,433.0,1339.0,593.0,367.0,2005.0,554.0,1308.0,657.0,638.0,844.0,2360.0,86.0,952.0,11.0,167.0,1185.0,4353.0,460.0,24.0,163.0,4315.0
gRNA_CDK2_targ_6982,871.0,1026.0,734.0,1905.0,617.0,756.0,2473.0,512.0,6262.0,454.0,3805.0,2653.0,3722.0,2488.0,4710.0,1591.0,3375.0,58.0,592.0,1404.0,10183.0,977.0,68.0,1500.0,5547.0
gRNA_CDK2_targ_6983,782.0,519.0,750.0,1121.0,588.0,824.0,217.0,260.0,278.0,356.0,717.0,710.0,1071.0,904.0,2322.0,435.0,528.0,13.0,176.0,1272.0,1792.0,154.0,16.0,628.0,4514.0
gRNA_CDK2_targ_6984,1744.0,896.0,1195.0,2333.0,555.0,2326.0,572.0,523.0,7404.0,2313.0,2127.0,4550.0,2419.0,1379.0,1934.0,4006.0,2711.0,99.0,1299.0,5245.0,3095.0,309.0,26.0,2192.0,3893.0
gRNA_CDK2_targ_6985,2026.0,1895.0,1287.0,2169.0,630.0,3161.0,1619.0,1867.0,16230.0,6598.0,7705.0,6174.0,4964.0,2703.0,2388.0,6955.0,8802.0,159.0,3889.0,4451.0,3392.0,307.0,67.0,2241.0,5634.0
gRNA_CDK2_targ_6986,1198.0,1084.0,944.0,928.0,360.0,2131.0,1255.0,934.0,7041.0,6036.0,2826.0,3077.0,2524.0,1947.0,2028.0,2948.0,6908.0,116.0,1392.0,4038.0,2014.0,288.0,46.0,2796.0,3035.0
gRNA_CDK2_targ_6987,1572.0,1735.0,1607.0,2048.0,1146.0,2003.0,665.0,307.0,3987.0,1889.0,4793.0,3973.0,3186.0,4174.0,3892.0,575.0,4193.0,57.0,1323.0,799.0,1908.0,202.0,27.0,640.0,4469.0
gRNA_CDK2_targ_6988,3010.0,3195.0,1829.0,5253.0,1000.0,6445.0,3002.0,3635.0,15686.0,14452.0,11672.0,8480.0,11399.0,17785.0,10331.0,8061.0,20627.0,342.0,7134.0,9692.0,6519.0,639.0,566.0,4198.0,3836.0
gRNA_CDK2_targ_6989,899.0,2186.0,1866.0,2823.0,487.0,752.0,1769.0,2382.0,8274.0,6903.0,11861.0,5886.0,7101.0,9986.0,2766.0,5353.0,8078.0,133.0,3154.0,6627.0,1581.0,205.0,28.0,1512.0,3564.0
gRNA_CDK2_targ_6990,1616.0,1532.0,1139.0,1825.0,293.0,536.0,735.0,313.0,4228.0,821.0,1490.0,2034.0,890.0,1170.0,2133.0,793.0,288.0,16.0,270.0,86.0,694.0,80.0,80.0,1241.0,5185.0
gRNA_CDK2_targ_6991,1830.0,1732.0,2035.0,2115.0,1491.0,1369.0,1586.0,1313.0,4007.0,2725.0,5597.0,4278.0,3051.0,7314.0,4154.0,2322.0,7322.0,88.0,1336.0,1573.0,2716.0,220.0,36.0,2223.0,7507.0
gRNA_CDK2_targ_6992,917.0,1022.0,1271.0,872.0,797.0,1697.0,655.0,191.0,3829.0,855.0,643.0,976.0,601.0,1967.0,1639.0,186.0,472.0,12.0,297.0,1771.0,748.0,145.0,22.0,881.0,7606.0
gRNA_CDK2_targ_6993,1390.0,1471.0,1588.0,1449.0,521.0,4009.0,1525.0,457.0,8145.0,3679.0,2352.0,1120.0,2844.0,2529.0,4032.0,3372.0,3949.0,69.0,1124.0,131.0,5238.0,455.0,36.0,2072.0,4729.0
gRNA_CDK2_targ_6994,2703.0,2427.0,3520.0,5055.0,612.0,3288.0,3103.0,1258.0,16241.0,4093.0,4734.0,2692.0,5295.0,6491.0,6811.0,3748.0,4811.0,111.0,1108.0,4852.0,5663.0,566.0,47.0,1631.0,9122.0
gRNA_CDK2_targ_6995,3455.0,1904.0,2145.0,2842.0,738.0,598.0,2538.0,1409.0,10181.0,3028.0,4292.0,2167.0,5004.0,4341.0,8475.0,2153.0,4994.0,116.0,1127.0,9266.0,4166.0,375.0,53.0,2166.0,5874.0
gRNA_CDK2_targ_6996,1126.0,2220.0,1196.0,2767.0,266.0,1926.0,942.0,1723.0,2130.0,2362.0,7137.0,5881.0,6573.0,3474.0,3402.0,7339.0,4429.0,94.0,1507.0,7275.0,4038.0,420.0,27.0,1889.0,5380.0
gRNA_CDK2_targ_6997,1101.0,1505.0,2146.0,2735.0,336.0,554.0,1322.0,2643.0,2266.0,2770.0,10774.0,1799.0,3975.0,5669.0,4998.0,4325.0,5611.0,163.0,6731.0,6952.0,12230.0,1249.0,97.0,2828.0,4287.0
gRNA_CDK2_targ_6998,1569.0,1553.0,1337.0,2087.0,199.0,3518.0,1223.0,1938.0,15698.0,4609.0,6922.0,4967.0,6714.0,5768.0,6439.0,6309.0,5012.0,98.0,1519.0,1236.0,4484.0,602.0,75.0,3827.0,7650.0
gRNA_CDK2_targ_6999,811.0,997.0,1125.0,909.0,339.0,912.0,288.0,485.0,3707.0,936.0,1197.0,1903.0,2804.0,2902.0,2016.0,1532.0,1461.0,30.0,358.0,2577.0,3453.0,290.0,43.0,2068.0,3271.0
