gRNA_id,CBE_ABEMA_REP1,CBE_ABEMA_REP2,CBE_ABEMA_REP3,CBE_ATIRMO_REP1,CBE_ATIRMO_REP2,CBE_ATIRMO_REP3,CBE_PALBO_REP1,CBE_PALBO_REP2,CBE_PALBO_REP3,CBE_TAGTO_REP1,CBE_TAGTO_REP2,CBE_TAGTO_REP3,CBE_INX_REP1,CBE_INX_REP2,CBE_INX_REP3,PLASMID_LIBRARY,CBE_T0_REP1,CBE_T0_REP2,CBE_T0_REP3,CBE_DMSO_REP1,CBE_DMSO_REP2,CBE_DMSO_REP3,CBE_RIBO_REP1,CBE_RIBO_REP2,CBE_RIBO_REP3
gRNA_CDK2_targ_6973,2420.0,3338.0,2301.0,1701.0,1227.0,504.0,1015.0,1211.0,2955.0,1071.0,3588.0,4045.0,5102.0,4042.0,3649.0,7851.0,3859.0,2394.0,2542.0,6588.0,1979.0,4042.0,1574.0,2157.0,2330.0
gRNA_CDK2_targ_6974,646.0,1174.0,559.0,958.0,226.0,206.0,533.0,170.0,537.0,120.0,578.0,1422.0,791.0,815.0,745.0,2268.0,1258.0,893.0,673.0,1206.0,1195.0,1081.0,821.0,675.0,1128.0
gRNA_CDK2_targ_6975,1412.0,1025.0,380.0,655.0,1904.0,381.0,770.0,136.0,1740.0,407.0,955.0,638.0,2125.0,3992.0,1475.0,3758.0,2317.0,955.0,1749.0,2690.0,1489.0,2411.0,415.0,926.0,955.0
gRNA_CDK2_targ_6976,450.0,1023.0,713.0,302.0,451.0,103.0,228.0,230.0,555.0,257.0,1007.0,1416.0,1961.0,1848.0,586.0,3780.0,855.0,892.0,663.0,2232.0,1147.0,1690.0,894.0,729.0,922.0
gRNA_CDK2_targ_6977,1322.0,1625.0,1277.0,1666.0,614.0,298.0,715.0,2129.0,1791.0,386.0,2852.0,5852.0,4847.0,1189.0,1353.0,5117.0,2045.0,2053.0,1951.0,2829.0,2204.0,3667.0,1133.0,1617.0,1495.0
gRNA_CDK2_targ_6978,659.0,3200.0,1714.0,1748.0,964.0,828.0,1143.0,738.0,2618.0,608.0,1291.0,1886.0,2960.0,1404.0,2960.0,4951.0,2458.0,1774.0,1322.0,2541.0,2001.0,3146.0,1216.0,1375.0,1655.0
gRNA_CDK2_targ_6979,1195.0,1647.0,1130.0,974.0,2429.0,428.0,578.0,328.0,1304.0,650.0,1375.0,3840.0,1354.0,632.0,821.0,4584.0,1778.0,1851.0,979.0,2259.0,1484.0,2263.0,1267.0,1908.0,1130.0
gRNA_CDK2_targ_6980,1281.0,1537.0,1606.0,1290.0,1183.0,722.0,831.0,1577.0,1010.0,385.0,2183.0,1295.0,6311.0,2849.0,2870.0,5099.0,1747.0,2178.0,1535.0,4058.0,1978.0,3840.0,1407.0,2020.0,1477.0
gRNA_CDK2_targ_6981,701.0,854.0,817.0,1085.0,891.0,140.0,445.0,183.0,789.0,474.0,1696.0,3069.0,2942.0,1823.0,2545.0,4315.0,1872.0,1663.0,1586.0,2245.0,1764.0,1833.0,1052.0,1549.0,1101.0
gRNA_CDK2_targ_6982,2254.0,2951.0,1942.0,1632.0,1953.0,2143.0,2841.0,2113.0,2460.0,491.0,4015.0,14213.0,3896.0,2462.0,1769.0,5547.0,2195.0,2739.0,1690.0,3360.0,3854.0,4148.0,1634.0,3112.0,1561.0
gRNA_CDK2_targ_6983,661.0,861.0,1019.0,338.0,695.0,138.0,594.0,98.0,679.0,282.0,951.0,612.0,2724.0,1167.0,833.0,4514.0,1297.0,724.0,1101.0,2566.0,1221.0,1779.0,776.0,862.0,878.0
gRNA_CDK2_targ_6984,2178.0,2653.0,3002.0,2347.0,2893.0,1291.0,1321.0,1273.0,2070.0,525.0,2842.0,3825.0,5547.0,1224.0,2203.0,3893.0,2092.0,2145.0,1348.0,2960.0,4599.0,4537.0,1381.0,3441.0,958.0
gRNA_CDK2_targ_6985,2888.0,4714.0,3735.0,2608.0,3559.0,2927.0,3962.0,2048.0,2125.0,2081.0,2647.0,3657.0,7194.0,2677.0,4640.0,5634.0,3428.0,6417.0,2322.0,5442.0,5844.0,5681.0,2007.0,3909.0,2141.0
