gRNA_id,ABE_T0_REP1,ABE_T0_REP2,ABE_T0_REP3,ABE_DMSO_REP1,ABE_DMSO_REP2,ABE_DMSO_REP3,ABE_SY-5609_10nM_REP1,ABE_SY-5609_10nM_REP2,ABE_SY-5609_10nM_REP3,ABE_SY-5609_100nM_REP1,ABE_SY-5609_100nM_REP2,ABE_SY-5609_100nM_REP3,Plasmid
gRNA_CDK7_targ_1,33337.0,20170.0,21590.0,25050.0,27060.0,10932.0,2559.0,24019.0,10975.0,15918.0,32075.0,21320.0,22892.0
gRNA_CDK7_targ_2,11814.0,7846.0,6357.0,14374.0,7496.0,6606.0,396.0,7409.0,9359.0,7983.0,5172.0,5704.0,20099.0
gRNA_CDK7_targ_3,9035.0,8442.0,14161.0,17517.0,2770.0,5043.0,1808.0,6345.0,6389.0,11425.0,12816.0,3408.0,8345.0
gRNA_CDK7_targ_4,16409.0,12962.0,12332.0,27085.0,13564.0,9605.0,1136.0,10941.0,13683.0,12339.0,15897.0,9928.0,16361.0
gRNA_CDK7_targ_5,10355.0,9386.0,8757.0,22505.0,11898.0,10775.0,832.0,5261.0,11940.0,6994.0,6799.0,3889.0,4880.0
gRNA_CDK7_targ_6,20764.0,16800.0,17132.0,23307.0,22854.0,7124.0,2333.0,13153.0,9482.0,12337.0,27204.0,10179.0,11205.0
gRNA_CDK7_targ_7,15979.0,18246.0,24553.0,32533.0,21960.0,10676.0,1126.0,17913.0,20527.0,15659.0,16004.0,19758.0,16498.0
gRNA_CDK7_targ_8,6367.0,7324.0,6227.0,14378.0,7739.0,5808.0,422.0,1214.0,5575.0,8859.0,5405.0,33342.0,18028.0
gRNA_CDK7_targ_9,8383.0,5119.0,6574.0,12939.0,5053.0,7831.0,542.0,3002.0,7011.0,5683.0,7058.0,5191.0,10716.0
gRNA_CDK7_targ_10,6072.0,3005.0,2755.0,5502.0,4006.0,1808.0,169.0,1496.0,576.0,1141.0,4868.0,10776.0,9387.0
gRNA_CDK7_targ_11,27659.0,18782.0,16611.0,31498.0,21004.0,17377.0,1577.0,23696.0,21956.0,32191.0,19116.0,20302.0,15826.0
gRNA_CDK7_targ_12,36134.0,18867.0,11730.0,36507.0,24106.0,16273.0,2774.0,21406.0,24769.0,26086.0,22161.0,25596.0,17719.0
gRNA_CDK7_targ_13,15660.0,14526.0,25908.0,21318.0,21089.0,9488.0,1406.0,13290.0,8080.0,16626.0,16713.0,18944.0,23371.0
gRNA_CDK7_targ_14,276.0,1647.0,5544.0,5067.0,6261.0,3366.0,322.0,2651.0,84.0,1156.0,2181.0,7745.0,8026.0
gRNA_CDK7_targ_15,7512.0,7381.0,13150.0,14912.0,9754.0,2885.0,406.0,2792.0,11120.0,10517.0,9081.0,4392.0,13345.0
gRNA_CDK7_targ_16,8914.0,6267.0,15974.0,15511.0,5360.0,3119.0,1518.0,11697.0,5894.0,3269.0,4784.0,16867.0,11474.0
gRNA_CDK7_targ_17,6627.0,5302.0,7364.0,8248.0,1571.0,3293.0,337.0,1702.0,2949.0,1954.0,12188.0,5085.0,11387.0
gRNA_CDK7_targ_18,26292.0,25076.0,307372.0,85492.0,25055.0,55564.0,17806.0,25459.0,38366.0,18509.0,40434.0,107520.0,14693.0
gRNA_CDK7_targ_19,23912.0,28838.0,68932.0,57986.0,23080.0,52355.0,10940.0,32555.0,32130.0,30543.0,26811.0,38137.0,17199.0
gRNA_CDK7_targ_20,11067.0,6882.0,37283.0,23081.0,9933.0,21143.0,7079.0,6964.0,8095.0,15099.0,12970.0,18850.0,13377.0
gRNA_CDK7_targ_21,11798.0,8424.0,4761.0,15115.0,6855.0,9236.0,1466.0,6288.0,11198.0,6082.0,19082.0,13109.0,13785.0
gRNA_CDK7_targ_22,713.0,1572.0,1778.0,7363.0,6515.0,1337.0,385.0,939.0,2093.0,1909.0,1822.0,6098.0,7436.0
gRNA_CDK7_targ_23,40424.0,37515.0,44404.0,57246.0,31723.0,22501.0,4651.0,36222.0,50080.0,35619.0,42185.0,25892.0,27119.0
gRNA_CDK7_targ_24,19594.0,21878.0,18314.0,28623.0,16314.0,11302.0,1045.0,6213.0,14213.0,12344.0,7619.0,31142.0,19633.0
