gRNA_id,T0_REP1,T0_REP2,T0_REP3,DMSO_REP1,DMSO_REP2,DMSO_REP3,KI-CDK9d-32_100nM_REP1,KI-CDK9d-32_100nM_REP2,KI-CDK9d-32_100nM_REP3,KI-CDK9d-32_1000nM_REP1,KI-CDK9d-32_1000nM_REP2,KI-CDK9d-32_1000nM_REP3,KI-CDK9d-32N_1250nM_REP1,KI-CDK9d-32N_1250nM_REP2,KI-CDK9d-32N_1250nM_REP3,KI-CDK9d-32N_5000nM_REP1,KI-CDK9d-32N_5000nM_REP2,KI-CDK9d-32N_5000nM_REP3,KB-0742_1500nM_REP1,KB-0742_1500nM_REP2,KB-0742_1500nM_REP3,Senexin B_2000nM_REP1,Senexin B_2000nM_REP2,Senexin B_2000nM_REP3,Senexin B_15000nM_REP1,Senexin B_15000nM_REP2,Senexin B_15000nM_REP3,SEL120_4000nM_REP1,SEL120_4000nM_REP2,SEL120_4000nM_REP3,Plasmid
gRNA_CDK7_targ_1,5917.0,4489.0,3891.0,2542.0,1024.0,3194.0,1524.0,1270.0,597.0,2320.0,707.0,127.0,575.0,496.0,537.0,80.0,331.0,3297.0,472.0,310.0,1319.0,2839.0,87.0,4316.0,1452.0,2152.0,77.0,2532.0,1611.0,2145.0,7901.0
gRNA_CDK7_targ_2,6478.0,3128.0,3617.0,2281.0,3672.0,10479.0,4794.0,6410.0,2741.0,1729.0,3387.0,873.0,4191.0,4042.0,934.0,1201.0,1491.0,8672.0,1128.0,1948.0,2332.0,6278.0,224.0,7817.0,2497.0,4746.0,121.0,2095.0,3925.0,5964.0,8536.0
gRNA_CDK7_targ_3,1254.0,655.0,866.0,415.0,1950.0,3333.0,1321.0,1147.0,529.0,571.0,544.0,201.0,1319.0,1174.0,285.0,45.0,759.0,1951.0,251.0,167.0,625.0,1616.0,40.0,2117.0,701.0,1540.0,21.0,378.0,1758.0,2447.0,2596.0
gRNA_CDK7_targ_4,2275.0,2101.0,3353.0,1608.0,4269.0,4969.0,4422.0,3686.0,1877.0,3136.0,3378.0,931.0,4982.0,5166.0,883.0,9993.0,204.0,4266.0,723.0,564.0,2585.0,6257.0,159.0,2889.0,938.0,6638.0,123.0,2231.0,4352.0,4752.0,5263.0
gRNA_CDK7_targ_5,3737.0,3301.0,2803.0,8306.0,5811.0,2460.0,2849.0,5362.0,923.0,1312.0,1564.0,698.0,3909.0,3649.0,864.0,7378.0,251.0,2352.0,550.0,1529.0,1743.0,4506.0,118.0,5247.0,800.0,3636.0,115.0,976.0,3444.0,6273.0,1423.0
gRNA_CDK7_targ_6,12451.0,9708.0,8545.0,20110.0,5744.0,36093.0,8186.0,13495.0,7928.0,6085.0,14981.0,3285.0,11736.0,11145.0,3573.0,30410.0,11946.0,21834.0,3107.0,25310.0,5583.0,14368.0,1022.0,23013.0,12885.0,10461.0,511.0,16538.0,11416.0,21381.0,2368.0
gRNA_CDK7_targ_7,7691.0,8191.0,4750.0,23349.0,6973.0,8812.0,5437.0,8848.0,3893.0,9726.0,16750.0,2380.0,4960.0,4672.0,1617.0,30574.0,2880.0,24185.0,2888.0,1894.0,3100.0,7700.0,441.0,4378.0,5735.0,5205.0,455.0,8250.0,4652.0,8879.0,6961.0
gRNA_CDK7_targ_8,7907.0,6249.0,6326.0,7996.0,5066.0,7989.0,4781.0,8186.0,2736.0,4475.0,8020.0,1799.0,7086.0,6934.0,1389.0,1269.0,4324.0,17262.0,2125.0,2090.0,2563.0,7593.0,319.0,10086.0,2470.0,3972.0,255.0,4416.0,7032.0,13271.0,11152.0
gRNA_CDK7_targ_9,5779.0,6170.0,4971.0,8601.0,5555.0,13429.0,4482.0,6920.0,3638.0,4335.0,21268.0,3737.0,9410.0,8751.0,1490.0,5904.0,2482.0,21518.0,2478.0,2225.0,1931.0,5412.0,452.0,12805.0,5230.0,5833.0,487.0,7551.0,3339.0,6445.0,5828.0
gRNA_CDK7_targ_10,4717.0,2838.0,1991.0,3437.0,2803.0,11887.0,2175.0,3090.0,1865.0,1975.0,12576.0,1923.0,3991.0,3957.0,806.0,8889.0,1611.0,9610.0,1253.0,16832.0,1021.0,3284.0,555.0,8329.0,2959.0,1746.0,257.0,924.0,2413.0,4281.0,4688.0
gRNA_CDK7_targ_11,9764.0,6282.0,6878.0,14764.0,5207.0,29180.0,6953.0,9076.0,2820.0,8628.0,8429.0,2496.0,11498.0,10795.0,2807.0,45727.0,3389.0,9415.0,1540.0,9485.0,3232.0,7073.0,365.0,11302.0,3350.0,4602.0,279.0,8089.0,7301.0,12784.0,8494.0
gRNA_CDK7_targ_12,13719.0,7289.0,4780.0,10602.0,2194.0,7887.0,2396.0,2790.0,1743.0,2945.0,3543.0,1180.0,6747.0,6208.0,1303.0,12476.0,1575.0,9469.0,1199.0,36797.0,1939.0,4232.0,859.0,7814.0,3648.0,4807.0,185.0,10081.0,1793.0,4413.0,8859.0
gRNA_CDK7_targ_13,8960.0,10750.0,6446.0,7887.0,4495.0,15330.0,6464.0,7921.0,1673.0,2053.0,8548.0,1933.0,7712.0,7005.0,1235.0,14968.0,185.0,8711.0,1316.0,14379.0,2527.0,6950.0,812.0,5252.0,2327.0,5359.0,242.0,7385.0,4060.0,7267.0,13610.0
gRNA_CDK7_targ_14,1680.0,2646.0,1942.0,3830.0,2011.0,9231.0,1425.0,1835.0,1543.0,658.0,3139.0,644.0,2565.0,2287.0,394.0,3353.0,1546.0,2826.0,383.0,5359.0,1158.0,3176.0,122.0,288.0,5115.0,1695.0,111.0,2405.0,1765.0,3427.0,3716.0
gRNA_CDK7_targ_15,7964.0,6184.0,3402.0,3164.0,1937.0,4692.0,3565.0,3735.0,2152.0,2299.0,1721.0,754.0,4998.0,4553.0,767.0,3551.0,6706.0,3187.0,514.0,1401.0,1952.0,5361.0,137.0,7602.0,8677.0,2628.0,140.0,1951.0,3327.0,5950.0,6087.0
gRNA_CDK7_targ_16,4095.0,5267.0,4067.0,4216.0,4034.0,4545.0,2754.0,3273.0,2504.0,4725.0,7453.0,1684.0,9413.0,8074.0,1030.0,24702.0,1103.0,15698.0,1711.0,677.0,1659.0,3904.0,258.0,7286.0,2334.0,4522.0,205.0,2141.0,3134.0,5291.0,4995.0
gRNA_CDK7_targ_17,3366.0,2850.0,2630.0,1979.0,4335.0,2465.0,3348.0,4685.0,2834.0,1890.0,2378.0,634.0,3327.0,2898.0,679.0,2911.0,2120.0,7030.0,856.0,348.0,1447.0,3438.0,118.0,3226.0,1069.0,2541.0,148.0,796.0,3558.0,5044.0,3955.0
gRNA_CDK7_targ_18,6122.0,3463.0,3495.0,17269.0,6150.0,7823.0,6402.0,10408.0,3408.0,1806.0,9082.0,1866.0,10232.0,8468.0,1218.0,1115.0,6661.0,12779.0,1367.0,1769.0,2531.0,5744.0,1519.0,2251.0,2107.0,4466.0,262.0,18769.0,4817.0,7311.0,5857.0
gRNA_CDK7_targ_19,7893.0,4221.0,3514.0,6498.0,4419.0,9249.0,6451.0,10312.0,2175.0,4571.0,17080.0,2941.0,11269.0,9881.0,1564.0,19850.0,4160.0,13132.0,1664.0,34877.0,2406.0,5964.0,468.0,18566.0,15151.0,5230.0,735.0,4942.0,3300.0,4823.0,6732.0
gRNA_CDK7_targ_20,6615.0,5402.0,3671.0,8595.0,4666.0,16868.0,6099.0,10998.0,2700.0,6821.0,33940.0,4770.0,10974.0,9814.0,1580.0,16641.0,4392.0,7719.0,1142.0,1279.0,2527.0,5785.0,631.0,4273.0,14763.0,3313.0,668.0,4275.0,5368.0,8563.0,7762.0
gRNA_CDK7_targ_21,8468.0,5392.0,3923.0,8035.0,5164.0,8121.0,4927.0,7495.0,3363.0,5709.0,3516.0,1011.0,6135.0,4974.0,1132.0,3490.0,3494.0,3689.0,631.0,1279.0,3111.0,6562.0,198.0,5038.0,12965.0,3311.0,167.0,1897.0,4424.0,6292.0,6512.0
gRNA_CDK7_targ_22,2128.0,1720.0,2137.0,1031.0,3213.0,1948.0,2280.0,2202.0,579.0,4154.0,2118.0,327.0,1205.0,936.0,416.0,294.0,2076.0,2430.0,321.0,2296.0,1141.0,2379.0,110.0,409.0,540.0,4318.0,67.0,398.0,2105.0,3348.0,3614.0
gRNA_CDK7_targ_23,18314.0,14493.0,10852.0,11910.0,7587.0,14638.0,3076.0,4389.0,3721.0,1266.0,11100.0,1503.0,4220.0,3679.0,1894.0,302.0,2653.0,2773.0,746.0,1085.0,2873.0,6058.0,360.0,8491.0,33434.0,5907.0,740.0,6552.0,3758.0,6555.0,7815.0
