gRNA_id,ABE_T0_REP1,ABE_T0_REP2,ABE_T0_REP3,ABE_DMSO_REP1,ABE_DMSO_REP2,ABE_DMSO_REP3,ABE_BSJ-4-116_REP1,ABE_BSJ-4-116_REP2,ABE_BSJ-4-116_REP3,ABE_CDK12-IN-2_REP1,ABE_CDK12-IN-2_REP2,ABE_CDK12-IN-2_REP3,ABE_HQ461_REP1,ABE_HQ461_REP2,ABE_HQ461_REP3,PLASMID_LIBRARY
gRNA_CDK12_targ_1740,2673.0,1848.0,1782.0,939.0,4970.0,842.0,1946.0,1610.0,954.0,226.0,451.0,260.0,242.0,449.0,1106.0,7507.0
gRNA_CDK12_targ_1741,2807.0,643.0,983.0,452.0,3476.0,670.0,611.0,1471.0,1303.0,347.0,1241.0,877.0,500.0,724.0,2513.0,7348.0
gRNA_CDK12_targ_1742,2452.0,490.0,1027.0,481.0,4176.0,941.0,982.0,2588.0,539.0,1088.0,205.0,250.0,2109.0,945.0,262.0,3783.0
gRNA_CDK12_targ_1743,1645.0,918.0,1663.0,474.0,1534.0,792.0,13024.0,1516.0,2059.0,2028.0,606.0,2534.0,148.0,996.0,904.0,2827.0
gRNA_CDK12_targ_1744,2197.0,662.0,1317.0,1823.0,4676.0,597.0,2041.0,1323.0,2797.0,137.0,677.0,181.0,291.0,782.0,1047.0,8190.0
gRNA_CDK12_targ_1745,14536.0,192.0,3042.0,1176.0,1638.0,19.0,245.0,599.0,2105.0,14.0,148.0,655.0,22.0,66.0,1127.0,4691.0
gRNA_CDK12_targ_1746,6742.0,1583.0,68.0,409.0,10143.0,440.0,1288.0,2058.0,1140.0,1902.0,3131.0,905.0,3738.0,298.0,334.0,4884.0
gRNA_CDK12_targ_1747,9438.0,1827.0,1382.0,533.0,2481.0,1508.0,730.0,4970.0,2019.0,410.0,1297.0,681.0,726.0,643.0,847.0,4109.0
gRNA_CDK12_targ_1748,1139.0,5196.0,1614.0,1260.0,5118.0,919.0,3256.0,1821.0,5150.0,725.0,743.0,4764.0,1940.0,1619.0,8451.0,3540.0
gRNA_CDK12_targ_1749,3556.0,769.0,1273.0,462.0,6438.0,1096.0,1544.0,5714.0,3710.0,550.0,1142.0,151.0,1719.0,3860.0,686.0,5986.0
gRNA_CDK12_targ_1750,2237.0,604.0,239.0,118.0,839.0,180.0,1126.0,517.0,1086.0,361.0,58.0,405.0,98.0,174.0,161.0,1345.0
gRNA_CDK12_targ_1751,1284.0,812.0,2301.0,1302.0,2631.0,1041.0,5474.0,4101.0,819.0,276.0,4434.0,2866.0,6910.0,101.0,2827.0,1477.0
gRNA_CDK12_targ_1752,2197.0,847.0,5464.0,1609.0,3091.0,1650.0,1180.0,669.0,768.0,3531.0,370.0,2885.0,3812.0,622.0,120.0,1253.0
gRNA_CDK12_targ_1753,130.0,756.0,878.0,950.0,1970.0,129.0,227.0,495.0,304.0,122.0,79.0,731.0,732.0,721.0,79.0,1238.0
gRNA_CDK12_targ_1754,7618.0,3909.0,2080.0,1130.0,2210.0,147.0,1056.0,876.0,515.0,127.0,3053.0,882.0,291.0,16.0,954.0,2781.0
gRNA_CDK12_targ_1755,1570.0,1031.0,2722.0,900.0,590.0,381.0,1744.0,742.0,1696.0,5005.0,77.0,22.0,14.0,216.0,1809.0,1786.0
gRNA_CDK12_targ_1756,1500.0,1438.0,1572.0,1220.0,5180.0,441.0,1747.0,2356.0,1293.0,1156.0,766.0,1945.0,5933.0,434.0,1282.0,4390.0
gRNA_CDK12_targ_1757,5116.0,168.0,2044.0,664.0,2182.0,717.0,3104.0,1031.0,2792.0,573.0,1118.0,1725.0,1127.0,1028.0,368.0,2214.0
gRNA_CDK12_targ_1758,2024.0,865.0,598.0,870.0,4713.0,488.0,1419.0,1519.0,2171.0,299.0,161.0,235.0,59.0,181.0,339.0,4641.0
gRNA_CDK12_targ_1759,909.0,2318.0,2078.0,1298.0,648.0,706.0,241.0,357.0,2946.0,59.0,4215.0,590.0,2295.0,254.0,876.0,6310.0
gRNA_CDK12_targ_1760,1227.0,179.0,311.0,410.0,5256.0,1617.0,1759.0,1603.0,1055.0,306.0,1673.0,740.0,2982.0,3939.0,1314.0,1509.0
gRNA_CDK12_targ_1761,780.0,988.0,131.0,388.0,1337.0,369.0,1173.0,449.0,494.0,295.0,2016.0,646.0,1555.0,559.0,63.0,3763.0
gRNA_CDK12_targ_1762,766.0,148.0,457.0,163.0,1380.0,341.0,370.0,374.0,298.0,390.0,214.0,235.0,63.0,920.0,37.0,3381.0
gRNA_CDK12_targ_1763,425.0,1903.0,826.0,884.0,4065.0,3933.0,3385.0,3449.0,2942.0,3745.0,1490.0,2200.0,1092.0,1645.0,1520.0,2599.0
gRNA_CDK12_targ_1764,1077.0,1334.0,466.0,1195.0,3509.0,1939.0,1570.0,6433.0,10476.0,5025.0,7523.0,1082.0,2684.0,3990.0,1088.0,3658.0
gRNA_CDK12_targ_1765,6251.0,620.0,487.0,2261.0,2957.0,792.0,1973.0,981.0,2973.0,4984.0,1106.0,838.0,3298.0,995.0,2397.0,2966.0
gRNA_CDK12_targ_1766,661.0,1809.0,2110.0,1583.0,7068.0,5484.0,1200.0,7027.0,3929.0,4858.0,4595.0,697.0,481.0,914.0,3355.0,3086.0
gRNA_CDK12_targ_1767,2358.0,1602.0,867.0,318.0,4296.0,1820.0,2723.0,1921.0,1823.0,740.0,1251.0,1281.0,827.0,336.0,1321.0,2693.0
gRNA_CDK12_targ_1768,23.0,11.0,3.0,12.0,10.0,6.0,21.0,35.0,7.0,29.0,1.0,42.0,4.0,30.0,5.0,39.0
gRNA_CDK12_targ_1769,59.0,1.0,11.0,346.0,1126.0,96.0,378.0,297.0,429.0,96.0,1685.0,342.0,14.0,5.0,493.0,33.0
gRNA_CDK12_targ_1770,468.0,299.0,777.0,321.0,489.0,290.0,244.0,187.0,596.0,346.0,349.0,130.0,28.0,616.0,746.0,3787.0
gRNA_CDK12_targ_1771,284.0,2098.0,2441.0,3948.0,3457.0,1660.0,6203.0,1894.0,2968.0,1260.0,1438.0,1824.0,3031.0,2708.0,804.0,203.0
gRNA_CDK12_targ_1772,436.0,78.0,1862.0,417.0,900.0,121.0,4045.0,523.0,164.0,1160.0,772.0,175.0,18.0,661.0,386.0,92.0
gRNA_CDK12_targ_1773,5158.0,1189.0,2560.0,2224.0,4183.0,3183.0,3344.0,6439.0,7356.0,2881.0,1409.0,302.0,1060.0,610.0,403.0,1627.0
gRNA_CDK12_targ_1774,2648.0,2193.0,1061.0,2890.0,5763.0,6414.0,1556.0,1469.0,726.0,23.0,174.0,2329.0,2052.0,3765.0,4051.0,2607.0
gRNA_CDK12_targ_1775,13014.0,8489.0,14704.0,15333.0,7527.0,16006.0,22775.0,6015.0,24936.0,2151.0,5533.0,19333.0,1508.0,9075.0,8822.0,6260.0
gRNA_CDK12_targ_1776,9468.0,11444.0,5371.0,10218.0,8293.0,6773.0,4272.0,17649.0,1063.0,9447.0,9776.0,11376.0,1560.0,5412.0,3997.0,3656.0
gRNA_CDK12_targ_1777,6689.0,3325.0,5307.0,2644.0,3210.0,3461.0,4999.0,1399.0,3398.0,4026.0,1282.0,4764.0,3782.0,180.0,2098.0,2598.0
gRNA_CDK12_targ_1778,9784.0,5984.0,3471.0,4538.0,3094.0,6329.0,3582.0,4397.0,1009.0,1784.0,1786.0,3173.0,11054.0,5144.0,2780.0,4125.0
