gRNA_id,CBE_T0_REP1,CBE_T0_REP2,CBE_T0_REP3,CBE_DMSO_REP1,CBE_DMSO_REP2,CBE_DMSO_REP3,CBE_BSJ-4-116_REP1,CBE_BSJ-4-116_REP2,CBE_BSJ-4-116_REP3,CBE_CDK12-IN-2_REP1,CBE_CDK12-IN-2_REP2,CBE_CDK12-IN-2_REP3,CBE_HQ461_REP1,CBE_HQ461_REP2,CBE_HQ461_REP3,PLASMID_LIBRARY
gRNA_CDK12_targ_1740,2970.0,656.0,3190.0,885.0,1453.0,1348.0,1138.0,2357.0,877.0,2043.0,501.0,2917.0,2102.0,2276.0,2239.0,7507.0
gRNA_CDK12_targ_1741,1326.0,336.0,2864.0,585.0,324.0,224.0,1616.0,250.0,713.0,622.0,128.0,159.0,541.0,1710.0,3539.0,7348.0
gRNA_CDK12_targ_1742,2093.0,468.0,1719.0,421.0,910.0,375.0,903.0,1279.0,871.0,792.0,443.0,1941.0,1456.0,2437.0,960.0,3783.0
gRNA_CDK12_targ_1743,4412.0,410.0,4653.0,626.0,1351.0,4283.0,710.0,7365.0,9341.0,4088.0,618.0,2691.0,774.0,2883.0,2941.0,2827.0
gRNA_CDK12_targ_1744,3147.0,950.0,1419.0,313.0,2001.0,376.0,1710.0,1933.0,2492.0,737.0,211.0,812.0,2580.0,190.0,3137.0,8190.0
gRNA_CDK12_targ_1745,2926.0,1759.0,3056.0,547.0,786.0,509.0,2863.0,4145.0,4988.0,1844.0,1291.0,1965.0,1228.0,728.0,2455.0,4691.0
gRNA_CDK12_targ_1746,2872.0,391.0,705.0,317.0,570.0,628.0,305.0,2729.0,323.0,861.0,280.0,1016.0,1029.0,1154.0,3983.0,4884.0
gRNA_CDK12_targ_1747,1414.0,346.0,553.0,459.0,965.0,297.0,393.0,101.0,978.0,688.0,85.0,833.0,711.0,1617.0,1416.0,4109.0
gRNA_CDK12_targ_1748,2423.0,1907.0,2409.0,2780.0,2927.0,732.0,5349.0,1593.0,1055.0,1805.0,989.0,574.0,2602.0,289.0,7748.0,3540.0
gRNA_CDK12_targ_1749,3318.0,950.0,1615.0,2574.0,1730.0,445.0,1034.0,3345.0,2571.0,1495.0,453.0,3065.0,3988.0,2834.0,1951.0,5986.0
gRNA_CDK12_targ_1750,464.0,16.0,5.0,79.0,131.0,156.0,87.0,45.0,286.0,394.0,2.0,7.0,142.0,3.0,897.0,1345.0
gRNA_CDK12_targ_1751,692.0,511.0,1788.0,5202.0,5199.0,834.0,2063.0,1024.0,1187.0,338.0,744.0,4430.0,1772.0,619.0,9551.0,1477.0
gRNA_CDK12_targ_1752,1379.0,1574.0,4371.0,2159.0,1911.0,816.0,542.0,360.0,67.0,1097.0,1389.0,270.0,521.0,152.0,3907.0,1253.0
gRNA_CDK12_targ_1753,1176.0,78.0,2799.0,891.0,414.0,1869.0,62.0,117.0,83.0,213.0,225.0,38.0,478.0,13.0,128.0,1238.0
gRNA_CDK12_targ_1754,539.0,1823.0,946.0,2950.0,2997.0,876.0,1885.0,958.0,2280.0,1278.0,1617.0,3791.0,5066.0,1890.0,5348.0,2781.0
gRNA_CDK12_targ_1755,104.0,27.0,243.0,1825.0,2105.0,559.0,4978.0,1405.0,497.0,940.0,378.0,11.0,1580.0,313.0,728.0,1786.0
gRNA_CDK12_targ_1756,2427.0,1455.0,1030.0,1886.0,1820.0,762.0,1179.0,1593.0,2391.0,1836.0,3026.0,544.0,2512.0,1334.0,6645.0,4390.0
gRNA_CDK12_targ_1757,134.0,50.0,43.0,47.0,108.0,114.0,129.0,194.0,479.0,136.0,50.0,74.0,720.0,20.0,320.0,2214.0
