gRNA_id,CBE_ABEMA_REP1,CBE_ABEMA_REP2,CBE_ABEMA_REP3,CBE_ATIRMO_REP1,CBE_ATIRMO_REP2,CBE_ATIRMO_REP3,CBE_PALBO_REP1,CBE_PALBO_REP2,CBE_PALBO_REP3,CBE_TAGTO_REP1,CBE_TAGTO_REP2,CBE_TAGTO_REP3,CBE_INX_REP1,CBE_INX_REP2,CBE_INX_REP3,PLASMID_LIBRARY,CBE_T0_REP1,CBE_T0_REP2,CBE_T0_REP3,CBE_DMSO_REP1,CBE_DMSO_REP2,CBE_DMSO_REP3,CBE_RIBO_REP1,CBE_RIBO_REP2,CBE_RIBO_REP3
gRNA_CDK2_targ_6973,1045.0,1901.0,1535.0,1004.0,223.0,137.0,541.0,959.0,1922.0,416.0,2097.0,2850.0,2358.0,820.0,1941.0,5394.0,1803.0,1490.0,1448.0,3878.0,842.0,1812.0,424.0,690.0,1339.0
gRNA_CDK2_targ_6974,161.0,292.0,286.0,172.0,95.0,66.0,27.0,18.0,184.0,46.0,104.0,247.0,54.0,56.0,158.0,1357.0,474.0,144.0,167.0,617.0,516.0,647.0,148.0,209.0,438.0
gRNA_CDK2_targ_6975,404.0,529.0,197.0,204.0,325.0,217.0,653.0,114.0,894.0,152.0,434.0,264.0,1591.0,3074.0,895.0,2293.0,1250.0,431.0,1131.0,1218.0,495.0,857.0,170.0,351.0,420.0
gRNA_CDK2_targ_6976,199.0,428.0,274.0,84.0,89.0,28.0,125.0,186.0,134.0,151.0,534.0,461.0,1109.0,867.0,112.0,2398.0,413.0,434.0,321.0,1273.0,525.0,844.0,146.0,238.0,261.0
gRNA_CDK2_targ_6977,228.0,399.0,358.0,661.0,156.0,42.0,74.0,263.0,603.0,212.0,1526.0,2266.0,2666.0,842.0,193.0,3293.0,901.0,745.0,757.0,1952.0,451.0,1487.0,307.0,726.0,595.0
gRNA_CDK2_targ_6978,390.0,1985.0,1108.0,847.0,585.0,263.0,454.0,255.0,1203.0,284.0,849.0,1040.0,1959.0,1090.0,2183.0,3464.0,1305.0,826.0,720.0,1609.0,1481.0,1931.0,661.0,1164.0,1066.0
gRNA_CDK2_targ_6979,494.0,854.0,801.0,663.0,872.0,330.0,242.0,100.0,924.0,591.0,812.0,1986.0,1040.0,513.0,309.0,3184.0,1265.0,1123.0,594.0,1412.0,876.0,1141.0,881.0,1062.0,511.0
gRNA_CDK2_targ_6980,524.0,399.0,693.0,656.0,564.0,89.0,335.0,329.0,322.0,173.0,704.0,968.0,1385.0,1323.0,1196.0,3430.0,990.0,974.0,627.0,2328.0,726.0,1005.0,380.0,1038.0,509.0
gRNA_CDK2_targ_6981,305.0,416.0,438.0,562.0,380.0,83.0,140.0,81.0,369.0,318.0,841.0,1642.0,926.0,227.0,1123.0,2828.0,848.0,572.0,665.0,1223.0,844.0,923.0,138.0,591.0,434.0
gRNA_CDK2_targ_6982,780.0,901.0,654.0,448.0,630.0,707.0,486.0,132.0,1046.0,114.0,579.0,612.0,1227.0,1140.0,562.0,3121.0,875.0,1404.0,938.0,1527.0,1328.0,1242.0,317.0,1040.0,733.0
