gRNA_id,ABE_T0_REP1,ABE_T0_REP2,ABE_T0_REP3,ABE_DMSO_REP1,ABE_DMSO_REP2,ABE_DMSO_REP3,ABE_SY-5609_10nM_REP1,ABE_SY-5609_10nM_REP2,ABE_SY-5609_10nM_REP3,ABE_SY-5609_100nM_REP1,ABE_SY-5609_100nM_REP2,ABE_SY-5609_100nM_REP3,Plasmid
gRNA_CDK7_targ_1,10928.0,5100.0,8848.0,7462.0,6507.0,4892.0,537.0,8532.0,6443.0,5067.0,14414.0,16773.0,7901.0
gRNA_CDK7_targ_2,6580.0,5068.0,4023.0,7219.0,5306.0,2852.0,216.0,5238.0,5285.0,5692.0,3325.0,3074.0,8536.0
gRNA_CDK7_targ_3,5528.0,3186.0,5188.0,2408.0,89.0,520.0,207.0,1663.0,2890.0,3647.0,4498.0,1774.0,2596.0
gRNA_CDK7_targ_4,4509.0,5053.0,1171.0,10255.0,2413.0,3597.0,254.0,5206.0,4077.0,4547.0,4655.0,4410.0,5263.0
gRNA_CDK7_targ_5,2425.0,4981.0,4114.0,8242.0,1609.0,3632.0,89.0,1889.0,6488.0,4821.0,4217.0,245.0,1423.0
gRNA_CDK7_targ_6,10921.0,8576.0,5705.0,11529.0,8803.0,3305.0,685.0,3943.0,1963.0,7707.0,14573.0,2288.0,2368.0
gRNA_CDK7_targ_7,9627.0,8293.0,11064.0,14207.0,12305.0,5606.0,429.0,11493.0,15732.0,7116.0,11379.0,6663.0,6961.0
gRNA_CDK7_targ_8,4347.0,4229.0,3125.0,9936.0,5599.0,3380.0,236.0,689.0,5218.0,4639.0,3975.0,24662.0,11152.0
gRNA_CDK7_targ_9,6996.0,3222.0,2451.0,10423.0,3710.0,5171.0,460.0,2041.0,5639.0,5087.0,6044.0,4125.0,5828.0
gRNA_CDK7_targ_10,5641.0,2267.0,1164.0,4565.0,2153.0,1441.0,99.0,1430.0,520.0,723.0,4020.0,8802.0,4688.0
gRNA_CDK7_targ_11,6436.0,2835.0,11827.0,6698.0,4581.0,4862.0,545.0,2721.0,7110.0,4526.0,4547.0,4454.0,8494.0
gRNA_CDK7_targ_12,20398.0,11591.0,3796.0,20539.0,18993.0,7697.0,625.0,12279.0,12112.0,10906.0,15818.0,4939.0,8859.0
gRNA_CDK7_targ_13,7699.0,9277.0,16898.0,12155.0,6650.0,3633.0,693.0,6921.0,6731.0,8008.0,7936.0,8761.0,13610.0
gRNA_CDK7_targ_14,80.0,914.0,1958.0,2052.0,3129.0,1095.0,169.0,620.0,15.0,741.0,1632.0,5910.0,3716.0
gRNA_CDK7_targ_15,4065.0,2747.0,8929.0,5455.0,629.0,1050.0,52.0,978.0,2127.0,4300.0,840.0,2101.0,6087.0
