gRNA_id,T0_REP1,T0_REP2,T0_REP3,DMSO_REP1,DMSO_REP2,DMSO_REP3,KI-CDK9d-32_100nM_REP1,KI-CDK9d-32_100nM_REP2,KI-CDK9d-32_100nM_REP3,KI-CDK9d-32_1000nM_REP1,KI-CDK9d-32_1000nM_REP2,KI-CDK9d-32_1000nM_REP3,KI-CDK9d-32N_1250nM_REP1,KI-CDK9d-32N_1250nM_REP2,KI-CDK9d-32N_1250nM_REP3,KI-CDK9d-32N_5000nM_REP1,KI-CDK9d-32N_5000nM_REP2,KI-CDK9d-32N_5000nM_REP3,KB-0742_1500nM_REP1,KB-0742_1500nM_REP2,KB-0742_1500nM_REP3,Senexin B_2000nM_REP1,Senexin B_2000nM_REP2,Senexin B_2000nM_REP3,Senexin B_15000nM_REP1,Senexin B_15000nM_REP2,Senexin B_15000nM_REP3,SEL120_4000nM_REP1,SEL120_4000nM_REP2,SEL120_4000nM_REP3,Plasmid
gRNA_CDK7_targ_1,26387.0,17537.0,13555.0,8003.0,4392.0,9276.0,6632.0,6487.0,3595.0,6646.0,10009.0,1829.0,7650.0,6786.0,1842.0,7559.0,3330.0,9447.0,1552.0,3475.0,7564.0,12318.0,516.0,10395.0,6678.0,5511.0,330.0,5265.0,4281.0,5315.0,17151.0
gRNA_CDK7_targ_2,14218.0,9299.0,10469.0,7308.0,10299.0,20654.0,11310.0,13074.0,6700.0,5578.0,9024.0,2558.0,14005.0,12576.0,2502.0,7572.0,6059.0,13550.0,2004.0,35368.0,7372.0,13001.0,614.0,10018.0,18825.0,8959.0,332.0,4817.0,10518.0,15128.0,15586.0
gRNA_CDK7_targ_3,8724.0,9018.0,6494.0,10671.0,9503.0,20126.0,7226.0,10451.0,5218.0,4424.0,8758.0,1669.0,5282.0,4561.0,1622.0,9700.0,2827.0,18594.0,2563.0,1135.0,6839.0,11823.0,3221.0,3732.0,4214.0,9479.0,1940.0,9951.0,7654.0,10611.0,8156.0
gRNA_CDK7_targ_4,13474.0,12054.0,10415.0,14512.0,14109.0,20813.0,11458.0,20271.0,7503.0,8192.0,19719.0,4447.0,19816.0,19775.0,3123.0,50176.0,17308.0,8462.0,2457.0,1783.0,9751.0,16903.0,562.0,14948.0,8561.0,15692.0,737.0,14747.0,9167.0,13390.0,13025.0
gRNA_CDK7_targ_5,9720.0,6851.0,7655.0,17756.0,8641.0,5301.0,6679.0,9545.0,3400.0,4899.0,7629.0,1535.0,5564.0,5042.0,1680.0,10469.0,2106.0,10900.0,1664.0,2144.0,5127.0,8949.0,352.0,6177.0,2520.0,9244.0,282.0,7762.0,6551.0,10045.0,5499.0
gRNA_CDK7_targ_6,23582.0,21928.0,17227.0,37036.0,13416.0,51583.0,16278.0,21208.0,15614.0,15608.0,23231.0,5305.0,21849.0,19977.0,6049.0,44696.0,17332.0,43092.0,6210.0,51981.0,13244.0,22873.0,2994.0,51222.0,23510.0,19752.0,1251.0,21375.0,20453.0,30944.0,10716.0
gRNA_CDK7_targ_7,23725.0,17511.0,12023.0,29935.0,14447.0,19943.0,13501.0,18478.0,10667.0,14672.0,26603.0,4594.0,14790.0,13432.0,3659.0,48507.0,8425.0,33159.0,4434.0,16746.0,9475.0,16743.0,951.0,14486.0,8735.0,13397.0,1155.0,14399.0,11474.0,18511.0,15054.0
gRNA_CDK7_targ_8,16653.0,15476.0,14527.0,32946.0,13439.0,29797.0,11826.0,15334.0,6357.0,7620.0,20769.0,4119.0,15909.0,14773.0,3140.0,9499.0,11873.0,32543.0,4251.0,7385.0,7585.0,14605.0,661.0,20348.0,6653.0,11623.0,593.0,15010.0,13993.0,22372.0,18669.0
gRNA_CDK7_targ_9,8714.0,14734.0,9973.0,11520.0,10313.0,26088.0,11433.0,22168.0,5148.0,7320.0,24960.0,4710.0,14973.0,13146.0,2774.0,13140.0,5486.0,41882.0,4877.0,4471.0,7546.0,12906.0,1175.0,20327.0,6232.0,9407.0,643.0,13418.0,5772.0,8902.0,10844.0
gRNA_CDK7_targ_10,8722.0,6453.0,5261.0,5835.0,5074.0,13344.0,6901.0,7712.0,3592.0,3325.0,19555.0,2912.0,6427.0,6042.0,1430.0,9411.0,4233.0,12911.0,1841.0,17455.0,4023.0,8742.0,676.0,9599.0,4662.0,5574.0,432.0,2615.0,4603.0,6552.0,8678.0
gRNA_CDK7_targ_11,20581.0,15133.0,15183.0,28714.0,11497.0,39436.0,14076.0,22749.0,10826.0,10651.0,14488.0,3991.0,19128.0,17575.0,4339.0,49204.0,6880.0,22088.0,3314.0,11745.0,8264.0,13149.0,658.0,18359.0,5815.0,9755.0,546.0,17250.0,12065.0,18085.0,13407.0
gRNA_CDK7_targ_12,21848.0,16038.0,11340.0,24108.0,7125.0,20604.0,5842.0,6660.0,4942.0,5653.0,5710.0,2419.0,14951.0,13020.0,2676.0,44519.0,3314.0,23628.0,3752.0,91593.0,6622.0,10822.0,1289.0,13981.0,4828.0,8932.0,357.0,16128.0,7175.0,11844.0,15505.0
gRNA_CDK7_targ_13,25573.0,22779.0,14736.0,15546.0,14136.0,34829.0,13209.0,14304.0,5847.0,5871.0,13057.0,3305.0,15364.0,13509.0,2743.0,34704.0,2621.0,23042.0,3572.0,16200.0,8659.0,16165.0,1247.0,6700.0,15691.0,11142.0,499.0,10442.0,8881.0,13814.0,21925.0
gRNA_CDK7_targ_14,7832.0,7729.0,6340.0,11149.0,4651.0,18908.0,7709.0,8213.0,4478.0,5518.0,5552.0,1404.0,7158.0,6091.0,1258.0,16774.0,5284.0,22463.0,3501.0,9378.0,4077.0,7056.0,545.0,647.0,6447.0,5488.0,301.0,4582.0,6559.0,9936.0,9681.0
gRNA_CDK7_targ_15,11141.0,16806.0,9205.0,14563.0,7116.0,10070.0,11578.0,17042.0,7418.0,8408.0,9070.0,2143.0,9325.0,8216.0,2291.0,5813.0,20910.0,17282.0,2389.0,5773.0,6852.0,12868.0,487.0,13855.0,21749.0,8416.0,383.0,3225.0,10712.0,15852.0,13494.0
gRNA_CDK7_targ_16,9516.0,12305.0,9270.0,8072.0,8057.0,9063.0,9492.0,10871.0,5217.0,10150.0,12683.0,2465.0,11488.0,9484.0,2144.0,32964.0,4103.0,27625.0,3286.0,1447.0,6397.0,11243.0,527.0,13769.0,7966.0,10170.0,392.0,3173.0,7627.0,10833.0,10128.0
gRNA_CDK7_targ_17,7271.0,9410.0,8068.0,7230.0,12686.0,10063.0,11982.0,13587.0,6577.0,6712.0,6896.0,1895.0,10280.0,9163.0,1974.0,3502.0,2390.0,27153.0,3149.0,16010.0,6239.0,10560.0,425.0,20395.0,3133.0,5595.0,361.0,4157.0,8022.0,10499.0,10182.0
gRNA_CDK7_targ_18,16721.0,11611.0,10387.0,29532.0,12512.0,18636.0,11456.0,16214.0,7731.0,6638.0,27494.0,5056.0,22710.0,19314.0,3422.0,2599.0,13958.0,30190.0,3816.0,14903.0,7225.0,11878.0,4040.0,25788.0,16278.0,11401.0,695.0,28111.0,10222.0,14052.0,14302.0
gRNA_CDK7_targ_19,16301.0,10451.0,10929.0,21961.0,13349.0,26496.0,12958.0,28988.0,4681.0,8040.0,23553.0,4334.0,17360.0,14963.0,3089.0,25979.0,5808.0,20074.0,3036.0,37811.0,9005.0,16287.0,1123.0,23200.0,18301.0,11697.0,4598.0,9542.0,9364.0,14096.0,13683.0
gRNA_CDK7_targ_20,19159.0,12131.0,8206.0,16332.0,8740.0,23194.0,14467.0,18873.0,5401.0,19042.0,38416.0,5658.0,16619.0,14271.0,3198.0,24353.0,6125.0,25591.0,4114.0,2711.0,6787.0,11143.0,913.0,30293.0,27795.0,8890.0,1010.0,11123.0,10310.0,15073.0,13679.0
gRNA_CDK7_targ_21,14682.0,12681.0,10966.0,18822.0,12480.0,20444.0,13683.0,16169.0,6762.0,8767.0,23545.0,3621.0,11178.0,9061.0,2805.0,18078.0,5989.0,14555.0,2237.0,2550.0,8516.0,13137.0,546.0,10885.0,20804.0,7008.0,803.0,5862.0,9149.0,13623.0,12693.0
gRNA_CDK7_targ_22,10533.0,7031.0,7469.0,14329.0,7892.0,12472.0,6753.0,6744.0,4630.0,6880.0,5203.0,1072.0,4739.0,4209.0,1482.0,4688.0,4095.0,18807.0,2388.0,4370.0,6017.0,10045.0,331.0,4127.0,15323.0,11467.0,314.0,13801.0,6824.0,9894.0,8125.0
gRNA_CDK7_targ_23,41599.0,35743.0,25468.0,21589.0,20598.0,41071.0,11978.0,14184.0,9634.0,7237.0,13881.0,2482.0,9918.0,8572.0,4330.0,2239.0,7609.0,7205.0,3029.0,2545.0,9246.0,14671.0,974.0,18899.0,36089.0,14616.0,1134.0,11172.0,13767.0,20554.0,20351.0
gRNA_CDK7_targ_24,18487.0,17131.0,11195.0,15735.0,9900.0,13346.0,11911.0,15740.0,3006.0,5605.0,12721.0,1821.0,5003.0,5189.0,2198.0,513.0,1806.0,6611.0,1484.0,27139.0,4961.0,9370.0,400.0,17399.0,4536.0,10486.0,797.0,8823.0,5839.0,8681.0,15520.0
gRNA_CDK7_targ_25,10899.0,11900.0,8076.0,6758.0,6059.0,8438.0,2797.0,3497.0,3678.0,721.0,4169.0,978.0,5600.0,4856.0,1041.0,196.0,2007.0,2170.0,594.0,1158.0,3470.0,5821.0,162.0,266.0,9986.0,3899.0,273.0,5899.0,5203.0,7660.0,13127.0
gRNA_CDK7_targ_26,16865.0,16165.0,11959.0,16769.0,14028.0,34853.0,16531.0,17197.0,5683.0,16161.0,9362.0,2437.0,11039.0,9589.0,2960.0,14108.0,6268.0,20454.0,3003.0,3196.0,7439.0,12416.0,656.0,28423.0,10499.0,9745.0,1132.0,4038.0,8620.0,12887.0,17746.0
