gRNA_id,CBE_T0_REP1,CBE_T0_REP2,CBE_T0_REP3,CBE_DMSO_REP1,CBE_DMSO_REP2,CBE_DMSO_REP3,CBE_BSJ-4-116_REP1,CBE_BSJ-4-116_REP2,CBE_BSJ-4-116_REP3,CBE_CDK12-IN-2_REP1,CBE_CDK12-IN-2_REP2,CBE_CDK12-IN-2_REP3,CBE_HQ461_REP1,CBE_HQ461_REP2,CBE_HQ461_REP3,PLASMID_LIBRARY
gRNA_CDK12_targ_1740,7201.0,1350.0,8356.0,4454.0,3857.0,2111.0,2043.0,3779.0,4062.0,3396.0,1064.0,3978.0,5893.0,2916.0,3656.0,12919.0
gRNA_CDK12_targ_1741,6248.0,1443.0,4899.0,3250.0,13208.0,564.0,4302.0,5898.0,9641.0,2026.0,2059.0,2080.0,5167.0,4654.0,6733.0,12437.0
gRNA_CDK12_targ_1742,4601.0,1948.0,5438.0,2320.0,2352.0,1908.0,2549.0,1998.0,3916.0,4432.0,1232.0,4325.0,2180.0,3513.0,2878.0,7693.0
gRNA_CDK12_targ_1743,8257.0,3320.0,5597.0,1061.0,3044.0,10643.0,1712.0,9444.0,14637.0,6691.0,2033.0,3838.0,6251.0,3150.0,4305.0,5488.0
gRNA_CDK12_targ_1744,7401.0,2705.0,5533.0,914.0,4861.0,3614.0,5176.0,9761.0,7902.0,2703.0,2117.0,6231.0,4780.0,3685.0,6616.0,12356.0
gRNA_CDK12_targ_1745,6638.0,4235.0,9176.0,2373.0,5827.0,2124.0,7357.0,5270.0,7775.0,11408.0,2029.0,7167.0,3730.0,10059.0,9252.0,9073.0
gRNA_CDK12_targ_1746,6477.0,2364.0,5241.0,2792.0,9779.0,3981.0,2127.0,5030.0,3826.0,3943.0,5443.0,1578.0,4691.0,1426.0,12718.0,9632.0
gRNA_CDK12_targ_1747,6183.0,1938.0,3471.0,3091.0,6300.0,5466.0,4387.0,5866.0,3104.0,3182.0,1446.0,3846.0,2669.0,2642.0,11791.0,10056.0
gRNA_CDK12_targ_1748,7345.0,4437.0,18660.0,7759.0,9117.0,3806.0,17269.0,13664.0,2913.0,7411.0,1479.0,1735.0,4785.0,912.0,14884.0,8242.0
gRNA_CDK12_targ_1749,7314.0,3591.0,7991.0,8724.0,6115.0,1275.0,2712.0,8497.0,6207.0,4476.0,2203.0,5886.0,4880.0,8875.0,3922.0,11193.0
gRNA_CDK12_targ_1750,3814.0,1056.0,3171.0,1512.0,3835.0,4650.0,3661.0,1378.0,2087.0,1171.0,5562.0,878.0,2443.0,2099.0,6088.0,4978.0
gRNA_CDK12_targ_1751,4587.0,2785.0,4970.0,6464.0,8748.0,2899.0,3628.0,5318.0,7887.0,4999.0,2015.0,9938.0,5995.0,1488.0,13323.0,6158.0
gRNA_CDK12_targ_1752,8639.0,3525.0,8305.0,8651.0,7072.0,6693.0,4840.0,3881.0,645.0,4187.0,3512.0,2459.0,1598.0,926.0,14430.0,6274.0
gRNA_CDK12_targ_1753,8274.0,2247.0,9404.0,4324.0,5682.0,5660.0,7668.0,5976.0,2762.0,2135.0,1246.0,4380.0,2406.0,3111.0,7328.0,7671.0
gRNA_CDK12_targ_1754,6782.0,8006.0,10956.0,7471.0,7425.0,7051.0,4087.0,6018.0,8812.0,9117.0,9836.0,4742.0,6968.0,8591.0,14064.0,7972.0
gRNA_CDK12_targ_1755,7328.0,2271.0,8994.0,5737.0,5129.0,1057.0,8889.0,4305.0,2072.0,1277.0,3878.0,191.0,2065.0,2780.0,1963.0,5274.0
gRNA_CDK12_targ_1756,8766.0,4656.0,12831.0,6640.0,4842.0,16816.0,2473.0,5908.0,7658.0,4464.0,10734.0,984.0,3813.0,4301.0,13337.0,9382.0
gRNA_CDK12_targ_1757,8060.0,5236.0,10156.0,7584.0,10223.0,5439.0,5215.0,10903.0,2337.0,4188.0,4182.0,3835.0,6691.0,4149.0,2000.0,7477.0
gRNA_CDK12_targ_1758,10347.0,7020.0,9340.0,4307.0,8877.0,3460.0,3099.0,4919.0,14464.0,8329.0,5646.0,5318.0,7101.0,9346.0,17299.0,12071.0
gRNA_CDK12_targ_1759,5914.0,2086.0,8741.0,3575.0,6300.0,2418.0,3390.0,6866.0,4815.0,15676.0,1766.0,2812.0,9118.0,11120.0,11767.0,11859.0
gRNA_CDK12_targ_1760,8092.0,1894.0,3453.0,4900.0,5267.0,2832.0,3295.0,4223.0,719.0,4445.0,3006.0,3199.0,3120.0,4310.0,9112.0,6442.0
gRNA_CDK12_targ_1761,2885.0,2348.0,6354.0,1428.0,1849.0,2591.0,4113.0,2317.0,2652.0,4409.0,1855.0,5009.0,2574.0,8579.0,10008.0,8449.0
gRNA_CDK12_targ_1762,6490.0,4088.0,4488.0,1706.0,4667.0,2925.0,2798.0,1969.0,2267.0,8561.0,2111.0,3078.0,2733.0,1128.0,6497.0,9292.0
gRNA_CDK12_targ_1763,6641.0,2831.0,7071.0,6136.0,3724.0,9990.0,5640.0,10945.0,7977.0,3960.0,4407.0,7873.0,6559.0,3868.0,10558.0,10240.0
gRNA_CDK12_targ_1764,10896.0,7820.0,14797.0,9653.0,9501.0,7910.0,7402.0,22371.0,3845.0,5874.0,1975.0,7560.0,10417.0,13086.0,7978.0,11292.0
gRNA_CDK12_targ_1765,11161.0,3509.0,3338.0,3390.0,5469.0,1637.0,2977.0,4253.0,8817.0,9140.0,3334.0,1927.0,3888.0,1210.0,10033.0,7696.0
gRNA_CDK12_targ_1766,4823.0,2412.0,12892.0,10878.0,6013.0,27675.0,3515.0,1323.0,5847.0,11528.0,1763.0,1515.0,3424.0,2064.0,17226.0,9278.0
gRNA_CDK12_targ_1767,9627.0,5243.0,7092.0,15884.0,5063.0,6381.0,6502.0,6274.0,3394.0,1590.0,1028.0,3746.0,3964.0,3114.0,6543.0,8890.0
gRNA_CDK12_targ_1768,8322.0,4265.0,11168.0,5060.0,15210.0,2405.0,5384.0,22118.0,7457.0,11742.0,15780.0,6728.0,4829.0,5165.0,12420.0,4194.0
gRNA_CDK12_targ_1769,7035.0,2716.0,8226.0,5480.0,7592.0,4814.0,6749.0,2715.0,7440.0,7603.0,2489.0,631.0,2347.0,12335.0,5200.0,4030.0
gRNA_CDK12_targ_1770,10276.0,5742.0,16035.0,9204.0,12068.0,7724.0,6435.0,11953.0,11083.0,8009.0,3558.0,11183.0,16461.0,10231.0,13706.0,12209.0
gRNA_CDK12_targ_1771,12019.0,10554.0,20799.0,31882.0,17718.0,15891.0,8325.0,14526.0,13283.0,9477.0,8711.0,6445.0,3895.0,15625.0,17328.0,7460.0
gRNA_CDK12_targ_1772,13768.0,6623.0,12764.0,19189.0,12539.0,6722.0,5071.0,9990.0,5051.0,11496.0,4255.0,3251.0,8449.0,3802.0,7859.0,6462.0
gRNA_CDK12_targ_1773,10445.0,4276.0,8875.0,5339.0,11706.0,2545.0,5356.0,736.0,1701.0,2915.0,1972.0,5656.0,1105.0,553.0,11355.0,6448.0
gRNA_CDK12_targ_1774,4419.0,2993.0,10925.0,9813.0,2106.0,3256.0,5168.0,1964.0,2160.0,4615.0,1390.0,4879.0,18453.0,696.0,12162.0,5509.0
gRNA_CDK12_targ_1775,21976.0,14191.0,21581.0,30390.0,57128.0,9326.0,14735.0,23244.0,34562.0,16543.0,18846.0,10548.0,33961.0,16794.0,53424.0,13714.0
gRNA_CDK12_targ_1776,18097.0,10835.0,17468.0,29250.0,13899.0,15987.0,12717.0,15260.0,11810.0,8741.0,21969.0,6079.0,9745.0,11965.0,44257.0,11983.0
gRNA_CDK12_targ_1777,12735.0,10107.0,9135.0,19544.0,16473.0,9605.0,7429.0,10951.0,20578.0,9191.0,9947.0,14442.0,13988.0,5165.0,21718.0,9452.0
gRNA_CDK12_targ_1778,14513.0,9288.0,14199.0,12683.0,12463.0,4847.0,4992.0,15252.0,7694.0,7565.0,8692.0,4054.0,14563.0,2774.0,18903.0,9586.0
gRNA_CDK12_targ_1779,6244.0,12647.0,12776.0,11355.0,11132.0,12263.0,9254.0,10053.0,10181.0,9438.0,1561.0,4275.0,18053.0,2471.0,22863.0,8525.0
gRNA_CDK12_targ_1780,7016.0,11308.0,14389.0,12405.0,20652.0,5100.0,18715.0,13321.0,7065.0,6659.0,15058.0,10838.0,3599.0,7348.0,13010.0,15558.0
gRNA_CDK12_targ_1781,8350.0,6317.0,2840.0,11941.0,14445.0,7612.0,7702.0,13423.0,19068.0,5038.0,5045.0,4643.0,9421.0,5471.0,11635.0,10142.0
gRNA_CDK12_targ_1782,4593.0,2221.0,7420.0,8178.0,10201.0,12767.0,2922.0,21423.0,15138.0,7208.0,8730.0,7688.0,4502.0,4633.0,6496.0,11435.0
gRNA_CDK12_targ_1783,8568.0,7474.0,7311.0,3856.0,11432.0,9025.0,3752.0,3312.0,8005.0,7065.0,8359.0,6285.0,8258.0,10642.0,11491.0,7665.0
gRNA_CDK12_targ_1784,4036.0,479.0,6336.0,850.0,660.0,620.0,5532.0,3288.0,697.0,3436.0,766.0,5846.0,1669.0,1191.0,2102.0,6506.0
gRNA_CDK12_targ_1785,3608.0,1931.0,3919.0,914.0,2622.0,1237.0,1943.0,7586.0,2774.0,6878.0,1312.0,3452.0,2136.0,2366.0,13551.0,8017.0
gRNA_CDK12_targ_1786,9954.0,5135.0,6256.0,5210.0,7518.0,3452.0,7653.0,4782.0,6910.0,4004.0,3331.0,5309.0,11002.0,7231.0,37901.0,13255.0
gRNA_CDK12_targ_1787,13088.0,6969.0,7032.0,15263.0,7857.0,3981.0,13386.0,11377.0,12160.0,9108.0,3373.0,8263.0,10477.0,15362.0,10453.0,13468.0
gRNA_CDK12_targ_1788,2321.0,669.0,3415.0,4817.0,795.0,1521.0,1939.0,1022.0,219.0,1189.0,197.0,900.0,728.0,934.0,2044.0,3377.0
gRNA_CDK12_targ_1789,7501.0,2441.0,2194.0,6718.0,8276.0,2503.0,4827.0,10181.0,1903.0,4259.0,2655.0,4002.0,1443.0,3935.0,4509.0,9965.0
gRNA_CDK12_targ_1790,7895.0,4722.0,7371.0,2721.0,4909.0,5090.0,5541.0,3939.0,4269.0,4391.0,2875.0,5022.0,3460.0,1168.0,4999.0,15044.0
gRNA_CDK12_targ_1791,11808.0,2475.0,4114.0,4314.0,4987.0,8278.0,5664.0,23313.0,2579.0,5419.0,3570.0,10401.0,3516.0,8006.0,10838.0,14679.0
gRNA_CDK12_targ_1792,3988.0,1832.0,4514.0,5427.0,3289.0,2819.0,2218.0,19400.0,1507.0,5769.0,1296.0,853.0,4389.0,19445.0,3619.0,6582.0
gRNA_CDK12_targ_1793,2311.0,186.0,2955.0,3936.0,3978.0,672.0,518.0,3329.0,402.0,2181.0,980.0,1457.0,1226.0,591.0,4841.0,5802.0
gRNA_CDK12_targ_1794,2614.0,1181.0,12558.0,2361.0,2441.0,325.0,1020.0,1132.0,513.0,3737.0,432.0,1087.0,5553.0,1705.0,2908.0,4983.0
gRNA_CDK12_targ_1795,5818.0,3142.0,8229.0,4222.0,5586.0,2503.0,6417.0,7660.0,676.0,620.0,571.0,1870.0,3369.0,1471.0,5915.0,6377.0
gRNA_CDK12_targ_1796,11216.0,7064.0,13429.0,4831.0,7604.0,12077.0,2426.0,4485.0,1087.0,4008.0,1321.0,830.0,4269.0,5437.0,4225.0,7772.0
gRNA_CDK12_targ_1797,19845.0,6433.0,10233.0,9625.0,10690.0,12452.0,1387.0,5017.0,4293.0,2438.0,5456.0,4344.0,11924.0,16406.0,8693.0,10202.0
gRNA_CDK12_targ_1798,7107.0,8531.0,12116.0,9873.0,18127.0,3710.0,7843.0,15434.0,6393.0,13832.0,4868.0,5081.0,45414.0,18014.0,18063.0,7194.0
gRNA_CDK12_targ_1799,5850.0,1432.0,4804.0,3002.0,1685.0,3009.0,1060.0,5270.0,651.0,6420.0,1295.0,3262.0,2036.0,782.0,5345.0,9765.0
gRNA_CDK12_targ_1800,3680.0,657.0,1063.0,2902.0,891.0,1559.0,574.0,3582.0,1062.0,6602.0,2252.0,4978.0,2437.0,1036.0,7324.0,5684.0
gRNA_CDK12_targ_1801,2856.0,1781.0,3561.0,1618.0,2289.0,1428.0,795.0,1046.0,2495.0,4223.0,1576.0,2205.0,2446.0,2633.0,5629.0,8577.0
gRNA_CDK12_targ_1802,87.0,191.0,265.0,42.0,1213.0,8.0,42.0,148.0,3470.0,52.0,5.0,6.0,73.0,298.0,78.0,1064.0
gRNA_CDK12_targ_1803,1510.0,482.0,6546.0,1163.0,662.0,1403.0,2037.0,1651.0,1224.0,715.0,523.0,678.0,798.0,1310.0,1813.0,7077.0
gRNA_CDK12_targ_1804,3336.0,1400.0,189.0,3016.0,716.0,1194.0,347.0,1594.0,962.0,94.0,402.0,642.0,1006.0,9871.0,4929.0,5053.0
gRNA_CDK12_targ_1805,4519.0,1720.0,8693.0,691.0,2132.0,841.0,519.0,1036.0,2359.0,2209.0,66.0,601.0,3591.0,312.0,2257.0,8208.0
gRNA_CDK12_targ_1806,2851.0,1292.0,3130.0,1379.0,1189.0,1918.0,1332.0,1922.0,2537.0,1233.0,1914.0,5559.0,699.0,1160.0,4112.0,7003.0
gRNA_CDK12_targ_1807,5463.0,2864.0,6148.0,3534.0,6538.0,2215.0,2433.0,3122.0,1638.0,7221.0,7729.0,2784.0,5586.0,10046.0,8393.0,8965.0
gRNA_CDK12_targ_1808,3309.0,518.0,2301.0,3844.0,1802.0,2811.0,1552.0,876.0,324.0,2861.0,2293.0,1568.0,1892.0,4300.0,466.0,4535.0
gRNA_CDK12_targ_1809,16651.0,9402.0,7729.0,13090.0,20182.0,7577.0,5431.0,8308.0,8776.0,3274.0,3983.0,5802.0,10033.0,3356.0,11732.0,15489.0
gRNA_CDK12_targ_1810,8953.0,5253.0,12392.0,7578.0,9567.0,10805.0,3049.0,7099.0,2688.0,4766.0,3297.0,4616.0,1860.0,5890.0,5372.0,9851.0
gRNA_CDK12_targ_1811,14147.0,4364.0,15778.0,5561.0,11707.0,3931.0,4117.0,7796.0,2909.0,3397.0,4368.0,5036.0,3945.0,1932.0,6049.0,11371.0
gRNA_CDK12_targ_1812,7469.0,9965.0,13234.0,18271.0,8870.0,3863.0,5965.0,8303.0,8558.0,5937.0,3578.0,4712.0,9256.0,14348.0,10484.0,8111.0
gRNA_CDK12_targ_1813,5806.0,2917.0,3120.0,3280.0,3554.0,2759.0,5804.0,2863.0,9739.0,4418.0,2607.0,9666.0,1420.0,6286.0,10480.0,9759.0
gRNA_CDK12_targ_1814,5989.0,6040.0,6266.0,3992.0,4107.0,903.0,3766.0,5447.0,1539.0,7891.0,5018.0,4875.0,3462.0,20675.0,6044.0,8942.0
gRNA_CDK12_targ_1815,9246.0,2037.0,4182.0,1691.0,5663.0,2063.0,2083.0,5659.0,5061.0,6496.0,1302.0,1731.0,2825.0,950.0,4023.0,13646.0
