gRNA_id,ABE_T0_REP1,ABE_T0_REP2,ABE_T0_REP3,ABE_DMSO_REP1,ABE_DMSO_REP2,ABE_DMSO_REP3,ABE_RIBO_REP1,ABE_RIBO_REP2,ABE_RIBO_REP3,ABE_ABEMA_REP1,ABE_ABEMA_REP2,ABE_ABEMA_REP3,ABE_ATIRMO_REP1,ABE_ATIRMO_REP2,ABE_ATIRMO_REP3,ABE_PALBO_REP1,ABE_PALBO_REP2,ABE_PALBO_REP3,ABE_TAGTO_REP1,ABE_TAGTO_REP2,ABE_TAGTO_REP3,ABE_INX_REP1,ABE_INX_REP2,ABE_INX_REP3,PLASMID_LIBRARY
gRNA_CDK2_targ_6973,1974.0,1952.0,1729.0,1938.0,288.0,2316.0,781.0,342.0,1135.0,69.0,84.0,464.0,547.0,386.0,1096.0,154.0,221.0,12.0,558.0,816.0,10103.0,932.0,48.0,106.0,7879.0
gRNA_CDK2_targ_6974,682.0,493.0,447.0,559.0,159.0,722.0,203.0,48.0,29.0,116.0,5.0,16.0,191.0,254.0,54.0,91.0,11.0,6.0,252.0,353.0,1312.0,89.0,3.0,32.0,2603.0
gRNA_CDK2_targ_6975,1148.0,1149.0,964.0,1150.0,349.0,682.0,231.0,69.0,1415.0,224.0,61.0,428.0,400.0,771.0,632.0,1030.0,668.0,18.0,118.0,160.0,1068.0,88.0,37.0,299.0,3796.0
gRNA_CDK2_targ_6976,365.0,549.0,675.0,431.0,116.0,866.0,181.0,93.0,1059.0,158.0,99.0,138.0,241.0,403.0,330.0,13.0,587.0,9.0,125.0,326.0,858.0,99.0,7.0,44.0,3320.0
gRNA_CDK2_targ_6977,1850.0,927.0,1083.0,2193.0,545.0,474.0,833.0,1263.0,1983.0,823.0,418.0,1490.0,643.0,1919.0,4110.0,431.0,582.0,16.0,55.0,674.0,1851.0,128.0,42.0,619.0,5012.0
gRNA_CDK2_targ_6978,710.0,1528.0,1816.0,256.0,331.0,760.0,472.0,218.0,3357.0,954.0,2093.0,853.0,2105.0,1302.0,1410.0,346.0,710.0,9.0,28.0,246.0,1257.0,83.0,32.0,1117.0,4602.0
gRNA_CDK2_targ_6979,698.0,970.0,526.0,821.0,478.0,2192.0,485.0,1202.0,237.0,761.0,1555.0,1538.0,812.0,1675.0,2525.0,816.0,474.0,15.0,116.0,515.0,2984.0,162.0,7.0,545.0,4484.0
gRNA_CDK2_targ_6980,728.0,653.0,1044.0,656.0,128.0,772.0,349.0,225.0,1648.0,782.0,924.0,1520.0,1732.0,446.0,1487.0,191.0,906.0,15.0,396.0,231.0,192.0,17.0,10.0,148.0,4990.0
gRNA_CDK2_targ_6981,374.0,776.0,1076.0,784.0,148.0,1164.0,467.0,483.0,2291.0,612.0,785.0,397.0,490.0,1334.0,2267.0,154.0,872.0,10.0,230.0,921.0,3537.0,329.0,21.0,166.0,4057.0
gRNA_CDK2_targ_6982,907.0,1062.0,827.0,2023.0,151.0,908.0,600.0,471.0,7026.0,1160.0,2536.0,2415.0,1657.0,2477.0,4966.0,3285.0,1917.0,39.0,531.0,339.0,8332.0,838.0,52.0,908.0,4769.0
gRNA_CDK2_targ_6983,915.0,758.0,1108.0,1938.0,803.0,890.0,449.0,530.0,4212.0,716.0,865.0,1014.0,294.0,2185.0,2937.0,432.0,3205.0,50.0,207.0,1298.0,2201.0,169.0,14.0,773.0,4924.0
gRNA_CDK2_targ_6984,2226.0,1529.0,1607.0,2765.0,1121.0,3814.0,667.0,692.0,4072.0,2367.0,2347.0,3318.0,3090.0,1324.0,1941.0,2612.0,3948.0,108.0,1684.0,3043.0,5626.0,384.0,41.0,1255.0,4001.0
gRNA_CDK2_targ_6985,1858.0,2481.0,1657.0,3713.0,658.0,1783.0,2490.0,5553.0,27722.0,11394.0,20192.0,9963.0,8635.0,3992.0,5949.0,8269.0,10068.0,203.0,4718.0,8287.0,3889.0,711.0,213.0,8563.0,6101.0
gRNA_CDK2_targ_6986,2020.0,1681.0,1473.0,1550.0,1236.0,1640.0,1957.0,1659.0,9879.0,9388.0,13844.0,5311.0,5289.0,1918.0,3408.0,3019.0,9344.0,170.0,1182.0,8299.0,11274.0,895.0,478.0,2377.0,3515.0
gRNA_CDK2_targ_6987,2328.0,1866.0,1510.0,1840.0,574.0,1997.0,784.0,789.0,6536.0,3577.0,7140.0,3761.0,2958.0,3815.0,5055.0,708.0,1710.0,43.0,1096.0,2551.0,2649.0,280.0,32.0,1479.0,4101.0
gRNA_CDK2_targ_6988,2616.0,2893.0,1995.0,5532.0,1399.0,5048.0,4297.0,4076.0,17336.0,7446.0,10185.0,8878.0,10994.0,9366.0,7910.0,6893.0,13755.0,243.0,2388.0,3043.0,7267.0,725.0,225.0,2292.0,3623.0
gRNA_CDK2_targ_6989,1093.0,1731.0,1539.0,2975.0,518.0,3055.0,3700.0,1979.0,4867.0,9865.0,11284.0,8833.0,7809.0,7510.0,4018.0,7952.0,7527.0,145.0,1641.0,1782.0,3099.0,256.0,164.0,3611.0,3459.0
gRNA_CDK2_targ_6990,1115.0,687.0,894.0,1251.0,459.0,2962.0,607.0,557.0,4553.0,1505.0,1287.0,1299.0,2651.0,435.0,2477.0,285.0,438.0,22.0,581.0,452.0,3634.0,304.0,35.0,1025.0,4900.0
gRNA_CDK2_targ_6991,2163.0,2251.0,2392.0,2957.0,1441.0,1477.0,1816.0,1136.0,6982.0,2304.0,6125.0,2577.0,3510.0,6784.0,3184.0,3884.0,5657.0,103.0,3361.0,2611.0,7437.0,703.0,63.0,2297.0,7324.0
gRNA_CDK2_targ_6992,1617.0,1505.0,1599.0,1270.0,446.0,2619.0,917.0,360.0,3726.0,851.0,1807.0,916.0,3305.0,2064.0,2010.0,298.0,1316.0,26.0,522.0,2148.0,3424.0,373.0,51.0,721.0,7460.0
gRNA_CDK2_targ_6993,2468.0,1257.0,1717.0,1630.0,429.0,7187.0,1267.0,488.0,5564.0,2229.0,1185.0,1260.0,3279.0,2219.0,4838.0,2372.0,1683.0,54.0,548.0,46.0,2197.0,229.0,26.0,1265.0,4683.0
gRNA_CDK2_targ_6994,2657.0,3098.0,3743.0,4041.0,429.0,2700.0,3384.0,1472.0,18524.0,4167.0,3502.0,2747.0,5037.0,7928.0,7523.0,4558.0,5361.0,136.0,1032.0,9009.0,3159.0,330.0,34.0,2768.0,8266.0
gRNA_CDK2_targ_6995,3648.0,2812.0,2505.0,3400.0,636.0,703.0,3262.0,1780.0,8501.0,5089.0,14038.0,3278.0,5512.0,7162.0,7840.0,3122.0,13428.0,200.0,1369.0,11171.0,5667.0,509.0,135.0,2508.0,6241.0
gRNA_CDK2_targ_6996,2358.0,2460.0,2259.0,2834.0,790.0,2764.0,1647.0,2305.0,8004.0,4008.0,7681.0,8510.0,5881.0,6603.0,6306.0,8528.0,7079.0,143.0,3643.0,10236.0,5422.0,620.0,60.0,883.0,5533.0
gRNA_CDK2_targ_6997,1665.0,1924.0,1347.0,1159.0,56.0,453.0,723.0,808.0,2492.0,1416.0,3512.0,1409.0,2511.0,4456.0,3589.0,810.0,3837.0,118.0,5676.0,7627.0,8794.0,852.0,61.0,1275.0,3589.0
gRNA_CDK2_targ_6998,1421.0,1430.0,1052.0,1601.0,265.0,3457.0,920.0,869.0,5756.0,2397.0,1672.0,2332.0,2178.0,2774.0,3371.0,4075.0,2484.0,45.0,446.0,976.0,2182.0,299.0,35.0,1391.0,6819.0
gRNA_CDK2_targ_6999,328.0,892.0,443.0,363.0,116.0,78.0,229.0,236.0,1833.0,395.0,1336.0,847.0,495.0,3722.0,1551.0,655.0,1352.0,31.0,338.0,3006.0,1885.0,125.0,12.0,960.0,2994.0
gRNA_CDK2_targ_7000,1966.0,2260.0,1098.0,2765.0,546.0,2745.0,1070.0,834.0,4232.0,1950.0,3201.0,2794.0,1947.0,1966.0,3704.0,2151.0,3617.0,56.0,620.0,720.0,1844.0,155.0,26.0,860.0,11018.0
gRNA_CDK2_targ_7001,2352.0,1977.0,1258.0,1924.0,557.0,763.0,1230.0,1155.0,2570.0,2703.0,3428.0,1246.0,4978.0,1763.0,3854.0,2830.0,4324.0,96.0,3740.0,4912.0,3136.0,378.0,12.0,2689.0,10905.0
gRNA_CDK2_targ_7002,1420.0,1945.0,691.0,1417.0,276.0,720.0,258.0,411.0,4448.0,3598.0,1108.0,1003.0,3456.0,3098.0,2786.0,973.0,3430.0,51.0,1002.0,690.0,6345.0,526.0,34.0,666.0,4939.0
gRNA_CDK2_targ_7003,1279.0,1001.0,962.0,2466.0,411.0,288.0,628.0,1779.0,2780.0,5478.0,2767.0,3629.0,8268.0,3355.0,1641.0,984.0,4912.0,70.0,2362.0,2791.0,5700.0,590.0,27.0,699.0,4943.0
gRNA_CDK2_targ_7004,1825.0,2632.0,1389.0,2248.0,255.0,2305.0,2363.0,1121.0,8579.0,4301.0,4030.0,1349.0,2862.0,3360.0,2972.0,4542.0,3603.0,85.0,1521.0,853.0,2072.0,213.0,97.0,5027.0,4654.0
gRNA_CDK2_targ_7005,681.0,1703.0,551.0,901.0,149.0,2264.0,287.0,301.0,1223.0,1243.0,757.0,1217.0,552.0,4887.0,2648.0,496.0,401.0,21.0,53.0,1023.0,1420.0,112.0,4.0,689.0,2589.0
gRNA_CDK2_targ_7006,616.0,765.0,702.0,1875.0,279.0,1849.0,990.0,536.0,13570.0,1409.0,1611.0,1013.0,2054.0,2240.0,3630.0,805.0,1080.0,19.0,740.0,1606.0,158.0,45.0,12.0,376.0,3944.0
gRNA_CDK2_targ_7007,720.0,1351.0,513.0,1096.0,304.0,242.0,262.0,90.0,259.0,100.0,810.0,177.0,820.0,842.0,782.0,42.0,294.0,18.0,1181.0,3582.0,11161.0,878.0,36.0,537.0,2778.0
gRNA_CDK2_targ_7008,1635.0,1633.0,1449.0,1094.0,59.0,244.0,497.0,254.0,542.0,357.0,491.0,898.0,284.0,922.0,721.0,627.0,202.0,24.0,617.0,7081.0,6740.0,522.0,31.0,248.0,2956.0
gRNA_CDK2_targ_7009,880.0,1093.0,1068.0,1788.0,318.0,495.0,602.0,229.0,6884.0,602.0,1538.0,970.0,924.0,2414.0,2270.0,2267.0,2518.0,44.0,381.0,2879.0,2336.0,226.0,29.0,1301.0,4980.0
gRNA_CDK2_targ_7010,3110.0,2890.0,2160.0,2301.0,824.0,1414.0,1777.0,3185.0,20263.0,7936.0,8920.0,8207.0,6066.0,5605.0,6548.0,2827.0,4297.0,84.0,1479.0,5189.0,5041.0,515.0,260.0,2530.0,5505.0
gRNA_CDK2_targ_7011,1680.0,1017.0,784.0,1728.0,511.0,1992.0,3588.0,2027.0,9817.0,5484.0,7644.0,3280.0,7284.0,4603.0,3113.0,4155.0,2333.0,61.0,2682.0,2897.0,2076.0,294.0,291.0,11312.0,3685.0
gRNA_CDK2_targ_7012,2291.0,2310.0,1357.0,2755.0,1363.0,2570.0,7734.0,4173.0,25263.0,7343.0,16591.0,4710.0,24988.0,6691.0,6186.0,10768.0,8396.0,163.0,6204.0,7921.0,4566.0,479.0,264.0,5579.0,6520.0
gRNA_CDK2_targ_7013,1270.0,668.0,798.0,2061.0,121.0,3881.0,1418.0,2249.0,11016.0,3570.0,4241.0,1913.0,3550.0,4804.0,4697.0,7311.0,4760.0,80.0,1199.0,1677.0,3952.0,638.0,141.0,1918.0,2902.0
gRNA_CDK2_targ_7014,357.0,359.0,171.0,597.0,304.0,176.0,1305.0,531.0,4035.0,2185.0,1141.0,238.0,149.0,297.0,759.0,735.0,406.0,18.0,790.0,745.0,3819.0,562.0,32.0,247.0,718.0
gRNA_CDK2_targ_7015,1316.0,1520.0,1130.0,1595.0,825.0,8094.0,815.0,1081.0,4102.0,2265.0,2729.0,2484.0,2457.0,6486.0,4511.0,3605.0,2117.0,120.0,3863.0,12334.0,12234.0,1149.0,38.0,569.0,5783.0
gRNA_CDK2_targ_7016,1038.0,1721.0,989.0,957.0,631.0,8602.0,579.0,373.0,6618.0,2906.0,3266.0,3207.0,2130.0,2172.0,2413.0,2440.0,1647.0,47.0,4227.0,3980.0,5825.0,440.0,512.0,1457.0,2814.0
gRNA_CDK2_targ_7017,1683.0,1625.0,1003.0,1225.0,371.0,598.0,705.0,246.0,4674.0,1027.0,892.0,4561.0,1050.0,1549.0,2336.0,1830.0,191.0,19.0,718.0,1137.0,2386.0,184.0,127.0,278.0,3626.0
gRNA_CDK2_targ_7018,1855.0,2557.0,1592.0,1144.0,977.0,849.0,1507.0,1950.0,11624.0,3720.0,6636.0,6521.0,8290.0,6265.0,2718.0,16667.0,3136.0,242.0,3497.0,56388.0,3426.0,530.0,368.0,8215.0,4133.0
gRNA_CDK2_targ_7019,1573.0,1117.0,1476.0,978.0,914.0,1804.0,1118.0,1034.0,8038.0,1111.0,3264.0,2726.0,2084.0,2155.0,945.0,2381.0,656.0,36.0,1006.0,3673.0,2236.0,253.0,41.0,1430.0,2933.0
gRNA_CDK2_targ_7020,2896.0,2375.0,1875.0,3067.0,819.0,3633.0,2832.0,972.0,13000.0,1356.0,5385.0,3227.0,2461.0,4002.0,5098.0,1903.0,2168.0,48.0,733.0,1895.0,5479.0,549.0,33.0,5778.0,3983.0
gRNA_CDK2_targ_7021,1690.0,1587.0,1677.0,1725.0,306.0,4323.0,2001.0,1698.0,6264.0,5951.0,4126.0,4674.0,6904.0,7889.0,8105.0,2465.0,6473.0,121.0,1848.0,6368.0,4747.0,625.0,1266.0,5409.0,5259.0
gRNA_CDK2_targ_7022,1020.0,1935.0,1013.0,1877.0,834.0,1994.0,2062.0,1054.0,8120.0,2686.0,2790.0,2586.0,5080.0,3181.0,6087.0,5591.0,3208.0,86.0,2412.0,6709.0,5645.0,494.0,69.0,3517.0,7129.0
gRNA_CDK2_targ_7023,498.0,453.0,968.0,2252.0,347.0,1245.0,156.0,110.0,1168.0,477.0,312.0,515.0,268.0,612.0,767.0,1136.0,270.0,17.0,314.0,2127.0,2845.0,249.0,13.0,487.0,4065.0
gRNA_CDK2_targ_7024,1489.0,1184.0,2132.0,2302.0,542.0,1878.0,651.0,299.0,5649.0,1261.0,2349.0,1141.0,3815.0,2388.0,3280.0,2826.0,2506.0,61.0,1161.0,1464.0,4813.0,323.0,46.0,502.0,5654.0
