gRNA_id,CBE_ABEMA_REP1,CBE_ABEMA_REP2,CBE_ABEMA_REP3,CBE_ATIRMO_REP1,CBE_ATIRMO_REP2,CBE_ATIRMO_REP3,CBE_PALBO_REP1,CBE_PALBO_REP2,CBE_PALBO_REP3,CBE_TAGTO_REP1,CBE_TAGTO_REP2,CBE_TAGTO_REP3,CBE_INX_REP1,CBE_INX_REP2,CBE_INX_REP3,PLASMID_LIBRARY,CBE_T0_REP1,CBE_T0_REP2,CBE_T0_REP3,CBE_DMSO_REP1,CBE_DMSO_REP2,CBE_DMSO_REP3,CBE_RIBO_REP1,CBE_RIBO_REP2,CBE_RIBO_REP3
gRNA_CDK2_targ_6973,1786.0,4056.0,2553.0,2193.0,2265.0,1048.0,1498.0,1292.0,2479.0,1253.0,3390.0,6876.0,4016.0,1928.0,3674.0,7879.0,3554.0,3371.0,2458.0,6281.0,3142.0,4652.0,1907.0,3262.0,2368.0
gRNA_CDK2_targ_6974,595.0,455.0,945.0,885.0,674.0,541.0,341.0,77.0,1266.0,274.0,332.0,461.0,582.0,432.0,970.0,2603.0,1418.0,582.0,452.0,1770.0,1072.0,2624.0,317.0,740.0,1719.0
gRNA_CDK2_targ_6975,1022.0,1933.0,787.0,2339.0,1213.0,380.0,1366.0,611.0,1704.0,412.0,1040.0,330.0,2881.0,4374.0,1278.0,3796.0,2149.0,1323.0,1850.0,2460.0,1786.0,1761.0,1348.0,945.0,730.0
gRNA_CDK2_targ_6976,307.0,899.0,710.0,669.0,1091.0,151.0,371.0,257.0,407.0,716.0,996.0,569.0,3769.0,1259.0,137.0,3320.0,739.0,526.0,599.0,2046.0,1332.0,1287.0,204.0,324.0,350.0
gRNA_CDK2_targ_6977,594.0,940.0,1125.0,1438.0,458.0,465.0,961.0,333.0,1102.0,602.0,2224.0,3602.0,3959.0,1179.0,377.0,5012.0,1810.0,1615.0,1270.0,3662.0,2177.0,2420.0,1202.0,1082.0,1145.0
gRNA_CDK2_targ_6978,427.0,2576.0,2008.0,1624.0,990.0,1101.0,1254.0,316.0,2212.0,444.0,2013.0,3445.0,3880.0,1443.0,3047.0,4602.0,1898.0,1754.0,1044.0,2202.0,2437.0,3171.0,1039.0,1959.0,1304.0
gRNA_CDK2_targ_6979,1402.0,1289.0,1579.0,1947.0,1148.0,431.0,1170.0,398.0,1322.0,746.0,1418.0,3017.0,1571.0,909.0,1876.0,4484.0,1949.0,2793.0,880.0,2279.0,1419.0,2406.0,1533.0,1647.0,769.0
gRNA_CDK2_targ_6980,801.0,783.0,983.0,1249.0,782.0,153.0,698.0,463.0,719.0,626.0,1064.0,1193.0,1907.0,2414.0,1793.0,4990.0,1439.0,1109.0,1246.0,3272.0,1933.0,2019.0,1012.0,1632.0,747.0
gRNA_CDK2_targ_6981,425.0,1210.0,462.0,1508.0,796.0,151.0,336.0,110.0,391.0,1146.0,1353.0,2081.0,1552.0,735.0,1654.0,4057.0,1452.0,873.0,956.0,2083.0,1075.0,2087.0,399.0,756.0,516.0
gRNA_CDK2_targ_6982,1040.0,2230.0,979.0,1851.0,1034.0,878.0,724.0,416.0,2057.0,298.0,1129.0,1965.0,1789.0,2333.0,1177.0,4769.0,2154.0,2022.0,1755.0,2647.0,2070.0,2211.0,753.0,1749.0,1222.0
gRNA_CDK2_targ_6983,941.0,1303.0,712.0,1315.0,1114.0,355.0,469.0,389.0,1073.0,235.0,1644.0,1652.0,4067.0,520.0,1573.0,4924.0,1992.0,1314.0,1405.0,3692.0,922.0,1868.0,706.0,2009.0,965.0
gRNA_CDK2_targ_6984,1463.0,3522.0,2829.0,2446.0,4141.0,2144.0,1982.0,1288.0,1893.0,475.0,2193.0,1341.0,5758.0,1479.0,3070.0,4001.0,2348.0,3719.0,1766.0,4040.0,4440.0,4350.0,1752.0,3829.0,1568.0
gRNA_CDK2_targ_6985,4494.0,8847.0,7999.0,7446.0,5342.0,6657.0,5332.0,8227.0,4169.0,2789.0,4100.0,8326.0,6004.0,4567.0,7061.0,6101.0,5114.0,7674.0,2992.0,7308.0,7680.0,6945.0,4066.0,9238.0,3241.0
gRNA_CDK2_targ_6986,1552.0,3136.0,2869.0,2758.0,4360.0,2120.0,3293.0,1275.0,1911.0,2498.0,3279.0,8615.0,3777.0,3625.0,2890.0,3515.0,3609.0,4257.0,2543.0,3685.0,6387.0,6024.0,2054.0,5985.0,1030.0
