gRNA_id,T0_REP1,T0_REP2,T0_REP3,DMSO_REP1,DMSO_REP2,DMSO_REP3,KB_2000_REP1,KB_2000_REP2,KB_2000_REP3,KB_4000_REP1,KB_4000_REP2,KB_4000_REP3,Plasmid
gRNA_CDK7_targ_1,14129.0,18088.0,33649.0,23830.0,33777.0,17892.0,14129.0,16612.0,16055.0,30988.0,65639.0,20987.0,17151.0
gRNA_CDK7_targ_2,8465.0,15745.0,20182.0,7170.0,14285.0,9464.0,5399.0,4993.0,4036.0,5343.0,33445.0,17079.0,15586.0
gRNA_CDK7_targ_3,9265.0,20554.0,12677.0,14839.0,10846.0,15459.0,8786.0,6591.0,827.0,15651.0,7917.0,7547.0,8156.0
gRNA_CDK7_targ_4,9513.0,17801.0,30916.0,25566.0,26675.0,12917.0,19176.0,17576.0,6679.0,10123.0,77770.0,16061.0,13025.0
gRNA_CDK7_targ_5,4974.0,17020.0,18126.0,5205.0,15145.0,9334.0,3853.0,2611.0,5044.0,2715.0,11553.0,4832.0,5499.0
gRNA_CDK7_targ_6,18285.0,21114.0,42661.0,20980.0,30463.0,17325.0,8488.0,14879.0,8747.0,6861.0,20069.0,60629.0,10716.0
gRNA_CDK7_targ_7,14454.0,7813.0,20183.0,11688.0,23999.0,11335.0,10538.0,7144.0,7050.0,28740.0,9861.0,14859.0,15054.0
gRNA_CDK7_targ_8,11093.0,13785.0,30932.0,8789.0,17264.0,11449.0,3463.0,5440.0,5794.0,5505.0,35845.0,8141.0,18669.0
gRNA_CDK7_targ_9,5191.0,6445.0,14027.0,8727.0,15313.0,14953.0,5359.0,3312.0,9345.0,13589.0,24596.0,17964.0,10844.0
gRNA_CDK7_targ_10,3611.0,4976.0,16499.0,3231.0,9265.0,2627.0,938.0,1885.0,1567.0,1956.0,3188.0,3345.0,8678.0
gRNA_CDK7_targ_11,11621.0,12475.0,31296.0,14665.0,22577.0,12280.0,6973.0,16129.0,12098.0,24341.0,21765.0,15708.0,13407.0
gRNA_CDK7_targ_12,8269.0,12509.0,31453.0,6890.0,23632.0,10501.0,7047.0,7499.0,11788.0,4283.0,53833.0,49376.0,15505.0
gRNA_CDK7_targ_13,11776.0,12636.0,27176.0,18885.0,30346.0,11479.0,4040.0,11285.0,17689.0,31173.0,23178.0,27556.0,21925.0
gRNA_CDK7_targ_14,6422.0,7121.0,9840.0,7908.0,6733.0,3554.0,344.0,2832.0,2186.0,10468.0,32414.0,958.0,9681.0
