gRNA_id,ABE_T0_REP1,ABE_T0_REP2,ABE_T0_REP3,ABE_DMSO_REP1,ABE_DMSO_REP2,ABE_DMSO_REP3,ABE_SY-5609_10nM_REP1,ABE_SY-5609_10nM_REP2,ABE_SY-5609_10nM_REP3,ABE_SY-5609_100nM_REP1,ABE_SY-5609_100nM_REP2,ABE_SY-5609_100nM_REP3,Plasmid
gRNA_CDK7_targ_1,23434.0,16174.0,17480.0,16331.0,17357.0,13632.0,2315.0,17346.0,18536.0,23485.0,27616.0,25848.0,17151.0
gRNA_CDK7_targ_2,11414.0,9821.0,8433.0,12733.0,11378.0,7424.0,440.0,6626.0,5410.0,6099.0,6970.0,8769.0,15586.0
gRNA_CDK7_targ_3,8726.0,8096.0,9673.0,4743.0,1664.0,3369.0,290.0,4959.0,2997.0,9029.0,7859.0,10107.0,8156.0
gRNA_CDK7_targ_4,9063.0,6545.0,7229.0,14973.0,8789.0,5396.0,419.0,6880.0,7626.0,7176.0,9405.0,5219.0,13025.0
gRNA_CDK7_targ_5,6037.0,9423.0,4603.0,12332.0,5673.0,5352.0,147.0,3974.0,8832.0,5258.0,5288.0,2591.0,5499.0
gRNA_CDK7_targ_6,30157.0,22952.0,16162.0,23706.0,17774.0,13872.0,1922.0,12676.0,20750.0,33322.0,32759.0,14519.0,10716.0
gRNA_CDK7_targ_7,19314.0,16700.0,14635.0,21657.0,19749.0,8517.0,780.0,23587.0,22130.0,11751.0,15887.0,8043.0,15054.0
gRNA_CDK7_targ_8,9124.0,7112.0,8070.0,16042.0,9920.0,4745.0,489.0,2309.0,7502.0,6494.0,5599.0,26273.0,18669.0
gRNA_CDK7_targ_9,9381.0,5481.0,3708.0,14336.0,5391.0,7142.0,520.0,7886.0,8944.0,5807.0,12199.0,5012.0,10844.0
gRNA_CDK7_targ_10,6663.0,3441.0,1464.0,10888.0,2505.0,1899.0,260.0,2624.0,576.0,887.0,4411.0,9028.0,8678.0
