gRNA_id,T0_REP1,T0_REP2,T0_REP3,DMSO_REP1,DMSO_REP2,DMSO_REP3,KI-CDK9d-32_100nM_REP1,KI-CDK9d-32_100nM_REP2,KI-CDK9d-32_100nM_REP3,KI-CDK9d-32_1000nM_REP1,KI-CDK9d-32_1000nM_REP2,KI-CDK9d-32_1000nM_REP3,KI-CDK9d-32N_1250nM_REP1,KI-CDK9d-32N_1250nM_REP2,KI-CDK9d-32N_1250nM_REP3,KI-CDK9d-32N_5000nM_REP1,KI-CDK9d-32N_5000nM_REP2,KI-CDK9d-32N_5000nM_REP3,KB-0742_1500nM_REP1,KB-0742_1500nM_REP2,KB-0742_1500nM_REP3,Senexin B_2000nM_REP1,Senexin B_2000nM_REP2,Senexin B_2000nM_REP3,Senexin B_15000nM_REP1,Senexin B_15000nM_REP2,Senexin B_15000nM_REP3,SEL120_4000nM_REP1,SEL120_4000nM_REP2,SEL120_4000nM_REP3,Plasmid
gRNA_CDK7_targ_1,808.6756767717441,625.0991174509196,575.504706071722,399.75809713165097,460.9560414969597,508.69398891473594,521.1630767009715,504.70176594000344,460.9177934183882,739.299177244944,495.79237508006327,509.2528726128916,523.8693810781638,528.1324425616352,519.5179873788002,245.0961855517223,184.4460034920379,515.8624606515367,520.9182028408677,745.1384779693733,511.95856268950627,482.9321067887585,571.368052352509,615.5703456251674,763.8115161023821,610.3375955409856,465.3744626056211,407.896618901396,391.1364791665215,405.91376709224454,645.0982215020773
gRNA_CDK7_targ_2,462.61036508131707,331.27499484293224,430.0273638373758,266.57802255833576,512.4353331767855,450.1622907493999,505.50568460421266,442.40603396637124,370.6648786030348,321.97910910381694,217.7604865228649,347.13377011441884,508.1329348330311,523.749320911162,413.05938340773463,192.23883512994462,501.4968191045464,264.29048156654176,302.0632174543135,178.41287773164865,394.6212463265656,381.2514217330445,214.119122372532,428.9080646324291,441.8144013178007,597.1846358129995,198.5545695442256,209.35191079206257,517.2183353714772,501.13811385694976,566.3912787860497
gRNA_CDK7_targ_3,217.15703304117886,165.19689892458442,189.76778861223835,108.56037905061581,229.4607072679814,189.09289630654737,210.41932252868486,161.8315512330667,203.88911337570224,224.52307759639586,215.69060454753514,171.02293337749015,139.77666958912016,147.44146905784157,186.30255694936483,128.88664362221675,106.6365682808527,108.01188232453589,124.3789718929526,55.41069295012381,218.6383787763183,217.40128361635436,113.1991775983816,121.65246025207627,201.35872929251587,220.98314481764325,138.0909972861608,48.91681214287925,265.9297239389628,251.67529790193183,235.1627056803615
gRNA_CDK7_targ_4,583.6439779609104,512.058065594707,567.0668168994993,328.4738781564336,576.9620739398293,199.28691678387875,572.1728875673803,478.2282952044094,670.8050236665542,745.4410223023816,1351.410361936001,994.9163751047502,487.0584391753337,532.9201600567675,536.4182907592068,457.4584620020285,322.3874088419345,301.7782676309008,392.2054688610526,156.32025230972428,587.3335776512849,615.735878794373,546.4258606782895,377.688205867059,489.8486904103221,705.6630001001906,529.7389104932384,552.070725278733,520.8197124707646,446.1984631355601,461.0541674818927
gRNA_CDK7_targ_5,297.24238391856755,293.1907622687199,258.72804750972136,261.68577413186205,454.1416559609225,398.41482804904695,240.99438741054445,253.74655548576948,199.0156434168254,296.435541580169,241.5084872505731,290.24175982251546,336.85251697669423,334.53333089227175,308.0645852412711,163.41966833836713,93.19978889961925,337.70803714127044,323.8403719407973,121.52934308672988,270.21318974955255,254.58531683340874,244.81720443311002,405.0139369701721,103.52163027303435,264.0657986205364,163.4466888782525,201.99096778834613,287.9755370233851,286.2644958640826,137.51875419055293
gRNA_CDK7_targ_6,588.1325374496137,658.9976643047557,734.8757614008929,1168.5937536920878,591.5274193272832,983.1841240268487,497.46123708993315,605.7661789071835,707.96523210299,606.6190542160593,1006.3410055326389,940.6839506598259,783.5515998998052,780.8025475512223,896.2483721814086,1645.7243501003024,987.8415252898294,910.5970832944425,859.7100539813405,1353.6609371134414,725.7444726914612,663.5073877692406,785.4871747250412,696.0859300615494,673.0485004206553,877.1212251257232,502.4327810863704,925.4043708944968,906.5036393935052,899.822979538485,315.7577132592511
gRNA_CDK7_targ_7,497.99386327296565,635.8662432184664,514.9145621362431,1075.9579403697505,570.4706450642678,561.8548340036269,505.99883081198465,490.3019701424001,545.0788707851456,600.9246283349913,1743.9757197947797,1288.9740624468443,618.3806258798139,615.5925776487702,615.4638042077231,643.716903560773,422.87736527818043,871.074336833036,748.9824326620047,170.69041046704805,589.9215609976121,544.4366459132535,543.7397784979888,407.1533934363848,667.7745186465257,507.1606793074215,1410.1665400832524,585.7303101048182,460.90895324897565,483.3287294723844,464.91483742535695
gRNA_CDK7_targ_8,389.9796977992016,306.3536423630608,414.5409568024128,225.47917444119875,314.7535612996125,382.6379471369899,365.26723176907046,346.52554748632843,288.9405362157159,365.4601181528291,376.2956403967781,392.2310953458057,402.4210429980806,406.2142280377031,330.2878188202311,89.37273400971861,430.1198846609729,430.95055845911014,385.70482573075896,1051.8080027450585,351.73466515885826,373.4258961729216,263.6197796952141,236.97128205467126,216.6122214895493,283.0570619012509,215.71842231425688,257.4991698027351,483.2913436323967,496.29694048795955,508.0303484728049
gRNA_CDK7_targ_9,355.9348927883942,320.342644639055,348.79997289031587,292.36631183472724,330.1908896703507,407.19546613784024,284.9768648162033,264.60178616396286,328.02201646286267,275.8949339377451,563.1859516531658,517.9254351573891,400.90910992746984,391.5476286688119,361.5600337367316,320.8756015834483,354.4069682184908,449.1698132639259,391.3387164436802,113.8864888867128,283.43039041115196,280.61925480793514,246.73583456189616,321.4480383641402,200.06391939587328,384.2543234818783,252.38665323205097,528.8502959851911,236.37823708686693,244.16162158716446,301.9776577676158
gRNA_CDK7_targ_10,263.64380996804067,210.82638075789606,235.48149340472216,149.08483362780245,276.8707450258134,321.77416803056593,176.39223419242177,149.35911271914244,231.77098477504555,252.30374100189195,385.64349447891254,345.16798927099944,285.8479176762934,282.5427648535817,295.6887725296347,558.7086907645765,356.02700544885226,414.17803331157035,349.84294446197214,1105.8652735972626,178.89434881486537,196.86567242426727,325.0159438163702,438.16492082782474,173.88349490034386,309.49719523199843,172.02861526326814,104.69268481194881,223.42001107541262,232.33251018782218,264.5263413087542
