gRNA_id,Plasmid,T0_REP1,T0_REP2,DMSO_REP1,DMSO_REP2,DMSO_REP3,KI-CDK9d-32_100nM_REP1,KI-CDK9d-32_100nM_REP2,KI-CDK9d-32_100nM_REP3,KI-CDK9d-32_1000nM_REP1,KI-CDK9d-32_1000nM_REP2,KI-CDK9d-32_1000nM_REP3,KI-CDK9d-32N_1250nM_REP1,KI-CDK9d-32N_1250nM_REP2,KI-CDK9d-32N_1250nM_REP3,KI-CDK9d-32N_5000nM_REP1,KI-CDK9d-32N_5000nM_REP2,KI-CDK9d-32N_5000nM_REP3,KB-0742_1500nM_REP1,KB-0742_1500nM_REP2,KB-0742_1500nM_REP3, Senexin B_2000nM_REP1, Senexin B_2000nM_REP2, Senexin B_2000nM_REP3, Senexin B_15000nM_REP1, Senexin B_15000nM_REP2, Senexin B_15000nM_REP3, SEL120_4000nM_REP1, SEL120_4000nM_REP2, SEL120_4000nM_REP3,T0_REP3
gRNA_CDK7_targ_1,645.0767747874477,447.083654017587,213.52700450882546,608.6644591794163,583.4222777606175,1013.3041207655415,518.8453841276124,726.3920179412734,917.3003184161082,549.2064458935564,630.6506673409159,854.8073951833446,662.5966673261273,748.610069831218,728.0247576070869,2284.3863977477836,411.2337857467573,2031.6795256187138,686.3433787779591,632.5278819160499,538.0166816809566,796.1217769475718,386.79701316459483,535.5889920513298,871.1923341831294,649.4378212814578,670.2557656898778,679.571961323194,882.5933253521,645.3417216772715,659.6516086138804
gRNA_CDK7_targ_2,566.3758866565194,309.5529723236179,432.5558643257886,472.87850445221466,457.6336905574007,435.24032600985436,383.69142188999405,288.6383248878479,265.5196541473669,566.5893452784813,195.1001462446153,312.27926143784106,442.3174566970117,347.0049646300845,398.11210124043566,443.1341457555714,208.2586516683257,153.058261553438,554.5248511401642,467.8548829775739,280.08172658228693,528.1099005205226,386.5012762392587,473.77422516023626,572.155459901293,424.97356782887937,525.3965716976444,706.8013398642707,621.5174748610042,514.2527237270036,307.5148493293721
gRNA_CDK7_targ_3,235.1727935340951,225.75411679475545,173.63855352482688,216.84264442539953,222.65000963908608,187.4012066017091,485.12199663286947,331.03811574663285,250.49023976166686,94.80522679617324,99.26627400395498,246.0911673905355,107.06129329669174,240.67593769952612,281.29249516042927,95.65259670778701,68.75911085737181,766.3650868602278,383.4294344844433,310.57220320969907,386.3862297036496,264.6874700564393,205.9404407340513,182.52555957218343,297.8755660321982,292.02365595553937,298.4345499637066,277.3909104578654,347.58038709272387,281.8775580234488,197.2443730546983
gRNA_CDK7_targ_4,461.0468784812921,207.45244674725188,258.0645232282004,813.5681792577631,741.0604658977456,1074.0150142079597,831.704671665714,553.9284538668126,517.5786206630968,445.49139127194434,466.5028874396391,563.1062038709437,943.1361677595296,490.93815962145015,588.6561705131154,353.3122614919367,926.670279516426,227.86487170174212,738.4566886367056,806.3791804696274,521.9311318665399,910.9461845979312,735.1213408604655,957.2428404062596,890.3011335635398,705.6671850321253,839.2809460323963,1072.2294364426289,957.6535406477589,655.9881762069341,269.0456257535921
gRNA_CDK7_targ_5,137.53635337166523,276.83789912515005,202.27571040368377,343.5585475691655,338.8044640559174,242.43410281569973,311.7915972776503,303.2267839578776,407.2111029014411,134.78298367306078,145.19363211104798,335.5071104561459,319.5581047118083,273.2785661660388,257.46585366022106,164.8983304453638,135.6836669960304,115.25228931939675,389.8263219466462,404.4411765459639,349.68586553079814,149.95132098229087,300.30740509129936,111.64184711696656,154.55957067912038,252.56274955826606,325.12993233934,164.44935020374416,322.6935296495843,195.11257484973564,361.5748607208021
gRNA_CDK7_targ_6,315.76160128721176,950.9829320837428,837.4924150047258,623.5825975502254,579.8806813892727,942.4929437917857,895.5837987117405,688.5885908990731,972.205754808312,358.57689434731986,417.872133253491,778.8658596793238,491.2239723055328,612.1791842312942,549.186820897553,447.4228516029231,328.45867683841647,367.3666722055772,780.9320213857329,847.4431313449838,637.4939845705275,446.2647808476301,706.569284978016,608.9223622163961,387.8769553791587,637.9135532934108,517.4665733479045,576.7799395400489,743.9172160667517,438.7860188296671,1533.0941352055818
gRNA_CDK7_targ_7,464.90725144009525,593.6646121086732,192.17980591325104,456.7907487239309,455.8257427594415,819.6243595362441,373.17076664066883,656.2808162462676,619.8494842102339,288.6085405416675,170.7695815331196,612.6063287206321,736.2362872859877,683.5900551053886,617.6625166872818,378.89993345759655,509.27238991479226,792.0910442975933,520.4081180084152,422.9169744724668,426.51684570027925,368.1559409009983,604.6744716122125,500.4598580845533,410.1529590767642,390.9187084934146,459.11955962805024,330.59774208985436,483.85863858063095,577.4796271582654,653.0210436807879
gRNA_CDK7_targ_8,508.0194457975318,520.9272055096205,157.98577517317503,311.4271726166536,328.947433595811,373.1372313239274,556.7874502124314,306.79063126493963,184.80613244638536,53.546318205823894,170.86070724364956,247.21873287686097,360.89543752315234,398.68754043779495,381.88235992869966,132.56437961870128,323.8355989472591,383.6970625788613,384.9220415589573,286.2556691644952,392.98030602508743,353.3579196229735,389.9156934681392,348.7374412043059,196.26109418885576,310.15171795920884,475.7999009843999,306.4087539277484,361.8585403411236,416.22567470728677,241.56760891374918
gRNA_CDK7_targ_9,301.9826058357173,194.54742299580707,123.62668877385487,365.16336630440526,353.51571052150325,341.307689168415,394.00374733240193,694.0176293201115,327.35785071075213,64.69816152982092,146.92502061111696,334.49230151845296,341.03965870661375,315.18961554415523,238.50813455353364,430.9426560996167,91.28744280317025,139.3675781172053,380.1883448369271,234.8214317110371,212.50909599543078,215.93931646262803,376.25802455261726,312.878621962255,200.69518023292886,301.73511774321946,195.2420283349779,355.278558107382,202.8006397775253,235.67049686749803,620.3460975690617
gRNA_CDK7_targ_10,264.534170344846,78.30165060616908,195.31586343888955,176.39153845839797,186.59011931266681,387.4141185857911,272.00060415644003,150.18119165927834,118.76779650921861,67.87192372907857,82.49914326644483,145.9069739305168,248.5037338059133,189.59539906520297,360.81822758793584,171.50004618791633,197.03117678980075,254.17245948116962,262.2297400339052,235.53662388883723,194.75837539277217,197.11082020430624,272.4274785846138,246.216660028268,364.3340699546752,281.2439333712145,208.84607722806632,151.97480732531986,99.72908566630365,273.11414987318227,283.32224754646694
