gRNA_id,CBE_T0_REP1,CBE_T0_REP2,CBE_T0_REP3,CBE_DMSO_REP1,CBE_DMSO_REP2,CBE_DMSO_REP3,CBE_SY-5609_10nM_REP1,CBE_SY-5609_10nM_REP2,CBE_SY-5609_10nM_REP3,CBE_SY-5609_100nM_REP1,CBE_SY-5609_100nM_REP2,CBE_SY-5609_100nM_REP3,Plasmid
gRNA_CDK7_targ_1,506.8120486436375,592.0203790585141,677.992609485541,633.5237991153425,780.5550012506238,737.1173400613278,588.5053687372111,173.78190261580139,207.07879400228936,46.69073864334119,279.3248350043764,234.73260203012725,645.0767747874477
gRNA_CDK7_targ_2,633.714234639069,490.2194132563243,365.1000391971161,441.141246615851,246.69595468280679,464.580344144481,81.67141493017074,88.35283902706621,79.21806213510398,37.36640474267394,69.7565407127479,182.74076814938147,566.3758866565194
gRNA_CDK7_targ_3,230.24495270740596,174.584459608938,81.49397194951823,372.34091386742585,275.4122638713078,449.70004824717114,91.3306303497967,393.5219004028688,4.5168193322647,11.396408100815528,187.33381176187532,97.14050582547442,235.1727935340951
gRNA_CDK7_targ_4,889.9845683906799,621.4375407508627,512.8408861522167,558.8412165833926,683.0838473010973,684.0034368231654,632.7571401921641,367.8474973350244,163.82156270483125,29.699730202125313,191.7143366781849,154.1938500139252,461.0468784812921
gRNA_CDK7_targ_5,212.37621441029142,100.32211392363425,611.2676901863368,136.28128236783533,326.8801762352754,385.69726965827135,144.10292922775318,759.4506701064885,57.15513693519563,20.030050601433352,10.32078218918392,786.3562414050493,137.53635337166523
gRNA_CDK7_targ_6,609.5478093837357,580.9489744541928,968.7190206855049,488.06180914144494,620.11512454074,467.7664780895521,840.508801920786,43.30842368027858,247.03527271078477,167.28545709197095,92.22332380624474,229.5496154750373,315.76160128721176
gRNA_CDK7_targ_7,300.6955833183226,634.2276110518839,517.8226108962749,528.8802246953449,563.7897270404089,614.9588638596476,75.82091453373063,280.77381006222794,34.04986881245697,65.96102870472018,44.90038039217313,81.91548281989778,464.90725144009525
gRNA_CDK7_targ_8,247.05143055373662,524.0331616146489,346.80855490958913,288.28521368976544,222.33709539604342,334.71912653713457,444.44170461278975,233.44519515424423,562.1702830464834,17.957976401285073,7.400432244977537,78.67611622296657,508.0194457975318
gRNA_CDK7_targ_9,227.0961092282966,295.33071704451527,185.80826886297996,240.1552166292411,318.09384282685346,295.4351453682366,15.470450712734264,50.435126311210496,334.24463058758784,2.486489040177933,34.181368665142884,45.79654526411487,301.9826058357173
gRNA_CDK7_targ_10,172.2000066467154,222.9868819043647,61.41611161740474,130.3440582872681,262.6256485858807,129.19598084958437,38.04788512852666,62.861171924117436,305.58020020975414,8.357365940598052,36.13933055955398,27.85855273360834,264.534170344846
gRNA_CDK7_targ_11,431.9985626098586,312.1576532842962,396.77676370605195,614.0079236653298,496.4992711807871,715.6547015082667,94.23624799635085,472.9206771500463,4057.840998578418,74.1111872253034,106.55958716871244,45.63457693426832,445.9716994085937
gRNA_CDK7_targ_12,166.20582267443493,403.4467800578343,338.83276327389996,455.1322052131136,248.76752922625587,658.9345147938151,140.52980482455823,347.4724372491549,386.1880529086319,15.885902201136794,37.43357655755454,116.69818165444656,499.3124732116181
gRNA_CDK7_targ_13,535.0378263358949,947.1446747603031,344.3428527635401,423.93429164161444,437.85228151969426,656.0284805362228,74.17178019379449,66.4245232395834,136.3731990702996,46.62166950333625,114.3582489515363,194.4024878983338,658.5739911908543
