gRNA_id,T0_REP1,T0_REP2,T0_REP3,DMSO_REP1,DMSO_REP2,DMSO_REP3,KI-CDK9d-32_100nM_REP1,KI-CDK9d-32_100nM_REP2,KI-CDK9d-32_100nM_REP3,KI-CDK9d-32_1000nM_REP1,KI-CDK9d-32_1000nM_REP2,KI-CDK9d-32_1000nM_REP3,KI-CDK9d-32N_1250nM_REP1,KI-CDK9d-32N_1250nM_REP2,KI-CDK9d-32N_1250nM_REP3,KI-CDK9d-32N_5000nM_REP1,KI-CDK9d-32N_5000nM_REP2,KI-CDK9d-32N_5000nM_REP3,KB-0742_1500nM_REP1,KB-0742_1500nM_REP2,KB-0742_1500nM_REP3,Senexin B_2000nM_REP1,Senexin B_2000nM_REP2,Senexin B_2000nM_REP3,Senexin B_15000nM_REP1,Senexin B_15000nM_REP2,Senexin B_15000nM_REP3,SEL120_4000nM_REP1,SEL120_4000nM_REP2,SEL120_4000nM_REP3,Plasmid
gRNA_CDK7_targ_1,359.05453260540355,309.2213242330898,330.1908642330163,121.15620274258957,82.79741862689892,133.06055433818221,121.93437979416997,64.40593882550627,72.35755181732404,229.19171753863696,38.8364958839074,34.6442388525395,42.212064618463025,38.58980281930732,172.783901935822,3.0454548804204022,37.46823100292974,124.50765114239735,128.06028200877577,29.73785459642528,200.72943861450457,160.64120729786217,82.8735265228246,210.7123894492104,108.61165599661173,178.76702728949664,72.72835771908952,194.6112132015396,136.36092944692277,100.30849770963822,447.6046523694498
gRNA_CDK7_targ_2,393.09130056613884,215.49076247780357,306.945155908287,108.72137422673589,296.69748157717044,436.45527682758984,383.3936728610131,324.86740661708944,331.77994495502094,170.83225822569668,185.84470064220093,236.5551934149963,307.21002583436984,313.9206696146067,300.2842905390215,45.193046497102756,168.38132727822645,327.42718567556466,305.6660853866974,186.36359681168125,354.7740759754842,355.16413402228045,211.89253940494925,381.5958908301892,186.72533838921962,394.1509886406133,113.75461079139642,161.03636118058708,332.1048442981507,278.8164906048425,483.57389487193024
gRNA_CDK7_targ_3,76.14285880699246,45.177993028264346,73.55485079394275,19.819496791552204,157.59781828398027,138.84941726557105,105.70311481173292,58.17310603594115,64.12960278124038,56.48326688155982,29.895325221369397,54.672939439163905,96.73598141731111,91.23343724886541,91.85166534134777,1.7295175864115864,85.77064928381508,73.69282444813815,68.22661959029915,16.064178688744203,95.19441558536354,91.46367331008561,38.61152940267964,103.37939329474811,52.47445458335956,127.95169022439124,20.513126536153454,29.118693171489742,148.795828099961,114.4246050294475,147.1057051636878
gRNA_CDK7_targ_4,138.08856306351782,144.76241058751776,284.5478310990588,76.65762100386418,344.9219293042521,206.98308452606122,353.6496798882713,186.83296337501307,227.23659249654605,309.76924511792515,185.35101637249028,252.25336414505327,365.1783298503494,401.19418745947877,283.9051474187113,375.75649475211725,23.13550408313433,161.08979606567902,196.0161610451452,54.02536285202664,393.24721837659763,353.97629410916244,150.67913913240835,141.0606452416535,70.1901892503912,551.2467692405797,115.61944047650128,171.48528537932745,368.22526419507125,222.16509301673366,298.17652367410574
gRNA_CDK7_targ_5,226.79044320361584,227.40508076117206,237.88673774649996,395.77057655630813,469.4815581068649,102.49202636189871,227.87736551697338,271.7616443125021,111.8033074903134,129.65477170539867,85.84620912191396,189.19002310878994,286.54370253158066,283.40599656030525,277.80311370722313,277.4371797854586,28.43974160463342,88.83156553610095,149.17804521529695,146.29877020106326,265.2061673815879,254.93307087727632,112.06760972972872,256.15441737999913,59.874698178448725,301.9859165127261,108.16012173608185,75.06322751595113,291.4165024470527,293.25979246517716,80.66173436776721
gRNA_CDK7_targ_6,755.4827712069086,668.6480705966745,725.0285523472141,958.148798016602,464.0694341575944,1503.1886223105942,654.6077163113898,683.8887099835033,959.4030574574622,600.9740598621908,821.8197476450575,889.3825692925376,860.1441014355912,865.4365034688118,1147.8246570978215,1143.3991156600598,1348.2920355180772,824.3252160989224,841.4616416136895,2420.2406356595507,849.1463524419648,812.7653195996413,963.4047458278359,1123.3113112773058,963.2276663264548,868.6765627044654,477.396399386844,1270.6967450218174,965.7771287193036,999.4390950733851,134.19076454862397
gRNA_CDK7_targ_7,466.6859521461244,564.1739617188133,403.0670082145582,1112.4645434681347,563.3455585404811,367.03056819480435,434.80600480045655,448.4092467874941,471.1710815663208,960.5117778967349,918.8561335470803,644.4369742804419,363.56606349339427,362.83732107570046,519.6363444835688,1149.565221837701,325.13847445614635,913.0812766919412,782.1694603030725,181.20011080458488,471.56211298755966,435.5978652819847,416.2511218532781,213.73860398380643,428.76562890334816,432.2624914394424,425.18116820390793,633.9270114985801,393.60260838494526,415.06964569505465,394.35884457050236
gRNA_CDK7_targ_8,479.79101788501714,430.43057382111607,536.7722502575268,381.00124000491104,409.301970909753,332.75550208515676,382.35423224637424,414.8634312859322,331.1749487023678,441.9914380452129,439.98239192771365,487.1846088638368,519.3696214427907,538.47139346458,446.4119399457112,47.749724668319885,488.10270809539503,651.7209162132218,575.5944176546666,199.9416526081198,389.90172773302254,429.54553810562163,301.3582782648167,492.3455808140342,184.7070901360135,329.8845329406271,238.698199693422,339.3595454840902,594.9295389579453,620.3608488361223,631.7558450868734
gRNA_CDK7_targ_9,350.68185171666653,424.98993136801715,421.81628390713183,409.8252677907021,448.8023979424882,559.3124396750507,358.4470981096813,350.71085964699364,440.31627268100704,428.1668622350409,1166.6856369418454,1011.7200377405676,689.683576604784,679.5532279166554,478.849066517306,222.01742060348735,280.22173969962216,812.3954350919491,671.1658331918715,212.85036762586068,293.7949056085021,306.1798785575098,426.61031266863114,625.0597311296243,391.016911574863,484.4063340487335,455.01844316558567,580.2226143300542,282.5344319805968,301.29942974665795,330.1806528298561
gRNA_CDK7_targ_10,286.24861183377726,195.51878385250376,168.9979962878131,163.7967066571069,226.5014261754386,495.09354302732714,173.9863674964681,156.63159473614468,225.78460149017837,195.1240128635703,689.8963400168127,520.7462152522344,292.553058952959,307.3208039412845,259.175852903733,334.24807267823917,181.92406137567093,362.83900398107363,339.50865462791717,1609.5733325454237,155.41324716971494,185.81210069488634,523.610008485119,406.5865656965306,221.25980849963574,145.05619910578292,240.56302937852686,71.06805061643274,204.20302958118586,200.14957464709732,265.6059497545368
