gRNA_id,Plasmid,T0_REP1,T0_REP2,DMSO_REP1,DMSO_REP2,DMSO_REP3,KI-CDK9d-32_100nM_REP1,KI-CDK9d-32_100nM_REP2,KI-CDK9d-32_100nM_REP3,KI-CDK9d-32_1000nM_REP1,KI-CDK9d-32_1000nM_REP2,KI-CDK9d-32_1000nM_REP3,KI-CDK9d-32N_1250nM_REP1,KI-CDK9d-32N_1250nM_REP2,KI-CDK9d-32N_1250nM_REP3,KI-CDK9d-32N_5000nM_REP1,KI-CDK9d-32N_5000nM_REP2,KI-CDK9d-32N_5000nM_REP3,KB-0742_1500nM_REP1,KB-0742_1500nM_REP2,KB-0742_1500nM_REP3,Senexin B_2000nM_REP1,Senexin B_2000nM_REP2,Senexin B_2000nM_REP3,Senexin B_15000nM_REP1,Senexin B_15000nM_REP2,Senexin B_15000nM_REP3,SEL120_4000nM_REP1,SEL120_4000nM_REP2,SEL120_4000nM_REP3,T0_REP3
gRNA_CDK7_targ_1,447.617227161692,277.14251276331083,275.1580967322394,572.9592066618976,539.3082790387906,847.9202873363457,402.03972874887273,497.9943763598229,567.4769123927543,89.55227827607177,714.1722513525557,539.9381829897795,589.890006005151,516.8348704385221,628.0209314763878,702.9103468382215,272.8778697829181,2281.6917496163405,609.6816894651373,544.0168416728711,624.2795699165168,888.0306482135272,466.1620399218362,428.98383764771233,371.7597596933623,528.9375247865343,881.1264679482882,934.6019082386379,823.921860293866,586.482333346403,779.8539671686258
gRNA_CDK7_targ_2,483.5920327872679,198.9508887919628,213.4527680136525,505.13239648847167,498.2893278792273,199.77600123585526,252.5498420852825,135.02868231275409,107.23448696623646,102.5343535160929,12.823195922051903,168.73068218430615,334.3815644447383,247.5595597898803,361.129776303202,160.2543897772287,209.18657155828703,211.40422145213975,430.3088753389612,420.5283561397653,157.78187473376929,490.6903018140345,353.37996501608,248.03497638860424,212.04772120440754,241.86778039245877,443.1501327546153,455.4693520806487,367.0239711124428,337.25738687568514,86.66518729767063
gRNA_CDK7_targ_3,147.0718037858186,131.5521241139572,57.00460088702072,193.01522223657963,198.52768233631014,171.6602942880315,585.5856634182251,291.1175410711048,128.21514745963054,56.73647697490721,37.181132673509346,169.46964867562426,148.86388410384447,222.46580324197822,321.53252435248737,111.90716165197894,27.46594445584322,176.0320118496902,214.4109234140353,209.49397961541422,419.6103444536247,303.4476586860294,276.93426627656333,117.96785462384837,221.22116671408241,238.75040356476106,326.8115459328669,155.8931884615188,342.8868480386492,151.42781557714503,35.037686748216
gRNA_CDK7_targ_4,298.16598741323696,152.91141907910344,219.41143709591947,853.2866687214673,747.9391513158798,1233.568918240451,666.0716426658851,738.252307647344,657.5050375786941,124.17114558279481,430.46671095270887,678.3712390300424,899.6483146955526,522.5292228859306,579.1275504834804,167.0271695792572,1103.8340379956453,170.9656797451727,780.9687860633458,1022.438448306847,579.4186471622742,688.7272873317055,673.4419109915507,704.8903401287643,876.6520875527752,603.9578758356942,971.7397835642392,926.1778075871048,848.679873993352,500.25260503163986,74.05692880872927
gRNA_CDK7_targ_5,80.61755654361319,149.6660138370494,135.85765507568703,221.43329828729205,204.94320794870487,296.72884563395513,214.42490454691716,387.1061003809671,587.7915201720724,32.15467709912644,107.24854771170682,438.2071293516505,433.04323989875905,280.76052999172003,393.20496963962313,99.6119613959887,113.27846280977502,114.77545094961486,463.5811382701379,474.95571358886804,223.18658454369316,206.7207023004191,467.2068558499389,152.32113097035366,317.6599528414336,333.35601337923924,249.8513072138475,187.41257629253627,486.70063921466027,219.4050839785916,71.80071413176081
gRNA_CDK7_targ_6,134.15486570293467,1073.021542471675,912.9343108375479,859.0666163927986,795.7777556854691,1016.3055652106746,962.8218874820502,997.2065180243234,1317.896303585051,450.82660358980826,537.8379686732392,977.4063458501118,481.05296687182675,603.3118160805232,617.9442114459192,288.10363311705936,294.40523165371417,574.2457152647665,1019.1721656516303,1078.1494698467307,774.0954864042055,501.7861621475459,750.5841536831358,656.4932715651341,662.7226339361267,739.9026131479028,725.3376747243534,634.3631749053425,779.0625125875872,641.8406171164207,1200.7043636784474
gRNA_CDK7_targ_7,394.36318418839875,292.53931902793926,102.95256025472383,269.99361622294697,273.19025599866796,749.3608311126559,263.1958407253815,620.1290730936404,652.9536773658415,219.2528262759126,144.8591654160983,595.4838309205256,542.2738013843217,560.3628866043061,569.2637189043596,495.55908828380984,543.0833774025649,838.8003662497537,354.1916034377497,264.1780698826731,488.2992651193888,390.28482651351004,480.90555357395255,476.30061450233285,463.611823065876,465.0312998187313,315.09864312128883,359.39674352664656,584.7237467458541,309.01489746248745,639.8359386861717
gRNA_CDK7_targ_8,631.7969013171991,487.1881590106676,146.1860148182831,303.8851275684807,331.0815343593325,518.3176920403198,727.8853206337903,433.09464894584147,145.7545355969653,63.76843439658533,202.90099958959638,246.56848593648238,336.5740461214943,436.05227724392955,327.9191778929252,210.68555014925641,484.73680350447637,462.9706392237274,610.2393251567212,518.0868270391004,485.85357618418857,482.0065850312864,430.6963436956823,330.0291171024329,305.4286921618671,336.54115926840853,721.0261767569012,366.4010519335393,457.984447776385,530.8235975613511,404.26058270858306
gRNA_CDK7_targ_9,330.1750664344186,240.0090388309718,91.96212616965363,491.0766146513704,460.5033975007133,470.61367937280346,329.85874320474545,1135.6735964914606,595.5621351696258,73.56509302678647,275.7907448307335,574.4232859179589,415.3347340480374,437.499993967847,267.6007833443456,463.6749249081064,118.32625800706512,43.93891661554277,582.1716620136615,323.7400836948987,99.15521711568584,243.62649862709833,303.7512084312002,437.08602546528437,89.61750613297757,408.5119025513425,201.92182147567198,423.94996424963125,277.7709436691547,223.31096017403382,981.0552289500479
gRNA_CDK7_targ_10,265.59037601999904,114.57035249855825,55.81286707056732,138.58738166487626,142.20239841646642,434.40312053450737,257.9564487244951,120.84529817592367,70.04654376365963,114.07397595166725,149.76756576903682,105.5490471766061,335.4496965436707,163.39896090614715,349.56283711329786,356.5608074237169,97.09582526552146,129.14541110060998,141.6394656623276,175.73361402788117,222.20830896961309,200.56973624597256,143.25587280875254,337.6991882364011,186.05629226032875,143.12825782820758,168.0047041317157,213.72605922653884,128.21391420548855,315.2492767744433,177.31192990763853
