gRNA_id,T0_REP1,T0_REP2,T0_REP3,DMSO_REP1,DMSO_REP2,DMSO_REP3,KI-CDK9d-32_100nM_REP1,KI-CDK9d-32_100nM_REP2,KI-CDK9d-32_100nM_REP3,KI-CDK9d-32_1000nM_REP1,KI-CDK9d-32_1000nM_REP2,KI-CDK9d-32_1000nM_REP3,KI-CDK9d-32N_1250nM_REP1,KI-CDK9d-32N_1250nM_REP2,KI-CDK9d-32N_1250nM_REP3,KI-CDK9d-32N_5000nM_REP1,KI-CDK9d-32N_5000nM_REP2,KI-CDK9d-32N_5000nM_REP3,KB-0742_1500nM_REP1,KB-0742_1500nM_REP2,KB-0742_1500nM_REP3,Senexin B_2000nM_REP1,Senexin B_2000nM_REP2,Senexin B_2000nM_REP3,Senexin B_15000nM_REP1,Senexin B_15000nM_REP2,Senexin B_15000nM_REP3,SEL120_4000nM_REP1,SEL120_4000nM_REP2,SEL120_4000nM_REP3,Plasmid
gRNA_CDK7_targ_1,704.8237730885745,492.367116468842,467.4892039481403,164.72830461023744,149.3708772090446,172.14251269611344,214.6059405202421,149.5068302749695,175.64049541856792,283.4658377601234,231.6236626678242,220.12988505705624,246.47509204878122,238.72654690211496,255.17593632736993,132.1307933689395,166.0542522679246,157.02194248259818,175.91866210230282,143.61988400142272,366.2000279055653,330.18111954237185,211.41285242645415,230.5523135176115,220.7427806152932,194.2049195619504,134.61404318173754,183.93878656927544,150.23661477215816,121.24347121586466,484.9511193531972
gRNA_CDK7_targ_2,379.77732996450345,261.07782494404756,361.05824242958914,150.42289767482387,350.26654471219274,383.29360254695206,365.98208493424875,301.3183750601127,327.34111802626006,237.913397987657,208.8292468692622,307.86891524108796,451.2266227638145,442.4145378486587,346.6070535782191,132.35803246323715,302.1389533007072,225.21936282832704,227.15270544653018,1461.7404481618184,356.9046279375763,348.48877538320966,251.5649057942691,222.19077218080153,622.2645769815656,315.71073749873227,135.42988586768746,168.2873950435327,369.11672837504307,345.09336454442155,440.700142629522
gRNA_CDK7_targ_3,233.02696768957153,253.18849611199275,223.9671627030043,219.64460058676045,323.19477370618193,373.4950636612742,233.82728078999838,240.86571345825593,254.93521699418284,188.69287785898072,202.67359752670637,200.87303343916176,170.18057989564213,160.45266437084385,224.69889724375355,169.5553242067354,140.9715829313582,309.05747840811165,290.5151617063158,46.908940529961086,331.100210318107,316.91275989198425,1319.691468344203,82.77260548799674,139.29471061887477,334.03528080706366,791.3674053714267,347.6495470372003,268.6080470605229,242.05352268514392,230.6140358838946
gRNA_CDK7_targ_4,359.90432859345333,338.42693858216467,359.19587304462425,298.70513013916855,479.8437401052847,386.24429891593456,370.77124042233623,467.1886783573156,366.5731953061238,349.40597997757015,456.3280052099935,535.2201196548546,638.4510358220455,695.6701245194995,432.6354229915181,877.0729842677481,863.0831826586303,140.64990762016998,278.500098444174,73.69043256821202,472.08044316593964,453.08097610202236,230.2597346195101,331.53400504677796,282.9857659250562,552.9783338352614,300.63802977254716,515.2032831029638,321.7049865957425,305.44686351466186,368.28688295582725
gRNA_CDK7_targ_5,259.6311469443644,192.34801362422516,264.0081044797502,365.477418050653,293.87835837052694,98.37510347154995,216.12682097929687,219.98499999608197,166.11340317750512,208.95262401246532,176.5468001291668,184.74542020917514,179.2663283868521,177.3738947068175,232.7337530021615,182.9973906309601,105.01809467755231,181.17277157407855,188.6138232849432,88.61036871915117,248.21622727020537,239.87585961882496,144.21962025990672,137.00063882619395,83.29916249633706,325.75399681195233,115.03381871893934,271.1743326402119,229.8995709816417,229.1421765500208,155.48633929935463
gRNA_CDK7_targ_6,629.8993525969138,615.6484079334417,594.1303221257554,762.3238147625584,456.27497464402154,957.2689987498512,526.7423853722106,488.78385331764343,762.8513756510486,665.7139325549211,537.6010897628358,638.4849864558138,703.9521942710876,702.7763376751475,837.9800428036161,781.2829660561079,864.2799700623632,716.2474378596509,703.9013477160441,2148.346817346174,641.188943625239,613.1054349157876,1226.6862018697745,1136.0606640691772,777.1282977336843,696.0507296656948,510.30960006167766,746.7600309436395,717.7737635914391,705.8810862283567,302.9990201731013
gRNA_CDK7_targ_7,633.7190289357044,491.6371429826021,414.6530947302465,616.1616641893612,491.33903985406823,370.0989791611244,436.88100165316473,425.86514718990077,521.1563740277785,625.7915696082651,615.6343588722276,552.9123520787952,476.5185112943103,472.52799557754327,506.88857275887443,847.8989805459912,420.12224485203143,551.1475167545753,502.5923632484606,692.1031877662806,458.7183057119555,448.79221338674563,389.6388035999184,321.2872355571063,288.737374764089,472.1036667340681,471.14915113608134,503.0455057570744,402.66641389762736,422.2648910022334,425.6576380819212
gRNA_CDK7_targ_8,444.8186718173355,434.50267973266796,501.01185287750894,678.1380386965992,457.0571991831399,552.9679226828473,382.6794108251482,353.40492299003887,310.583207058647,325.00898039905815,480.6266210358718,495.74357383817096,512.5715345626222,519.7034007345925,434.99046692070664,166.04185821028656,592.0607018549756,540.9087619573613,481.8493766732534,305.21808441741206,367.2167122770641,391.48362160385943,270.82150281760886,451.3014406403423,219.9164000349724,409.5887824475684,241.89735638415257,524.391488395978,491.06772962083835,510.34034582150974,527.8731530059378
gRNA_CDK7_targ_9,232.7598574560897,413.67035947151265,343.9520347454669,237.11983869922972,350.74268138817786,484.1368985787201,369.9622614547539,510.9091126153112,251.51523516405777,312.2133512494889,577.6128104894487,566.8735695017688,482.41458212371253,462.4667234858832,384.28775644523574,229.6862845439694,273.5656540365869,696.1355980794091,552.80625971194,184.7840291713269,365.32858415856634,345.9423225210141,481.41492558349535,450.83567839081184,206.00015106237007,331.498036348987,262.2934235329007,468.7731506527137,202.56149041459867,203.0685570580672,306.61826938756167
gRNA_CDK7_targ_10,232.97354564287517,181.17380410409064,181.44306174630515,120.10366829947964,172.56553528203378,247.63580092894975,223.310554211428,177.73958302459764,175.49392476870543,141.81822307439217,452.53279283338014,350.47469944567945,207.0712962872571,212.55316775457982,198.10075404350653,164.50362434119452,211.08337833337083,214.59831686173658,208.67671193965174,721.405777048873,194.7676774542688,234.32727285593563,276.9672252718663,212.89770634493053,154.10345061822358,196.42500846276744,176.22202016518366,91.35801080316338,161.53682265738004,149.46137787513553,245.37378658661567
gRNA_CDK7_targ_11,549.7395715290087,424.87264489496414,523.6361920726384,591.0294312855626,391.01024027149043,731.8469308628643,455.48751790755847,524.2995039194205,528.9246184704913,454.28748690687246,335.2746153193562,480.33809254385534,616.2843870207956,618.2757238144223,601.090329926416,860.0824919864134,343.0790557367331,367.1324934429585,375.64075142205644,485.41454319329785,400.0895069555251,352.4558808948407,269.5923583267574,407.1871018633795,192.21612298261905,343.76138456302414,222.72505326432938,602.6484460246916,423.4068575627396,412.54716405247643,379.08807983023235
gRNA_CDK7_targ_12,583.58243811116,450.28133739677753,391.0975708426345,496.22266244453385,242.31955831385312,382.3657106070204,189.04220514464026,153.49398637757005,241.45071720683242,241.1123052750493,132.1381870150141,291.1395253980421,481.705764865533,458.03413508186514,370.711620853443,778.1890183875931,165.2563939987694,392.72938043599345,425.2878996184537,3785.489506573327,320.5944718126195,290.0811881545339,528.1224162358516,310.08676241363406,159.59061767155373,314.75927082695347,145.6279194420615,563.4500949267376,251.79811048592262,270.18018308197577,438.4098364859963
gRNA_CDK7_targ_13,683.0810000831515,639.5410016561414,508.21991216376216,319.988282327971,480.76200369468455,646.3509675175653,427.432127311803,329.66636353524956,285.6661965820213,250.4104624570696,302.15907317951644,397.7743412321328,495.0121979395391,475.23679960222097,379.99326457436257,606.6235021928397,130.69915771598508,382.98926629448795,404.88496200349596,669.5373009562728,419.2128558480024,433.2990580778082,510.91439336393086,148.6003367549781,518.6695074325496,392.63857988736186,203.55275014450612,364.80319266027993,311.66815598961375,315.1189673331993,619.9378048987726
