gRNA_id,Plasmid,T0_REP1,T0_REP2,DMSO_REP1,DMSO_REP2,DMSO_REP3,KI-CDK9d-32_100nM_REP1,KI-CDK9d-32_100nM_REP2,KI-CDK9d-32_100nM_REP3,KI-CDK9d-32_1000nM_REP1,KI-CDK9d-32_1000nM_REP2,KI-CDK9d-32_1000nM_REP3,KI-CDK9d-32N_1250nM_REP1,KI-CDK9d-32N_1250nM_REP2,KI-CDK9d-32N_1250nM_REP3,KI-CDK9d-32N_5000nM_REP1,KI-CDK9d-32N_5000nM_REP2,KI-CDK9d-32N_5000nM_REP3,KB-0742_1500nM_REP1,KB-0742_1500nM_REP2,KB-0742_1500nM_REP3,Senexin B_2000nM_REP1,Senexin B_2000nM_REP2,Senexin B_2000nM_REP3,Senexin B_15000nM_REP1,Senexin B_15000nM_REP2,Senexin B_15000nM_REP3,SEL120_4000nM_REP1,SEL120_4000nM_REP2,SEL120_4000nM_REP3,T0_REP3
gRNA_CDK7_targ_1,484.9511193531972,430.1177169503596,335.9084622351017,568.0200463344555,559.5371355632559,678.0076964822136,476.08441153186976,585.4685697681463,566.703854673477,486.5563503002372,1172.0708850799838,553.5503493378768,671.6098076702185,556.3568584102579,540.053362736522,533.7217008235388,231.59640918960338,1296.2968196149025,877.3269058213517,419.08941236348454,674.3249146741376,617.4388445275093,549.3128765049588,558.9942208546822,555.4859851301527,654.243716488218,626.5541184232577,846.8893201040346,929.5040387222267,726.3566186256987,2256.370022218076
gRNA_CDK7_targ_2,440.700142629522,288.51404925102923,922.7042008254025,439.3183870934325,443.13755055308064,183.9707244587239,344.5858408647539,186.51664420675087,98.38424430690687,108.72547836487047,115.53924920813441,168.48988891702322,282.5836301018177,260.83197876286283,322.46558967579716,122.5549403162505,228.58364736225363,183.07254797235495,351.7148543805871,369.0131153858161,181.62061220792572,474.4660088104617,516.6907932389162,414.23847778855367,305.9744249265539,260.2952683609161,461.4141516971277,528.393027047001,290.33459484563724,258.698710879568,260.7610531981556
gRNA_CDK7_targ_3,230.6140358838946,187.6180123289,382.3554824668707,248.29827418995416,268.82512853649826,225.092578051419,334.9646608866152,516.4915515519778,262.4817385848421,111.84229558490433,118.6266616525391,275.67838967774736,366.3453815892344,262.88423487152534,276.4927502981586,109.33723807553092,119.35171854500908,221.26957303167575,317.9177831716902,166.81587595205667,420.9833026347317,338.4102174132021,273.79349502644794,374.94920105036255,491.8752209476674,306.30980847911155,288.40181825070545,265.69443847614974,450.8586841403644,222.7250256683272,129.17701404585554
gRNA_CDK7_targ_4,368.28688295582725,275.8806465960358,609.9345943558236,582.6531532324602,527.8415963908303,921.261708125934,751.4906884060873,845.4910263163697,631.9397686882994,197.87250293011078,312.27426280468507,627.6574433372713,626.7534809688473,511.8424461485554,532.913365495621,388.88404408615185,1034.2270601168814,454.8319001206668,616.3233905654439,615.6735656120896,509.844286755028,502.0106674410462,441.8835181691706,543.4650793506207,695.3964202876225,478.2857487285505,779.4361990689326,674.5811403946078,700.0264334481875,389.89238316157736,1698.4339462627324
gRNA_CDK7_targ_5,155.48633929935463,155.36688685192485,246.68277695390282,223.74717261663503,209.92099071646788,210.1208899159933,112.25621071083874,342.62069401819105,523.9027306003376,245.44179098732658,146.41337365218135,419.0904379853755,373.47523577080403,259.90357718989657,325.6348741653808,555.2447791848638,145.53957135197226,196.7311635915942,331.1662350855778,485.1850789032786,184.88704364001566,166.75017556631911,300.1910697768536,287.59092092857463,185.623745654465,238.71744407472096,191.70471104711606,124.14053045080146,399.694719141382,189.9075940221318,204.10338530800016
gRNA_CDK7_targ_6,302.9990201731013,861.8445664882115,587.5011915099813,700.6470945687528,650.9715921882365,760.395085895391,704.0681109570234,760.3496967606546,1056.3975084123833,508.55563300863156,421.09759422138245,856.9744350089975,523.3425250440339,615.7256958394221,649.7033203646455,534.1268411221049,290.77014149088296,438.34736402848154,870.702679864408,773.344525869232,532.2878317561621,443.92602295211174,779.930917009307,555.4274569049861,514.5933510128407,645.6330074276384,767.0704723484736,580.39910899679,774.9097997542762,558.7329353158156,782.9620641116692
gRNA_CDK7_targ_7,425.6576380819212,437.41016888942085,236.97574477909814,276.3566759880332,268.4077387202359,683.927404267046,354.0430234569015,632.6377024270818,614.5435249510134,216.75496841847126,377.61918804553903,562.0282008914076,551.7496606020987,521.0287353968541,589.0133438169863,464.54399484337426,354.42439138155447,564.4776144709735,269.88087929344476,437.8837908261359,420.80768804160857,307.9628705412778,339.0942479995844,504.4501690700986,313.4547848260622,302.3958498152118,356.4133152132301,386.8391190216528,518.4057612601206,428.9462676350915,370.8670221698739
gRNA_CDK7_targ_8,527.8731530059378,313.1303541533065,174.07756246037823,258.23949601907486,282.85986110832124,353.2283887920391,389.52112462628753,456.4676109527562,187.64606811743207,89.72197143107181,285.76071057593134,274.01839077216096,470.14932160279574,422.9602113471977,407.16198551811846,306.64056347723005,417.38338854283757,321.354256448515,476.8541433767293,480.64415524787296,562.212558424341,440.5601397786435,419.1357688665702,370.23009797845697,388.0367435278264,294.77213902639835,505.1615046587516,359.82965971919714,501.1863881958271,421.987298931437,311.5554548033822
gRNA_CDK7_targ_9,306.61826938756167,299.16171381933,171.14287831450704,346.29363609897354,334.74663264244015,352.33755897975846,441.5629617807645,636.9923121629511,463.33410149064065,571.6182260819381,175.95068033679533,416.1261542253998,375.9734917635588,337.1074974681512,283.4141761949505,323.8083836289693,85.97958753436576,73.66232699479372,464.3266956486316,299.63789287267343,99.50322846355706,245.70947166318538,294.50413245120353,479.7571878798947,320.10399362562515,429.85476456568654,209.24678848776725,311.70882061534195,274.10353016913984,283.6064950374568,517.1400863307327
gRNA_CDK7_targ_10,245.37378658661567,172.4853186337588,80.70381401145757,156.10970073252403,151.9038062559951,283.57124476080713,155.0868613521546,150.46047559375367,53.8859257228126,151.84649330223215,197.3715934819949,124.91491764537929,256.1694852795459,243.5832548019617,318.786305383292,216.04106421038207,91.92786088579987,246.2318705426992,171.32861964830136,147.264676880171,234.76158808698037,149.42668510470708,184.33033172442993,231.18117723184218,105.2237292530833,213.70214304892684,206.33509120765916,185.5086433546479,179.1879130796457,265.7337338859946,139.42230039636297
