gRNA_id,Gene,classification,CBE_SY-5609_100nM_REP1,CBE_SY-5609_100nM_REP2,CBE_SY-5609_100nM_REP3,LFC_avg_CBE_SY-5609_100nM,LFC_median_CBE_SY-5609_100nM,base_RPM,base_RAW,CBE_SY-5609_10nM_REP1,CBE_SY-5609_10nM_REP2,CBE_SY-5609_10nM_REP3,LFC_avg_CBE_SY-5609_10nM,LFC_median_CBE_SY-5609_10nM,CBE_T0_REP1,CBE_T0_REP2,CBE_T0_REP3,LFC_avg_CBE_T0,LFC_median_CBE_T0,Plasmid,LFC_avg_Plasmid,LFC_median_Plasmid,p_CBE_SY-5609_100nM,FDR_CBE_SY-5609_100nM,p_CBE_SY-5609_10nM,FDR_CBE_SY-5609_10nM,p_CBE_T0,FDR_CBE_T0,p_Plasmid,FDR_Plasmid
gRNA_CDK7_targ_1,CDK7,targeting,-3.953963015389129,-1.3968604592740577,-1.6468571893651505,-2.332560221342779,-1.6468571893651505,737.1527876259737,21853.0,-0.32435621614820037,-2.078760182637182,-1.8273134313651722,-1.4101432767168518,-1.8273134313651722,-0.5395834915429213,-0.3157778581480027,-0.12047810195612722,-0.3252798172156837,-0.3157778581480027,-0.19216596174432626,-0.19216596174432626,-0.19216596174432626,0.21207729024372435,0.7732150251365965,0.35416762528592943,0.9999995379539554,0.4530619517979836,0.94897607045078,0.07209279072092789,0.2652470601996404
gRNA_CDK7_targ_2,CDK7,targeting,-3.5289447677179817,-2.6441381726093156,-1.267013237859697,-2.480032059395665,-2.6441381726093156,441.1468630906428,13268.0,-2.4195977611104946,-2.3080602942718436,-2.464978551012608,-2.397545535464982,-2.4195977611104946,0.5216445026853234,0.15188164032997017,-0.27228805027946135,0.13374603091194406,0.15188164032997017,0.35981832205466985,0.35981832205466985,0.35981832205466985,0.2814726074310258,0.827672814419624,0.5442033741779044,0.9999995379539554,0.43447880872040145,0.999992293766085,0.38106189381061883,0.6638793682852517
gRNA_CDK7_targ_3,CDK7,targeting,-4.920312069685908,-0.9873275599570082,-1.9280122646354085,-2.6118839647594414,-1.9280122646354085,372.3413671836215,12843.0,-2.0160748101475394,0.07963485219607583,-6.126119434177783,-2.6875197973764156,-2.0160748101475394,-0.6911614198960899,-1.0885021211066073,-2.1784769496927625,-1.3193801635651532,-1.0885021211066073,-0.660714216474266,-0.660714216474266,-0.660714216474266,0.19348247975093996,0.762199111073172,0.0622567566692962,0.5633578841761222,0.04688205632750543,0.5663186450180966,0.007299270072992699,0.0740780940493311
gRNA_CDK7_targ_4,CDK7,targeting,-4.480926726881751,-1.8278928344267291,-2.140384930151895,-2.8164014971534583,-2.140384930151895,683.1147388791768,19535.0,-0.11024319054376878,-0.8912123557679359,-2.0541745088569265,-1.018543351722877,-0.8912123557679359,0.3812499621081018,-0.13624470487595491,-0.41288836062757106,-0.05596103446514139,-0.13624470487595491,-0.5661763210176468,-0.5661763210176468,-0.5661763210176468,0.3680251046536091,0.85275589441055,0.22731323717191831,0.9205090910770387,0.6008908684415193,0.999992293766085,0.015498450154984505,0.08513233183723884
gRNA_CDK7_targ_5,CDK7,targeting,-3.9671145084300377,-4.860222420141305,1.2639498605780037,-2.5211290226644465,-3.9671145084300377,326.8763321210702,9151.0,-1.176311978778731,1.2138889801449646,-2.498816781091934,-0.8204132599085668,-1.176311978778731,-0.619860203077737,-1.6946160259871437,0.90105043896231,-0.4711419300341903,-0.619860203077737,-1.2430704465931277,-1.2430704465931277,-1.2430704465931277,0.08675464487431717,0.6119337833324447,0.13108169378741377,0.8361051963542981,0.2557441056285463,0.8226069148945536,9.999000099990012e-05,0.0017386796352211933
gRNA_CDK7_targ_6,CDK7,targeting,-1.539455060356641,-2.3916652638924734,-1.0850611140754352,-1.6720604794415166,-1.539455060356641,488.07094679551113,17361.0,0.7830217518233219,-3.467017131572696,-0.9798276595554495,-1.2212743464349411,-0.9798276595554495,0.3201200421543151,0.2509069671296693,0.9875845817848307,0.5195371970229384,0.3201200421543151,-0.6266640137151799,-0.6266640137151799,-0.6266640137151799,0.08393499302960634,0.6062046029058906,0.1851474309188835,0.9205090910770387,0.13124395956089724,0.999992293766085,0.007299270072992699,0.0740780940493311
gRNA_CDK7_targ_7,CDK7,targeting,-3.0775903348175064,-3.6221006052102624,-2.7685967665249223,-3.15609590218423,-3.0775903348175064,563.8089854878125,17563.0,-2.8787769407129633,-1.0033347750866812,-4.016785788815399,-2.632965834871681,-2.8787769407129633,-0.904701959968808,0.16957698470700092,-0.1224927427703563,-0.2858725726773878,-0.1224927427703563,-0.2776967655390165,-0.2776967655390165,-0.2776967655390165,0.6336057880172965,0.9174260846340072,0.4223732311378598,0.9665372347077597,0.4467184807199931,0.9439175327906976,0.047295270472952705,0.20592677574347829
gRNA_CDK7_targ_8,CDK7,targeting,-3.9365945812717777,-5.111451557705101,-1.8608200450953196,-3.6362887280240663,-3.9365945812717777,288.2793589999733,9559.0,0.622800382792531,-0.3034166633792979,0.9613458874086024,0.42690986894061184,0.622800382792531,-0.22189595060921685,0.8599924588596494,0.26582447855670643,0.30130699560237967,0.26582447855670643,0.8152882865082578,0.8152882865082578,0.8152882865082578,0.3635749759154552,0.9150579095073689,0.02749269294190477,0.47466194029662334,0.24177998162461842,0.999992293766085,0.3415658434156584,0.8492197544534633
gRNA_CDK7_targ_9,CDK7,targeting,-6.438439746481473,-3.076034532782674,-2.664302398272854,-4.059592225845667,-3.076034532782674,295.4283711381503,8736.0,-4.173029801889588,-2.529069831166174,0.17746523400385095,-2.174878133017304,-2.529069831166174,-0.37813289836516617,-0.0005130594715534682,-0.6662209729684501,-0.34828897693505656,-0.37813289836516617,0.03152787565515069,0.03152787565515069,0.03152787565515069,0.040082480791928034,0.7956365468815654,0.42991228309392115,0.992071458553275,0.4199088114038571,0.932634985321513,0.16228377162283772,0.414826494878602
gRNA_CDK7_targ_10,CDK7,targeting,-3.821355770220531,-1.8232992148879974,-2.187957313058114,-2.6108707660555477,-2.187957313058114,130.32635081709483,4741.0,-1.7511408649898914,-1.041856813425293,1.2229725176770212,-0.5233417202460543,-1.041856813425293,0.39911508296638953,0.7701570807266418,-1.0736501997807164,0.03187398797077168,0.39911508296638953,1.015698565363384,1.015698565363384,1.015698565363384,0.3372103271606112,0.8485521518631043,0.09744347574340405,0.7653228423277424,0.3129866833591084,0.9881617819069854,0.2628737126287371,0.8819578164882896
