gRNA_id,Gene,classification,CBE_BSJ-4-116_REP1,CBE_BSJ-4-116_REP2,CBE_BSJ-4-116_REP3,LFC_avg_CBE_BSJ-4-116,LFC_median_CBE_BSJ-4-116,base_RPM,base_RAW,CBE_CDK12-IN-2_REP1,CBE_CDK12-IN-2_REP2,CBE_CDK12-IN-2_REP3,LFC_avg_CBE_CDK12-IN-2,LFC_median_CBE_CDK12-IN-2,CBE_DMSO_REP1,CBE_DMSO_REP2,CBE_DMSO_REP3,LFC_avg_CBE_DMSO,LFC_median_CBE_DMSO,CBE_HQ461_REP1,CBE_HQ461_REP2,CBE_HQ461_REP3,LFC_avg_CBE_HQ461,LFC_median_CBE_HQ461,CBE_T0_REP1,CBE_T0_REP2,CBE_T0_REP3,LFC_avg_CBE_T0,LFC_median_CBE_T0,p_CBE_BSJ-4-116,FDR_CBE_BSJ-4-116,p_CBE_CDK12-IN-2,FDR_CBE_CDK12-IN-2,p_CBE_DMSO,FDR_CBE_DMSO,p_CBE_HQ461,FDR_CBE_HQ461,p_CBE_T0,FDR_CBE_T0
gRNA_CDK12_targ_1740,CDK12,targeting,-0.9696930114291669,-0.8392943752168651,-1.2080298667456986,-1.0056724177972436,-0.9696930114291669,326.5252647409566,12940.0,-0.976040495503806,-1.581581292976646,-0.682537238648943,-1.0800530090431317,-0.976040495503806,-1.4909617402393338,-1.0955929973854255,-0.6686952072377207,-1.0850833149541599,-1.0955929973854255,-0.7429485130447618,-1.5220695162957458,-0.8998634366604892,-1.054960488666999,-0.8998634366604892,-0.7353665675489998,-2.1206610221521975,-0.5720060759682749,-1.1426778885564908,-0.7353665675489998,0.6070100098325824,0.9999999995423233,0.6401291670375242,0.9999999988555456,0.5407319130989889,1.0,0.6241374970892228,0.9999998231852807,0.35976027150928863,0.9928078240970618
gRNA_CDK12_targ_1741,CDK12,targeting,-2.0191496461727585,-3.412198302427518,-3.0068751745638944,-2.8127410410547236,-3.0068751745638944,312.8233158418577,12397.0,-3.5268027610099404,-3.5630357409603914,-4.58598037957739,-3.8919396271825746,-3.5630357409603914,-2.433975752088111,-3.7538771918662635,-3.193218765770369,-3.127023903241581,-3.193218765770369,-2.615334010786643,-0.9791675807983771,-0.3944095620965099,-1.3296370512271767,-0.9791675807983771,-2.0815693504893007,-2.592518882738866,-1.073940688364415,-1.9160096405308604,-2.0815693504893007,0.09600880817956467,0.5597256026564321,0.006420705135595079,0.10886239980820495,0.05913661567397847,0.34102367094089675,0.4447855443237032,0.9999998231852807,0.10376834995747737,0.4810680845089109
gRNA_CDK12_targ_1742,CDK12,targeting,-0.7674009976650349,-1.4338321121415263,-0.7427109848465222,-0.9813146982176946,-0.7674009976650349,177.94869914630803,7052.0,-0.8407842667879294,-1.6917604292631614,-0.11073736751977852,-0.8810940211902897,-0.8407842667879294,-1.557481008646939,-1.4727148210967025,-1.7475459734658532,-1.5925806010698318,-1.557481008646939,-0.592966001698286,-0.0008937594774867335,-0.7061941494885954,-0.43335130355478935,-0.592966001698286,-0.48244192380755774,-1.2666796509081109,-1.190737344090956,-0.9799529729355415,-1.190737344090956,0.6223895410489311,0.9999999995423233,0.509892620285717,0.9999999988555456,0.5429979684533479,1.0,0.36229910474599764,0.8755477965012073,0.48577843247820474,0.9999999997118271
gRNA_CDK12_targ_1743,CDK12,targeting,-1.5166885115056707,0.8561037677911445,1.7662370593967756,0.3685507718940831,0.8561037677911445,142.4952217922861,5647.0,0.27686317154292023,-1.0026964824926083,0.9855585164930227,0.08657506851444485,0.27686317154292023,-1.7920662777314553,-0.5474864609662484,0.6973860625725787,-0.5473888920417084,-0.5474864609662484,0.9880839713433959,-0.1273873934102201,-0.7431504871152691,0.03918203027263556,-0.1273873934102201,0.9494067757810082,-1.1975106302873373,0.6750509175421203,0.14231568767859706,0.6750509175421203,0.02411246557749604,0.17761106673100702,0.08217605541970939,0.35526912769373475,0.21747880674604958,0.6495011234599812,0.14459639394237558,0.5564389294161931,0.05959366007377653,0.2658668853344958
gRNA_CDK12_targ_1744,CDK12,targeting,-1.8264383318508308,-1.4443344792776698,-0.45378561864304306,-1.2415194765905144,-1.4443344792776698,334.9785849641576,13275.0,-2.7072500065415133,-3.321052496797104,-1.2317272005985864,-2.420009901312401,-2.7072500065415133,-2.8479342452881626,-1.0487198808287599,-2.7055613528084796,-2.200738492975134,-2.7055613528084796,-1.0573463573794815,-0.6321703880960952,-1.022565084150421,-0.9040272765419992,-1.022565084150421,-1.1105071046876773,-1.9528240425698873,-2.1404547424204647,-1.734595296559343,-1.9528240425698873,0.5151315015243265,0.9999999995423233,0.12541422788263018,0.6460491654313689,0.23805832812449487,0.7928752587918035,0.59728327186701,0.9999998231852807,0.1418165544644667,0.5816031905080234
gRNA_CDK12_targ_1745,CDK12,targeting,-0.0860620158439906,-0.1018481867531712,0.36010038999940497,0.05739672913408106,-0.0860620158439906,208.05261265758787,8245.0,-1.2637190235387301,-0.6818340419490304,-0.23624045637915894,-0.7272645072889731,-0.6818340419490304,-1.8335241656248948,-1.797278131956263,-1.054739854420269,-1.5618473840004758,-1.797278131956263,-1.5909264263655853,-2.2197032001689516,-0.6688573280266761,-1.493162318187071,-1.5909264263655853,-0.18956674194140277,-0.6034208373647749,-0.4258702983548308,-0.4062859592203362,-0.4258702983548308,0.21933371886119868,0.7118782196060167,0.48708524309483725,0.9954370123365524,0.5452789593972911,1.0,0.40358876251761516,0.9999998231852807,0.46448020581116445,0.9995975428332222
gRNA_CDK12_targ_1746,CDK12,targeting,-1.5952819821258968,-0.7351888922224437,-1.6845804848410109,-1.3383504530631172,-1.5952819821258968,243.7079603452982,9658.0,-2.5407118334244867,-3.2408247243207478,-1.1054628788288245,-2.295666478858019,-2.5407118334244867,-3.0415176121295127,-2.647081138097812,-2.6021020011391465,-2.763566917122157,-2.647081138097812,-1.9120339168928255,-1.1456452178667622,-0.5664023321388232,-1.2080271556328037,-1.1456452178667622,-0.8852419374527876,-2.583306848857444,-2.469188043667306,-1.9792456099925129,-2.469188043667306,0.49793491509236054,0.9999999995423233,0.15184633323005756,0.7253847687058348,0.11657985649066312,0.5139352802723994,0.5425534569583719,0.9999998231852807,0.09972424183502489,0.47131806723582637
gRNA_CDK12_targ_1747,CDK12,targeting,-1.838532806146801,-0.8671779175121322,-0.660126623942582,-1.1219457825338384,-0.8671779175121322,197.9590959731688,7845.0,-1.0982721571872738,-1.7516855337454997,-0.3014726027039593,-1.0504767645455775,-1.0982721571872738,-2.1827719477923546,-1.0829874199370995,-2.8183516168104417,-2.028036994846632,-2.1827719477923546,-1.1992372696724705,-0.9903647793808344,-0.844234014809236,-1.0112786879541804,-0.9903647793808344,-0.7091942569368797,-1.4586545181919441,-1.6046939378949199,-1.2575142376745811,-1.4586545181919441,0.5666150538384069,0.9999999995423233,0.6060102589818526,0.9999999988555456,0.31203901026528186,0.9370795200317039,0.6499071718423897,0.9999998231852807,0.32514723044028143,0.9432757555323541
gRNA_CDK12_targ_1748,CDK12,targeting,1.510141059943439,0.1878869182950233,0.27548467893773654,0.6578375523920663,0.27548467893773654,217.36388179896448,8614.0,-0.2573903066011642,-0.3118798228063361,-0.059177799250655104,-0.20948264288605178,-0.2573903066011642,-0.6921448937179422,0.8274419708226435,-0.7931070413217572,-0.21926998807235198,-0.6921448937179422,2.2327645112273675,-1.5258482183325688,0.3053909068091135,0.33743573323463744,0.3053909068091135,0.8702937839926789,0.6785498243981913,0.052922153683674374,0.5339219206915149,0.6785498243981913,0.02775222474920919,0.19242267865233928,0.273911779609043,0.7342525017273245,0.14333926167505395,0.4966950002415012,0.035680343635796787,0.2748289759795233,0.034447356274371246,0.1819532706615111
gRNA_CDK12_targ_1749,CDK12,targeting,-0.470889384653967,-0.7717238606020479,0.9862795565410204,-0.0854445629049982,-0.470889384653967,289.683928842827,11480.0,-1.7497155372409867,-0.8406663796058605,-0.008310688873078993,-0.8662308685733087,-0.8406663796058605,0.10930841456846159,-0.4911818491868867,-1.5637914271053905,-0.6485549539079386,-0.4911818491868867,0.07356105004561811,-0.34574897237250524,-0.8375075007659182,-0.3698984743642684,-0.34574897237250524,-0.0504393279092712,-0.701045365611562,-0.47440941309390433,-0.4086313688715792,-0.47440941309390433,0.17544706327554338,0.6275358589458818,0.4836115047156383,0.9908336721194138,0.3120851113518985,0.8068137663627413,0.3287380058503873,0.8361143560793426,0.4485682070907623,0.9853926137715844
gRNA_CDK12_targ_1750,CDK12,targeting,-0.7938853264515588,-1.2593350894972362,-0.6083070886876419,-0.8871758348788124,-0.7938853264515588,105.55295072731232,4183.0,-1.775851967326712,-2.713716857391767,-0.19982781795168406,-1.5631322142233877,-1.775851967326712,-2.1375862308075466,-1.2862340409410056,-1.3919923672481243,-1.6052708796655588,-1.3919923672481243,-1.0535338275601454,-3.6968246332610284,-1.9418719787006822,-2.2307434798406187,-1.9418719787006822,-0.7855790774387139,-1.5554171452367536,-2.1357192355149657,-1.4922384860634779,-1.5554171452367536,0.6481641053078124,0.9999999995423233,0.3694856995922851,0.9999999988555456,0.521524335351276,1.0,0.13476646514348029,0.6760043652872002,0.21625374058077731,0.7413543726388901
gRNA_CDK12_targ_1751,CDK12,targeting,0.6411366726529885,0.26941960439797275,-0.7142444732483656,0.06543726793419853,0.26941960439797275,156.57567756705066,6205.0,-1.0539857801597665,0.9942384934254072,1.191258632853148,0.3771704487062629,0.9942384934254072,1.1643323801376502,0.8042569386634348,1.2634341990515887,1.077341172617558,1.1643323801376502,-0.09639764970440129,0.2507131504450489,1.336558325938516,0.4969579422263879,0.2507131504450489,0.5868685309370221,0.49059239406930294,-0.31324450711149054,0.2547388059649448,0.49059239406930294,0.16931122654009487,0.616536418062226,0.023485954124909746,0.15774273033853664,0.003765287959279087,0.0386696662147059,0.05345913317685456,0.3388503019120386,0.09414958570690163,0.36684182103209034
gRNA_CDK12_targ_1752,CDK12,targeting,0.2528041928448463,-1.057438691191062,0.3871610682531973,-0.13915781003100613,0.2528041928448463,189.40484058312364,7506.0,0.7176916665915807,0.0644900407033684,-1.1029963571609953,-0.10693821662201541,0.0644900407033684,0.5812526375401487,0.5476406554211886,0.15848868405425307,0.42912732567186335,0.5476406554211886,0.42592955471713545,-2.022985331957336,-0.21842164762464156,-0.6051591416216141,-0.21842164762464156,0.210403850688668,-0.23030026863823105,0.9201741568234847,0.30009257962464053,0.210403850688668,0.24744189250241672,0.7647918302868346,0.1491806038727949,0.5179822964713021,0.05162787497728648,0.24908275063372703,0.31987256946642784,0.8214165696481813,0.07093256819364195,0.3036937044561557
gRNA_CDK12_targ_1753,CDK12,targeting,-0.10924436572008936,0.5695271546871812,-0.7160004310239682,-0.08523921401895877,-0.10924436572008936,160.15887599001942,6347.0,-1.7527629093329364,0.18037976240848366,-1.7546496003125227,-1.1090109157456585,-1.7527629093329364,-0.5853471727097382,-0.5842466398912334,0.2610376378608401,-0.3028520582467105,-0.5842466398912334,-0.546029967130821,-2.6292920746064716,1.29672484707319,-0.6261990648880342,-0.546029967130821,0.2915184253368794,0.03748821831352546,0.6448756581005669,0.32462743391699056,0.2915184253368794,0.2387828417604318,0.7460814336904892,0.5348273988167351,0.9999999988555456,0.2164856521452688,0.6479767433047785,0.208513452919296,0.667903490170213,0.08391149191749876,0.3410571470107476
gRNA_CDK12_targ_1754,CDK12,targeting,0.13850115915282063,0.8464837473862405,1.753131269066796,0.9127053918686191,0.8464837473862405,240.98271084050504,9550.0,-0.004665707495601003,0.14535874774752472,0.6492524302787274,0.2633151568435504,0.14535874774752472,1.0969526798130136,-0.41890388041544585,1.3527317918986608,0.6769268637654094,1.0969526798130136,0.7068747506517609,0.17484158244112794,0.9576733560696593,0.613129896387516,0.7068747506517609,-0.5517896590695354,0.6922074758502992,-0.08747620750797751,0.017647203090928768,-0.08747620750797751,0.013174830159682339,0.1196549873457717,0.09305871650057834,0.38718789053403024,0.01096951969095075,0.08253419143052279,0.0499724104217579,0.3282937839853137,0.16890363968355118,0.5318388861445842
gRNA_CDK12_targ_1755,CDK12,targeting,1.02767800352778,-0.6160982664694724,-1.0583622459064652,-0.21559416961605257,-0.6160982664694724,147.18870705054096,5833.0,-0.26555102424781624,-1.2220225503001212,0.8340107706662198,-0.21785426796057258,-0.26555102424781624,-0.16353456675341543,-0.6705974985616614,-2.0828037754802575,-0.9723119469317781,-0.6705974985616614,-0.36333196628237263,-1.2729750872306178,0.16560244023573642,-0.49023487109241803,-0.36333196628237263,-1.4561091418002319,-0.7709734755497891,-0.5310979912078335,-0.9193935361859515,-0.7709734755497891,0.19403735919729798,0.6623940144266807,0.1748156665461364,0.570533219822742,0.42845161347540195,0.960710481067829,0.35423167856085586,0.8675977837731139,0.5089218479746405,0.9999999997118271
