gRNA_id,Gene,classification,DMSO_REP1,DMSO_REP2,DMSO_REP3,LFC_avg_DMSO,LFC_median_DMSO,base_RPM,base_RAW,KB-0742_1500nM_REP1,KB-0742_1500nM_REP2,KB-0742_1500nM_REP3,LFC_avg_KB-0742_1500nM,LFC_median_KB-0742_1500nM,KI-CDK9d-32N_1250nM_REP1,KI-CDK9d-32N_1250nM_REP2,KI-CDK9d-32N_1250nM_REP3,LFC_avg_KI-CDK9d-32N_1250nM,LFC_median_KI-CDK9d-32N_1250nM,KI-CDK9d-32N_5000nM_REP1,KI-CDK9d-32N_5000nM_REP2,KI-CDK9d-32N_5000nM_REP3,LFC_avg_KI-CDK9d-32N_5000nM,LFC_median_KI-CDK9d-32N_5000nM,KI-CDK9d-32_1000nM_REP1,KI-CDK9d-32_1000nM_REP2,KI-CDK9d-32_1000nM_REP3,LFC_avg_KI-CDK9d-32_1000nM,LFC_median_KI-CDK9d-32_1000nM,KI-CDK9d-32_100nM_REP1,KI-CDK9d-32_100nM_REP2,KI-CDK9d-32_100nM_REP3,LFC_avg_KI-CDK9d-32_100nM,LFC_median_KI-CDK9d-32_100nM,SEL120_4000nM_REP1,SEL120_4000nM_REP2,SEL120_4000nM_REP3,LFC_avg_SEL120_4000nM,LFC_median_SEL120_4000nM,Senexin B_15000nM_REP1,Senexin B_15000nM_REP2,Senexin B_15000nM_REP3,LFC_avg_Senexin B_15000nM,LFC_median_Senexin B_15000nM,Senexin B_2000nM_REP1,Senexin B_2000nM_REP2,Senexin B_2000nM_REP3,LFC_avg_Senexin B_2000nM,LFC_median_Senexin B_2000nM,Plasmid,LFC_avg_Plasmid,LFC_median_Plasmid,p_DMSO,FDR_DMSO,p_KB-0742_1500nM,FDR_KB-0742_1500nM,p_KI-CDK9d-32N_1250nM,FDR_KI-CDK9d-32N_1250nM,p_KI-CDK9d-32N_5000nM,FDR_KI-CDK9d-32N_5000nM,p_KI-CDK9d-32_1000nM,FDR_KI-CDK9d-32_1000nM,p_KI-CDK9d-32_100nM,FDR_KI-CDK9d-32_100nM,p_SEL120_4000nM,FDR_SEL120_4000nM,p_Senexin B_15000nM,FDR_Senexin B_15000nM,p_Senexin B_2000nM,FDR_Senexin B_2000nM,p_Plasmid,FDR_Plasmid
gRNA_CDK7_targ_1,CDK7,targeting,-0.6436593979388612,-0.4386354924319926,-0.29675972870435335,-0.45968487302506905,-0.4386354924319926,625.0991174509196,22700.0,-0.2625673481643472,0.25305234162188256,-0.28754877942038326,-0.09902126198761596,-0.2625673481643472,-0.2544326290417004,-0.24276219155012313,-0.2664430484463414,-0.254545956346055,-0.2544326290417004,-1.3471687711519882,-1.7553918906405301,-0.2766106434113231,-1.126390435067947,-1.3471687711519882,0.24171735760340973,-0.33374803679035836,-0.2951786682572372,-0.12906978248139528,-0.2951786682572372,-0.26189062247830164,-0.30810425114889545,-0.43875494665014386,-0.336249940092447,-0.30810425114889545,-0.6146549340913534,-0.6750352103273785,-0.6216679757345833,-0.6371193733844384,-0.6216679757345833,0.2887131791761407,-0.03442177608371556,-0.42490227494485727,-0.05687029061747737,-0.03442177608371556,-0.37158640867191106,-0.12944791964045094,-0.022125563894535006,-0.17438663073563232,-0.12944791964045094,0.045362436179349264,0.045362436179349264,0.045362436179349264,0.1990568662701657,0.543518938086228,0.5794955775888835,0.8321693707244824,0.08596552777636104,0.30165281597617694,0.09853189204725465,0.3202286491535776,0.5291794919012547,0.8171153919063491,0.02544265486656041,0.14969493057265068,0.10631388677525241,0.760146496882495,0.39293009695888914,0.9992396959124182,0.5315686863535505,0.8671800184913437,0.25967403259674027,0.5902665353781024
gRNA_CDK7_targ_2,CDK7,targeting,-0.687819836419299,0.2524031196135028,0.06586702685185326,-0.12318322998464765,0.06586702685185326,430.0273638373758,12690.0,-0.5081606979562788,-1.2644960155302396,-0.12365955568873137,-0.6321054230584165,-0.5081606979562788,0.2402629318608302,0.28384893256281896,-0.05794177149479495,0.1553900309762847,0.2402629318608302,-1.1573944007882795,0.2213350018661438,-0.7002065483095817,-0.5454219824105725,-0.7002065483095817,-0.4163386102260584,-0.9784272861694685,-0.3081376949470764,-0.5676345304475344,-0.4163386102260584,0.23279899880803906,0.040848940914089575,-0.2137770983495015,0.019956947124209045,0.040848940914089575,-1.0349745386331977,0.26578059928297765,0.22030477230342263,-0.1829630556822658,0.22030477230342263,0.038922680627281825,0.47281139382344745,-1.1109961468373242,-0.19975402412886498,0.038922680627281825,-0.1732575944273026,-1.002643687402297,-0.0037512878867781273,-0.3932175232387926,-0.1732575944273026,0.3965645135827953,0.3965645135827953,0.3965645135827953,0.46284550258916324,0.7714091709819387,0.21593857436135858,0.544454787578701,0.4448276606707148,0.9999831523237149,0.2840228557402001,0.5723842605676751,0.14470913261514495,0.41501944666572566,0.36815932364241416,0.7108026545571362,0.33976120701460044,0.8107711260608921,0.3696208258782807,0.886631590495866,0.2878246337270347,0.7223568266270773,0.48665133486651324,0.7144316149424816
gRNA_CDK7_targ_3,CDK7,targeting,-0.8000914284674732,0.2727032062566499,-0.005112970911565403,-0.17750039770746287,-0.005112970911565403,189.76778861223835,5999.0,-0.6055221861428313,-1.757777026724169,0.20331257643950182,-0.7199955454758328,-0.6055221861428313,-0.43840932985700304,-0.3619234070675726,-0.02644699640604909,-0.27559324444354155,-0.3619234070675726,-0.5545645063931963,-0.825649290834583,-0.8073321932630335,-0.729181996830271,-0.8073321932630335,0.24145747988150795,0.18381901022518815,-0.14921667917060916,0.09201993697869565,0.18381901022518815,0.148289645917937,-0.22843731891578398,0.10302573891810575,0.007626021973419592,0.10302573891810575,-1.9342198841336855,0.4846423746366853,0.4054670391221887,-0.34803682345827053,0.4054670391221887,0.08509749392811017,0.21863254590116207,-0.45578854702744276,-0.05068616906605683,0.08509749392811017,0.19516374449284024,-0.7402653297669615,-0.6372414181741991,-0.3941143344827734,-0.6372414181741991,0.3079635643599968,0.3079635643599968,0.3079635643599968,0.37638303138616,0.7091908142123368,0.21133207234310603,0.5435100025481397,0.08178887189917379,0.292938986466809,0.22540964108121628,0.5052285058716917,0.47515256651195725,0.9716965083817768,0.33780573526571744,0.6816035900039975,0.19897439666452166,0.7081701059314028,0.3919820923920435,0.9992396959124182,0.2619845393294017,0.7032499592042526,0.47595240475952394,0.7144316149424816
gRNA_CDK7_targ_4,CDK7,targeting,-0.785896543888114,0.02491419397457678,-1.5039924477683648,-0.7549915992273007,-0.785896543888114,567.0668168994993,18595.0,-0.5307772443318441,-1.8523562265522544,0.050573745035064926,-0.7775199086163447,-0.5307772443318441,-0.21900672808708788,-0.08943660761818427,-0.08001520815597933,-0.12948618128708383,-0.08943660761818427,-0.3092696053943929,-0.8127971234728403,-0.9077989743209146,-0.6766219010627159,-0.8127971234728403,0.39396764309908383,1.2514004382180206,0.8099639757300402,0.8184440190157148,0.8099639757300402,0.012909736590597775,-0.2453475396666671,0.2419819521526301,0.0031813830255202533,0.012909736590597775,-0.03859665130514342,-0.12250918672598964,-0.34514540158510465,-0.1687504132054126,-0.12250918672598964,-0.2107822655210431,0.3149617417206636,-0.098058309635976,0.0020403888545481677,-0.098058309635976,0.11859214623588762,-0.05339704177128776,-0.5850501421285969,-0.17328501255466566,-0.05339704177128776,-0.2979986403196821,-0.2979986403196821,-0.2979986403196821,0.021049710430993646,0.2388218529633138,0.18922837719551305,0.5271361936160721,0.24105245303385694,0.5702540700021053,0.24935499966448652,0.5339211878357345,0.02041855995687355,0.5769034395403949,0.3221411941055265,0.6667516754420677,0.5585975536643017,0.8435743847859837,0.3652632549056129,0.9992396959124182,0.527695859331778,0.8665897852440309,0.06729327067293271,0.3503545297644149
gRNA_CDK7_targ_5,CDK7,targeting,-0.16341387320870163,0.6295636862392268,0.44113594702502085,0.30242858668518197,0.44113594702502085,293.1907622687199,10647.0,0.14297899928055488,-1.263624661604587,-0.11732460407734553,-0.4126567554671259,-0.11732460407734553,0.19964165714645327,0.18970414063127017,0.07115640369986631,0.15350073382586324,0.18970414063127017,-0.8393690574475747,-1.6429562140911895,0.20329027469933486,-0.7596783322798099,-0.8393690574475747,0.01582510422081384,-0.2787167067278251,-0.014534714181397046,-0.09247543889613612,-0.014534714181397046,-0.28177835860598005,-0.20768930663056165,-0.5566391070000664,-0.3487022574122027,-0.28177835860598005,-0.5353364107773788,-0.025804578204662587,-0.03437225038734962,-0.1985044131231303,-0.03437225038734962,-1.4929504136472784,-0.15040141438457544,-0.8391319860772318,-0.8274946047030286,-0.8391319860772318,-0.20294698896648466,-0.25916605435357776,0.46477730470630724,0.0008880871287482717,-0.20294698896648466,-1.0866706285856085,-1.0866706285856085,-1.0866706285856085,0.18265481924669008,0.9946789979255426,0.37612720347577633,0.6882220278075533,0.45073050946968407,0.9999831523237149,0.18870316511530402,0.4587352099419234,0.6031163120947227,0.8702471099464023,0.02591932840679075,0.1511763507679752,0.49236898612428837,0.8109794300351,0.133665635318548,0.43082076344649844,0.4519786701047962,0.9082896158210492,9.999000099990012e-05,0.0031376172727554867
gRNA_CDK7_targ_6,CDK7,targeting,0.8254746876218572,-0.1555790022989874,0.5764673255347202,0.41545433695253003,0.5764673255347202,658.9976643047557,22406.0,0.383066402230385,1.0373989755326216,0.1389872750178565,0.5198175509269544,0.383066402230385,0.24940741739618377,0.24434336688239236,0.4430464817950518,0.312265755357876,0.24940741739618377,1.319066254449692,0.5832784100110135,0.4659353897654511,0.7894266847420522,0.5832784100110135,-0.11929380709983432,0.6100193238297144,0.5127820227990205,0.3345025131763002,0.5127820227990205,-0.4049796012647454,-0.12132024672928841,0.10325396008008952,-0.14101529597131476,-0.12132024672928841,0.4891811413010845,0.4594425099481046,0.44878271144605625,0.4658021208984151,0.4594425099481046,0.030391483819394435,0.4119591995035791,-0.3906617580427065,0.017229641760089027,0.030391483819394435,0.009824320125840436,0.25296232089014603,0.07887558978877211,0.11388741026825287,0.07887558978877211,-1.0590811684924741,-1.0590811684924741,-1.0590811684924741,0.0845126246532325,0.9975158783884411,0.08759057666894235,0.9991087247006158,0.20661302571135337,0.9999831523237149,0.06043811344476056,0.9999999858069285,0.2214426708731866,0.9999724290808834,0.1262631408398303,0.38643315526091565,0.0405694730196436,0.57654130521784,0.33466268131039056,0.9992396959124182,0.3727360363462788,0.9773221488116834,9.999000099990012e-05,0.0031376172727554867
gRNA_CDK7_targ_7,CDK7,targeting,1.0617578343188545,0.14754722452928404,0.12563071614473084,0.4449785916642897,0.14754722452928404,514.9145621362431,18972.0,0.5397246344127006,-1.5873227065520041,0.1958344712056199,-0.2839212003112279,0.1958344712056199,0.26369408807904393,0.2571853544469466,0.25688402060981497,0.2592544877119352,0.2571853544469466,0.32153364101112647,-0.2834852387287538,0.7573189491969187,0.26512245049309713,0.32153364101112647,0.22245067884094588,1.758002888911453,1.3221379841235243,1.1008638506253077,1.3221379841235243,-0.025149748145763633,-0.07052214401406157,0.08197716787576306,-0.00456490809468738,-0.025149748145763633,0.18556535423361536,-0.15952365795733583,-0.09114558494146806,-0.021701296221729508,-0.09114558494146806,0.3743877111472557,-0.021847422200349978,1.4516841854327551,0.6014081581265537,0.3743877111472557,0.08027946458055783,0.07843505246783743,-0.3380207162862056,-0.059768733079270116,0.07843505246783743,-0.1470658934457998,-0.1470658934457998,-0.1470658934457998,0.07234202653993786,0.9979166130450434,0.38843894043903177,0.7449379796776827,0.295967671303559,0.9999831523237149,0.35680000100392445,0.9700395932401151,0.005785171505513169,0.30372150403944137,0.39826905737483564,0.7381361348494918,0.4533136358998272,0.8963270287139599,0.05334362754691564,0.9245733851417908,0.566130641117564,0.9073855649088415,0.1292870712928707,0.4445260763596184
gRNA_CDK7_targ_8,CDK7,targeting,-0.7877152999238665,-0.30829468952296385,-0.027348265347226144,-0.3744527515980188,-0.30829468952296385,389.9796977992016,12233.0,-0.015860927319119263,1.4290767601239747,-0.1485103311579236,0.42156850054897727,-0.015860927319119263,0.04519264347953361,0.05869427456437657,-0.23900853770965244,-0.045040539888580755,0.04519264347953361,-2.1131342216531483,0.14099541047360314,0.1437724939637523,-0.609455439071931,0.14099541047360314,-0.09343749696718075,-0.051398265311135206,0.008283714092375865,-0.04551734939531337,-0.051398265311135206,-0.0941970598134734,-0.16997465748340865,-0.43133664654764936,-0.23183612128151046,-0.16997465748340865,-0.5969340482166129,0.3087815206120447,0.3470138599008332,0.01962044409875502,0.3087815206120447,-0.8453341122134304,-0.46091292534066897,-0.8512718993643041,-0.7191729789728011,-0.8453341122134304,-0.0624134768536337,-0.5631727917488486,-0.716306213196714,-0.4472974939330654,-0.5631727917488486,0.3806579771825004,0.3806579771825004,0.3806579771825004,0.2299993373049607,0.580102903283218,0.10341410505278643,0.9947594676719737,0.38837545656230543,0.7671960900253936,0.24715545989894824,0.533773341370228,0.640168544197699,0.9152264784854119,0.07070518603904502,0.2770943627010024,0.23545486508129096,0.7396201525279135,0.23228758216634063,0.5971808202689498,0.2402415962811091,0.6917319448326249,0.49335066493350666,0.7144316149424816
gRNA_CDK7_targ_9,CDK7,targeting,-0.2538269660821704,-0.07886718941999729,0.22272998087175044,-0.036654724876805767,-0.07886718941999729,348.79997289031587,11633.0,0.16556953182497258,-1.6063210362307896,-0.29845455724267617,-0.579735353882831,-0.29845455724267617,0.20033910136058192,0.1663375325429694,0.05168972306598079,0.13945545232317738,0.1663375325429694,-0.12002695387635973,0.022941790117298244,0.36393914074914663,0.08895132566336172,0.022941790117298244,-0.33719151901324806,0.6896405655160146,0.5689970739328091,0.3071487068118585,0.5689970739328091,-0.2906317380161221,-0.39726532865204633,-0.08834605251964305,-0.25874770639593714,-0.2906317380161221,0.5990546204371829,-0.5593425031527756,-0.5127970250094189,-0.1576949692416705,-0.5127970250094189,-0.7988759619369981,0.13928096989587493,-0.4651896428017023,-0.37492821161427514,-0.4651896428017023,-0.3127842004837594,-0.49772761041785446,-0.11746348461709774,-0.3093250985062372,-0.3127842004837594,-0.2073187673038574,-0.2073187673038574,-0.2073187673038574,0.6178524332342676,0.8848453211132956,0.2705218468495407,0.5959165845183149,0.48367464785479497,0.9999831523237149,0.5417449335969524,0.931856248695338,0.1954740351451494,0.9986507339432543,0.05428676245632749,0.2351695676208617,0.36841076835348135,0.7867710617218262,0.5079180359421172,0.886631590495866,0.37432974540703096,0.7885570664122399,0.09889011098890109,0.3918287416541364
gRNA_CDK7_targ_10,CDK7,targeting,-0.6559490882828046,0.23268666635489907,0.4487978373831611,0.008511805151751853,0.23268666635489907,235.48149340472216,7656.0,0.5690980643589792,2.226680439075164,-0.3945774187845838,0.8004003615498533,0.5690980643589792,0.27855875963681587,0.2618390582037701,0.32722304714850425,0.2892069549963634,0.27855875963681587,1.2429488636741073,0.594305918144576,0.8120028286538203,0.8830858701575012,0.8120028286538203,0.09914109874533639,0.7092766536047317,0.5497450370738481,0.452720929807972,0.5497450370738481,-0.4147844321072905,-0.6533149783289574,-0.02281604986881654,-0.3636384867683548,-0.4147844321072905,-1.1618517568331197,-0.07552596153008802,-0.019339953555356112,-0.4189058906395213,-0.07552596153008802,-0.43533314792760297,0.39285295103106305,-0.45071663663628464,-0.16439894451094153,-0.43533314792760297,-0.25720594344070385,0.4632152358203798,0.8930355354157139,0.36634827593179664,0.4632152358203798,0.1671277040387324,0.1671277040387324,0.1671277040387324,0.41891819148590664,0.8520558239597773,0.018453837802152425,0.6458843230753349,0.246375245861078,0.9999831523237149,0.05263739665788845,0.9693767850761376,0.1392880445501978,0.9999724290808834,0.01756022496373996,0.11778750431738345,0.2973229215205235,0.7680494954621498,0.4735058658605258,0.985360311770724,0.10865959190837698,0.9823127373726556,0.35886411358864106,0.647520839456041
