gRNA_id,Gene,classification,ABE_ABEMA_REP1,ABE_ABEMA_REP2,ABE_ABEMA_REP3,LFC_avg_ABE_ABEMA,LFC_median_ABE_ABEMA,base_RPM,base_RAW,ABE_ATIRMO_REP1,ABE_ATIRMO_REP2,ABE_ATIRMO_REP3,LFC_avg_ABE_ATIRMO,LFC_median_ABE_ATIRMO,ABE_DMSO_REP1,ABE_DMSO_REP2,ABE_DMSO_REP3,LFC_avg_ABE_DMSO,LFC_median_ABE_DMSO,ABE_INX_REP1,ABE_INX_REP2,ABE_INX_REP3,LFC_avg_ABE_INX,LFC_median_ABE_INX,ABE_PALBO_REP1,ABE_PALBO_REP2,ABE_PALBO_REP3,LFC_avg_ABE_PALBO,LFC_median_ABE_PALBO,ABE_RIBO_REP1,ABE_RIBO_REP2,ABE_RIBO_REP3,LFC_avg_ABE_RIBO,LFC_median_ABE_RIBO,ABE_TAGTO_REP1,ABE_TAGTO_REP2,ABE_TAGTO_REP3,LFC_avg_ABE_TAGTO,LFC_median_ABE_TAGTO,PLASMID_LIBRARY,LFC_avg_Plasmid,LFC_median_Plasmid,p_ABE_ABEMA,FDR_ABE_ABEMA,p_ABE_ATIRMO,FDR_ABE_ATIRMO,p_ABE_DMSO,FDR_ABE_DMSO,p_ABE_INX,FDR_ABE_INX,p_ABE_PALBO,FDR_ABE_PALBO,p_ABE_RIBO,FDR_ABE_RIBO,p_ABE_TAGTO,FDR_ABE_TAGTO,p_Plasmid,FDR_Plasmid
gRNA_CDK2_targ_6973,CDK2,targeting,-2.465008421856505,-1.9721777458063134,-2.503424116967178,-2.313536761543332,-2.465008421856505,985.9101687694308,1930.0,-3.2613992893995674,-1.4011646352660487,-0.20187101870202312,-1.6214783144558795,-1.4011646352660487,-0.6034443860613145,-1.72278918721531,-1.5473434148013576,-1.2911923293593273,-1.5473434148013576,0.6837304728924694,-1.3531679111845645,-2.9097613857954583,-1.1930662746958511,-1.3531679111845645,-2.9307336395116623,-4.056210737530929,-2.23007509763115,-3.072339824891247,-2.9307336395116623,-1.6120241200337873,-2.610143176418951,-1.5946093449972003,-1.9389255471499798,-1.6120241200337873,-2.0556902381143076,-2.5449745278338636,1.043287042806434,-1.1857925743805788,-2.0556902381143076,0.18068154786443946,0.18068154786443946,0.18068154786443946,0.006754072916670025,0.05563293638255325,0.017918718664124568,0.14792197703635707,0.054092798501438506,0.46761092374068713,0.12684169050781308,0.41161372115770717,0.0016643261453491807,0.028396492479926743,0.0053438561544229485,0.04466708048267667,0.23094423954472607,0.5730325583905872,0.3395660433956603,0.6738390909110527
gRNA_CDK2_targ_6974,CDK2,targeting,-1.909500369099064,-1.7342939679393676,0.10895452758139199,-1.1782799364856797,-1.7342939679393676,104.60460005992972,288.0,-1.3054005321552204,0.5500797899268458,-0.5435872598543847,-0.4329693340275864,-0.5435872598543847,0.9915672184204221,1.6309997938042171,1.2884024951894781,1.3036565024713724,1.2884024951894781,0.27847544404287133,-1.937347003399481,-3.8821650312201172,-1.847012196858909,-1.937347003399481,-0.3192812625025141,-1.4880292166879336,-0.2691641447907543,-0.692158207993734,-0.3192812625025141,-0.3125315849571236,-1.2834055001417282,-1.6697641519906445,-1.088567079029832,-1.2834055001417282,0.02973111322347576,-0.7704593694125639,1.0608065917467466,0.1066927785192195,0.02973111322347576,1.6166432749282826,1.6166432749282826,1.6166432749282826,0.07721986230449922,0.25975380510964674,0.24032456638566446,0.5503323601608991,0.009027659670613166,0.4233669167599557,0.04467155966208272,0.2659404001465716,0.3075697688860426,0.655963875652578,0.08745297162592454,0.3092750448583571,0.43253448928773797,0.9018092449336812,0.10528947105289471,0.9308054109736732
gRNA_CDK2_targ_6975,CDK2,targeting,-2.1123442741729006,-3.834101619209722,-3.1252581501962298,-3.0239013478596175,-3.1252581501962298,461.6404398478148,1153.0,-3.224881625974436,-0.7721968670498421,-0.8598219780824037,-1.6189668237022274,-0.8598219780824037,0.7177348544693328,-1.328659862794049,-0.624292146886695,-0.41173905173713704,-0.624292146886695,-0.9498069964379632,-1.7192390861283997,-2.289026457656383,-1.6526908467409154,-1.7192390861283997,-2.2637983809976103,-2.6476500947071266,-1.9027328099376521,-2.2713937618807964,-2.2637983809976103,-1.619326695387638,-2.4101162940981924,-2.194353423871345,-2.074598804452392,-2.194353423871345,-3.0034507902988707,-1.03185649502082,0.08591034357071316,-1.3164656472496592,-1.03185649502082,0.21220162490678282,0.21220162490678282,0.21220162490678282,0.000492985882963392,0.00792127802237295,0.014220330765321894,0.13603842437345512,0.28594009604565784,0.7664064593529213,0.09696670141072028,0.36042968308850487,0.01347552759671815,0.11379512465537718,0.004883766858777429,0.04166306263544662,0.21077863445357392,0.5520609125736207,0.39096090390960897,0.7210006448433719
gRNA_CDK2_targ_6976,CDK2,targeting,-3.7918979071902665,-3.1934180679443185,-2.7398170766084924,-3.241711017247692,-3.1934180679443185,179.42594593612947,494.0,-2.088306640474429,0.5013392367846354,0.8266630370978999,-0.2534347888639645,0.5013392367846354,0.3624542874888608,0.9368864416794034,0.4157660886349632,0.5717022726010758,0.4157660886349632,2.2192169115110136,-0.6631951968006997,-3.2108954884386662,-0.5516245912427841,-0.6631951968006997,-1.9291199356528637,-3.4157336300238454,-3.546806765851176,-2.963886777175962,-3.4157336300238454,-1.7760254766571153,-0.9630780511320902,-2.2276412876435856,-1.6555816051442636,-1.7760254766571153,-4.231474395454106,-2.8199620334772733,-2.708023004087724,-3.253153144339701,-2.8199620334772733,1.5790916859373347,1.5790916859373347,1.5790916859373347,0.0002954435732093518,0.005493922625409867,0.29231971167605003,0.5984259598892784,0.18107575702207157,0.9999100708580629,0.2008857613248891,0.5549990151819473,0.004448788711414698,0.05797437257788446,0.019787427026162673,0.12128959899370083,0.018207098561319225,0.1760228851673678,0.1314868513148685,0.9109979369616905
gRNA_CDK2_targ_6977,CDK2,targeting,-1.3977172839821488,-1.4958092872301696,-1.3465710083563946,-1.4133658598562377,-1.3977172839821488,469.9675415895733,1211.0,-2.73691424025261,-0.07206942273472358,0.5591984252795922,-0.749928412569247,-0.07206942273472358,0.7234073493925299,-0.3535297267008468,-2.5644585678541363,-0.7315269817208178,-0.3535297267008468,2.1317590069418193,0.5269556807843317,-1.6465481880982307,0.33738883320930674,0.5269556807843317,-1.7406841340636428,-1.8678772185395003,-1.2653695200011545,-1.6246436242014326,-1.7406841340636428,-1.4996688849469664,0.26946813458190133,-1.1695627726921556,-0.799921174352407,-1.1695627726921556,-1.3820865061415815,-2.037024739361197,2.300719652362615,-0.3727971977133877,-1.3820865061415815,0.631083440866241,0.631083440866241,0.631083440866241,0.08019231203613124,0.26811773014100443,0.0837572401733945,0.32463286296713795,0.10589190729781493,0.5599076887472323,0.1100183462023918,0.891428309735733,0.07144148312224877,0.29640038369879607,0.1502392353805058,0.42286723563730794,0.22029937763980517,0.6936395874777441,0.42925707429257076,0.7925713301153106
gRNA_CDK2_targ_6978,CDK2,targeting,-2.541730802659032,-2.6533943562619795,-1.3547373895301558,-2.183287516150389,-2.541730802659032,606.5898319546191,1450.0,-2.0705486599797847,-0.7362379328654808,-0.6116361193957571,-1.1394742374136742,-0.7362379328654808,-1.2291983004485219,-1.7028604496469055,-1.108533270635698,-1.3468640069103752,-1.2291983004485219,-1.8685292375396598,-3.8943567756088338,-1.1409543367071353,-2.301280116618543,-1.8685292375396598,-2.336291450481345,-2.1441366918646083,-1.9933073013803584,-2.1579118145754372,-2.1441366918646083,-1.0666323835728118,-2.293730497111815,-0.9564681098262962,-1.4389436635036408,-1.0666323835728118,-3.659753338555248,-0.9558882302939756,-1.4662415440400864,-2.0272943709631033,-1.4662415440400864,0.21610138042364782,0.21610138042364782,0.21610138042364782,0.01108963575047293,0.07520864020614025,0.04957063936094251,0.24727801658369783,0.056517783777145794,0.46761092374068713,0.021844475770221382,0.19755523169243927,0.01808557925736447,0.13127909504797455,0.032181384543590985,0.17236307902797116,0.08334818345199113,0.38812211534163754,0.39096090390960897,0.7210006448433719
gRNA_CDK2_targ_6979,CDK2,targeting,-1.44577176619241,-0.6479227225810636,-0.4430958075948608,-0.8455967654561115,-0.6479227225810636,312.119747729597,611.0,-1.5968031084971885,0.11630343060628451,0.6898489649448999,-0.2635502376486681,0.11630343060628451,0.22896176585040282,1.3034931946300279,-0.7081965624700496,0.2747527993367937,0.22896176585040282,-0.1281022149836387,-1.9557368272438795,-1.4145213279089166,-1.1661201233788117,-1.4145213279089166,-0.7066380229037553,-1.1585878817330075,-1.2577417108623028,-1.0409892051663554,-1.1585878817330075,-1.1136385926098833,-0.6360714192874272,-3.262401898260911,-1.6707039700527406,-1.1136385926098833,0.6563673004752698,-1.2626514549169177,0.7291305276887929,0.0409487910823817,0.6563673004752698,1.0615353498754523,1.0615353498754523,1.0615353498754523,0.22065596893857337,0.5010830007047252,0.33848310435610934,0.6373777942890991,0.277057974075794,0.9014298894328687,0.20382261613240313,0.5287248114406382,0.2082703174264725,0.5510944799351523,0.000399669919148705,0.004409691441274045,0.42361178796932,0.8885196473078272,0.27777222277772223,0.817124029223872
gRNA_CDK2_targ_6980,CDK2,targeting,-2.1987796258703987,-1.1356660659029347,-0.6304406893946504,-1.3216287937226612,-1.1356660659029347,396.62577522723353,974.0,-1.6575807080636862,-2.489684100047506,-0.47511648215635055,-1.5407937634225142,-1.6575807080636862,-0.15747990507893259,0.04038449253271692,-1.3168969953391552,-0.4779974692951236,-0.15747990507893259,-2.065242664590048,-1.9820845659911366,-1.500128210033135,-1.8491518135381064,-1.9820845659911366,-1.5210232980247698,-2.4079940993634,-1.1901579936677882,-1.7063917970186526,-1.5210232980247698,-0.3579731231399491,-1.9231783686224233,-1.421004920419788,-1.2340521373940536,-1.421004920419788,-0.9558606256144593,-1.4842946104221086,-2.1817482926807887,-1.5406345095724523,-1.4842946104221086,0.8702228830059106,0.8702228830059106,0.8702228830059106,0.08096091763434213,0.26959822673005274,0.01594441215162639,0.14111231075369882,0.27862244202329683,0.7584212854417043,0.06389422799538948,0.30474048222584893,0.05545822000004784,0.2603503159013181,0.05735478111176902,0.24861343563142935,0.17806643176285078,0.5161119869833941,0.30096990300969906,0.8155888089192469
gRNA_CDK2_targ_6981,CDK2,targeting,-1.1801325257285686,-0.49037296571558703,-1.1386284559314614,-0.9363779824585391,-1.1386284559314614,257.1529751473272,519.0,-1.4156613509767326,-0.7377744434217257,0.7809878784118373,-0.457482638662207,-0.7377744434217257,-0.5204321531336388,1.03728158409375,0.510669136273793,0.342506189077968,0.510669136273793,1.6350803452137541,-0.6862128888800553,-2.333437114078481,-0.46152321924826073,-0.6862128888800553,-3.8385649324914564,-0.7884358045573092,-1.6827526806509152,-2.103251139233227,-1.6827526806509152,-0.04534081349862944,-0.7215766043864709,-0.8661916850556234,-0.5443697009802412,-0.7215766043864709,-1.5936956661959352,-0.21064971033430097,1.7561070393403837,-0.01607944572995083,-0.21064971033430097,1.2529147524865438,1.2529147524865438,1.2529147524865438,0.1907239049674237,0.4608000915636295,0.21336694919515953,0.521598671961579,0.23156407302878113,0.9400488183817274,0.3345539460957233,0.6677025338345085,0.01885640877984502,0.13509678151793728,0.3061583651911956,0.6397627454437231,0.30313616164766,0.8409026580076009,0.2288771122887711,0.8369664672876974
gRNA_CDK2_targ_6982,CDK2,targeting,-2.006863238031166,0.5026760465197025,0.32342021476569527,-0.3935889922485894,0.32342021476569527,374.9523647029856,871.0,0.5740579752890292,0.27340228727076415,1.2339807944495444,0.6938136856697792,0.5740579752890292,0.82413510637792,1.0050491293772212,-0.8533305579287584,0.32528455927546096,0.82413510637792,2.1785289753021515,0.268133525166782,0.3009311671640515,0.9158645558776617,0.3009311671640515,-0.2491183855514597,0.4881480846681747,0.15886056785926958,0.13263008899199488,0.15886056785926958,1.468102994351476,-0.7861486981774116,0.2275639755712633,0.30317275724844256,0.2275639755712633,-0.3224305316137902,-0.5093265939754705,2.43891658990838,0.5357198214397063,-0.3224305316137902,1.072417356718186,1.072417356718186,1.072417356718186,0.292221335491911,0.5927395872328909,0.15827843794795213,0.9998027485190414,0.16295213027018798,0.9311834762895946,0.0605087553202934,0.9999758463035946,0.5424096093924413,0.9815189638863806,0.20388769988724817,0.9710858329920554,0.1055877608484217,0.9230173455601781,0.27777222277772223,0.817124029223872
