gRNA_id,Gene,classification,CBE_DMSO_REP1,CBE_DMSO_REP2,CBE_DMSO_REP3,LFC_avg_CBE_DMSO,LFC_median_CBE_DMSO,base_RPM,base_RAW,CBE_SY-5609_100nM_REP1,CBE_SY-5609_100nM_REP2,CBE_SY-5609_100nM_REP3,LFC_avg_CBE_SY-5609_100nM,LFC_median_CBE_SY-5609_100nM,CBE_SY-5609_10nM_REP1,CBE_SY-5609_10nM_REP2,CBE_SY-5609_10nM_REP3,LFC_avg_CBE_SY-5609_10nM,LFC_median_CBE_SY-5609_10nM,Plasmid,LFC_avg_Plasmid,LFC_median_Plasmid,p_CBE_DMSO,FDR_CBE_DMSO,p_CBE_SY-5609_100nM,FDR_CBE_SY-5609_100nM,p_CBE_SY-5609_10nM,FDR_CBE_SY-5609_10nM,p_Plasmid,FDR_Plasmid
gRNA_CDK7_targ_1,CDK7,targeting,0.09757826415199816,0.3982803651780954,0.31577785814800263,0.27054549582603205,0.31577785814800263,592.0450112502942,14811.0,-3.6381851572411263,-1.081082601126055,-1.331079331217148,-2.016782363194776,-1.331079331217148,-0.00857835800019768,-1.7629823244891794,-1.5115355732171696,-1.094365418568849,-1.5115355732171696,0.12361189640367645,0.12361189640367645,0.12361189640367645,0.4433491378274723,0.9317499201454962,0.11657657517792258,0.537591301073866,0.2782747031397484,0.9456512897545284,0.2493750624937506,0.6368511885948916
gRNA_CDK7_targ_2,CDK7,targeting,-0.15188164032997037,-0.9879049213385027,-0.07734803022557943,-0.4057115306313508,-0.15188164032997037,490.2329361942886,14510.0,-3.680826408047952,-2.7960198129392864,-1.418894878189667,-2.631913699725635,-2.7960198129392864,-2.5714794014404645,-2.4599419346018143,-2.616860191342578,-2.549427175794952,-2.5714794014404645,0.20793668172469967,0.20793668172469967,0.20793668172469967,0.15501869058778428,0.9180065624829741,0.35336261292421184,0.7677072684688271,0.47676456335993156,0.9999939522601892,0.3073692630736927,0.7111170238908314
gRNA_CDK7_targ_3,CDK7,targeting,1.0885021211066073,0.6547821156527832,1.3601998734058303,1.0344947033884069,1.0885021211066073,174.56353818986125,4367.0,-3.8318099485793002,0.10117456114959897,-0.8395101435288014,-1.5233818436528341,-0.8395101435288014,-0.9275726890409323,1.1681369733026832,-5.037617313071175,-1.599017676269808,-0.9275726890409323,0.42778790463234145,0.42778790463234145,0.42778790463234145,0.04535438030174226,0.3565803189761557,0.03349306962297493,0.31326087072211456,0.19606140949503156,0.8918005952080881,0.4729527047295269,0.8978865673933298
gRNA_CDK7_targ_4,CDK7,targeting,-0.15293866771985976,0.1362447048759551,0.13818158062690428,0.04049587259433321,0.1362447048759551,621.4653831549743,20382.0,-4.344682022005796,-1.6916481295507744,-2.00414022527594,-2.680156792277504,-2.00414022527594,0.026001514332186178,-0.7549676508919809,-1.9179298039809713,-0.8822986468469219,-0.7549676508919809,-0.42993161614169206,-0.42993161614169206,-0.42993161614169206,0.6235015494338785,0.9999999640647834,0.34863962245238145,0.7654258235715786,0.20069601338568904,0.8964211954756779,0.05619438056194381,0.25653956343496087
gRNA_CDK7_targ_5,CDK7,targeting,-0.63633804399994,0.6198602030777369,0.85791993484497,0.2804806979742556,0.6198602030777369,212.36027077395283,5597.0,-3.347254305352301,-4.240362217063568,1.8838100636557404,-1.9012688195867096,-3.347254305352301,-0.5564517757009939,1.8337491832227013,-1.878956578014197,-0.20055305683082988,-0.5564517757009939,-0.6232102435153908,-0.6232102435153908,-0.6232102435153908,0.3106049161634272,0.8354201193361146,0.07998435210124627,0.4663438134658169,0.06811740867026675,0.7020455301138674,0.008399160083991601,0.06459072402618893
gRNA_CDK7_targ_6,CDK7,targeting,-0.3201200421543151,0.024754381956146605,-0.381264550037039,-0.22554340341173584,-0.3201200421543151,609.5730052267869,16066.0,-1.8595751025109561,-2.7117853060467882,-1.4051811562297503,-1.9921805215958315,-1.8595751025109561,0.46290170966900684,-3.7871371737270114,-1.2999477017097647,-1.5413943885892565,-1.2999477017097647,-0.9467840558694949,-0.9467840558694949,-0.9467840558694949,0.3783162218817133,0.9999999640647834,0.1881380735349861,0.6443453346869947,0.3060683509099583,0.9528573260466414,9.999000099990012e-05,0.0011469441291165016
gRNA_CDK7_targ_7,CDK7,targeting,0.03042920758969061,0.1224927427703563,0.2476193806070014,0.1335137769890161,0.1224927427703563,517.8330192827881,15867.0,-2.9550975920471503,-3.4996078624399063,-2.646104023754566,-3.033603159413874,-2.9550975920471503,-2.756284197942607,-0.880842032316325,-3.894293046045043,-2.510473092101325,-2.756284197942607,-0.15520402276866005,-0.15520402276866005,-0.15520402276866005,0.5898404713877798,0.9999999640647834,0.6421541804082711,0.898185600558892,0.43218949964287956,0.9999939522601892,0.09379062093790623,0.316109129827758
gRNA_CDK7_targ_8,CDK7,targeting,-0.26582447855670654,-0.6391556571183631,-0.05104610573394604,-0.31867541380300524,-0.26582447855670654,346.8072159754456,13110.0,-4.202419059828484,-5.377276036261808,-2.126644523652026,-3.9021132065807724,-4.202419059828484,0.3569759042358244,-0.5692411419360044,0.6955214088518961,0.16108539038390537,0.3569759042358244,0.5494638079515514,0.5494638079515514,0.5494638079515514,0.27544024553781754,0.9999999640647834,0.2362123070198087,0.9201334336876338,0.04522483605513593,0.6112069427253519,0.4611538846115387,0.9037038989510792
gRNA_CDK7_targ_9,CDK7,targeting,0.08035474784274473,0.4844088806964887,0.3781328983651661,0.31429884230146654,0.3781328983651661,227.08169029517737,7384.0,-6.060306848116307,-2.697901634417508,-2.2861694999076874,-3.681459327480501,-2.697901634417508,-3.794896903524422,-2.1509369328010077,0.5555981323690171,-1.7967452346521375,-2.1509369328010077,0.40966077402031703,0.40966077402031703,0.40966077402031703,0.4005585130198682,0.9202175610618977,0.14529366184896517,0.9006911915948937,0.38150977707901446,0.9813153927135426,0.4597540245975402,0.8978865673933298
gRNA_CDK7_targ_10,CDK7,targeting,-0.3991150829663894,0.60616390430077,-0.41183777158531826,-0.06826298341697921,-0.3991150829663894,172.1799015137034,4538.0,-4.220470853186921,-2.222414297854387,-2.5870723960245035,-3.009985849021937,-2.5870723960245035,-2.150255947956281,-1.4409718963916824,0.8238574347106318,-0.9224568032124439,-1.4409718963916824,0.6165834823969946,0.6165834823969946,0.6165834823969946,0.4356410213208788,0.9999999640647834,0.5742463053034303,0.8753307963365403,0.2033237333045876,0.8964211954756779,0.4454554544545546,0.9037038989510792
