gRNA_id,Gene,classification,DMSO_REP1,DMSO_REP2,DMSO_REP3,LFC_avg_DMSO,LFC_median_DMSO,base_RPM,base_RAW,KB-0742_1500nM_REP1,KB-0742_1500nM_REP2,KB-0742_1500nM_REP3,LFC_avg_KB-0742_1500nM,LFC_median_KB-0742_1500nM,KI-CDK9d-32N_1250nM_REP1,KI-CDK9d-32N_1250nM_REP2,KI-CDK9d-32N_1250nM_REP3,LFC_avg_KI-CDK9d-32N_1250nM,LFC_median_KI-CDK9d-32N_1250nM,KI-CDK9d-32N_5000nM_REP1,KI-CDK9d-32N_5000nM_REP2,KI-CDK9d-32N_5000nM_REP3,LFC_avg_KI-CDK9d-32N_5000nM,LFC_median_KI-CDK9d-32N_5000nM,KI-CDK9d-32_1000nM_REP1,KI-CDK9d-32_1000nM_REP2,KI-CDK9d-32_1000nM_REP3,LFC_avg_KI-CDK9d-32_1000nM,LFC_median_KI-CDK9d-32_1000nM,KI-CDK9d-32_100nM_REP1,KI-CDK9d-32_100nM_REP2,KI-CDK9d-32_100nM_REP3,LFC_avg_KI-CDK9d-32_100nM,LFC_median_KI-CDK9d-32_100nM,SEL120_4000nM_REP1,SEL120_4000nM_REP2,SEL120_4000nM_REP3,LFC_avg_SEL120_4000nM,LFC_median_SEL120_4000nM,Senexin B_15000nM_REP1,Senexin B_15000nM_REP2,Senexin B_15000nM_REP3,LFC_avg_Senexin B_15000nM,LFC_median_Senexin B_15000nM,Senexin B_2000nM_REP1,Senexin B_2000nM_REP2,Senexin B_2000nM_REP3,LFC_avg_Senexin B_2000nM,LFC_median_Senexin B_2000nM,T0_REP1,T0_REP2,T0_REP3,LFC_avg_T0,LFC_median_T0,p_DMSO,FDR_DMSO,p_KB-0742_1500nM,FDR_KB-0742_1500nM,p_KI-CDK9d-32N_1250nM,FDR_KI-CDK9d-32N_1250nM,p_KI-CDK9d-32N_5000nM,FDR_KI-CDK9d-32N_5000nM,p_KI-CDK9d-32_1000nM,FDR_KI-CDK9d-32_1000nM,p_KI-CDK9d-32_100nM,FDR_KI-CDK9d-32_100nM,p_SEL120_4000nM,FDR_SEL120_4000nM,p_Senexin B_15000nM,FDR_Senexin B_15000nM,p_Senexin B_2000nM,FDR_Senexin B_2000nM,p_T0,FDR_T0
gRNA_CDK7_targ_1,CDK7,targeting,-1.8771345657930916,-2.421584312293222,-1.7428856539280804,-2.0138681773381317,-1.8771345657930916,447.617227161692,7901.0,-1.7994111379272988,-3.8715272477495883,-1.1535552505617443,-2.274831212079544,-1.7994111379272988,-3.378145772934364,-3.5048183940245,-1.3696010309260553,-2.7508550659616398,-3.378145772934364,-6.806399153709089,-3.54755138442144,-1.8379962184468812,-4.06398225219247,-3.54755138442144,-0.9628808297134166,-3.4950996585660072,-3.663704590899372,-2.7072283597262654,-3.4950996585660072,-1.868222839223389,-2.7789131040891975,-2.614379101292949,-2.420505014868512,-2.614379101292949,-1.1977616228315264,-1.708071267120395,-2.147213329337579,-1.684348739763167,-1.708071267120395,-2.033776236372206,-1.3196978651314466,-2.619928466457337,-1.9911341893203298,-2.033776236372206,-1.472973508228222,-2.4318188598534496,-1.0835206270985238,-1.6627709983933983,-1.472973508228222,-0.31727440281577207,-0.5322370806355081,-0.43785858461428406,-0.4291233560218548,-0.43785858461428406,0.00855873188840299,0.09346135222136066,0.02123048104278812,0.21610416233601906,2.2433114764104221e-07,9.721016397778496e-06,0.0001347695324205683,0.004380009803668469,0.004350405465856348,0.044301668170594784,1.5311589135005486e-05,0.00029645842793308495,0.0963630679201677,0.6092407708176278,0.06551683957074654,0.3512053507390437,0.08283368406379894,0.48071595611533496,0.6095738653260743,1.0
gRNA_CDK7_targ_2,CDK7,targeting,-2.143366723296436,-0.7029980714113043,-0.14760884689250772,-0.9979912138667494,-0.7029980714113043,483.5920327872679,8536.0,-0.6603130661921283,-1.3712918259593259,-0.4458287073998011,-0.8258111998504184,-0.6603130661921283,-0.6529122429831958,-0.6218331108199323,-0.6859226655767877,-0.653556006459972,-0.6529122429831958,-3.3920529417055794,-1.5170154784297099,-0.5612147350304236,-1.8234277183885712,-1.5170154784297099,-1.496212389742022,-1.375139743180427,-1.029090703592311,-1.3001476121715865,-1.375139743180427,-0.3341720893478198,-0.5725110048492517,-0.5422516463843838,-0.48297824686048507,-0.5422516463843838,-1.5808365524028303,-0.54082856066742,-0.7923472629760996,-0.9713374586821165,-0.7923472629760996,-1.3684290030998745,-0.29434361377512974,-2.0863439801248904,-1.2497055323332982,-1.3684290030998745,-0.44423540895627134,-1.1893449177354922,-0.34094162019375507,-0.6581739822951729,-0.44423540895627134,-0.2982245353418122,-1.1626542173609282,-0.6541616719738821,-0.7050134748922074,-0.6541616719738821,0.17506780381260167,0.6143175980904633,0.44173110418692974,0.853450753312327,0.296786619535523,0.8344258201153221,0.12834198439861996,0.35355561796996215,0.12492000546274012,0.42015586295821733,0.33292647796695213,0.8875871922361126,0.3846294665297983,1.0,0.2945868243001771,0.7939013132670122,0.5295745474489519,0.999999009598617,0.28794762586395506,1.0
gRNA_CDK7_targ_3,CDK7,targeting,-2.833416442320479,0.09865716763665326,-0.08268953131536999,-0.939149601999732,-0.08268953131536999,147.0718037858186,2596.0,-1.1015002242616976,-3.125006562018452,-0.6239615523159454,-1.6168227795320318,-1.1015002242616976,-0.6001317169531781,-0.6838476761601227,-0.6770441744218605,-0.6536745225117204,-0.6770441744218605,-5.781424853262661,-0.7724561131396476,-0.9878380550487905,-2.5139063404837,-0.9878380550487905,-1.3671812374249903,-2.263191166355466,-1.4172325006918995,-1.6825349681574517,-1.4172325006918995,-0.47346413320847824,-1.3243231910842683,-1.1871250659911958,-0.9949707967613142,-1.1871250659911958,-2.300958205469188,0.016216545652855414,-0.35974798564332466,-0.8814965484865525,-0.35974798564332466,-1.4711043538449367,-0.20007098378552404,-2.843433564686391,-1.5048696341056171,-1.4711043538449367,-0.6800008016050353,-1.9334003342109307,-0.5049444039212531,-1.0394485132457396,-0.6800008016050353,-0.9415916529650311,-1.6829073916714077,-0.9912357488679383,-1.2052449311681257,-0.9912357488679383,0.09332792358735145,0.4454287262123592,0.09264709583300146,0.439456495078499,0.29542497151349995,0.833415776523379,0.05685041065464144,0.21725816273915996,0.05626310788156806,0.2531797158673825,0.04543661339974528,0.2371739093332784,0.37007077853388237,0.8780914844781497,0.14907376772763795,0.5373560583227404,0.2763652252977036,0.8642348969790731,0.04596778176746454,0.45211383187111337
gRNA_CDK7_targ_4,CDK7,targeting,-1.9464468728302124,0.2094806454480951,-0.5246056315952918,-0.7538572863258031,-0.5246056315952918,298.16598741323696,5263.0,-0.6035548054437301,-2.444916924036746,0.3981953666838541,-0.8834254542655406,-0.6035548054437301,0.2915993688824801,0.4269726064071966,-0.07083065646482821,0.21591377294161615,0.2915993688824801,0.3326899365496592,-3.6380530167468725,-0.8843411679944977,-1.3965680827305702,-0.8843411679944977,0.0548268055209698,-0.6831333041016786,-0.24084521452694768,-0.28971723770255214,-0.24084521452694768,0.24543724698952743,-0.6716866249492435,-0.390706542493367,-0.2723186401510277,-0.390706542493367,-0.7948147582143824,0.30355684731994426,-0.42295370298992885,-0.3047372046281223,-0.42295370298992885,-2.072421154322318,0.8844764515766381,-1.3670737811258422,-0.851672827957174,-1.3670737811258422,0.24676878404596056,-0.9852195166864374,-1.074744093246996,-0.6043982752958242,-0.9852195166864374,-1.1053345607794471,-1.037739827724779,-0.06730942610861243,-0.7367946048709461,-1.037739827724779,0.2646788073643616,0.7692033586846708,0.33268888849149936,0.7543624536335714,0.18660022011308647,0.6100821567769174,0.2157427650555021,0.48316468302011545,0.5965038784831256,1.0,0.4674417316306575,1.0,0.31951031894520526,0.6884476485559671,0.36052357946442004,0.889220818615918,0.465028440317245,0.999999009598617,0.22980522091592073,1.0
gRNA_CDK7_targ_5,CDK7,targeting,2.2813675572588274,2.527256535113096,0.3421499684812511,1.7169246869510582,2.2813675572588274,80.61755654361319,1423.0,0.8781788675392743,0.8512312157653308,1.7053650098390165,1.144925031047874,0.8781788675392743,1.8167497385852822,1.8009113037821018,1.7718933356064488,1.7965181259912777,1.8009113037821018,1.770353176147155,-1.4762262525801302,0.13788356644253708,0.14400349666985393,0.13788356644253708,0.678103603824989,0.08888540475396511,1.2194963748681977,0.662161794482384,0.678103603824989,1.487432859628253,1.7406201766073235,0.4657820088398696,1.231278348358482,1.487432859628253,-0.10283969429202788,1.8409879648036662,1.8500932987873058,1.196080523099648,1.8409879648036662,-0.4245198297339372,1.892229875775462,0.410761578356005,0.62615720813251,0.410761578356005,1.648718195736077,0.4618485023920984,1.6556011562772692,1.2553892848018149,1.648718195736077,1.480609414371759,1.4844783314455803,1.5491956666875815,1.5047611375016403,1.4844783314455803,9.974536768911221e-06,0.0004064251549123528,0.010321584323562777,0.12041848377489907,4.1025318572854354e-10,2.2856963204876e-08,0.14127218648773143,0.7500751616825713,0.05369532983494948,0.3473655223919717,2.024122601390172e-05,0.0006060675402273618,0.00022417070371678717,0.003510023127479519,0.036832055272241926,0.27333611216577275,0.001223047832600043,0.018971139676125667,4.1025318572854354e-10,1.3023153453940975e-08
gRNA_CDK7_targ_6,CDK7,targeting,2.8272569923440902,1.7828995691799205,3.4764241161070983,2.6955268925437035,2.8272569923440902,134.15486570293467,2368.0,2.64059929303627,4.163380635392681,2.6534380368152446,3.1524726550813984,2.6534380368152446,2.6718067723316965,2.680656772688646,3.088334253015991,2.8135992660121105,2.680656772688646,3.082005493289048,3.319840832932513,2.6104317921370415,3.004092706119534,3.082005493289048,2.155239518631937,2.6060825847847466,2.7204384810965108,2.4939201948377314,2.6060825847847466,2.278357892807803,2.3413486840295072,2.829320916480854,2.483009164439388,2.3413486840295072,3.2342845537693683,2.8387765144758745,2.888064502480223,2.9870418569084887,2.888064502480223,2.834942659050457,2.6860544427452027,1.8244478224733096,2.44848164142299,2.6860544427452027,2.590121586715248,2.837325855893768,3.0564856524622113,2.827977698357076,2.837325855893768,2.4848167249182134,2.3089121292660404,2.4255779612257293,2.406435605136661,2.4255779612257293,3.18059476928799e-08,3.2159347111689676e-06,4.1025318572854354e-10,1.2444346633765822e-07,4.1025318572854354e-10,2.2856963204876e-08,4.1025318572854354e-10,5.0908690774496536e-08,1.30306619774024e-08,1.3682195076272518e-06,4.1025318572854354e-10,3.612874829157819e-08,4.1025318572854354e-10,3.9999685608532997e-08,6.881514275664861e-08,6.9579755453944715e-06,4.1025318572854354e-10,5.894690510731178e-08,4.1025318572854354e-10,1.3023153453940975e-08
gRNA_CDK7_targ_7,CDK7,targeting,1.4939309352991372,0.513511389308477,-0.10335260972260794,0.6346965716283355,0.513511389308477,394.3631841883988,6961.0,0.9867125087373553,-1.118037449070247,0.25745889132514005,0.042044650330749465,0.25745889132514005,-0.11700042940438626,-0.11988790955691783,0.3974703059240644,0.053527322320920105,-0.11700042940438626,1.5411931438447553,-0.27775000707013725,1.2092328642796537,0.8242253336847573,1.2092328642796537,1.282366391267301,1.2183594960930182,0.7075573272463158,1.0694277382022117,1.2183594960930182,0.14055705227307747,0.18488774254131182,0.25623702755488365,0.19389394078975764,0.18488774254131182,0.6835397899308467,-0.0027549858079584507,0.07366808685439036,0.25148429699242625,0.07366808685439036,0.12041437015442555,0.13211260780344666,0.10879688704762946,0.12044128833516722,0.12041437015442555,0.14316190631702344,0.07818250197442882,-0.8807335670726683,-0.21979638626040532,0.07818250197442882,0.24241285862602072,0.5156114456220534,0.03144643692257922,0.2631569137235511,0.24241285862602072,0.024956361938892915,0.17364078887432702,0.2042382853869343,0.7722583367123693,0.31940811163290334,0.8799032742258589,0.05602769007868969,0.4167727354627326,0.010573624599327845,0.12077822241073229,0.30467208439270504,0.8935214683297811,0.05218521895675019,0.23370902559604476,0.1378436071815883,0.5653065405700218,0.3996617243035178,0.9009715172160229,0.030604865692491556,0.11767786385986188
gRNA_CDK7_targ_8,CDK7,targeting,-0.728157991654018,-0.6250231004457937,-0.9229674027562632,-0.758716164952025,-0.728157991654018,631.7969013171991,11152.0,-0.13379837279006965,-1.6552777931272036,-0.6949003982285445,-0.827992188048606,-0.6949003982285445,-0.28212087520194357,-0.23009845893379424,-0.49991210825916593,-0.3373771474649679,-0.28212087520194357,-3.6992446163816064,-0.3714943602470297,0.044788759704032385,-1.3419834056415345,-0.3714943602470297,-0.5143972512648026,-0.5209853809032106,-0.37405158916796005,-0.46981140711199115,-0.5143972512648026,-0.7230512372533308,-0.6056093979240958,-0.9298496711109391,-0.7528367687627885,-0.7230512372533308,-0.8947069214013241,-0.08647293082195799,-0.02623591280068166,-0.3358052550079879,-0.08647293082195799,-1.7690016107229367,-0.9354506798294924,-1.4024847514313106,-1.3689790139945799,-1.4024847514313106,-0.555543968000359,-1.0662823939443353,-0.3590948279379654,-0.6603070632942198,-0.555543968000359,-0.3962761769101996,-0.5525737906490602,-0.23464128096315712,-0.39449708284080565,-0.3962761769101996,0.42083140433789107,0.9630089973532628,0.4214712618852012,0.8336070578030204,0.587471638478321,1.0,0.23710829974112943,0.5182591339417801,0.5453053392712539,0.9800418539898111,0.14638296192779576,0.5378539516324125,0.3833953889027164,0.7598802794765066,0.281976204235606,0.7770508283486669,0.5198104122606471,0.999999009598617,0.6383724892998104,0.9982293573694757
gRNA_CDK7_targ_9,CDK7,targeting,0.3109507407131791,0.44175565924648863,0.7586939717078294,0.5038001238891657,0.44175565924648863,330.1750664344186,5828.0,1.021707068601812,-0.6312627036868492,-0.1680298420936451,0.07413817427377253,-0.1680298420936451,1.0605660224228524,1.0392547294464978,0.535283541274449,0.8783680977145997,1.0392547294464978,-0.570533467318682,-0.23602203508533667,1.2964443882825873,0.1632962952928562,-0.23602203508533667,0.37400070366716004,1.8181340631737952,1.613249157540765,1.2684613081272402,1.613249157540765,0.11817851569079257,0.08678697456151989,0.4142988372885006,0.20642144251360436,0.11817851569079257,0.8116081706218004,-0.22416856984809966,-0.13165539187002367,0.15192806963455902,-0.13165539187002367,0.2433404003012264,0.5516784606412558,0.46221421723525874,0.41907769272591366,0.46221421723525874,-0.1085539511791013,0.36922697275899574,0.9187857135571199,0.39315291171233807,0.36922697275899574,0.0866662144472196,0.3632626489199123,0.3524807634795736,0.2674698756155685,0.3524807634795736,0.05942082734328332,0.3090994150483202,0.2305227285992064,0.8248060931531238,0.004557535577329759,0.046425642261605386,0.25721029968778697,1.0,0.0027337783975832763,0.04814977435743448,0.2919182621605887,0.8750175193679893,0.07704057869603113,0.2966442592950141,0.07766845442158542,0.4173914971868665,0.0676141167663939,0.3325883581482078,0.03231047883284574,0.12303540663536043
gRNA_CDK7_targ_10,CDK7,targeting,-0.6941679161163427,-0.22894466808890396,0.8960300681135301,-0.009027505363905472,-0.22894466808890396,265.59037601999904,4688.0,0.3529828029660873,2.595168511050174,-0.7700700722465026,0.7260270805899195,0.3529828029660873,0.1389240620793628,0.20974902576453522,-0.035658991062581503,0.10433803226043885,0.1389240620793628,0.33059017910420796,-0.5438280704611568,0.44867409551790427,0.07847873472031848,0.33059017910420796,-0.4431980939591676,1.373945770378763,0.9690392842571038,0.6332623202255664,0.9690392842571038,-0.6077283839902683,-0.7583334973777089,-0.23359742004363893,-0.5332197671372053,-0.6077283839902683,-1.8884333924924366,-0.37783593453115055,-0.4065081046336654,-0.8909258105524175,-0.4065081046336654,-0.2625697857495534,-0.8685966780277812,-0.144142706951387,-0.4251030569095739,-0.2625697857495534,-0.5132520792340544,0.9777352838625721,0.6125008040960295,0.3589946695748491,0.6125008040960295,0.10760861452698207,-0.44019326756880456,-0.6494949088526495,-0.327359853964824,-0.44019326756880456,0.1825284481785169,0.6341614675816809,0.0009841961895919655,0.01815442971341936,0.31698065660947217,0.8767550076432209,0.40249646930934524,1.0,0.04014064565738268,0.28449108443883847,0.28317101652137183,0.8066409403895434,0.42301098861851794,0.9708663729458791,0.4200934420388335,0.983056548639469,0.061487644670607085,0.3124772830284321,0.46747157678511986,0.84628475107651
