gRNA_id,Gene,classification,ABE_ABEMA_REP1,ABE_ABEMA_REP2,ABE_ABEMA_REP3,LFC_avg_ABE_ABEMA,LFC_median_ABE_ABEMA,base_RPM,base_RAW,ABE_ATIRMO_REP1,ABE_ATIRMO_REP2,ABE_ATIRMO_REP3,LFC_avg_ABE_ATIRMO,LFC_median_ABE_ATIRMO,ABE_DMSO_REP1,ABE_DMSO_REP2,ABE_DMSO_REP3,LFC_avg_ABE_DMSO,LFC_median_ABE_DMSO,ABE_INX_REP1,ABE_INX_REP2,ABE_INX_REP3,LFC_avg_ABE_INX,LFC_median_ABE_INX,ABE_PALBO_REP1,ABE_PALBO_REP2,ABE_PALBO_REP3,LFC_avg_ABE_PALBO,LFC_median_ABE_PALBO,ABE_RIBO_REP1,ABE_RIBO_REP2,ABE_RIBO_REP3,LFC_avg_ABE_RIBO,LFC_median_ABE_RIBO,ABE_T0_REP1,ABE_T0_REP2,ABE_T0_REP3,LFC_avg_ABE_T0,LFC_median_ABE_T0,ABE_TAGTO_REP1,ABE_TAGTO_REP2,ABE_TAGTO_REP3,LFC_avg_ABE_TAGTO,LFC_median_ABE_TAGTO,p_ABE_ABEMA,FDR_ABE_ABEMA,p_ABE_ATIRMO,FDR_ABE_ATIRMO,p_ABE_DMSO,FDR_ABE_DMSO,p_ABE_INX,FDR_ABE_INX,p_ABE_PALBO,FDR_ABE_PALBO,p_ABE_RIBO,FDR_ABE_RIBO,p_ABE_T0,FDR_ABE_T0,p_ABE_TAGTO,FDR_ABE_TAGTO
gRNA_CDK2_targ_6973,CDK2,targeting,-7.235296002871363,-6.104228565616505,-5.672155313813689,-6.337226627433853,-6.104228565616505,1450.8330589822542,5394.0,-5.558294400549984,-4.750340042458648,-1.7487230108693634,-4.019119151292665,-4.750340042458648,-0.7969462731243352,-2.2517902201255446,-1.386754748528095,-1.4784970805926585,-1.386754748528095,0.9182548819473786,-1.6634010060645328,-4.537429850669173,-1.7608586582621089,-1.6634010060645328,-7.860007185702006,-6.414392053605682,-3.891633007736699,-6.055344082348128,-6.414392053605682,-1.9683258121123108,-3.1696157795293227,-3.5394661091773143,-2.8924692336063154,-3.1696157795293227,-0.1891301263889382,-1.4579740412913276,-0.7391959868185392,-0.795433384832935,-0.7391959868185392,-2.4791250110510425,-3.2125242241087797,1.1836887908124214,-1.5026534814491335,-2.4791250110510425,3.735415180625086e-05,0.0013006692383054764,0.000378542465656232,0.006664763624053872,0.27558191295460194,0.8414908965680188,0.17755122515099933,0.5219312213586215,7.607884817177006e-06,0.00027076505462995953,0.02241928226034384,0.158563727097731,0.4514063720332172,0.996027952310903,0.42163735524568147,0.8416936183069402
gRNA_CDK2_targ_6974,CDK2,targeting,-7.229237777852136,-7.803552610415601,-6.251470781818003,-7.094753723361914,-7.229237777852136,364.9945237372857,1357.0,-2.521519683687971,-1.8708917917193597,-7.642831789845747,-4.011747755084359,-2.521519683687971,-0.8340494317845787,-3.0430428419691697,-4.472114410557906,-2.7830688947705515,-3.0430428419691697,-0.9024775817314634,-3.0155699287329507,-5.488274967584848,-3.1354408260164206,-3.0155699287329507,-3.1057526157995725,-7.019676044088453,-2.481258295831457,-4.202228985239828,-3.1057526157995725,-3.5801615993674964,-4.944253874430742,-6.888786483819626,-5.137733985872622,-4.944253874430742,-1.3441240342015546,-2.549005293345704,-0.8240776928155692,-1.5724023401209426,-1.3441240342015546,-1.0798730918916892,-1.8442226767960237,0.1929294161912698,-0.9103887841654811,-1.0798730918916892,1.2944962876958279e-06,6.910939858505146e-05,0.0032084505864278753,0.02765617562780278,0.04604221748428208,0.4379302869913037,0.042066356131789474,0.234410166323608,0.00015937916998720047,0.0029181819758687813,0.0003592035382343338,0.012648550122932391,0.08721343355177744,0.6590619555156053,0.5946804246045863,0.9965795725870751
gRNA_CDK2_targ_6975,CDK2,targeting,-5.681805180009313,-5.556516943929235,-2.796570234061675,-4.678297452666741,-5.556516943929235,616.7519844728048,2293.0,-3.823423288003952,-1.936133830042453,-2.753471230185774,-2.837676116077393,-2.753471230185774,-0.4126151063592977,-0.9935622338443689,-0.6914720128918436,-0.6992164510318367,-0.6914720128918436,-2.253354476235771,-2.2072224886309333,-3.25596329913935,-2.572180088002018,-2.253354476235771,-3.910372976086135,-3.3819165000530087,-2.43857316775739,-3.243620881298845,-3.3819165000530087,-2.0427283325653414,-4.037340835534275,-4.829663622830394,-3.6365775969766703,-4.037340835534275,0.14664889593359573,-0.21649734225763187,-1.196095303194897,-0.4219812498396444,-0.21649734225763187,-2.5928368988932244,-3.125059341291276,-1.1824941209543098,-2.3001301203796034,-2.5928368988932244,0.0006243850496512253,0.008757264891294728,0.007645740810393232,0.04866808092769538,0.5785961358896801,0.9999938473325416,0.14133252628650472,0.45426389051011684,0.027149037508164643,0.1353363164940135,0.005026037721076356,0.06708139055146266,0.48348879943966583,0.8266259949097593,0.2906019829573727,0.7108806063248214
gRNA_CDK2_targ_6976,CDK2,targeting,-6.067013116925564,-5.586356250715197,-7.513284673862424,-6.388884680501062,-6.067013116925564,644.9940073117252,2398.0,-6.115155332321839,-3.5713699492877446,-2.555372799975415,-4.080632693861666,-3.5713699492877446,-1.4415106037739513,-1.7793914105470219,-0.39760512644644636,-1.2061690469224733,-1.4415106037739513,-3.757923424633212,-3.8352686482031157,-4.379119760811712,-3.990770611216013,-3.8352686482031157,-6.930818975288127,-5.804372204567008,-9.335376971316592,-7.356856050390576,-6.930818975288127,-4.537010475911923,-4.957127711123302,-6.411902698988146,-5.302013628674458,-4.957127711123302,-3.8653101255645663,-3.5449777009662453,-0.9814249982894373,-2.7972376082734165,-3.5449777009662453,-5.023235493203452,-4.091081478784902,-4.083701966218375,-4.39933964606891,-4.091081478784902,1.2944962876958279e-06,6.910939858505146e-05,0.0006168335567522506,0.008578651566596427,0.3407585131342551,0.9002345125136098,0.012259447490122819,0.11285845789858337,2.3283734675278376e-08,1.8349800422659862e-06,0.000178625472206499,0.007914614614313581,7.477467885180936e-07,4.267313568956707e-05,0.04718190208205792,0.2902827061182374
gRNA_CDK2_targ_6977,CDK2,targeting,-1.7696074665141721,-3.5445956951129682,-3.0327236149149117,-2.7823089255140174,-3.0327236149149117,885.7236305577611,3293.0,-3.1666058877817087,-1.0680774126759585,-0.23128238175543703,-1.488655227404368,-1.0680774126759585,0.30060530864658513,-0.8261171797590924,-2.48673529764634,-1.0040823895862825,-0.8261171797590924,-1.1972912119117354,-2.31634042295185,-1.644832356950505,-1.7194879972713633,-1.644832356950505,-4.536046289263773,-2.1790726246531977,-2.3125643611643008,-3.009227758360424,-2.3125643611643008,-3.348924557658248,0.39746783257500634,-1.7314351570784838,-1.560963960720575,-1.7314351570784838,-0.6188677509047869,-1.0597460087398667,-0.8269390187394926,-0.8351842594613821,-0.8269390187394926,-5.480199234505491,-1.7736888444030825,-0.9865614199277961,-2.746816499612123,-1.7736888444030825,0.0309880119783984,0.1332082073357126,0.12507758585908285,0.36767922663726843,0.45307480480155493,0.9999938473325416,0.3443607439754227,0.7530530549084501,0.029518125542154248,0.14453401707770794,0.17595817377935657,0.5353139294206528,0.4919813468449553,1.0,0.156110521668337,0.5155607612497046
gRNA_CDK2_targ_6978,CDK2,targeting,-2.779848778174212,-4.283075621257907,-1.6516616100306138,-2.904862003154244,-2.779848778174212,931.7177820382886,3464.0,-2.8824996466430735,-0.8813077148180855,-1.2624546777137546,-1.675420679724971,-1.2624546777137546,-3.3688170080766215,-2.061499633927527,-2.5492651076905575,-2.6598605832315685,-2.5492651076905575,-2.9372469633195224,-4.3651884889546055,-1.615924873279421,-2.9727867751845167,-2.9372469633195224,-2.5143975987447185,-2.14602336109038,-3.2532699625423893,-2.6378969741258294,-2.5143975987447185,-1.5220524506726538,-2.879955977174,-1.3972353657366192,-1.9330812645277577,-1.5220524506726538,-0.7992710386728631,-0.38251691204370636,0.8257765316505498,-0.11867047302200655,-0.38251691204370636,-4.828163725407787,-4.491596050486428,-1.9169259999518367,-3.745561925282017,-4.491596050486428,0.031122900355490035,0.13344145100605181,0.10274799090784291,0.3172535913292538,0.05868605815592697,0.4784503756062027,0.06771746325301509,0.2988597378233066,0.06639941913708766,0.24366083962722854,0.13022781438591619,0.4556596888133008,0.1914601216278281,0.48906480335467106,0.0706453958705416,0.35322697935270797
gRNA_CDK2_targ_6979,CDK2,targeting,-3.1662382445569897,-1.5586158645659447,-2.3961927658010787,-2.373682291641338,-2.3961927658010787,856.4057211345009,3184.0,-2.4782928556124175,-0.903935159999867,-0.8665399466845922,-1.4162559874322922,-0.903935159999867,-0.49443667883477094,-2.0118557762748135,-1.1302104725147812,-1.2121676425414554,-1.1302104725147812,-1.3346833499245176,-4.243725910390469,-2.137559558209016,-2.5719896061746677,-2.137559558209016,-1.3577233663366932,-2.498322411464296,-2.4007533974040944,-2.085599725068361,-2.4007533974040944,-2.7158698606176,-1.0932369223926384,-6.46954600086929,-3.426217594626509,-2.7158698606176,-1.7058093332282929,-0.6615271605538028,-1.0044505064345695,-1.1239290000722217,-1.0044505064345695,-2.7008127978433265,-1.9012271956160067,0.15747771855396053,-1.4815207583017909,-1.9012271956160067,0.07856158082121212,0.2653457474675634,0.18554663624657805,0.4913274927809387,0.3495039608751862,0.9002345125136098,0.1166452005667474,0.4039543346729546,0.13121205193155294,0.3933984528020292,0.008143266788554138,0.09424550024515455,0.270141282323933,1.0,0.45534867723176853,0.8747921140175848
gRNA_CDK2_targ_6980,CDK2,targeting,-3.5176801299239258,-2.872767763017124,-1.5439990745693697,-2.6448156558368066,-2.872767763017124,922.5727460714002,3430.0,-3.3412948623953724,-3.789832210086861,-1.263745887016116,-2.7982909864994494,-3.3412948623953724,-3.0118391511368445,-2.1008107060714143,-3.297367394189036,-2.8033390837990986,-3.0118391511368445,-3.866163834328138,-3.146912425020831,-6.213534897334364,-4.408870385561111,-3.866163834328138,-6.388892776748727,-6.070330586156712,-3.4991426022572973,-5.319455321720912,-6.070330586156712,-2.1881768887166984,-3.84326070192131,-3.49126229293708,-3.1742332945250293,-3.49126229293708,-1.2826403699617324,-1.1266417480582738,-0.4461912706061705,-0.9518244628753924,-1.1266417480582738,-2.2138753374300277,-3.3182320560988923,-3.5849646161238424,-3.0390240032175875,-3.3182320560988923,0.043467735098122635,0.16887113048683794,0.007976276737900094,0.05019292015674775,0.05056787342123186,0.4451636929290572,0.0036632251064491533,0.05181741496729358,0.0004793240546613905,0.006838631986763804,0.011286772770897251,0.11370918097066961,0.3624073481768262,1.0,0.17150480027996892,0.5338727373572042
gRNA_CDK2_targ_6981,CDK2,targeting,-2.9316031998872942,-3.1486915746470467,-2.870772493937574,-2.9836890894906385,-2.9316031998872942,760.6518151282564,2828.0,-3.7716033856434703,-1.3051698470142894,-0.6126935027597828,-1.8964889118058477,-1.3051698470142894,-1.4780793351065886,-1.386784976791699,-0.42657095959095565,-1.0971450904964144,-1.386784976791699,0.6381145159750196,-1.3632669929113597,-2.8724221298343577,-1.1991915355902327,-1.3632669929113597,-4.731157080630166,-1.759630975165286,-3.538567862203123,-3.3431186393328587,-3.538567862203123,-1.5922183951098774,-1.9803565316583116,-1.3850495334728774,-1.6525414867470218,-1.5922183951098774,-3.0146569157936853,-2.3095075735168917,-0.9693318234823894,-2.0978321042643224,-2.3095075735168917,-2.8784239984275244,-1.1475148471040604,0.8212956480912224,-1.0682143991467872,-1.1475148471040604,0.024297165486776722,0.11232348849333931,0.0608548280163707,0.21847015264011607,0.3741197349535849,0.9395571492385175,0.4410343593453253,0.8313346978547989,0.012790302943261595,0.08141519758114593,0.19395879716623415,0.5631610689651184,0.0082617827493345,0.12660417083470923,0.5209150088087755,0.9624441692237768
gRNA_CDK2_targ_6982,CDK2,targeting,-2.8316672210484155,-0.4893724504784917,-0.2031221212470591,-1.1747205975913222,-0.4893724504784917,839.4605074311486,3121.0,-1.0112536904795668,-0.46753538484279045,0.5611017014677181,-0.3058957912848797,-0.46753538484279045,-0.07243387880002894,-1.4127037173006185,-1.1618263454485527,-0.8823213138497333,-1.1618263454485527,1.876745095487617,-0.47218960704205853,-0.43944750663745885,0.32170266060269986,-0.43944750663745885,-0.38034465507476056,-0.6326678880103289,-0.9446014916968889,-0.6525380115939928,-0.6326678880103289,-0.9476206735234934,-1.7524725491769102,-0.33231956549722985,-1.0108042627325446,-0.9476206735234934,-0.7218024052171556,-0.5143507696438318,-0.8951783871868084,-0.7104438540159319,-0.7218024052171556,-0.7196950986049196,-2.5038956394090546,2.0383964494139137,-0.3950647628666868,-0.7196950986049196,0.32233271158174104,0.6878133177390306,0.506612735649816,0.999999990087476,0.4441865626611403,0.9999938473325416,0.13981176070630408,0.7794739543047823,0.5611192391592266,0.942794254627939,0.39886011605117355,0.832709545948079,0.5737059390608366,0.996027952310903,0.21619507331620075,0.9802817707898965
