gRNA_id,Gene,classification,ABE_SY-5609_100nM_REP1,ABE_SY-5609_100nM_REP2,ABE_SY-5609_100nM_REP3,LFC_avg_ABE_SY-5609_100nM,LFC_median_ABE_SY-5609_100nM,base_RPM,base_RAW,ABE_SY-5609_10nM_REP1,ABE_SY-5609_10nM_REP2,ABE_SY-5609_10nM_REP3,LFC_avg_ABE_SY-5609_10nM,LFC_median_ABE_SY-5609_10nM,ABE_T0_REP1,ABE_T0_REP2,ABE_T0_REP3,LFC_avg_ABE_T0,LFC_median_ABE_T0,Plasmid,LFC_avg_Plasmid,LFC_median_Plasmid,p_ABE_SY-5609_100nM,FDR_ABE_SY-5609_100nM,p_ABE_SY-5609_10nM,FDR_ABE_SY-5609_10nM,p_ABE_T0,FDR_ABE_T0,p_Plasmid,FDR_Plasmid
gRNA_CDK7_targ_1,CDK7,targeting,0.5065151138718472,0.5733945586371945,0.7066161603980261,0.5955086109690225,0.5733945586371945,732.9460992126851,16331.0,0.1974795554433599,0.04743252547029035,0.23289679081454118,0.15926962390939714,0.1974795554433599,0.1748720148594929,-0.029103343236141405,-0.3169070863063838,-0.057046138227677436,-0.029103343236141405,-0.5948629119289877,-0.5948629119289877,-0.5948629119289877,0.2890243105812226,0.9810632967487204,0.5600871556069735,0.8957080839205112,0.4394754032205588,0.8259163353364541,0.038796120387961194,0.23962309651387795
gRNA_CDK7_targ_2,CDK7,targeting,-0.5595550384932181,-0.5338857395119414,0.024477592441045477,-0.35632106185470475,-0.5338857395119414,399.163133843528,11378.0,-1.3155849289855968,-0.4628004658168607,-0.664594272268772,-0.8143265556904099,-0.664594272268772,0.013991670893607791,0.12754470963464068,-0.49078411871633315,-0.11641591272936157,0.013991670893607791,0.1424790372200199,0.1424790372200199,0.1424790372200199,0.3043325928712689,0.6079599617089645,0.13406917970682655,0.4255916983716703,0.36896672210912923,0.7766223217871417,0.3207679232076793,0.8153544958820051
gRNA_CDK7_targ_3,CDK7,targeting,1.5601194961656943,1.194117131109431,1.7842852187850469,1.5128406153533909,1.5601194961656943,135.1485775248913,3369.0,-0.35699512031070263,0.6761862467148713,0.043296444828285034,0.1208291904108179,0.043296444828285034,1.1830853799045091,1.404993420656838,1.2618900917979374,1.2833229641197617,1.2618900917979374,0.7665407745144359,0.7665407745144359,0.7665407745144359,0.01692703904995208,0.9999799687271647,0.5075701819327962,0.8557572351480706,0.004168268397424139,0.14493820225049955,0.3758624137586243,0.9521725423086104
gRNA_CDK7_targ_4,CDK7,targeting,-0.4030668133886401,-0.18028977444339978,-0.7990735369476356,-0.4608100415932252,-0.4030668133886401,421.1950082089657,8789.0,-1.4630097869072691,-0.4860348184745678,-0.24827918324419662,-0.7324412628753446,-0.4860348184745678,-0.39514756165013054,-0.533602360332419,-0.7895117148448629,-0.5727538789424709,-0.533602360332419,-0.1931675021622539,-0.1931675021622539,-0.1931675021622539,0.23511543191415296,0.5452789887356025,0.15839154266489572,0.46673103732300475,0.0782969480628973,0.47934416049804135,0.1428857114288571,0.5194114410130224
gRNA_CDK7_targ_5,CDK7,targeting,-0.30204047828457714,-0.4599393612687549,-1.255275069437786,-0.6724183029970394,-0.4599393612687549,287.75876782469857,5673.0,-2.4087725483323785,-0.7263112046875454,0.5110248906522913,-0.8746862874558775,-0.7263112046875454,-0.43100895611799456,0.5387241152489021,-0.8893228960094687,-0.2605359122928537,-0.43100895611799456,-0.8838280324427877,-0.8838280324427877,-0.8838280324427877,0.1219431724291127,0.40321176359048716,0.04232402941564272,0.22054665475516286,0.18517482369239588,0.6069372372435916,0.025097490250974908,0.22782454578969585
gRNA_CDK7_targ_6,CDK7,targeting,0.9856974271578508,0.794429547859047,-0.14969942794536897,0.5434758490238429,0.794429547859047,745.8500798326268,17774.0,-0.09571838748668716,-0.42951489363104106,0.3703551441857476,-0.051626045643993555,-0.09571838748668716,0.5132289041558297,0.45010302278664616,-0.45495142349541157,0.1694601678156881,0.45010302278664616,-1.2967519966486871,-1.2967519966486871,-1.2967519966486871,0.2983997172879925,0.9513657382253832,0.5764953588001469,0.8002278846668297,0.47375220621855674,0.8992976320626662,9.999000099990012e-05,0.0031376172727554867
gRNA_CDK7_targ_7,CDK7,targeting,-0.2432297456117041,0.024542028585557082,-0.727136765893092,-0.31527482763974635,-0.2432297456117041,617.1015693562241,19749.0,-1.1207868889030173,0.7381482624310802,0.736128812129066,0.11783006188570966,0.736128812129066,0.1441173498145077,0.2648352549984063,-0.3248834254034294,0.028023059803161537,0.1441173498145077,-0.5347650524769143,-0.5347650524769143,-0.5347650524769143,0.32738025162340667,0.629400061219648,0.32005918795444194,0.8145872603047227,0.5312544998632689,0.8811434586589448,0.04589541045895409,0.24376356138705188
gRNA_CDK7_targ_8,CDK7,targeting,-0.6644366147162246,-1.0436906499276988,1.4101178070400215,-0.09933648586796728,-0.6644366147162246,457.10594152525954,9920.0,-1.3592464790153842,-2.169503362835813,-0.38963511795958267,-1.3061283199369267,-1.3592464790153842,-0.5032715972666975,-0.5319063865557292,-0.7491265483509417,-0.5947681773911228,-0.5319063865557292,0.20724046784900155,0.20724046784900155,0.20724046784900155,0.25778366974735756,0.5634184893804326,0.017264665238700374,0.1219480732258234,0.07679783109982764,0.4768582450175699,0.3431656834316571,0.8153544958820051
gRNA_CDK7_targ_9,CDK7,targeting,-0.5743413300147016,0.3271336624056409,-0.7241674898019612,-0.3237917191370073,-0.5743413300147016,384.0009566150966,7142.0,-1.0202318178427507,-0.15671285090331635,0.11416372575975468,-0.3542603143287708,-0.15671285090331635,-0.21249937563842725,-0.6555490202486542,-1.6140213446511014,-0.8273565801793943,-0.6555490202486542,-0.3237208432740347,-0.3237208432740347,-0.3237208432740347,0.30004697082201637,0.6048728222129457,0.37019086109518695,0.6692750239307855,0.024805018400145904,0.34727025760204266,0.10998900109989003,0.4858737427228152
gRNA_CDK7_targ_10,CDK7,targeting,-1.5852123887023921,0.5341067806065134,1.791390364955702,0.24676158561994108,0.5341067806065134,120.04704694088734,2505.0,-0.3433572794805136,-0.06659218045393676,-2.123881147070666,-0.8446102023350388,-0.3433572794805136,0.9649950316028297,0.34562908319953706,-1.267977358171079,0.014215585543762602,0.34562908319953706,1.0252808820482142,1.0252808820482142,1.0252808820482142,0.20683644336024046,0.6159286549726244,0.060763055808384314,0.2746409641670351,0.24416440483197357,0.6749506632777392,0.2632736726327367,0.8577788054527882
