gRNA_id,Gene,classification,CBE_SY-5609_100nM_REP1,CBE_SY-5609_100nM_REP2,CBE_SY-5609_100nM_REP3,LFC_avg_CBE_SY-5609_100nM,LFC_median_CBE_SY-5609_100nM,base_RPM,base_RAW,CBE_SY-5609_10nM_REP1,CBE_SY-5609_10nM_REP2,CBE_SY-5609_10nM_REP3,LFC_avg_CBE_SY-5609_10nM,LFC_median_CBE_SY-5609_10nM,CBE_T0_REP1,CBE_T0_REP2,CBE_T0_REP3,LFC_avg_CBE_T0,LFC_median_CBE_T0,Plasmid,LFC_avg_Plasmid,LFC_median_Plasmid,p_CBE_SY-5609_100nM,FDR_CBE_SY-5609_100nM,p_CBE_SY-5609_10nM,FDR_CBE_SY-5609_10nM,p_CBE_T0,FDR_CBE_T0,p_Plasmid,FDR_Plasmid
gRNA_CDK7_targ_1,CDK7,targeting,-4.203766638320576,-2.7558023325877845,-2.761677704175351,-3.2404155583612373,-2.761677704175351,675.0155348608788,20987.0,-1.4866405347136034,-3.006827841173045,-1.3190286583711688,-1.9374990114192723,-1.4866405347136034,0.055401631929070605,-0.3530232848849014,-0.07242213893227326,-0.12334793062936804,-0.07242213893227326,-0.47624519614433025,-0.47624519614433025,-0.47624519614433025,0.5419931584481159,0.8397617404550214,0.4522341063243682,0.9958119312969177,0.47819234546901324,0.853794421629809,0.015298470152984698,0.09118957099923194
gRNA_CDK7_targ_2,CDK7,targeting,-3.419620219798133,-2.9875238607272645,-4.390030253798189,-3.5990581114411953,-3.419620219798133,346.5463376251236,10247.0,-3.240040163782903,-1.3208052969935609,-4.728883912880673,-3.0965764578857122,-3.240040163782903,1.0469081176445767,0.4198990470794077,-0.4966336014918962,0.3233911877440294,0.4198990470794077,0.34586195607150955,0.34586195607150955,0.34586195607150955,0.4143624315099118,0.8169226485085701,0.29611571657569624,0.7740634929522165,0.2693679029923618,0.948612445931033,0.44995500449955006,0.7281429533395208
gRNA_CDK7_targ_3,CDK7,targeting,-1.1169588573986022,0.1388804888157829,-0.5730502002056186,-0.5170428562628127,-0.5730502002056186,231.99575240909897,6157.0,-1.432815309573273,-1.0231902289205308,-5.602785251171055,-2.686263596554953,-1.432815309573273,-0.03405993037998919,1.0562179161713734,-0.8391562853014808,0.06100056682996783,-0.03405993037998919,-0.008580970551139391,-0.008580970551139391,-0.008580970551139391,0.017715839068359305,0.9999982258764574,0.28392818181112295,0.7665313724579583,0.39686226638005434,0.8589467451125221,0.1444855514448555,0.36726774249949307
gRNA_CDK7_targ_4,CDK7,targeting,-7.387312727436837,-2.561025682748335,-3.8721592642637486,-4.60683255814964,-3.8721592642637486,624.1844761132824,21477.0,0.11163932288981439,1.1991946451060036,-2.310432610659259,-0.3331995475544804,0.11163932288981439,-0.22137559988529973,-1.2539577033397202,-0.6786757067068975,-0.7180030033106392,-0.6786757067068975,-0.7595399363540459,-0.7595399363540459,-0.7595399363540459,0.0013083481784885143,0.25824635303637317,0.04205720707673873,0.6827977662328413,0.15759862180286188,0.7146914244548388,0.007399260073992597,0.06644730263815721
gRNA_CDK7_targ_5,CDK7,targeting,-4.055412496801787,-3.877649994580436,-3.152597371763071,-3.695219954381765,-3.877649994580436,289.55998202367687,7802.0,-1.5739252231149308,1.3822870524997124,-2.4685421820553413,-0.8867267842235199,-1.5739252231149308,-0.977984363872374,-1.0671605075840669,0.45104066771217194,-0.5313680679147563,-0.977984363872374,-0.8927992979742826,-0.8927992979742826,-0.8927992979742826,0.3851141061520546,0.8101957847707957,0.12553231575887697,0.7912148837725236,0.22228987274688825,0.7577060938844878,0.007399260073992597,0.06644730263815721
gRNA_CDK7_targ_6,CDK7,targeting,-2.9156450290247875,-2.271193633857236,-1.9301550585247353,-2.3723312404689194,-2.271193633857236,761.4588760804638,20517.0,0.25331328044140516,-3.4843977607679966,-3.2532849980274805,-2.1614564927846907,-3.2532849980274805,-0.01174479714613749,-0.2685706601997504,0.9411871839780197,0.22029057554404394,-0.01174479714613749,-1.3265928528899926,-1.3265928528899926,-1.3265928528899926,0.4409029673571151,0.8998569782812418,0.36155990492248746,0.9136942796389933,0.4211662163763291,0.9257440490172886,9.999000099990012e-05,0.002201392763949414
gRNA_CDK7_targ_7,CDK7,targeting,-4.130059710165248,-4.7353897130841895,-2.4716071122424417,-3.7790188451639595,-4.130059710165248,433.8851858032767,11515.0,-2.7403277899061282,-1.3978935918355537,-6.081763115337734,-3.406661499026472,-2.7403277899061282,-0.5329783060092195,0.8854515829720175,-0.5790928397004745,-0.07553985424589216,-0.5329783060092195,-0.027555689221004213,-0.027555689221004213,-0.027555689221004213,0.32626646383582586,0.7987435699652062,0.09369539893909971,0.4684769946954985,0.464075262926683,0.8492946890684276,0.1444855514448555,0.36726774249949307
gRNA_CDK7_targ_8,CDK7,targeting,-4.5766923698640865,-4.462744560018069,-2.0275087923970823,-3.6889819074264127,-4.462744560018069,429.4038697787672,11570.0,-3.3962263028709527,-0.7929210982772374,-5.6470635176643365,-3.2787369729375087,-3.3962263028709527,-0.5650734871165415,0.43974907724410606,0.16000181261777657,0.011559134248447048,0.16000181261777657,0.29723069295542826,0.29723069295542826,0.29723069295542826,0.33987045337460586,0.7991785854544996,0.14705765597677095,0.5826812783985265,0.5900624768421991,0.8899587890362529,0.3598640135986401,0.6190477360581521
gRNA_CDK7_targ_9,CDK7,targeting,-6.893424408045085,-3.212019106540091,-4.995342924880519,-5.033595479821898,-4.995342924880519,342.9292788898711,9240.0,-4.206932069707967,-2.5421232589602876,-3.650881965309737,-3.4666457646593307,-3.650881965309737,-0.6081456689066442,0.33661424650091515,-0.7724747507321718,-0.34800205771263365,-0.6081456689066442,-0.1609707513057065,-0.1609707513057065,-0.1609707513057065,0.02634676947499584,0.4240903490239125,0.22369127694236604,0.6983035915879747,0.3273625807832747,0.8150976139729018,0.0903909609039096,0.2983885408315275
gRNA_CDK7_targ_10,CDK7,targeting,-3.740209133974181,-1.8446503729998953,-0.6006596499845733,-2.0618397189862168,-1.8446503729998953,236.2815938353115,8130.0,-6.178826069707971,-5.52312016790818,-1.2027013620316862,-4.301549199882612,-5.52312016790818,-0.8314188275556815,-1.2330947066654714,-2.0242264931026774,-1.3629133424412767,-1.2330947066654714,0.05424857227093331,0.05424857227093331,0.05424857227093331,0.21191321362056234,0.8964216548203247,0.01729034302915883,0.2383971538868869,0.03256692653155695,0.5421201794582345,0.16558344165583444,0.38406354776586915
