gRNA_id,Gene,classification,DMSO_REP1,DMSO_REP2,DMSO_REP3,LFC_avg_DMSO,LFC_median_DMSO,base_RPM,base_RAW,KB-0742_1500nM_REP1,KB-0742_1500nM_REP2,KB-0742_1500nM_REP3,LFC_avg_KB-0742_1500nM,LFC_median_KB-0742_1500nM,KI-CDK9d-32N_1250nM_REP1,KI-CDK9d-32N_1250nM_REP2,KI-CDK9d-32N_1250nM_REP3,LFC_avg_KI-CDK9d-32N_1250nM,LFC_median_KI-CDK9d-32N_1250nM,KI-CDK9d-32N_5000nM_REP1,KI-CDK9d-32N_5000nM_REP2,KI-CDK9d-32N_5000nM_REP3,LFC_avg_KI-CDK9d-32N_5000nM,LFC_median_KI-CDK9d-32N_5000nM,KI-CDK9d-32_1000nM_REP1,KI-CDK9d-32_1000nM_REP2,KI-CDK9d-32_1000nM_REP3,LFC_avg_KI-CDK9d-32_1000nM,LFC_median_KI-CDK9d-32_1000nM,KI-CDK9d-32_100nM_REP1,KI-CDK9d-32_100nM_REP2,KI-CDK9d-32_100nM_REP3,LFC_avg_KI-CDK9d-32_100nM,LFC_median_KI-CDK9d-32_100nM,SEL120_4000nM_REP1,SEL120_4000nM_REP2,SEL120_4000nM_REP3,LFC_avg_SEL120_4000nM,LFC_median_SEL120_4000nM,Senexin B_15000nM_REP1,Senexin B_15000nM_REP2,Senexin B_15000nM_REP3,LFC_avg_Senexin B_15000nM,LFC_median_Senexin B_15000nM,Senexin B_2000nM_REP1,Senexin B_2000nM_REP2,Senexin B_2000nM_REP3,LFC_avg_Senexin B_2000nM,LFC_median_Senexin B_2000nM,T0_REP1,T0_REP2,T0_REP3,LFC_avg_T0,LFC_median_T0,p_DMSO,FDR_DMSO,p_KB-0742_1500nM,FDR_KB-0742_1500nM,p_KI-CDK9d-32N_1250nM,FDR_KI-CDK9d-32N_1250nM,p_KI-CDK9d-32N_5000nM,FDR_KI-CDK9d-32N_5000nM,p_KI-CDK9d-32_1000nM,FDR_KI-CDK9d-32_1000nM,p_KI-CDK9d-32_100nM,FDR_KI-CDK9d-32_100nM,p_SEL120_4000nM,FDR_SEL120_4000nM,p_Senexin B_15000nM,FDR_Senexin B_15000nM,p_Senexin B_2000nM,FDR_Senexin B_2000nM,p_T0,FDR_T0
gRNA_CDK7_targ_1,CDK7,targeting,-1.5519911835430795,-1.692286021050114,-1.4888512023563658,-1.5777094689831863,-1.5519911835430795,484.9511193531972,17151.0,-1.457724966512716,-1.7485452797288068,-0.40424503553696706,-1.2035050939261633,-1.457724966512716,-0.973527876254105,-1.0194215245463512,-0.9236762402368011,-0.9722085470124191,-0.973527876254105,-1.8679668963705423,-1.540494497831461,-1.6206863030381602,-1.676382565746721,-1.6206863030381602,-0.7725557979799742,-1.0628133475407509,-1.135917189582327,-0.9904287783676841,-1.0628133475407509,-1.1724142751825644,-1.6909822433193387,-1.459995080406988,-1.4411305329696305,-1.459995080406988,-1.3937633760325536,-1.6840037419124583,-1.9910537882057469,-1.6896069687169195,-1.6840037419124583,-1.1319240691417238,-1.315821791711769,-1.841304622948212,-1.4296834946005683,-1.315821791711769,-0.5531907760143877,-1.1939401422533102,-1.0694730323585464,-0.9388679835420813,-1.0694730323585464,0.5384968189071816,0.021850357498768527,-0.05279540169884591,0.16918392490236808,0.021850357498768527,0.001800313338055534,0.046199921487083,0.07430979902123586,0.3756410892117971,0.03053069143952249,0.22835284282163398,0.024658483320328748,0.124662332341662,0.08572923063697649,0.36061756492903824,0.0005282102121399242,0.008084362739560095,0.011235040951046809,0.19412444174909993,0.0691891408584089,0.4059040029214288,0.11280474952063285,0.5761149760321255,0.04134586435052123,0.1688616332726798
gRNA_CDK7_targ_2,CDK7,targeting,-1.5444839167985567,-0.330501120130969,-0.20085833862385216,-0.691947791851126,-0.330501120130969,440.700142629522,15586.0,-0.9530675368021325,1.7275345938963746,-0.3034920993873416,0.15699165256896683,-0.3034920993873416,0.03397862838968607,0.005588773135010561,-0.3456099408881992,-0.10201417978783418,0.005588773135010561,-1.7277625738687636,-0.5430880481529294,-0.9653448788104095,-1.0787318336107008,-0.9653448788104095,-0.8865795375033212,-1.0738515174999175,-0.5160726136903389,-0.8255012228978592,-0.8865795375033212,-0.2673576618938125,-0.5469986288916899,-0.4278718688946871,-0.4140760532267298,-0.4278718688946871,-1.3835927425200814,-0.25508695482396804,-0.35190601646028624,-0.6635285712681119,-0.35190601646028624,0.4967774217849565,-0.47990151810527915,-1.694907587379207,-0.5593438945665099,-0.47990151810527915,-0.33782117728521605,-0.8064131094461994,-0.9847899180443553,-0.7096747349252569,-0.8064131094461994,-0.2141197096179475,-0.7530720094209244,-0.28684550340157505,-0.418012407480149,-0.28684550340157505,0.13716283963157924,0.5896922081798603,0.11704691411882125,0.6643203233770936,0.596527721128574,1.0,0.11694933761193962,0.33459162793722663,0.1461110793791677,0.47894003955647707,0.22152795417279822,0.7957517301207093,0.3327190422427771,1.0,0.39698699207824345,0.9126261476184274,0.2489298589799891,0.8554972941498153,0.39586158784416936,0.9999999765723703
gRNA_CDK7_targ_3,CDK7,targeting,-0.06999824032265875,0.4851381498267299,0.6932240184339558,0.369454642646009,0.4851381498267299,230.6140358838946,8156.0,0.3318482362073159,-2.273355868928113,0.5198959527430148,-0.47387055999259414,0.3318482362073159,-0.43620364368076453,-0.5206114345448937,-0.03732331415876005,-0.3313794641281394,-0.43620364368076453,-0.441482891646337,-0.7061204953375809,0.4208130031265624,-0.24226346128578516,-0.441482891646337,-0.2880571708988464,-0.18546370976219,-0.198274477996168,-0.22393178621906815,-0.198274477996168,0.019877337873377927,0.06248358564956127,0.14405599385979817,0.07547230579424578,0.06248358564956127,0.590054923535159,0.21914087389876316,0.06955136016027642,0.2929157191980662,0.21914087389876316,-0.7232620661544136,0.5325903424606406,1.7744468513509921,0.5279250425524064,0.5325903424606406,0.4569082385536841,2.5114988837162167,-1.4671722338554691,0.5004116294714772,0.4569082385536841,0.014952102083013565,0.13417605556859757,-0.04200824970063429,0.035706635983658946,0.014952102083013565,0.07675886289886588,0.4074833133652827,0.31136310265665634,0.7277159090087562,0.3503539398924876,1.0,0.5125257488420794,0.8393493067419775,0.6204108729711282,0.9999999959275295,0.4090297814205484,0.9114463810249857,0.07035559135820213,0.3369662533471786,0.014952966775328223,0.17983083390592974,0.0008208913553691333,0.031563850706446954,0.15701740365596648,0.4013647115924986
gRNA_CDK7_targ_4,CDK7,targeting,-0.30119823993693884,0.38082611820925866,0.068501980514008,0.049376619595442615,0.068501980514008,368.28688295582725,13025.0,-0.4018932278193435,-2.3057466603294565,0.35734350299214335,-0.7834321283855523,-0.4018932278193435,0.7920918739639227,0.9157336781364244,0.23174059395358806,0.646522048684645,0.7920918739639227,1.24959884062554,1.2264281839086961,-1.38241235819318,0.3645382221136854,1.2264281839086961,-0.07571462305373058,0.30848724855542947,0.5380833330456829,0.25695198618246057,0.30848724855542947,0.009673151163503785,0.3423480288889007,-0.006710454818155272,0.11510357507808305,0.009673151163503785,0.48319729811452194,-0.19452614779844765,-0.269105080150813,0.006522023388420413,-0.19452614779844765,-0.3789233989588754,0.5850875343600147,-0.2919236875508002,-0.028586517383220305,-0.2919236875508002,0.29820757673508286,-0.6752279234879572,-0.15124014035637864,-0.17608682903641767,-0.15124014035637864,-0.03312557237575877,-0.12164095026710503,-0.035960367411222376,-0.06357563001802873,-0.035960367411222376,0.3267129637167014,0.8883728993491979,0.18846881622462472,0.5748719766020596,0.0016237133598237692,0.02299094150776373,0.05441938047805405,0.5605606865503465,0.2340196621277935,0.866857093092098,0.33497398802458384,0.8374349700614595,0.20431765221685524,0.6033498696951827,0.2506019405554233,0.7239611616045561,0.4237321585096825,0.9053312914559485,0.31154221555045536,0.6136437579024121
gRNA_CDK7_targ_5,CDK7,targeting,1.22768758325066,0.9140832239058082,-0.6550803579470591,0.495563483069803,0.9140832239058082,155.48633929935465,5499.0,0.27702742335455566,-0.8042991407689328,0.6713612894244246,0.04802985733668249,0.27702742335455566,0.20409322309307415,0.1888677695634846,0.5788293652260558,0.32393011929420484,0.20409322309307415,0.23364858625814372,-0.5617262021968328,0.2192706225448989,-0.03626899779793005,0.2192706225448989,0.4240270987463278,0.18216263883782605,0.24728991920082982,0.28449321892832785,0.24728991920082982,0.47250122793804433,0.49791172527925953,0.09479072756375014,0.3550678935936846,0.47250122793804433,0.7984942996056508,0.5612287720329371,0.5564886799292809,0.6387372505226229,0.5612287720329371,-0.8924465171890239,1.0621681624740644,-0.431491372163615,-0.08725657562619149,-0.431491372163615,0.6222530945960527,-0.10780033508752551,-0.18136177503447493,0.11103032815801743,-0.10780033508752551,0.7359727841820969,0.305163222347013,0.7599997603498394,0.6003785889596498,0.7359727841820969,0.009684731758438545,0.1307465062267042,0.2565785698311599,0.9202318435712181,0.10820139706932515,0.47186871245887807,0.5457454553287635,0.9732671549914943,0.2320684732919867,0.8655012733430653,0.10239195259512886,0.4775876717837099,0.010018351795878852,0.10660244183406899,0.24954616786407088,0.7232070469946004,0.19539194592644013,0.6465697119747655,0.0001079932676750158,0.0020841020671491157
gRNA_CDK7_targ_6,CDK7,targeting,1.3282285286497018,0.5889952930282129,1.656364022655213,1.1911959481110426,1.3282285286497018,302.9990201731013,10716.0,1.2133546900349783,2.821759715175629,1.0789311531393133,1.704681852783307,1.2133546900349783,1.2134587520111402,1.2110503350092008,1.4645698193465084,1.2963596354556164,1.2134587520111402,1.3636238774289047,1.509100333127607,1.23840423574031,1.3703761487656072,1.3636238774289047,1.1330012022446707,0.8251504751879194,1.0728438148621546,1.0103318307649147,1.0728438148621546,0.7957671838430019,0.6880785397334178,1.3292252833280715,0.9376903356348304,0.7957671838430019,1.2985086850425964,1.241471075409577,1.217400867034284,1.2524602091621524,1.241471075409577,1.3559413725811176,1.1971969820796151,0.7501304398207602,1.1010895981604976,1.1971969820796151,1.0144196974947173,2.0138032743662064,1.9031706476504588,1.6437978731704608,1.9031706476504588,1.0533431966673905,1.0203814741794737,0.9691389518690908,1.0142878742386516,1.0203814741794737,0.00035840060006101426,0.020817736982267424,2.9838206924126716e-05,0.015285205943023282,4.1025318572854354e-10,5.0908690774496536e-08,0.0027767777954040332,0.11485762699171229,0.0011816433656394894,0.025006871226324077,2.624347835277161e-05,0.0031149867783941956,5.7676539315295955e-05,0.00242241465124243,0.006435969877207919,0.09653954815811878,1.5143958650202165e-06,0.0007525910349007684,4.1025318572854354e-10,4.479964788155695e-08
gRNA_CDK7_targ_7,CDK7,targeting,0.5325695742209374,0.20657326654754707,-0.20127484316749433,0.1792893325336634,0.20657326654754707,425.6576380819212,15054.0,0.23917752983593898,0.6999912782345968,0.10767123899876271,0.34894668235643284,0.23917752983593898,0.1624777856136128,0.15037084661550212,0.25143313883071466,0.18809392368660985,0.1624777856136128,0.9925140069090443,-0.01883979086845318,0.3719748864702636,0.4485497008369516,0.3719748864702636,0.5549069000229415,0.5313364031000033,0.3765788349594113,0.48760737936078535,0.5313364031000033,0.0374599813602156,0.000701498242544509,0.29140305048209686,0.10985484336161899,0.0374599813602156,0.24047511206100744,-0.0799153197582377,-0.011518050688513692,0.04968058053808535,-0.011518050688513692,-0.5583330780513978,0.1490774667644748,0.1461638009986639,-0.08769727009608634,0.1461638009986639,0.07617981043743259,-0.12724361097855516,-0.4047318251241561,-0.15193187522175958,-0.12724361097855516,0.5730392198350972,0.2074465301367271,-0.03769892245109623,0.24759560917357604,0.2074465301367271,0.18250807504996214,0.6696868882881676,0.1587799759448184,0.7712977479170005,0.263286458249817,0.7933466126070645,0.19626833257039247,0.9945474760886828,0.11170082560614955,0.5564657917970589,0.34279395035357746,0.8453182442224503,0.22566216401575173,0.6349197947316824,0.2868124982205262,0.7631560625166047,0.4891331483168636,0.9573623598796697,0.024311860844631467,0.12155930422315733
gRNA_CDK7_targ_8,CDK7,targeting,0.3607830980677957,-0.20739397835864554,0.06688069770727538,0.07342327247214185,0.06688069770727538,527.8731530059378,18669.0,-0.13134852712463646,-0.7883622551912867,-0.5223666343661322,-0.4806924722273518,-0.5223666343661322,-0.04235650099969035,-0.022459913180751523,-0.27862515190715326,-0.11448052202919838,-0.04235650099969035,-1.6627120762723762,0.16525803501734065,0.03512823156997683,-0.4874419365616862,0.03512823156997683,-0.6980100360680226,-0.1350066055912567,-0.09042043817909538,-0.3078123599461249,-0.1350066055912567,-0.46302039376210236,-0.5775230979277993,-0.763304261553948,-0.6012825844146166,-0.5775230979277993,-0.00952891395628623,-0.10406483630176351,-0.04863788006981534,-0.054077210109288364,-0.04863788006981534,-1.2594212191047414,-0.3652275296196793,-1.1225749540027992,-0.9157412342424066,-1.1225749540027992,-0.4302892908427074,-0.9602621552232169,-0.22563715108576082,-0.5387295323838951,-0.4302892908427074,-0.246464701293029,-0.28024014620374144,-0.07520031454486527,-0.20063505401387857,-0.246464701293029,0.32511976417290667,0.8866902659261091,0.38934248941306104,0.7971993701117777,0.6371161714741218,1.0,0.3311713147490415,0.6537221180512532,0.5153085660292112,0.9920961814243627,0.0999083458304796,0.48705318592358804,0.3341246237759575,0.7684584860222106,0.30293761312118145,0.9296044077124213,0.3890759846767082,0.9999962540488313,0.5413626892782948,0.8508463682957657
gRNA_CDK7_targ_9,CDK7,targeting,-0.3694533650072725,0.19337921880654915,0.6572507250993525,0.16039219296620968,0.19337921880654915,306.61826938756167,10844.0,0.8482401734683054,-0.7275147007018581,0.2519970899032979,0.12424085422324839,0.2519970899032979,0.6521198052111263,0.5913245710855742,0.3247951539961676,0.5227465100976227,0.5913245710855742,-0.4152089560960176,-0.16399002003295463,1.1802981111319033,0.20036637833431037,-0.16399002003295463,0.02600452404447497,0.9114570776794715,0.8844285788606212,0.6072967268615225,0.8844285788606212,0.27013123957406154,0.734746501099479,-0.28477075367644394,0.24003566233236553,0.27013123957406154,0.6108230729064741,-0.5956765277787874,-0.5920872785868126,-0.19231357781970868,-0.5920872785868126,-0.571509366654753,0.11220463322516938,-0.22446970060049454,-0.2279248113433594,-0.22446970060049454,0.17355465446743246,0.6491333566989359,0.5546570078309045,0.4591150063324243,0.5546570078309045,-0.3961139836979154,0.43082374025196135,0.16525458323968828,0.06665477993124475,0.16525458323968828,0.1717817831692077,0.6459562920825579,0.22108522416337636,0.8696868328040598,0.016201358887406425,0.12494268294525293,0.24963410758882754,0.994163819770929,0.036686797683805845,0.27512297438320055,0.10726272429638511,0.48949973595143625,0.2793010257817206,0.6995337618202727,0.42200780831147966,0.906087208869558,0.04614559940274765,0.3070728940756863,0.07153032260528623,0.24288281183138236
gRNA_CDK7_targ_10,CDK7,targeting,-1.0246062001282608,-0.50536826403229,0.013185278312431955,-0.5055963952827062,-0.50536826403229,245.3737865866157,8678.0,-0.23268213065058352,1.5519606641554666,-0.33170617982558126,0.3291907845597673,-0.23268213065058352,-0.2437708087863003,-0.20625346743352457,-0.30735008097193084,-0.2524581190639186,-0.2437708087863003,-0.5739859551220434,-0.21621720930200383,-0.19250285061439928,-0.32756867167948217,-0.21621720930200383,-0.786668692244829,0.8803581031692376,0.5125720761959214,0.2020871623734433,0.5125720761959214,-0.13535126248691023,-0.4629896020698042,-0.48123024163099326,-0.3598570353959025,-0.4629896020698042,-1.4155397599318167,-0.6000821686810743,-0.711455558622858,-0.909025829078583,-0.711455558622858,-0.667617983218514,-0.31954401367606067,-0.4752908933125784,-0.48748429673571764,-0.4752908933125784,-0.06618023693031895,0.1740660209333585,-0.20392775351663936,-0.03201398983786661,-0.06618023693031895,-0.07450334601881252,-0.4355332458535805,-0.4334024791659166,-0.3144796903461032,-0.4334024791659166,0.328900106446893,0.9088029257085202,0.10229484435450681,0.6224856029618416,0.4734895581842611,1.0,0.4674546645575015,0.800550869448315,0.14075154558566147,0.6425614037606284,0.2629320162393236,0.888371787541279,0.1650804716327577,0.825327247836872,0.6478607741528932,0.9999834238973098,0.3673570360583022,0.8463162096533038,0.5697904717755387,0.9492691942006966
