gRNA_id,Gene,classification,CBE_ABEMA_REP1,CBE_ABEMA_REP2,CBE_ABEMA_REP3,LFC_avg_CBE_ABEMA,LFC_median_CBE_ABEMA,base_RPM,base_RAW,CBE_ATIRMO_REP1,CBE_ATIRMO_REP2,CBE_ATIRMO_REP3,LFC_avg_CBE_ATIRMO,LFC_median_CBE_ATIRMO,CBE_DMSO_REP1,CBE_DMSO_REP2,CBE_DMSO_REP3,LFC_avg_CBE_DMSO,LFC_median_CBE_DMSO,CBE_INX_REP1,CBE_INX_REP2,CBE_INX_REP3,LFC_avg_CBE_INX,LFC_median_CBE_INX,CBE_PALBO_REP1,CBE_PALBO_REP2,CBE_PALBO_REP3,LFC_avg_CBE_PALBO,LFC_median_CBE_PALBO,CBE_RIBO_REP1,CBE_RIBO_REP2,CBE_RIBO_REP3,LFC_avg_CBE_RIBO,LFC_median_CBE_RIBO,CBE_T0_REP1,CBE_T0_REP2,CBE_T0_REP3,LFC_avg_CBE_T0,LFC_median_CBE_T0,CBE_TAGTO_REP1,CBE_TAGTO_REP2,CBE_TAGTO_REP3,LFC_avg_CBE_TAGTO,LFC_median_CBE_TAGTO,p_CBE_ABEMA,FDR_CBE_ABEMA,p_CBE_ATIRMO,FDR_CBE_ATIRMO,p_CBE_DMSO,FDR_CBE_DMSO,p_CBE_INX,FDR_CBE_INX,p_CBE_PALBO,FDR_CBE_PALBO,p_CBE_RIBO,FDR_CBE_RIBO,p_CBE_T0,FDR_CBE_T0,p_CBE_TAGTO,FDR_CBE_TAGTO
gRNA_CDK2_targ_6973,CDK2,targeting,-1.2494604752506877,-0.7709146051276118,-1.07293892485038,-1.03110466840956,-1.07293892485038,1126.6684817673895,7879.0,-1.1908374514107098,-1.0616359847695442,-2.1392017876298577,-1.463891741270037,-1.1908374514107098,-0.1176604643786444,-1.2320527598911462,-0.7989039594787254,-0.7162057279161719,-0.7989039594787254,-0.8343268764602522,-1.4194678999076045,-0.761571094971669,-1.0051219571131753,-0.8343268764602522,-1.580492548776845,-1.7163096090060264,-0.8378980533103695,-1.378233403697747,-1.580492548776845,-1.1640318934927734,-1.0221468769747628,-0.326438889060212,-0.8375392198425827,-1.0221468769747628,-0.6054535139753199,-0.8698996362809309,-0.5325651313059035,-0.6693060938540514,-0.6054535139753199,-0.6949313439537232,-0.1611120960445339,0.024557948662987966,-0.27716183044508974,-0.1611120960445339,0.1272962034940774,0.5603064276135586,0.059123765598061574,0.29121973828807113,0.19994691908645373,1.0,0.2193406928084541,0.9999990476138786,0.0414181610674436,0.20461807930334078,0.15431250797026314,0.5594134078059224,0.26190950470283536,0.9999999378106991,0.4549551922346836,0.8621835808957443
gRNA_CDK2_targ_6974,CDK2,targeting,-1.233908832083872,-2.3146128216082427,-0.9069273878714542,-1.4851496805211897,-1.233908832083872,372.2195783780321,2603.0,-0.9004373875319129,-1.2087902597909774,-1.492621598760532,-1.2006164153611407,-1.2087902597909774,-0.34612565276481555,-1.1823932377373698,-0.02802168798526196,-0.5188468594958158,-0.34612565276481555,-2.0123515940611147,-1.970421034697628,-1.0815860611457653,-1.6881195633015027,-1.970421034697628,-2.1075159829032386,-4.124812343079708,-0.20994310601390984,-2.1474238106656185,-2.1075159829032386,-2.1432273970637548,-1.5582318241800532,0.8073135332779674,-0.9647152293219469,-1.5582318241800532,-0.33286412070338994,-1.797577770275325,-1.3722191994420632,-1.167553696806926,-1.3722191994420632,-1.2854426415388855,-1.904779347172511,-2.261529490252935,-1.8172504929881104,-1.904779347172511,0.01696769310177618,0.13308782977933448,0.12487051735946095,0.45822772999979566,0.3461009850040084,0.9788851384573845,0.025021217887632903,0.7694513396658408,0.0002252340018664797,0.004188340147067684,0.009236906681981643,0.08131425829084903,0.005807839699877072,0.13537992539854302,0.07221370579126947,0.9054066900344772
gRNA_CDK2_targ_6975,CDK2,targeting,-1.0003681953648849,-0.7855778836228609,-1.712512988745413,-1.1661530225777195,-1.0003681953648849,542.8142602854437,3796.0,-0.04587660589664074,-0.9080962645754688,-2.5407387568504594,-1.1649038757741896,-0.9080962645754688,-0.41568488954847255,-0.9925668646986852,-1.1445535948000227,-0.8509351163490603,-0.9925668646986852,-0.2604609788592718,0.812622411737958,-1.2288171444166838,-0.22555190384599919,-0.2604609788592718,-0.6610458898665027,-1.7398363357440818,-0.3255341954221011,-0.9088054736775618,-0.6610458898665027,-0.6111707796230016,-1.7510036823104318,-0.9683873921152747,-1.1101872846829026,-0.9683873921152747,-0.27780256108266926,-1.1634912866016591,0.11024040104893898,-0.44368448221179646,-0.27780256108266926,-1.2432230542800367,-0.8104279309908508,-3.279580299510653,-1.7777437615938467,-1.2432230542800367,0.04100311288429424,0.24587011530256148,0.10769973909014359,0.4193954545745591,0.12787521173574173,0.8500259069436931,0.15038232450006395,0.3890490907162768,0.16520483110895734,0.5424880862804056,0.03715567512435988,0.22859718338593163,0.3955915687141527,0.8329128484936104,0.03301214666552222,0.6302948028193265
gRNA_CDK2_targ_6976,CDK2,targeting,-2.5302286392885307,-1.6918598458053247,-1.6671985467949186,-1.963095677296258,-1.6918598458053247,474.74798317904975,3320.0,-1.6519537014320378,-0.8675516754750355,-3.656050043211783,-2.0585184733729522,-1.6519537014320378,-0.4879047302629318,-1.220990388479297,-1.4018615488157256,-1.0369188891859846,-1.220990388479297,0.31931868759164017,-0.7874038334208382,-4.20666395916477,-1.558249701664656,-0.7874038334208382,-2.3373890837057516,-2.784170272200375,-2.187886972682894,-2.4364821095296736,-2.3373890837057516,-3.1198860706616496,-3.0853935470669804,-1.8303877020238084,-2.6785557732508125,-3.0853935470669804,-1.6187817782312997,-2.2922770415397915,-1.3186166580989922,-1.7432251592900279,-1.6187817782312997,-0.25566026941404313,-0.6796718514501147,-2.311562869632933,-1.082298330165697,-0.6796718514501147,0.0004808746236478761,0.008377342127760368,0.0002815349848785618,0.003982396580974528,0.058664117342911874,0.6105075922888996,0.044473525798728424,0.8595162384804073,0.0001448421320768242,0.002996421607339301,6.074328899655959e-05,0.003466556665148487,0.0006665435384995852,0.030642487672689265,0.25570553014366604,0.9999999815069656
gRNA_CDK2_targ_6977,CDK2,targeting,-2.179672211023327,-2.221126665246414,-1.5999007263251235,-2.000233200864955,-2.179672211023327,716.6978589437945,5012.0,-1.1462525129994152,-2.7053354785061514,-2.6525946707561214,-2.168060887420563,-2.6525946707561214,-0.24313608090473016,-1.1081685403560353,-1.0878020999463578,-0.8130355737357077,-1.0878020999463578,-0.20302275933737393,-1.4749423729553,-3.3755472148202297,-1.684504115704301,-1.4749423729553,-1.56689088367334,-3.008370870277616,-1.3527830051586538,-1.9760149197032033,-1.56689088367334,-1.176324884639688,-1.957083128042751,-0.7211534202775427,-1.2848538109866607,-1.176324884639688,-0.9251387238714622,-1.2771076519339148,-0.8315970042031628,-1.0112811266695134,-0.9251387238714622,-1.0983500145062495,-0.11659630791300467,-0.2551761563314644,-0.49004082625023954,-0.2551761563314644,0.0011989756302610353,0.017434362505636774,0.007125087891292488,0.06272351308558015,0.13549109818936653,0.8691386337341147,0.041364135962336505,0.8561706313164602,0.002913899199409881,0.030716580732632826,0.01598447366809463,0.1183064724558174,0.0557611262692927,0.5378888523988549,0.5574975785056462,0.9226584924268445
gRNA_CDK2_targ_6978,CDK2,targeting,-2.5293953199203507,-0.6497451489962882,-0.6438020614947707,-1.2743141768038033,-0.6497451489962882,658.0693429487912,4602.0,-0.848327878046743,-1.4773707082359862,-1.2934565291146858,-1.206385038465805,-1.2934565291146858,-0.852430447390853,-0.8229197381998784,-0.5759371724457074,-0.7504291193454797,-0.8229197381998784,-0.1091087089798883,-1.061511087020715,-0.2562461435576265,-0.47562197985274324,-0.2562461435576265,-1.0614076933702716,-2.960152227798153,-0.22718810913956103,-1.4162493434359955,-1.0614076933702716,-1.2629072378076285,-0.9812182427136946,-0.4110149086084369,-0.8850467963765866,-0.9812182427136946,-0.7338790627564018,-1.0354328378087894,-0.9905832245167657,-0.9199650416939856,-0.9905832245167657,-1.4130766918534217,-0.1372311499291438,-0.19641467113389796,-0.5822408376388212,-0.19641467113389796,0.03502775676812075,0.2195868842849994,0.12649213377077326,0.4590887749794512,0.2205021167022284,1.0,0.5371995311888176,0.8247358294225353,0.018531198451749994,0.11152412159144087,0.12925361947812172,0.5069069673845769,0.08965540339838625,0.7109760781209956,0.567884752950909,0.9287048084325636
gRNA_CDK2_targ_6979,CDK2,targeting,-0.7856154076878181,-1.6077834902020316,-0.9522041290219847,-1.1152010089706115,-0.9522041290219847,641.1957700526684,4484.0,-0.5498634839605825,-1.227170502826655,-2.6007772931047852,-1.4592704266306742,-1.227170502826655,-0.7655604318245998,-1.5629589688213894,-0.9357841893769826,-1.088101196674324,-0.9357841893769826,-1.3725991921539011,-1.6881316719989896,-0.9169276923787086,-1.325886185510533,-1.3725991921539011,-1.1236914635533801,-2.5934052203277527,-0.9306762335482114,-1.5492576391431145,-1.1236914635533801,-0.6660218699128007,-1.1932595992035533,-1.1334627157470045,-0.9975813949544529,-1.1334627157470045,-0.6583031284186645,-0.32851898441591354,-1.1989020461424633,-0.7285747196590138,-0.6583031284186645,-0.6294054490355342,-0.6042938705855498,-0.3500310730865611,-0.5279101309025483,-0.6042938705855498,0.07588845521540756,0.386605520361466,0.06210558156722342,0.29624683102982785,0.0521634163518514,0.5679635135678557,0.08578719442993143,0.9999990476138786,0.00892736356641247,0.06685423847245536,0.08894901839339586,0.39786655524613557,0.1930186967088975,0.9999999378106991,0.6321296285010756,0.9580352886165568
gRNA_CDK2_targ_6980,CDK2,targeting,-1.744350602053678,-2.476559299031826,-1.7873447288064623,-2.002751543297322,-1.7873447288064623,713.5519385733309,4990.0,-1.342531863192657,-1.932618965917394,-4.224408074698114,-2.499852967936055,-1.932618965917394,-0.39897383507213985,-1.2727836830143844,-1.341982151604518,-1.0045798898970142,-1.2727836830143844,-1.2480285292587772,-0.43760418745761015,-1.1360414145374047,-0.9405580437512641,-1.1360414145374047,-2.0196203287247076,-2.5310918414886676,-1.9597735711039672,-2.1701619137724473,-2.0196203287247076,-1.4173620727750402,-1.3604375998474028,-1.3292186464263636,-1.3690061063496024,-1.3604375998474028,-1.2487403250454354,-1.8108236294929607,-0.8527147910905637,-1.3040929152096534,-1.2487403250454354,-1.0357781255376493,-1.171543153050637,-1.8382062184246837,-1.3485091656709898,-1.171543153050637,0.0007248915026189648,0.011996954368343866,0.0001329702076219744,0.002200656936143676,0.06151222177737981,0.6105075922888996,0.27721488271498457,0.9999990476138786,0.0008624303103014758,0.011994303895369264,0.015249085460244702,0.11562639231531567,0.0030751599726352445,0.0807839643604973,0.22911388006431943,0.9999999815069656
gRNA_CDK2_targ_6981,CDK2,targeting,-2.354555426635305,-1.5544451922806426,-2.5706431100256872,-2.159881242980545,-2.354555426635305,580.1363155895798,4057.0,-0.7733863019114129,-1.6089924414426757,-3.944729115102475,-2.1090359528188545,-1.6089924414426757,-0.7508026510563631,-1.8172379098635036,-0.9961969683582483,-1.1880791764260383,-0.9961969683582483,-1.2459460534243056,-1.8488184342153757,-0.9539225399307213,-1.3495623425234673,-1.2459460534243056,-2.767430559507741,-4.269465600124701,-2.533860936295735,-3.1902523653093926,-2.767430559507741,-2.4536870604587104,-2.1664637493963683,-1.5625242342424903,-2.0608916813658564,-2.1664637493963683,-0.9376461528808481,-1.8559535176196853,-0.9356684451787567,-1.2430893718930967,-0.9376461528808481,0.1328771228141465,-0.5276889515783643,-0.7404449331673165,-0.3784189206438448,-0.5276889515783643,0.00029809378682790386,0.006166815215002261,0.00031518842533093095,0.004383502890106645,0.03596304957754579,0.4543423438995289,0.0823759571513976,0.9999990476138786,5.422656748715059e-07,4.985831621735235e-05,0.0001076743890772903,0.005091460397797584,0.004899568833849403,0.11924685911795237,0.4935528989747743,0.8897930803956987
gRNA_CDK2_targ_6982,CDK2,targeting,-1.3039371458519913,-0.9086504211779266,-1.7279393383807289,-1.3135089684702155,-1.3039371458519913,681.9497384882194,4769.0,-0.7114071601328259,-1.4662434829992737,-1.6699651685747416,-1.2825386039022804,-1.4662434829992737,-0.6389004593623506,-1.1090579933818925,-1.1461090904289213,-0.9646891810577215,-1.1090579933818925,-1.2746042423895747,-0.4214891481823952,-1.6757226277812605,-1.12393867278441,-1.2746042423895747,-1.9018922215488785,-2.6189431371298317,-0.3831537799744477,-1.6346630462177192,-1.9018922215488785,-1.7767364393162963,-1.1956357292490754,-0.5558683445314753,-1.1760801710322821,-1.1956357292490754,-0.6031226841764872,-0.8822425482879137,-0.29434622893378637,-0.5932371537993958,-0.6031226841764872,-2.036820002569411,-1.0209982052678688,-1.0558505585146685,-1.3712229221173162,-1.0558505585146685,0.024098897007096134,0.16914194737757832,0.09513249190407844,0.3894549037773352,0.08786030244910971,0.7162995101146629,0.14618602523099006,0.9999990476138786,0.005766121022898968,0.049331049334604776,0.028734986754694297,0.18796997264434412,0.32721621271123064,0.9999999378106991,0.18382723477910734,0.9999999815069656
