gRNA_id,Gene,classification,ABE_ABEMA_REP1,ABE_ABEMA_REP2,ABE_ABEMA_REP3,LFC_avg_ABE_ABEMA,LFC_median_ABE_ABEMA,base_RPM,base_RAW,ABE_ATIRMO_REP1,ABE_ATIRMO_REP2,ABE_ATIRMO_REP3,LFC_avg_ABE_ATIRMO,LFC_median_ABE_ATIRMO,ABE_DMSO_REP1,ABE_DMSO_REP2,ABE_DMSO_REP3,LFC_avg_ABE_DMSO,LFC_median_ABE_DMSO,ABE_INX_REP1,ABE_INX_REP2,ABE_INX_REP3,LFC_avg_ABE_INX,LFC_median_ABE_INX,ABE_PALBO_REP1,ABE_PALBO_REP2,ABE_PALBO_REP3,LFC_avg_ABE_PALBO,LFC_median_ABE_PALBO,ABE_RIBO_REP1,ABE_RIBO_REP2,ABE_RIBO_REP3,LFC_avg_ABE_RIBO,LFC_median_ABE_RIBO,ABE_TAGTO_REP1,ABE_TAGTO_REP2,ABE_TAGTO_REP3,LFC_avg_ABE_TAGTO,LFC_median_ABE_TAGTO,PLASMID_LIBRARY,LFC_avg_Plasmid,LFC_median_Plasmid,p_ABE_ABEMA,FDR_ABE_ABEMA,p_ABE_ATIRMO,FDR_ABE_ATIRMO,p_ABE_DMSO,FDR_ABE_DMSO,p_ABE_INX,FDR_ABE_INX,p_ABE_PALBO,FDR_ABE_PALBO,p_ABE_RIBO,FDR_ABE_RIBO,p_ABE_TAGTO,FDR_ABE_TAGTO,p_Plasmid,FDR_Plasmid
gRNA_CDK2_targ_6973,CDK2,targeting,-5.842379906964392,-6.066800946216039,-3.352005830425876,-5.087062227868769,-5.842379906964392,894.9170614985735,1952.0,-3.374016774989181,-3.5945103627129122,-2.0614399404002626,-3.0099890260341184,-3.374016774989181,-0.3402480271291631,-1.2708949825531108,-0.42859239198408255,-0.6799118005554522,-0.42859239198408255,0.9463820000695031,-1.2992047007428282,-4.666700627536806,-1.6731744427367106,-1.2992047007428282,-4.778442559450482,-4.60458511810284,-3.283538947462813,-4.222188875005378,-4.60458511810284,-1.3670698685055358,-2.5502564395107985,-3.421251724894256,-2.4461926776368634,-2.5502564395107985,-1.5996682903443131,-2.4837664832355846,1.227051506806294,-0.9521277555912011,-1.5996682903443131,0.33190591085463866,0.33190591085463866,0.33190591085463866,4.1025318572854354e-10,3.573521170424945e-08,6.773832074066264e-07,8.00763720184262e-05,0.16232716707451655,0.642786371651201,0.01761990931830285,0.10763351868305432,4.1025318572854354e-10,3.573521170424945e-08,1.1201009451501957e-05,0.0003310298328970668,0.19602538936560382,0.5042989690985819,0.47985201479852024,0.7701843274201533
gRNA_CDK2_targ_6974,CDK2,targeting,-3.1973237184589083,-7.077900709023721,-5.876889715009835,-5.384038047497488,-5.876889715009835,233.54036747864177,493.0,-2.927669451820611,-2.254680168229904,-4.346859347536495,-3.17640298919567,-2.927669451820611,-0.1953471949046006,-0.19125887888497614,-0.1718509431615992,-0.18615233898372532,-0.19125887888497614,-0.5006483419693935,-3.3074251579132197,-4.369481982978297,-2.7258518276203034,-3.3074251579132197,-3.5736297369738494,-6.39696156573913,-2.334414455990366,-4.101668586234449,-3.5736297369738494,-1.3656051622335872,-3.392972379900822,-6.236183189085207,-3.664920243739872,-3.392972379900822,-0.8070666927731696,-1.7473725141613219,0.22023823055985176,-0.7780669921248798,-0.8070666927731696,0.6701884182871374,0.6701884182871374,0.6701884182871374,4.1025318572854354e-10,3.573521170424945e-08,1.323385304211527e-06,0.00010951013392350385,0.4524868734409011,0.7992164093326483,0.0009233883563249262,0.0188667620952809,2.9433711666953456e-08,1.6797514761657922e-06,1.2995949064725192e-07,1.6544842847784763e-05,0.3319175103403661,0.6624641055421447,0.3802619738026196,0.7765570906951698
gRNA_CDK2_targ_6975,CDK2,targeting,-3.3808685520198445,-5.660171305263153,-2.6390642053204836,-3.8933680208678267,-3.3808685520198445,503.6530520121044,1148.0,-2.991361892896159,-1.778053230914301,-2.0226916673342497,-2.2640355970482364,-2.0226916673342497,-0.2637132257529311,-0.1663427996094921,-1.3591273155788928,-0.5963944469804386,-0.2637132257529311,-1.6223068881381737,-0.8454628716182259,-2.3691909984809394,-1.6123202527457796,-1.6223068881381737,-1.246811636439641,-2.207166559858726,-1.8757393530752415,-1.7765725164578694,-1.8757393530752415,-2.2865702281661577,-3.994667208480574,-2.2784862715371195,-2.8532412360612835,-2.2865702281661577,-2.994988988769576,-3.969725219520735,-1.1808676134626166,-2.715193940584309,-2.994988988769576,0.10782210460510652,0.10782210460510652,0.10782210460510652,1.1884483238393379e-08,5.463561044316976e-07,0.00012310818562625295,0.0026121031693775464,0.19553461704309893,0.6725388714623064,0.028663350152409194,0.14211761747029936,0.0024785644020062793,0.01470259528788671,3.5420135366688775e-06,0.0001674866400910569,0.011666320256747797,0.1278659604299179,0.3340665933406658,0.643632377158093
gRNA_CDK2_targ_6976,CDK2,targeting,-2.580329424891489,-3.7264100198268753,-2.9433340334616735,-3.0833578260600127,-2.9433340334616735,205.13150087507827,549.0,-2.4156806672672,-1.4133519675541757,-1.6578315031481419,-1.8289547126565058,-1.6578315031481419,-0.38214618717155785,-0.4572885207423709,0.2756358260079799,-0.1879329606353163,-0.38214618717155785,-0.16163325041642806,-1.9339859184182149,-3.758878771299372,-1.9514993133780052,-1.9339859184182149,-5.8111264254547,-1.100106827741875,-1.5735589831390102,-2.828264078778528,-1.5735589831390102,-1.3428986307278268,-2.2841146324675545,-1.4002037658701836,-1.6757390096885214,-1.4002037658701836,-1.6213977284514725,-1.6741880221097558,-0.2034173760327309,-1.1663343755313198,-1.6213977284514725,1.2066325471530108,1.2066325471530108,1.2066325471530108,1.1884483238393424e-08,5.463561044316976e-07,0.0005014714706333932,0.007476894449533927,0.411945483457582,0.7872133275188058,0.006946231202046903,0.06382540798617811,6.94639195660558e-05,0.0007309851215197168,0.002255792929120683,0.021832381857863924,0.20092996042884106,0.506440547226819,0.10178982101789821,0.9379831732915036
gRNA_CDK2_targ_6977,CDK2,targeting,-1.692927972144752,-3.1802371969721515,-1.0197975734271765,-1.96432091418136,-1.692927972144752,565.8259910052999,1083.0,-2.4827743253972963,-0.635992650612275,0.5009724337180392,-0.872598180763844,-0.635992650612275,0.49831141847190835,0.30791813864047296,-2.0484114751162985,-0.4140606393346391,0.30791813864047296,-1.2521055583151472,-0.8308244999198385,-1.4946669028222452,-1.1925323203524103,-1.2521055583151472,-2.661912057727403,-2.5716602059598537,-2.2119675530603624,-2.4818466055825397,-2.5716602059598537,-0.6138759694691887,-0.011905280128365331,-1.963195990958405,-0.862992413518653,-0.6138759694691887,-4.238013704830178,-2.0972313391096353,-0.557832667272959,-2.2976925704042572,-2.0972313391096353,0.3404707043120017,0.3404707043120017,0.3404707043120017,3.8142093090946845e-05,0.00046759380789271874,0.033111870579400425,0.1449638432898795,0.27528273715221885,0.7408015121738571,0.08778901888085315,0.2854436664986483,4.241892810536248e-08,1.8474559477467079e-06,0.038559987785236186,0.1399490784749252,0.02347902785974411,0.17042890836787938,0.47985201479852024,0.7701843274201533
gRNA_CDK2_targ_6978,CDK2,targeting,-1.4938958963622129,-0.8877568719239997,-1.8335777963796536,-1.405076854888622,-1.4938958963622129,570.9306618162469,1528.0,-0.7946942663396442,-1.2066791147923996,-1.0519652526930343,-1.0177795446083593,-1.0519652526930343,-2.599743521001534,-0.4231125411830699,-1.3842008693773429,-1.4690189771873154,-1.3842008693773429,-1.8867173500750878,-1.2346622113110166,-0.6591846408526728,-1.2601880674129258,-1.2346622113110166,-2.987810491521717,-2.300525123658471,-3.045834241787001,-2.7780566189890625,-2.987810491521717,-1.4433639167269634,-2.547044577499157,-1.2207102108384613,-1.7370395683548605,-1.4433639167269634,-5.179367989612922,-3.5454313215980897,-1.1273178199029346,-3.2840390437046487,-3.5454313215980897,0.2045900120753752,0.2045900120753752,0.2045900120753752,0.0069940198433494786,0.03269803062356889,0.024277646573003436,0.11993882112931548,0.031151479691780455,0.42693064609202463,0.07846680573172035,0.2676109789716609,4.241892810536248e-08,1.8474559477467079e-06,0.002440244114416693,0.023344531846009403,0.004947099963006045,0.0930084780428972,0.42115788421157896,0.7481478054855724
gRNA_CDK2_targ_6979,CDK2,targeting,-0.9688306538604409,-0.46544332513579606,-0.1377924539304638,-0.5240221443089003,-0.46544332513579606,316.4397714924034,698.0,-1.312654403158966,0.004812811279064293,0.6356689829554616,-0.22405753630814673,0.004812811279064293,-0.07970925734402283,0.9553837084961078,0.9890250427476772,0.6215664979665875,0.9553837084961078,-0.07710545665838066,-2.5569038173433007,-0.8409535238996163,-1.158320932633766,-0.8409535238996163,-0.9122277929478271,-2.027925791109679,-1.4678680073634747,-1.4693405304736602,-1.4678680073634747,-0.554992558517007,0.7532302279971288,-4.120176878168533,-1.307313069562804,-0.554992558517007,-2.350449162122899,-1.6456260300561931,0.9661096998639547,-1.009988497438379,-1.6456260300561931,1.0165302701832792,1.0165302701832792,1.0165302701832792,0.11938038749117826,0.2596248900103811,0.2135526851841863,0.4790612269258618,0.1307598643886182,0.9287878779534898,0.07811074413720695,0.2670935569154494,0.009662552107283963,0.04621827669813572,0.0011187104174066713,0.013514348473051394,0.18980945333493635,0.4984743815362254,0.15998400159984003,0.9213995764108148
gRNA_CDK2_targ_6980,CDK2,targeting,-0.9903215128033167,-1.2726383000472081,-0.2152415379302852,-0.8260671169269367,-0.9903215128033167,330.0403347370626,728.0,-0.2863002697877244,-1.9523285511284876,-0.1866933724666072,-0.8084407311276064,-0.2863002697877244,-0.462712227703931,-0.9996126765143812,-0.5728685495512784,-0.6783978179231968,-0.5728685495512784,-3.349693080494953,-2.1109001975413677,-2.760463248858421,-2.7403521756315805,-2.760463248858421,-3.040028701992964,-1.1626907147643522,-1.5283921241601497,-1.9103705136391556,-1.5283921241601497,-1.0876747967987306,-1.713073193272936,-1.45224952602838,-1.4176658387000156,-1.45224952602838,-0.6560796640514915,-2.8454523523556428,-3.019044484243686,-2.17352550021694,-2.8454523523556428,1.1100318710618926,1.1100318710618926,1.1100318710618926,0.04214134356831935,0.12368536612850366,0.03891691992260459,0.16021766784057362,0.19768257832209193,0.6725388714623064,0.0006145357782135688,0.014529381613477948,6.221844598431008e-05,0.0006730165235557724,0.004473388169995519,0.03447053406525076,0.023187442202931997,0.16905381870419584,0.12558744125587443,0.9343565320679036
gRNA_CDK2_targ_6981,CDK2,targeting,-1.1553151840119291,-1.3197349657610749,-1.9516209058537615,-1.4755570185422553,-1.3197349657610749,289.9490795611307,776.0,-1.9082365902234826,-0.19671599347586152,0.6062190673829086,-0.49957783877214507,-0.19671599347586152,-0.020294962674547865,-0.6050970036306473,0.20360531113935115,-0.14059555172194801,-0.020294962674547865,1.0682688941392002,-0.8641651765450218,-2.411842554738122,-0.7359129457146478,-0.8641651765450218,-3.1558440588604264,-1.0312529352790216,-1.9208422245314605,-2.0359797395569696,-1.9208422245314605,-0.4835812102058892,-0.43238718891930134,-0.7940988285435964,-0.570022409222929,-0.4835812102058892,-1.2487579187767135,-0.687563235793946,1.3367408209705662,-0.19986011120003103,-0.687563235793946,0.9981099304145561,0.9981099304145561,0.9981099304145561,0.004613992069540672,0.02409367152195119,0.07299019558796338,0.2396801065438083,0.48193041504183276,0.8261005104675861,0.12117574337367641,0.34370310486294986,3.649055605965892e-05,0.0004575141687782994,0.12022035142695424,0.2947624912764582,0.42326483326293785,0.8260245777531351,0.15998400159984003,0.9213995764108148
gRNA_CDK2_targ_6982,CDK2,targeting,-0.7405650103219452,-0.13906050650316631,0.13453037795578815,-0.24836504628977443,-0.13906050650316631,411.1903620968623,907.0,-0.6662288235262221,0.19095035506307811,1.2332033925943733,0.2526416413770764,0.19095035506307811,0.8416484747695993,-1.0788395767543044,-0.656052140204329,-0.29774774739634474,-0.656052140204329,1.9131504316196557,-0.06397793854685484,-0.48460352679951685,0.45485632209109467,-0.06397793854685484,0.7137538172875955,-0.40288179220547166,-0.47394135982794583,-0.054356444915274006,-0.40288179220547166,-0.6261230146288294,-0.9710569357854687,0.31427701832521343,-0.42763431069636154,-0.6261230146288294,-0.5509190064137746,-2.6183772999126558,2.0692031185517847,-0.36669772925821514,-0.5509190064137746,0.7284686357108578,0.7284686357108578,0.7284686357108578,0.25996075474961394,0.44862883118937547,0.362325530246639,0.8242589473860045,0.35177384473690076,0.7783231457748272,0.21207205568013351,0.9311538499013816,0.3829623123582159,0.6213751244635758,0.14530072600920152,0.3367965007636254,0.22421796812804665,0.6002489466089618,0.3423657634236576,0.8057365988049602
