unique_id,Reads_in_input,Reads_lowqual,Reads_aligned_all_amplicons,Reads_aligned_WT,Reads_aligned_HDR,Reads_unaligned,WT,correct_edit,target_base_edit,byproduct_all,byproduct_INDEL,byproduct_sub,byproduct_ambiguous,corr_perc,target_base_edit_perc,WT_perc,byproduct_all_perc,byproduct_INDEL_perc,byproduct_sub_perc,byproduct_ambiguous_perc
gRNA_CDK19_targ_6273_3799,12762,0,12762,2571,10088,103,1858,8860,10088,2044,11,1927,106,69.42485503839524,79.0471712897665,14.558846575771822,16.016298385832943,0.08619338661651778,15.099514182729978,0.8305908164864441
gRNA_CDK19_targ_6274_3800,16838,15,16823,6029,8889,1905,284,132,8889,16407,943,13280,2184,0.7846400760863104,52.83837603281222,1.6881650121856981,97.52719491172799,5.605421149616596,78.93954704868335,12.982226713428044
gRNA_CDK19_targ_6275_3801,24459,2,24457,7427,15855,1175,994,202,15855,23261,219,21775,1267,0.825939403851658,64.82806558449523,4.064276076378951,95.10978451976939,0.8954491556609558,89.03381444985075,5.180520914257677
gRNA_CDK19_targ_6275_3802,24459,2,24457,2137,20860,1460,994,3369,20860,20094,48,18340,1706,13.77519728503087,85.29255427893855,4.064276076378951,82.16052663859018,0.19626282863801775,74.98875577544261,6.975508034509548
gRNA_CDK19_targ_6275_3803,24459,2,24457,2507,16581,5369,994,11633,16581,11830,20,6416,5394,47.56511428220959,67.79654086764525,4.064276076378951,48.370609641411455,0.08177617859917406,26.23379809461504,22.055035368197245
gRNA_CDK19_targ_6276_3804,25379,259,25120,6069,18735,316,1905,1859,18735,21356,851,19185,1320,7.40047770700637,74.58200636942675,7.5835987261146505,85.01592356687898,3.3877388535031847,76.37340764331209,5.254777070063694
gRNA_CDK19_targ_6279_3805,9589,633,8956,285,7067,1604,84,16,7067,8856,604,5112,3140,0.1786511835640911,78.9079946404645,0.9379187137114784,98.88343010272443,6.744082179544439,57.07905314872711,35.060294774452885
gRNA_CDK19_targ_6279_3806,9589,633,8956,327,6226,2403,84,0,6226,8872,186,4526,4160,0.0,69.51764180437695,0.9379187137114784,99.06208128628852,2.0768200089325592,50.53595355069227,46.44930772666369
gRNA_CDK19_targ_6279_3807,9589,633,8956,299,8021,636,84,2717,8021,6155,1182,3072,1901,30.33720410897722,89.56007146047342,0.9379187137114784,68.7248771773113,13.19785618579723,34.301027244305494,21.225993747208573
gRNA_CDK19_targ_6280_3808,2911,21,2890,254,2131,505,17,0,2131,2873,661,1494,718,0.0,73.73702422145328,0.5882352941176471,99.41176470588235,22.8719723183391,51.69550173010381,24.844290657439448
gRNA_CDK19_targ_6280_3809,2911,21,2890,49,1933,908,17,0,1933,2873,741,1034,1098,0.0,66.88581314878893,0.5882352941176471,99.41176470588235,25.640138408304498,35.778546712802765,37.99307958477509
gRNA_CDK19_targ_6280_3810,2911,21,2890,43,2235,612,17,652,2235,2221,893,654,674,22.560553633217992,77.33564013840831,0.5882352941176471,76.85121107266436,30.899653979238757,22.629757785467127,23.321799307958475
gRNA_CDK19_targ_6284_3811,61487,679,60808,3760,51192,5856,1589,23416,51192,35803,419,28921,6463,38.508091040652545,84.18629127746348,2.6131430074990134,58.87876595184844,0.6890540718326535,47.56117616103144,10.628535718984345
gRNA_CDK19_targ_6286_3812,9138,2,9136,604,7119,1413,201,1421,7119,7514,333,5681,1500,15.55385288966725,77.9225043782837,2.200087565674256,82.2460595446585,3.64492119089317,62.18257443082311,16.418563922942205
gRNA_CDK19_targ_6287_3813,10960,372,10588,1546,6611,2431,846,7,6611,9735,539,6535,2661,0.06611258027956177,62.438609746883266,7.990177559501323,91.94370986021912,5.090668681526256,61.72081601813374,25.132225160559123
gRNA_CDK19_targ_6288_3814,19018,5,19013,6647,9222,3144,2487,1136,9222,15390,4,12231,3155,5.974859306790091,48.50365539367801,13.080523852101194,80.94461684110871,0.021038236995739756,64.32966917372325,16.593909430389733
gRNA_CDK19_targ_6289_3815,16434,3,16431,4952,8715,2764,592,16,8715,15823,194,11737,3892,0.09737690950033473,53.039985393463574,3.6029456515123854,96.29967743898729,1.1806950276915587,71.4320491753393,23.686933235956424
gRNA_CDK19_targ_6291_3816,25951,316,25635,1330,23685,620,1257,310,23685,24068,2,23421,645,1.209284181782719,92.39321240491516,4.903452311293154,93.88726350692413,0.007801833430856251,91.36337039204213,2.516091281451141
