unique_id,Reads_in_input,Reads_lowqual,Reads_aligned_all_amplicons,Reads_aligned_WT,Reads_aligned_HDR,Reads_unaligned,WT,correct_edit,target_base_edit,byproduct_all,byproduct_INDEL,byproduct_sub,byproduct_ambiguous,corr_perc,target_base_edit_perc,WT_perc,byproduct_all_perc,byproduct_INDEL_perc,byproduct_sub_perc,byproduct_ambiguous_perc
gRNA_CDK19_targ_6273_3799,11129,0,11129,382,9865,882,355,8711,9865,2063,3,1176,884,78.27298050139275,88.64228591966933,3.1898643184472997,18.537155180159942,0.02695659987420253,10.566987150687392,7.943211429598347
gRNA_CDK19_targ_6274_3800,24340,154,24186,11833,10049,2304,325,0,10049,23861,740,20720,2401,0.0,41.548829901595965,1.343752584139585,98.6562474158604,3.0596212685024398,85.6693955180683,9.92723062928967
gRNA_CDK19_targ_6275_3801,19736,41,19695,9767,7717,2211,103,23,7717,19569,2356,13969,3244,0.11678090886011677,39.18253363797918,0.522975374460523,99.36024371667936,11.962427011931963,70.92663112465092,16.47118558009647
gRNA_CDK19_targ_6275_3802,19736,41,19695,1557,13501,4637,103,5361,13501,14231,998,8496,4737,27.22010662604722,68.55039350088855,0.522975374460523,72.25691799949226,5.067275958365068,43.13785224676314,24.05178979436405
gRNA_CDK19_targ_6275_3803,19736,41,19695,4055,8054,7586,103,6600,8054,12992,1952,2457,8583,33.51104341203351,40.893627824320895,0.522975374460523,65.96598121350597,9.91114496064991,12.475247524752476,43.57958872810358
gRNA_CDK19_targ_6276_3804,27633,291,27342,4006,22512,824,414,2692,22512,24236,2112,20844,1280,9.84565869358496,82.33486943164363,1.5141540487162608,88.64018725769878,7.7243800746104885,76.23436471362739,4.681442469460903
gRNA_CDK19_targ_6279_3805,14249,463,13786,2446,8624,2716,0,0,8624,13786,2175,8032,3579,0.0,62.556216451472515,0.0,100.0,15.776875090671696,58.26200493254026,25.961119976788044
gRNA_CDK19_targ_6279_3806,14249,29,14220,2380,10493,1347,0,1,10493,14219,2609,9404,2206,0.007032348804500703,73.79043600562588,0.0,99.9929676511955,18.347398030942337,66.1322081575246,15.51336146272855
gRNA_CDK19_targ_6279_3807,14249,28,14221,2400,11346,475,0,4508,11346,9713,2611,5768,1334,31.6995991843049,79.78341888756066,0.0,68.3004008156951,18.36017157724492,40.559735602278316,9.38049363617186
gRNA_CDK19_targ_6280_3808,8594,183,8411,3,7857,551,0,1,7857,8410,2,4955,3453,0.011889192723814054,93.41338723100702,0.0,99.98811080727619,0.023778385447628107,58.91094994649863,41.053382475329926
gRNA_CDK19_targ_6280_3809,8594,187,8407,5,7375,1027,0,1,7375,8406,18,4970,3418,0.011894849530153443,87.72451528488165,0.0,99.98810515046983,0.21410729154276198,59.11740216486261,40.65659569406447
gRNA_CDK19_targ_6280_3810,8594,183,8411,2,8401,8,0,4263,8401,4148,429,1222,2497,50.68362858161931,99.88110807276186,0.0,49.3163714183807,5.1004636785162285,14.528593508500773,29.687314231363693
gRNA_CDK19_targ_6284_3811,68176,360,67816,1347,58867,7602,207,30420,58867,37189,1453,27391,8345,44.85667099209626,86.80399905626992,0.3052377020172231,54.838091305886515,2.14256222720302,40.39017341040462,12.305355668278873
gRNA_CDK19_targ_6286_3812,4566,0,4566,622,3926,18,583,396,3926,3587,66,3497,24,8.672798948751643,85.98335523434078,12.768287341217697,78.55891371003067,1.445466491458607,76.58782303985984,0.5256241787122208
gRNA_CDK19_targ_6287_3813,14661,5,14656,515,11365,2776,176,83,11365,14397,941,10163,3293,0.56632096069869,77.5450327510917,1.2008733624454149,98.23280567685589,6.420578602620088,69.3436135371179,22.468613537117903
gRNA_CDK19_targ_6288_3814,22719,0,22719,12816,8596,1307,3376,1598,8596,17745,5,16426,1314,7.0337602887451025,37.83617236674149,14.859808970465249,78.10643074078965,0.022008010915973413,72.30071746115586,5.783705268717814
gRNA_CDK19_targ_6289_3815,15036,0,15036,3818,10788,430,929,1555,10788,12552,5,12115,432,10.341846235700984,71.74780526735834,6.178504921521681,83.47964884277734,0.03325352487363661,80.5732907688215,2.8731045490822025
gRNA_CDK19_targ_6291_3816,15164,1274,13890,927,11308,1655,884,2,11308,13004,34,10993,1977,0.014398848092152626,81.41108711303096,6.364290856731461,93.62131029517639,0.24478041756659466,79.14326853851692,14.233261339092873
gRNA_CDK19_targ_6291_3817,15164,1274,13890,919,10708,2263,884,1,10708,13005,0,10422,2583,0.007199424046076313,77.09143268538516,6.364290856731461,93.62850971922246,0.0,75.03239740820734,18.59611231101512
gRNA_CDK19_targ_6291_3818,15164,1274,13890,5086,8115,689,884,0,8115,13006,34,11961,1011,0.0,58.42332613390929,6.364290856731461,93.63570914326854,0.24478041756659466,86.11231101511879,7.278617710583153
gRNA_CDK19_targ_6291_3819,15164,1274,13890,921,12499,470,884,1927,12499,11079,341,10253,485,13.873290136789057,89.98560115190784,6.364290856731461,79.76241900647948,2.455003599712023,73.81569474442044,3.4917206623470123
gRNA_CDK19_targ_6291_3820,15164,1274,13890,1381,8725,3784,884,0,8725,13006,339,8869,3798,0.0,62.81497480201585,6.364290856731461,93.63570914326854,2.4406047516198703,63.85169186465083,27.34341252699784
gRNA_CDK19_targ_6291_3821,15164,1274,13890,3118,8798,1974,884,5,8798,13001,339,10673,1989,0.03599712023038157,63.34053275737941,6.364290856731461,93.59971202303817,2.4406047516198703,76.83945284377249,14.319654427645789
gRNA_CDK19_targ_6291_3822,15164,1274,13890,1383,10771,1736,884,6441,10771,6565,341,4474,1750,46.371490280777536,77.54499640028799,6.364290856731461,47.264218862491006,2.455003599712023,32.210223182145434,12.59899208063355
gRNA_CDK19_targ_6292_3823,18321,6,18315,264,15667,2384,17,7,15667,18291,200,15665,2426,0.03822003822003822,85.54190554190554,0.09282009282009282,99.86895986895988,1.092001092001092,85.53098553098553,13.245973245973246
gRNA_CDK19_targ_6292_3824,18321,6,18315,304,15444,2567,17,7,15444,18291,207,15477,2607,0.03822003822003822,84.32432432432432,0.09282009282009282,99.86895986895988,1.1302211302211302,84.50450450450451,14.234234234234233
gRNA_CDK19_targ_6292_3825,18321,6,18315,5362,11563,1390,17,0,11563,18298,2023,14813,1462,0.0,63.13404313404314,0.09282009282009282,99.90717990717991,11.045591045591046,80.87906087906089,7.982527982527983
gRNA_CDK19_targ_6292_3826,18321,6,18315,295,15681,2339,17,2909,15681,15389,212,12800,2377,15.883155883155883,85.61834561834561,0.09282009282009282,84.02402402402403,1.1575211575211575,69.8880698880699,12.978432978432977
gRNA_CDK19_targ_6292_3827,18321,6,18315,2163,12813,3339,17,4,12813,18294,2031,12856,3407,0.02184002184002184,69.95904995904996,0.09282009282009282,99.88533988533989,11.08927108927109,70.1938301938302,18.602238602238604
gRNA_CDK19_targ_6292_3828,18321,6,18315,2384,12811,3120,17,4,12811,18294,2026,13088,3180,0.02184002184002184,69.94812994812995,0.09282009282009282,99.88533988533989,11.061971061971063,71.46055146055146,17.362817362817363
gRNA_CDK19_targ_6292_3829,18321,6,18315,2162,15781,372,17,10959,15781,7339,2033,4873,433,59.83619983619983,86.16434616434616,0.09282009282009282,40.07098007098007,11.1001911001911,26.606606606606608,2.3641823641823643
gRNA_CDK19_targ_6293_3830,27047,0,27047,25216,1758,73,3280,526,1758,23241,488,22663,90,1.9447628202758163,6.499796650275447,12.127038118830184,85.928199060894,1.8042666469479056,83.7911783192221,0.33275409472399897
