unique_id,Reads_in_input,Reads_lowqual,Reads_aligned_all_amplicons,Reads_aligned_WT,Reads_aligned_HDR,Reads_unaligned,WT,correct_edit,target_base_edit,byproduct_all,byproduct_INDEL,byproduct_sub,byproduct_ambiguous,corr_perc,target_base_edit_perc,WT_perc,byproduct_all_perc,byproduct_INDEL_perc,byproduct_sub_perc,byproduct_ambiguous_perc
gRNA_CDK19_targ_6273_3799,10485,0,10485,3274,6971,240,3098,6384,6971,1003,2,760,241,60.88698140200286,66.48545541249405,29.546971864568434,9.566046733428708,0.019074868860276584,7.248450166905103,2.2985216976633285
gRNA_CDK19_targ_6274_3800,14939,1,14938,6985,5970,1983,105,0,5970,14833,1726,9910,3197,0.0,39.96518944972553,0.7029053420805998,99.2970946579194,11.554424956486812,66.34087561922614,21.401794082206454
gRNA_CDK19_targ_6275_3801,22226,3,22223,10670,9832,1721,1231,227,9832,20765,962,17945,1858,1.0214642487512937,44.242451514197,5.53930612428565,93.43922962696305,4.32884849030284,80.74967376141835,8.360707375241866
gRNA_CDK19_targ_6275_3802,22226,3,22223,2657,19095,471,1231,6919,19095,14073,645,12925,503,31.134410295639654,85.9244926427575,5.53930612428565,63.326283580074694,2.9023984160554384,58.16046438374657,2.2634207802726904
gRNA_CDK19_targ_6275_3803,22226,3,22223,2877,11253,8093,1231,8781,11253,12211,971,3039,8201,39.513117040903566,50.63672771453,5.53930612428565,54.94757683481078,4.369347072852451,13.6750213742519,36.903208387706435
gRNA_CDK19_targ_6276_3804,15188,0,15188,5102,9745,341,929,1144,9745,13115,654,11097,1364,7.532262312351856,64.1624967079273,6.116671056096918,86.35106663155122,4.306031077166184,73.06426125888859,8.980774295496445
gRNA_CDK19_targ_6279_3805,10756,14,10742,1624,8080,1038,822,1,8080,9919,53,7294,2572,0.00930925339787749,75.21876745485012,7.652206293055297,92.33848445354683,0.493390430087507,67.90169428411842,23.943399739340904
gRNA_CDK19_targ_6279_3806,10756,14,10742,1808,6302,2632,822,0,6302,9920,167,6496,3257,0.0,58.66691491342394,7.652206293055297,92.3477937069447,1.5546453174455408,60.47291007261217,30.32023831688699
gRNA_CDK19_targ_6279_3807,10756,14,10742,1807,8665,270,822,3525,8665,6395,13,4752,1630,32.815118227518155,80.66468069260844,7.652206293055297,59.532675479426544,0.12102029417240738,44.23757214671383,15.17408303854031
gRNA_CDK19_targ_6280_3808,4755,120,4635,682,3654,299,17,1,3654,4617,4,3071,1542,0.021574973031283712,78.83495145631068,0.3667745415318231,99.6116504854369,0.08629989212513485,66.25674217907228,33.26860841423948
