unique_id,Reads_in_input,Reads_lowqual,Reads_aligned_all_amplicons,Reads_aligned_WT,Reads_aligned_HDR,Reads_unaligned,WT,correct_edit,target_base_edit,byproduct_all,byproduct_INDEL,byproduct_sub,byproduct_ambiguous,corr_perc,target_base_edit_perc,WT_perc,byproduct_all_perc,byproduct_INDEL_perc,byproduct_sub_perc,byproduct_ambiguous_perc
gRNA_CDK19_targ_6273_3799,13585,0,13585,1636,9801,2148,1538,9415,9801,2632,5,479,2148,69.30437983069562,72.14574898785425,11.32131026867869,19.37430990062569,0.0368052999631947,3.525947736474052,15.811556864188441
gRNA_CDK19_targ_6274_3800,8842,0,8842,3927,3676,1239,207,1,3676,8634,319,7047,1268,0.011309658448314861,41.57430445600543,2.341099298801176,97.6475910427505,3.6077810450124406,79.69916308527483,14.340646912463242
gRNA_CDK19_targ_6275_3801,18467,1,18466,6595,11284,587,902,1,11284,17563,393,16506,664,0.005415357955160836,61.10689916603488,4.884652875555074,95.10993176648977,2.1282356763782087,89.38589840788475,3.595797682226795
gRNA_CDK19_targ_6275_3802,18467,1,18466,1344,16351,771,902,5039,16351,12525,378,11303,844,27.287988736055453,88.54651792483483,4.884652875555074,67.82735838838947,2.047005307050796,61.20979096718293,4.570562114155745
gRNA_CDK19_targ_6275_3803,18467,1,18466,1358,11867,5241,902,10246,11867,7318,409,1625,5284,55.48575760857793,64.26405285389365,4.884652875555074,39.629589515866996,2.2148814036607822,8.79995667713636,28.614751435069856
gRNA_CDK19_targ_6276_3804,11578,0,11578,1198,10354,26,320,1081,10354,10177,1027,9091,59,9.336673000518223,89.4282259457592,2.7638624978407322,87.89946450164105,8.8702712040076,78.51960614959405,0.5095871480393851
gRNA_CDK19_targ_6279_3805,13257,721,12536,1048,10406,1082,2,65,10406,12469,132,11175,1162,0.5185067007019784,83.0089342693044,0.015954052329291642,99.46553924696873,1.052967453733248,89.14326738991704,9.269304403318444
gRNA_CDK19_targ_6279_3806,13257,720,12537,1112,9625,1800,2,2,9625,12533,133,10522,1878,0.015952779771875248,76.77275265214963,0.015952779771875248,99.96809444045624,1.060859854829704,83.92757437983569,14.979660205790859
gRNA_CDK19_targ_6279_3807,13257,720,12537,1046,11413,78,2,6637,11413,5898,136,5607,155,52.93929967296801,91.03453776820612,0.015952779771875248,47.04474754726011,1.084789024487517,44.72361809045226,1.2363404323203318
gRNA_CDK19_targ_6280_3808,3274,771,2503,54,2058,391,24,0,2058,2479,4,1808,667,0.0,82.22133439872154,0.9588493807431082,99.0411506192569,0.15980823012385137,72.23332001598082,26.64802237315222
gRNA_CDK19_targ_6280_3809,3274,778,2496,234,1390,872,24,0,1390,2472,56,1277,1139,0.0,55.68910256410257,0.9615384615384616,99.03846153846155,2.2435897435897436,51.16185897435898,45.63301282051282
gRNA_CDK19_targ_6280_3810,3274,769,2505,54,1921,530,24,1173,1921,1308,113,641,554,46.82634730538922,76.68662674650697,0.9580838323353293,52.215568862275454,4.510978043912176,25.58882235528942,22.115768463073852
