Amplicon,Unmodified%,Modified%,Reads_in_input,Reads_aligned_all_amplicons,Reads_aligned,Unmodified,Modified,Discarded,Insertions,Deletions,Substitutions,Only Insertions,Only Deletions,Only Substitutions,Insertions and Deletions,Insertions and Substitutions,Deletions and Substitutions,Insertions Deletions and Substitutions,Guide_ID
Reference,3.16205534,96.83794466,1152,1152,506,16,490,0,1,1,489,0,0,489,1,0,0,0,gRNA_CDK7_targ_2_1
HDR,0.0,100.0,1152,1152,646,0,646,0,0,92,565,0,81,554,0,0,11,0,gRNA_CDK7_targ_2_1
Reference,69.56521739,30.43478261,1152,1152,23,16,7,0,0,0,7,0,0,7,0,0,0,0,gRNA_CDK7_targ_2_2
HDR,30.51742344,69.48257656,1152,1152,947,289,658,0,0,91,577,0,81,567,0,0,10,0,gRNA_CDK7_targ_2_2
Reference,10.38961039,89.61038961,1152,1152,154,16,138,0,1,1,137,0,0,137,1,0,0,0,gRNA_CDK7_targ_2_3
HDR,65.01547988,34.98452012,1152,1152,646,420,226,0,0,92,145,0,81,134,0,0,11,0,gRNA_CDK7_targ_2_3
Reference,,,583,583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,gRNA_CDK7_targ_3_4
HDR,29.97903564,70.02096436,583,583,477,143,334,0,0,0,334,0,0,334,0,0,0,0,gRNA_CDK7_targ_3_4
Reference,18.55555556,81.44444444,3408,3408,900,167,733,0,3,1,730,3,0,729,0,0,1,0,gRNA_CDK7_targ_4_5
HDR,20.61808118,79.38191882,3408,3408,2168,447,1721,0,0,4,1719,0,2,1717,0,0,2,0,gRNA_CDK7_targ_4_5
Reference,11.65644172,88.34355828,729,729,163,19,144,0,0,0,144,0,0,144,0,0,0,0,gRNA_CDK7_targ_5_6
HDR,5.4770318,94.5229682,729,729,566,31,535,0,0,0,535,0,0,535,0,0,0,0,gRNA_CDK7_targ_5_6
Reference,24.5508982,75.4491018,2260,2259,167,41,126,0,0,0,126,0,0,126,0,0,0,0,gRNA_CDK7_targ_7_7
HDR,3.7962518,96.2037482,2260,2259,2081,79,2002,0,1,2,2001,0,1,1999,0,1,1,0,gRNA_CDK7_targ_7_7
Reference,13.89830508,86.10169492,2260,2259,295,41,254,0,0,1,254,0,0,253,0,0,1,0,gRNA_CDK7_targ_7_8
HDR,0.0,100.0,2260,2259,1889,0,1889,0,5,1,1885,4,0,1883,0,1,1,0,gRNA_CDK7_targ_7_8
