unique_id,Reads_in_input,Reads_lowqual,Reads_aligned_all_amplicons,Reads_aligned_WT,Reads_aligned_HDR,Reads_unaligned,WT,correct_edit,target_base_edit,byproduct_all,byproduct_INDEL,byproduct_sub,byproduct_ambiguous,corr_perc,target_base_edit_perc,WT_perc,byproduct_all_perc,byproduct_INDEL_perc,byproduct_sub_perc,byproduct_ambiguous_perc
gRNA_CDK19_targ_6273_3799,3832,20,3812,66,3744,2,63,3622,3744,127,0,125,2,95.01573976915006,98.21615949632738,1.652675760755509,3.3315844700944384,0.0,3.2791185729275973,0.05246589716684155
gRNA_CDK19_targ_6274_3800,20170,1,20169,8810,6986,4373,14,4,6986,20151,55,15711,4385,0.019832416084089446,34.63731469086221,0.06941345629431306,99.91075412762159,0.27269572115622986,77.89677227428231,21.741286132183053
gRNA_CDK19_targ_6275_3801,7120,0,7120,679,6419,22,85,2,6419,7033,7,6977,49,0.02808988764044944,90.15449438202248,1.193820224719101,98.77808988764045,0.09831460674157304,97.99157303370787,0.6882022471910112
gRNA_CDK19_targ_6275_3802,7120,0,7120,112,5782,1226,85,548,5782,6487,2,5234,1251,7.6966292134831455,81.20786516853933,1.193820224719101,91.10955056179775,0.02808988764044944,73.51123595505618,17.570224719101123
gRNA_CDK19_targ_6275_3803,7120,0,7120,119,6423,578,85,3674,6423,3361,8,2750,603,51.60112359550561,90.21067415730337,1.193820224719101,47.205056179775276,0.11235955056179776,38.62359550561798,8.469101123595506
gRNA_CDK19_targ_6276_3804,15772,7,15765,2358,11318,2089,1814,1029,11318,12922,474,10337,2111,6.527117031398667,71.79194418014589,11.506501744370441,81.96638122423089,3.006660323501427,65.56929908024104,13.390421820488424
gRNA_CDK19_targ_6279_3805,3223,21,3202,5,2626,571,0,0,2626,3202,0,2627,575,0.0,82.01124297314179,0.0,100.0,0.0,82.0424734540912,17.957526545908806
gRNA_CDK19_targ_6279_3806,3223,21,3202,1,2716,485,0,1,2716,3201,0,2712,489,0.03123048094940662,84.82198625858838,0.0,99.9687695190506,0.0,84.69706433479075,15.271705184259837
gRNA_CDK19_targ_6279_3807,3223,21,3202,1,3193,8,0,1975,3193,1227,1,1215,11,61.68019987507808,99.71892567145534,0.0,38.31980012492192,0.03123048094940662,37.945034353529046,0.3435352904434728
gRNA_CDK19_targ_6280_3808,3799,1000,2799,3,2788,8,0,0,2788,2799,0,2772,27,0.0,99.60700250089317,0.0,100.0,0.0,99.03536977491962,0.964630225080386
gRNA_CDK19_targ_6280_3809,3799,1000,2799,3,2783,13,0,0,2783,2799,0,2767,32,0.0,99.42836727402644,0.0,100.0,0.0,98.85673454805287,1.143265451947124
gRNA_CDK19_targ_6280_3810,3799,999,2800,3,2797,0,0,2697,2797,103,6,83,14,96.32142857142857,99.89285714285714,0.0,3.6785714285714284,0.2142857142857143,2.9642857142857144,0.5
gRNA_CDK19_targ_6284_3811,23735,1,23734,141,19006,4587,103,12330,19006,11301,16,6688,4597,51.95078789921631,80.07921125811073,0.43397657369175024,47.61523552709194,0.06741383668998062,28.1789837364119,19.368837953990056
