unique_id,Reads_in_input,Reads_lowqual,Reads_aligned_all_amplicons,Reads_aligned_WT,Reads_aligned_HDR,Reads_unaligned,WT,correct_edit,target_base_edit,byproduct_all,byproduct_INDEL,byproduct_sub,byproduct_ambiguous,corr_perc,target_base_edit_perc,WT_perc,byproduct_all_perc,byproduct_INDEL_perc,byproduct_sub_perc,byproduct_ambiguous_perc
gRNA_CDK19_targ_6273_3799,3376,0,3376,510,2850,16,379,2586,2850,411,2,392,17,76.5995260663507,84.41943127962085,11.226303317535544,12.174170616113745,0.05924170616113744,11.61137440758294,0.5035545023696683
gRNA_CDK19_targ_6274_3800,4726,14,4712,1850,2398,464,62,127,2398,4523,94,3957,472,2.6952461799660443,50.891341256366715,1.3157894736842104,95.98896434634975,1.9949066213921902,83.97707979626486,10.0169779286927
gRNA_CDK19_targ_6275_3801,5685,0,5685,1136,4414,135,382,199,4414,5104,5,4956,143,3.5004397537379064,77.6429199648197,6.719437115215479,89.78012313104662,0.08795074758135445,87.17678100263852,2.515391380826737
gRNA_CDK19_targ_6275_3802,5685,0,5685,616,4692,377,382,632,4692,4671,4,4288,379,11.1169744942832,82.53298153034301,6.719437115215479,82.16358839050132,0.07036059806508356,75.42656112576957,6.666666666666667
gRNA_CDK19_targ_6275_3803,5685,0,5685,485,4339,861,382,3167,4339,2136,7,1261,868,55.708003518029905,76.32365875109939,6.719437115215479,37.57255936675462,0.12313104661389623,22.18117854001759,15.26824978012313
gRNA_CDK19_targ_6276_3804,5806,141,5665,984,4399,282,295,235,4399,5135,4,4408,723,4.148278905560459,77.6522506619594,5.207413945278023,90.64430714916152,0.0706090026478376,77.81112091791704,12.762577228596648
gRNA_CDK19_targ_6279_3805,2154,52,2102,87,1799,216,82,6,1799,2014,166,1580,268,0.285442435775452,85.58515699333967,3.9010466222645097,95.81351094196003,7.897240723120837,75.16650808753568,12.749762131303521
gRNA_CDK19_targ_6279_3806,2154,52,2102,111,1506,485,82,0,1506,2020,162,1319,539,0.0,71.64605137963844,3.9010466222645097,96.09895337773548,7.706945765937203,62.74976213130352,25.64224548049477
gRNA_CDK19_targ_6279_3807,2154,52,2102,96,1989,17,82,719,1989,1301,163,1070,68,34.205518553758324,94.62416745956233,3.9010466222645097,61.89343482397717,7.754519505233111,50.903901046622266,3.2350142721217887
gRNA_CDK19_targ_6280_3808,867,2,865,221,508,136,0,0,508,865,0,717,148,0.0,58.72832369942197,0.0,100.0,0.0,82.89017341040463,17.109826589595375
gRNA_CDK19_targ_6280_3809,867,2,865,5,433,427,0,0,433,865,0,426,439,0.0,50.05780346820809,0.0,100.0,0.0,49.2485549132948,50.7514450867052
gRNA_CDK19_targ_6280_3810,867,2,865,5,521,339,0,175,521,690,10,339,341,20.23121387283237,60.23121387283237,0.0,79.76878612716763,1.1560693641618496,39.19075144508671,39.421965317919074
gRNA_CDK19_targ_6284_3811,16513,8,16505,695,14248,1562,419,6686,14248,9400,122,7659,1619,40.50893668585277,86.32535595274159,2.5386246591941837,56.95243865495304,0.7391699485004544,46.404119963647375,9.80914874280521
gRNA_CDK19_targ_6286_3812,3216,2,3214,274,2505,435,73,289,2505,2852,259,2077,516,8.991910392034848,77.94026135656503,2.271313005600498,88.73677660236466,8.05849408836341,64.62352209085253,16.054760423148725
gRNA_CDK19_targ_6287_3813,2855,85,2770,313,1591,866,6,0,1591,2764,241,1438,1085,0.0,57.43682310469313,0.21660649819494585,99.78339350180505,8.700361010830324,51.91335740072203,39.16967509025271
gRNA_CDK19_targ_6288_3814,3228,0,3228,1533,1303,392,596,198,1303,2434,1,2038,395,6.133828996282528,40.36555142503098,18.463444857496903,75.40272614622057,0.030978934324659233,63.13506815365552,12.236679058240396
gRNA_CDK19_targ_6289_3815,3875,0,3875,1214,1424,1237,392,6,1424,3477,126,2113,1238,0.15483870967741936,36.748387096774195,10.116129032258064,89.7290322580645,3.2516129032258063,54.52903225806451,31.948387096774194
gRNA_CDK19_targ_6291_3816,5022,310,4712,78,4412,222,74,2,4412,4636,1,4400,235,0.042444821731748725,93.63327674023769,1.5704584040747027,98.38709677419355,0.021222410865874362,93.3786078098472,4.987266553480476
gRNA_CDK19_targ_6291_3817,5022,310,4712,77,3911,724,74,1,3911,4637,0,3900,737,0.021222410865874362,83.00084889643463,1.5704584040747027,98.40831918505943,0.0,82.76740237691001,15.640916808149404
gRNA_CDK19_targ_6291_3818,5022,310,4712,1270,3374,68,74,0,3374,4638,0,4557,81,0.0,71.60441426146011,1.5704584040747027,98.4295415959253,0.0,96.71052631578947,1.7190152801358234
gRNA_CDK19_targ_6291_3819,5022,310,4712,75,4569,68,74,511,4569,4127,12,4045,70,10.844651952461799,96.96519524617997,1.5704584040747027,87.5848896434635,0.2546689303904924,85.8446519524618,1.4855687606112054
gRNA_CDK19_targ_6291_3820,5022,310,4712,82,3380,1250,74,0,3380,4638,5,3381,1252,0.0,71.73174872665535,1.5704584040747027,98.4295415959253,0.10611205432937182,71.75297113752123,26.570458404074703
gRNA_CDK19_targ_6291_3821,5022,310,4712,734,3377,601,74,2,3377,4636,1,4032,603,0.042444821731748725,71.66808149405772,1.5704584040747027,98.38709677419355,0.021222410865874362,85.56876061120543,12.797113752122241
gRNA_CDK19_targ_6291_3822,5022,310,4712,78,3908,726,74,3123,3908,1515,4,775,736,66.27758913412563,82.93718166383701,1.5704584040747027,32.15195246179966,0.08488964346349745,16.447368421052634,15.619694397283531
gRNA_CDK19_targ_6292_3823,5516,3,5513,114,5354,45,21,0,5354,5492,85,5264,143,0.0,97.11590785416288,0.3809178305822601,99.61908216941774,1.5418102666424813,95.48340286595321,2.5938690368220567
gRNA_CDK19_targ_6292_3824,5516,3,5513,134,5277,102,21,0,5277,5492,85,5208,199,0.0,95.71920914202794,0.3809178305822601,99.61908216941774,1.5418102666424813,94.46762198440051,3.6096499183747506
gRNA_CDK19_targ_6292_3825,5516,3,5513,1001,4412,100,21,0,4412,5492,4,5298,190,0.0,80.02902231090151,0.3809178305822601,99.61908216941774,0.07255577725376383,96.10012697261018,3.446399419553782
gRNA_CDK19_targ_6292_3826,5516,3,5513,129,5365,19,21,843,5365,4649,171,4447,31,15.291130056230728,97.31543624161074,0.3809178305822601,84.32795211318701,3.101759477598404,80.66388536187193,0.5623072737166698
gRNA_CDK19_targ_6292_3827,5516,3,5513,130,4424,959,21,1,4424,5491,170,4348,973,0.018138944313440958,80.2466896426628,0.3809178305822601,99.6009432251043,3.0836205332849627,78.86812987484129,17.64919281697805
gRNA_CDK19_targ_6292_3828,5516,3,5513,135,4407,971,21,0,4407,5492,8,4423,1061,0.0,79.9383275893343,0.3809178305822601,99.61908216941774,0.14511155450752766,80.22855069834935,19.245419916560856
gRNA_CDK19_targ_6292_3829,5516,3,5513,121,5275,117,21,4210,5275,1282,162,992,128,76.36495555958643,95.68293125340105,0.3809178305822601,23.254126609831307,2.938508978777435,17.993832758933433,2.3217848721204426
gRNA_CDK19_targ_6293_3830,5844,0,5844,4176,1657,11,723,4,1657,5117,22,5030,65,0.06844626967830253,28.35386721423682,12.371663244353183,87.55989048596852,0.37645448323066394,86.07118412046543,1.1122518822724161
gRNA_CDK19_targ_6293_3831,5844,0,5844,807,3860,1177,723,2197,3860,2924,8,1691,1225,37.59411362080767,66.05065023956195,12.371663244353183,50.03422313483915,0.13689253935660506,28.935660506502398,20.96167008898015
gRNA_CDK19_targ_6293_3832,5844,0,5844,1930,1615,2299,723,1385,1615,3736,22,1405,2309,23.699520876112253,27.635181382614647,12.371663244353183,63.92881587953456,0.37645448323066394,24.041752224503764,39.51060917180014
gRNA_CDK19_targ_6294_3833,3608,6,3602,717,2277,608,547,1567,2277,1488,3,864,621,43.503609106052195,63.21488062187674,15.18600777345919,41.310383120488616,0.0832870627429206,23.986674069961133,17.240421987784565
gRNA_CDK19_targ_6294_3834,3608,6,3602,2918,671,13,547,0,671,3055,187,2836,32,0.0,18.628539700166574,15.18600777345919,84.81399222654082,5.191560244308717,78.7340366463076,0.8883953359244865
gRNA_CDK19_targ_6294_3835,3608,6,3602,1314,677,1611,547,634,677,2421,187,619,1615,17.60133259300389,18.795113825652415,15.18600777345919,67.21265963353692,5.191560244308717,17.18489727928928,44.836202109938924
gRNA_CDK19_targ_6295_3836,3618,0,3618,328,3048,242,318,2733,3048,567,2,321,244,75.53897180762851,84.24543946932008,8.7893864013267,15.671641791044777,0.055279159756771695,8.872305140961858,6.7440574903261465
gRNA_CDK19_targ_6296_3837,5969,120,5849,3126,2117,606,2328,1885,2117,1636,4,1024,608,32.22773123610874,36.194221234399045,39.80167550008549,27.970593263805775,0.06838775859121217,17.507266199350315,10.39493930586425
