unique_id,Reads_in_input,Reads_lowqual,Reads_aligned_all_amplicons,Reads_aligned_WT,Reads_aligned_HDR,Reads_unaligned,WT,correct_edit,target_base_edit,byproduct_all,byproduct_INDEL,byproduct_sub,byproduct_ambiguous,corr_perc,target_base_edit_perc,WT_perc,byproduct_all_perc,byproduct_INDEL_perc,byproduct_sub_perc,byproduct_ambiguous_perc
gRNA_CDK19_targ_6273_3799,2900,0,2900,34,2843,23,32,2705,2843,163,0,139,24,93.27586206896552,98.03448275862068,1.103448275862069,5.620689655172414,0.0,4.793103448275862,0.8275862068965517
gRNA_CDK19_targ_6274_3800,12296,0,12296,5688,4327,2281,3,0,4327,12293,18,9955,2320,0.0,35.19030579050097,0.024398178269355888,99.97560182173063,0.14638906961613532,80.96128822381262,18.867924528301888
gRNA_CDK19_targ_6275_3801,9925,41,9884,6405,2398,1081,61,2,2398,9821,1372,6432,2017,0.020234722784297856,24.261432618373128,0.6171590449210845,99.36260623229461,13.881019830028329,65.07486847430191,20.406717927964387
gRNA_CDK19_targ_6275_3802,9925,41,9884,77,5844,3963,61,3302,5844,6521,18,2539,3964,33.40752731687576,59.12585997571833,0.6171590449210845,65.97531363820316,0.18211250505868068,25.687980574666124,40.10522055847835
gRNA_CDK19_targ_6275_3803,9925,41,9884,2581,2453,4850,61,2316,2453,7507,966,789,5752,23.431808984216918,24.817887494941317,0.6171590449210845,75.951031970862,9.773371104815865,7.982598138405504,58.19506272764063
gRNA_CDK19_targ_6276_3804,13183,290,12893,1706,10377,810,399,1497,10377,10997,86,10013,898,11.61095167920577,80.48553478631815,3.0947025517722793,85.29434576902194,0.6670286201814938,77.66229737066625,6.965019778174203
gRNA_CDK19_targ_6279_3805,4561,0,4561,1533,2818,210,0,0,2818,4561,1360,2961,240,0.0,61.78469633852225,0.0,100.0,29.81802236351677,64.91997368998027,5.2620039465029596
gRNA_CDK19_targ_6279_3806,4561,0,4561,1409,2185,967,0,1,2185,4560,1361,2206,993,0.021925016443762334,47.9061609296207,0.0,99.97807498355624,29.839947379960535,48.366586274939706,21.771541328655996
gRNA_CDK19_targ_6279_3807,4561,0,4561,1414,2945,202,0,1591,2945,2970,1361,1377,232,34.88270116202587,64.56917342688007,0.0,65.11729883797412,29.839947379960535,30.19074764306073,5.086603814952861
gRNA_CDK19_targ_6280_3808,3402,180,3222,0,2699,523,0,1,2699,3221,0,966,2255,0.031036623215394164,83.76784605834885,0.0,99.9689633767846,0.0,29.981378026070765,69.98758535071384
gRNA_CDK19_targ_6280_3809,3402,184,3218,2,2999,217,0,0,2999,3218,0,1276,1942,0.0,93.19453076444996,0.0,100.0,0.0,39.6519577377253,60.3480422622747
gRNA_CDK19_targ_6280_3810,3402,180,3222,0,3219,3,0,691,3219,2531,32,797,1702,21.446306641837367,99.90689013035382,0.0,78.55369335816263,0.9931719428926132,24.73618870266915,52.82433271260088
gRNA_CDK19_targ_6284_3811,20470,27,20443,200,17135,3108,59,9195,17135,11189,32,8043,3114,44.97872132270215,83.818421953725,0.28860734725823023,54.732671330039615,0.15653279851293841,39.343540576236364,15.23259795529032
gRNA_CDK19_targ_6286_3812,1114,0,1114,229,872,13,217,32,872,865,1,851,13,2.872531418312388,78.27648114901257,19.47935368043088,77.64811490125673,0.08976660682226212,76.39138240574506,1.1669658886894074
gRNA_CDK19_targ_6287_3813,5806,5,5801,329,5406,66,12,81,5406,5708,933,4196,579,1.396310980865368,93.19082916738493,0.20686088605412858,98.3968281330805,16.0834338907085,72.3323564902603,9.981037752111705
gRNA_CDK19_targ_6288_3814,9116,0,9116,5347,3525,244,1336,1154,3525,6626,3,6376,247,12.65906099166301,38.6682755594559,14.655550680122861,72.68538832821413,0.03290917068889864,69.94295743747257,2.709521720052655
gRNA_CDK19_targ_6289_3815,5165,0,5165,938,3818,409,2,135,3818,5028,2,4617,409,2.6137463697967087,73.92061955469507,0.038722168441432725,97.34753146176186,0.038722168441432725,89.39012584704743,7.918683446272991
gRNA_CDK19_targ_6291_3816,4517,0,4517,18,3312,1187,12,1,3312,4504,0,3312,1192,0.022138587558113793,73.32300199247288,0.2656630506973655,99.71219836174453,0.0,73.32300199247288,26.389196369271637
gRNA_CDK19_targ_6291_3817,4517,0,4517,13,3733,771,12,0,3733,4505,0,3730,775,0.0,82.64334735443879,0.2656630506973655,99.73433694930264,0.0,82.57693159176445,17.157405357538188
gRNA_CDK19_targ_6291_3818,4517,0,4517,848,2996,673,12,0,2996,4505,0,3827,678,0.0,66.32720832410892,0.2656630506973655,99.73433694930264,0.0,84.72437458490148,15.009962364401149
gRNA_CDK19_targ_6291_3819,4517,0,4517,12,4495,10,12,78,4495,4427,3,4412,12,1.7268098295328758,99.5129510737215,0.2656630506973655,98.00752711976976,0.06641576267434138,97.67544830639805,0.2656630506973655
gRNA_CDK19_targ_6291_3820,4517,0,4517,13,3590,914,12,0,3590,4505,3,3587,915,0.0,79.47752933362851,0.2656630506973655,99.73433694930264,0.06641576267434138,79.41111357095417,20.25680761567412
gRNA_CDK19_targ_6291_3821,4517,0,4517,767,3666,84,12,5,3666,4500,3,4411,86,0.11069293779056896,81.16006198804516,0.2656630506973655,99.62364401151207,0.06641576267434138,97.65330971883995,1.903918529997786
gRNA_CDK19_targ_6291_3822,4517,0,4517,14,3750,753,12,1810,3750,2695,4,1938,753,40.070843480185964,83.01970334292672,0.2656630506973655,59.663493469116666,0.08855435023245517,42.90458268762453,16.670356431259687
gRNA_CDK19_targ_6292_3823,5382,3,5379,34,5327,18,6,5,5327,5368,1,5327,40,0.09295408068414203,99.03327756088493,0.11154489682097045,99.79550102249489,0.018590816136828406,99.03327756088493,0.7436326454731362
