Amplicon,Unmodified%,Modified%,Reads_in_input,Reads_aligned_all_amplicons,Reads_aligned,Unmodified,Modified,Discarded,Insertions,Deletions,Substitutions,Only Insertions,Only Deletions,Only Substitutions,Insertions and Deletions,Insertions and Substitutions,Deletions and Substitutions,Insertions Deletions and Substitutions,Guide_ID
Reference,3.38983051,96.61016949,828,828,59,2,57,0,0,0,57,0,0,57,0,0,0,0,gRNA_CDK7_targ_2_1
HDR,0.0,100.0,828,828,768,0,768,0,0,488,288,0,480,280,0,0,8,0,gRNA_CDK7_targ_2_1
Reference,100.0,0.0,828,828,2,2,0,0,0,0,0,0,0,0,0,0,0,0,gRNA_CDK7_targ_2_2
HDR,5.08054523,94.91945477,828,828,807,41,766,0,0,488,286,0,480,278,0,0,8,0,gRNA_CDK7_targ_2_2
Reference,11.11111111,88.88888889,828,828,18,2,16,0,0,0,16,0,0,16,0,0,0,0,gRNA_CDK7_targ_2_3
HDR,35.28645833,64.71354167,828,828,768,271,497,0,0,488,17,0,480,9,0,0,8,0,gRNA_CDK7_targ_2_3
Reference,33.33333333,66.66666667,468,468,3,1,2,0,0,0,2,0,0,2,0,0,0,0,gRNA_CDK7_targ_3_4
HDR,75.80246914,24.19753086,468,468,405,307,98,0,0,0,98,0,0,98,0,0,0,0,gRNA_CDK7_targ_3_4
Reference,43.71184371,56.28815629,1053,1053,819,358,461,0,0,0,461,0,0,461,0,0,0,0,gRNA_CDK7_targ_4_5
HDR,10.61946903,89.38053097,1053,1053,113,12,101,0,0,0,101,0,0,101,0,0,0,0,gRNA_CDK7_targ_4_5
Reference,0.0,100.0,265,265,2,0,2,0,0,0,2,0,0,2,0,0,0,0,gRNA_CDK7_targ_5_6
HDR,0.0,100.0,265,265,262,0,262,0,0,0,262,0,0,262,0,0,0,0,gRNA_CDK7_targ_5_6
Reference,83.33333333,16.66666667,1789,1513,6,5,1,0,0,0,1,0,0,1,0,0,0,0,gRNA_CDK7_targ_7_7
HDR,0.07194245,99.92805755,1789,1513,1390,1,1389,0,1,1,1387,1,1,1387,0,0,0,0,gRNA_CDK7_targ_7_7
Reference,71.42857143,28.57142857,1789,1513,7,5,2,0,0,0,2,0,0,2,0,0,0,0,gRNA_CDK7_targ_7_8
HDR,0.0,100.0,1789,1513,1242,0,1242,0,0,1,1241,0,1,1241,0,0,0,0,gRNA_CDK7_targ_7_8
Reference,83.33333333,16.66666667,1789,1513,6,5,1,0,0,0,1,0,0,1,0,0,0,0,gRNA_CDK7_targ_7_9
HDR,30.35356905,69.64643095,1789,1513,1499,455,1044,0,1,1,1042,1,1,1042,0,0,0,0,gRNA_CDK7_targ_7_9
Reference,98.18181818,1.81818182,492,492,275,270,5,0,0,0,5,0,0,5,0,0,0,0,gRNA_CDK7_targ_8_10
HDR,92.85714286,7.14285714,492,492,84,78,6,0,0,0,6,0,0,6,0,0,0,0,gRNA_CDK7_targ_8_10
Reference,100.0,0.0,587,586,3,3,0,0,0,0,0,0,0,0,0,0,0,0,gRNA_CDK7_targ_9_11
HDR,98.28178694,1.71821306,587,586,582,572,10,0,0,0,10,0,0,10,0,0,0,0,gRNA_CDK7_targ_9_11
Reference,100.0,0.0,925,925,2,2,0,0,0,0,0,0,0,0,0,0,0,0,gRNA_CDK7_targ_10_12
