unique_id,Reads_in_input,Reads_lowqual,Reads_aligned_all_amplicons,Reads_aligned_WT,Reads_aligned_HDR,Reads_unaligned,WT,correct_edit,target_base_edit,byproduct_all,byproduct_INDEL,byproduct_sub,byproduct_ambiguous,corr_perc,target_base_edit_perc,WT_perc,byproduct_all_perc,byproduct_INDEL_perc,byproduct_sub_perc,byproduct_ambiguous_perc
gRNA_CDK19_targ_6273_3799,12410,20,12390,2393,9982,15,2245,9667,9982,478,3,460,15,78.0225988700565,80.56497175141243,18.11945117029863,3.8579499596448747,0.024213075060532687,3.7126715092816784,0.12106537530266344
gRNA_CDK19_targ_6274_3800,26779,6,26773,11589,10789,4395,502,9,10789,26262,63,21323,4876,0.03361595637395884,40.2980614798491,1.8750233444141486,98.09136069921189,0.23531169461771187,79.64367086243604,18.212378142158144
gRNA_CDK19_targ_6275_3801,27320,3,27317,6065,20014,1238,336,6,20014,26975,14,24284,2677,0.021964344547351466,73.26573196178204,1.2300032946516821,98.74803236080096,0.05125013727715342,88.89702383131383,9.799758392209979
gRNA_CDK19_targ_6275_3802,27320,3,27317,1793,22583,2941,336,4153,22583,22828,474,17950,4404,15.20298715085844,82.6701321521397,1.2300032946516821,83.56700955448989,1.7351832192407657,65.70999743749314,16.12182889775598
gRNA_CDK19_targ_6275_3803,27320,3,27317,1804,20563,4950,336,11856,20563,15125,484,8229,6412,43.401544825566496,75.2754694878647,1.2300032946516821,55.36845187978182,1.7717904601530183,30.124098546692537,23.47256287293627
gRNA_CDK19_targ_6276_3804,32195,289,31906,4853,24775,2278,2603,3200,24775,26103,1268,22470,2365,10.029461543283395,77.64997179213941,8.158340124114586,81.81219833260201,3.9741741365260452,70.42562527424309,7.412398921832884
gRNA_CDK19_targ_6279_3805,15684,1171,14513,124,12296,2093,11,5,12296,14497,4,12335,2158,0.03445187073658099,84.72404051539999,0.07579411562047819,99.88975401364294,0.027561496589264795,84.99276510714532,14.86942740990836
gRNA_CDK19_targ_6279_3806,15684,1160,14524,24,10235,4265,11,2,10235,14511,18,10164,4329,0.013770311209033326,70.46956761222803,0.07573671164968328,99.91049297714129,0.12393280088129992,69.98072156430736,29.80583861195263
gRNA_CDK19_targ_6279_3807,15684,1170,14514,105,14338,71,11,6343,14338,8160,9,8028,123,43.70263194157366,98.78737770428552,0.07578889348215516,56.22157916494419,0.06200909466721786,55.312112443158334,0.847457627118644
gRNA_CDK19_targ_6280_3808,7174,1168,6006,3,5965,38,0,0,5965,6006,0,5558,448,0.0,99.31734931734931,0.0,100.0,0.0,92.54079254079254,7.459207459207459
