unique_id,Reads_in_input,Reads_lowqual,Reads_aligned_all_amplicons,Reads_aligned_WT,Reads_aligned_HDR,Reads_unaligned,WT,correct_edit,target_base_edit,byproduct_all,byproduct_INDEL,byproduct_sub,byproduct_ambiguous,corr_perc,target_base_edit_perc,WT_perc,byproduct_all_perc,byproduct_INDEL_perc,byproduct_sub_perc,byproduct_ambiguous_perc
gRNA_CDK19_targ_6273_3799,12072,0,12072,1325,10737,10,994,10117,10737,961,5,945,11,83.80550033134526,88.941351888668,8.233929754804507,7.960569913850232,0.041418157720344594,7.828031809145129,0.09111994698475812
gRNA_CDK19_targ_6274_3800,12973,2,12971,6035,6906,30,266,2,6906,12703,343,12067,293,0.01541901164135379,53.24184719759464,2.0507285483000537,97.93385244005859,2.6443604964921748,93.03060673810809,2.25888520545833
gRNA_CDK19_targ_6275_3801,20458,0,20458,5661,12307,2490,838,1,12307,19619,3,17114,2502,0.004888063349301007,60.157395639847486,4.096197086714244,95.89891484993646,0.014664190047903022,83.65431615993744,12.22993449995112
gRNA_CDK19_targ_6275_3802,20458,0,20458,1804,14852,3802,838,3024,14852,16596,4,12781,3811,14.781503568286244,72.59751686381856,4.096197086714244,81.12229934499952,0.01955225339720403,62.474337667416165,18.628409424186138
gRNA_CDK19_targ_6275_3803,20458,0,20458,2304,12238,5916,838,8284,12238,11336,8,5405,5923,40.49271678560954,59.82011926874572,4.096197086714244,55.411086127676214,0.03910450679440806,26.419982402971943,28.95199921790986
gRNA_CDK19_targ_6276_3804,24472,2,24470,5332,17335,1803,1185,529,17335,22756,745,20169,1842,2.161830813240703,70.84184715978749,4.842664487127094,92.9955046996322,3.0445443400081733,82.42337556191255,7.527584797711484
gRNA_CDK19_targ_6279_3805,8373,7,8366,48,5885,2433,18,12,5885,8336,17,4804,3515,0.14343772412144393,70.34425053789147,0.2151565861821659,99.6414056896964,0.20320344250537892,57.42290222328472,42.015300023906285
gRNA_CDK19_targ_6279_3806,8373,6,8367,557,6319,1491,18,2,6319,8347,452,5302,2593,0.023903430142225412,75.52288753436119,0.2151308712800287,99.76096569857773,5.402175212142943,63.36799330703956,30.99079717939524
gRNA_CDK19_targ_6279_3807,8373,7,8366,560,6720,1086,18,3436,6720,4912,1449,2253,1210,41.071001673440115,80.32512550800861,0.2151565861821659,58.71384174037772,17.320105187664357,26.9304327038011,14.463303848912265
gRNA_CDK19_targ_6280_3808,3009,357,2652,0,2596,56,0,1,2596,2651,575,1491,585,0.037707390648567124,97.88838612368023,0.0,99.96229260935144,21.681749622926095,56.22171945701358,22.058823529411764
gRNA_CDK19_targ_6280_3809,3009,357,2652,586,1516,550,0,0,1516,2652,45,1346,1261,0.0,57.16440422322775,0.0,100.0,1.6968325791855203,50.75414781297134,47.549019607843135
gRNA_CDK19_targ_6280_3810,3009,357,2652,1,2047,604,0,1188,2047,1464,135,339,990,44.79638009049774,77.18702865761689,0.0,55.203619909502265,5.090497737556561,12.782805429864252,37.33031674208145
gRNA_CDK19_targ_6284_3811,46888,1075,45813,2729,37815,5269,1456,17637,37815,26720,541,19860,6319,38.49780629952197,82.54207321066073,3.1781372099622374,58.324056490515794,1.1808875210093206,43.35014078973217,13.7930281797743
gRNA_CDK19_targ_6286_3812,6748,0,6748,1974,4117,657,12,1555,4117,5181,160,4359,662,23.043864848844102,61.01066982809722,0.17783046828689983,76.778304682869,2.3710729104919976,64.59691760521636,9.81031416716064
gRNA_CDK19_targ_6287_3813,10278,0,10278,1080,8567,631,303,24,8567,9951,1968,7199,784,0.23350846468184472,83.35279237205681,2.9480443666082894,96.81844716870987,19.147694103911267,70.04280988519167,7.627943179606928
gRNA_CDK19_targ_6288_3814,10973,0,10973,2407,4429,4137,375,513,4429,10085,6,5918,4161,4.675111637656064,40.362708466235304,3.4174792672924448,91.90740909505149,0.054679668276679125,53.93237947689784,37.92034994987697
gRNA_CDK19_targ_6289_3815,11971,10,11961,4458,6336,1167,285,10,6336,11666,341,10143,1182,0.0836050497450046,52.972159518434914,2.3827439177326313,97.53365103252236,2.8509321963046568,84.80060195635816,9.882116879859543
gRNA_CDK19_targ_6291_3816,14513,165,14348,741,13555,52,471,449,13555,13428,48,11806,1574,3.129356007805966,94.47309729579035,3.2826874825759687,93.58795650961807,0.3345413994981879,82.28324505157514,10.970170058544745
gRNA_CDK19_targ_6291_3817,14513,165,14348,1008,11148,2192,471,0,11148,13877,0,10365,3512,0.0,77.69724003345414,3.2826874825759687,96.71731251742403,0.0,72.24003345413995,24.477279063284083
gRNA_CDK19_targ_6291_3818,14513,165,14348,4268,9593,487,471,0,9593,13877,0,12121,1756,0.0,66.85949261221076,3.2826874825759687,96.71731251742403,0.0,84.47867298578198,12.238639531642042
gRNA_CDK19_targ_6291_3819,14513,165,14348,741,13083,524,471,1164,13083,12713,1234,10671,808,8.112628937831056,91.18344020072485,3.2826874825759687,88.60468357959299,8.600501812099246,74.37273487594089,5.63144689155283
gRNA_CDK19_targ_6291_3820,14513,165,14348,744,9829,3775,471,2,9829,13875,1192,8620,4063,0.013939224979091162,68.50432115974353,3.2826874825759687,96.70337329244494,8.307778087538333,60.07805965988291,28.3175355450237
gRNA_CDK19_targ_6291_3821,14513,165,14348,2869,9768,1711,471,1,9768,13876,1145,10985,1746,0.006969612489545581,68.07917479788124,3.2826874825759687,96.71034290493449,7.980206300529691,76.56119319765821,12.168943406746585
gRNA_CDK19_targ_6291_3822,14513,165,14348,1208,11229,1911,471,8157,11229,5720,1197,2240,2283,56.851129077223305,78.26177864510733,3.2826874825759687,39.86618344020073,8.342626149986062,15.611931976582103,15.911625313632562
gRNA_CDK19_targ_6292_3823,15150,1183,13967,494,12759,714,464,1044,12759,12459,1,11733,725,7.474761938855874,91.35104174124723,3.322116417269277,89.20312164387485,0.007159733657907927,84.00515500823369,5.190806901983247
gRNA_CDK19_targ_6292_3824,15150,1183,13967,1653,11566,748,464,0,11566,13503,0,12743,760,0.0,82.80947948736306,3.322116417269277,96.67788358273071,0.0,91.2364860027207,5.441397580010024
gRNA_CDK19_targ_6292_3825,15150,1183,13967,3362,9997,608,464,0,9997,13503,0,12883,620,0.0,71.57585737810554,3.322116417269277,96.67788358273071,0.0,92.23884871482781,4.439034867902914
gRNA_CDK19_targ_6292_3826,15150,1183,13967,591,12301,1075,464,1001,12301,12502,2,11416,1084,7.166893391565833,88.07188372592539,3.322116417269277,89.51099019116488,0.014319467315815853,81.73551943867689,7.761151285172192
gRNA_CDK19_targ_6292_3827,15150,1183,13967,536,10040,3391,464,3,10040,13500,4,10099,3397,0.021479200973723776,71.88372592539558,3.322116417269277,96.656404381757,0.028638934631631707,72.30615021121214,24.321615235913224
gRNA_CDK19_targ_6292_3828,15150,1183,13967,2285,10494,1188,464,1,10494,13502,4,12303,1195,0.007159733657907927,75.13424500608578,3.322116417269277,96.67072384907281,0.028638934631631707,88.0862031932412,8.555881721199972
gRNA_CDK19_targ_6292_3829,15150,1183,13967,1560,11540,867,464,9540,11540,3963,8,3084,871,68.30385909644161,82.62332641225747,3.322116417269277,28.374024486289112,0.05727786926326341,22.080618600988046,6.236128016037804
gRNA_CDK19_targ_6293_3830,18407,0,18407,14877,3369,161,3851,450,3369,14106,6,13938,162,2.4447221165860813,18.302819579507794,20.92138860216222,76.6338892812517,0.03259629488781442,75.7211930243929,0.8800999619709893
