unique_id,Reads_in_input,Reads_lowqual,Reads_aligned_all_amplicons,Reads_aligned_WT,Reads_aligned_HDR,Reads_unaligned,WT,correct_edit,target_base_edit,byproduct_all,byproduct_INDEL,byproduct_sub,byproduct_ambiguous,corr_perc,target_base_edit_perc,WT_perc,byproduct_all_perc,byproduct_INDEL_perc,byproduct_sub_perc,byproduct_ambiguous_perc
gRNA_CDK19_targ_6273_3799,15595,0,15595,3246,11854,495,2077,10674,11854,2844,1038,1289,517,68.4450144277012,76.01154216094902,13.31837127284386,18.236614299454953,6.655979480602757,8.26546970182751,3.3151651170246876
gRNA_CDK19_targ_6274_3800,23640,1,23639,7964,15351,324,193,0,15351,23446,925,21942,579,0.0,64.93929523245484,0.8164473962519564,99.18355260374805,3.913025085663522,92.82118532932864,2.4493421887558693
gRNA_CDK19_targ_6275_3801,20801,691,20110,5836,13495,779,751,2,13495,19357,96,18003,1258,0.009945300845350571,67.10591745400298,3.7344604674291397,96.25559423172551,0.4773744405768275,89.52262555942318,6.25559423172551
gRNA_CDK19_targ_6275_3802,20801,691,20110,771,18387,952,751,4023,18387,15336,5,14367,964,20.004972650422676,91.43212332173049,3.7344604674291397,76.26056688214818,0.02486325211337643,71.44206862257583,4.793635007458976
gRNA_CDK19_targ_6275_3803,20801,691,20110,1696,14268,4146,751,11562,14268,7797,102,3083,4612,57.49378418697165,70.94977623073098,3.7344604674291397,38.77175534559921,0.5072103431128792,15.330681253107906,22.933863749378418
gRNA_CDK19_targ_6276_3804,16076,387,15689,3107,11946,636,532,1988,11946,13169,20,12508,641,12.671298361909619,76.1425202371088,3.3909108292434187,83.93779080884697,0.12747785072343681,79.72464784243738,4.08566511568615
gRNA_CDK19_targ_6279_3805,7754,64,7690,461,7045,184,7,26,7045,7657,236,6495,926,0.3381014304291287,91.61248374512354,0.09102730819245773,99.57087126137841,3.0689206762028607,84.46033810143044,12.041612483745123
gRNA_CDK19_targ_6279_3806,7754,65,7689,481,5802,1406,7,0,5802,7682,204,5565,1913,0.0,75.45844713226687,0.09103914683313824,99.90896085316686,2.6531408505657432,72.37612173234491,24.87969827025621
gRNA_CDK19_targ_6279_3807,7754,48,7706,463,7140,103,7,4695,7140,3004,282,1905,817,60.926550739683364,92.65507396833637,0.09083830781209447,38.982610952504544,3.6594861147158055,24.720996626005707,10.602128211783027
gRNA_CDK19_targ_6280_3808,7268,314,6954,50,6858,46,12,2,6858,6940,328,4800,1812,0.028760425654299683,98.61949956859361,0.1725625539257981,99.7986770204199,4.716709807305148,69.02502157031924,26.056945642795515
gRNA_CDK19_targ_6280_3809,7268,314,6954,357,4090,2507,12,4,4090,6938,23,2344,4571,0.057520851308599366,58.81507046304285,0.1725625539257981,99.7699165947656,0.3307448950244464,33.70721886683923,65.73195283290192
gRNA_CDK19_targ_6280_3810,7268,312,6956,46,6584,326,12,2105,6584,4839,1661,2727,451,30.26164462334675,94.65209890741806,0.17251293847038526,69.56584243818287,23.878665899942494,39.20356526739505,6.483611270845313
gRNA_CDK19_targ_6284_3811,55762,1641,54121,3187,46960,3974,1118,27588,46960,25415,298,20975,4142,50.97466787383825,86.76853716671901,2.065741579054341,46.9595905471074,0.550618059533268,38.75575100238355,7.653221485190591
gRNA_CDK19_targ_6286_3812,7600,0,7600,2650,3826,1124,1331,358,3826,5911,1082,3689,1140,4.7105263157894735,50.3421052631579,17.513157894736842,77.77631578947368,14.23684210526316,48.53947368421053,15.0
gRNA_CDK19_targ_6287_3813,10861,2,10859,517,9191,1151,283,62,9191,10514,199,9146,1169,0.5709549682291186,84.63946956441661,2.606133161432913,96.82291187033798,1.8325812689934617,84.22506676489547,10.765263836449028
gRNA_CDK19_targ_6288_3814,17625,117,17508,6274,10767,467,1824,3346,10767,12338,192,11251,895,19.11126342243546,61.49760109664153,10.41809458533242,70.47064199223212,1.0966415352981496,64.26205163353896,5.11194882339502
gRNA_CDK19_targ_6289_3815,17888,0,17888,5729,10915,1244,97,260,10915,17531,314,15953,1264,1.4534883720930232,61.01855992844365,0.542262969588551,98.00424865831843,1.755366726296959,89.1826923076923,7.0661896243291595
gRNA_CDK19_targ_6291_3816,15052,46,15006,924,13268,814,895,0,13268,14111,185,12865,1061,0.0,88.41796614687458,5.964280954284953,94.03571904571506,1.2328401972544316,85.7323737171798,7.070505131280822
gRNA_CDK19_targ_6291_3817,15052,48,15004,952,11411,2641,895,0,11411,14109,0,11210,2899,0.0,76.05305251932818,5.965075979738736,94.03492402026127,0.0,74.71340975739803,19.32151426286324
gRNA_CDK19_targ_6291_3818,15052,48,15004,6847,7534,623,895,0,7534,14109,0,13228,881,0.0,50.21327645961077,5.965075979738736,94.03492402026127,0.0,88.16315649160224,5.871767528659024
