Amplicon,Unmodified%,Modified%,Reads_in_input,Reads_aligned_all_amplicons,Reads_aligned,Unmodified,Modified,Discarded,Insertions,Deletions,Substitutions,Only Insertions,Only Deletions,Only Substitutions,Insertions and Deletions,Insertions and Substitutions,Deletions and Substitutions,Insertions Deletions and Substitutions,Guide_ID
Reference,0.93312597,99.06687403,1617,1616,643,6,637,0,15,16,622,0,0,621,15,0,1,0,gRNA_CDK7_targ_2_1
HDR,0.0,100.0,1617,1616,948,0,948,0,0,3,946,0,2,945,0,0,1,0,gRNA_CDK7_targ_2_1
Reference,54.54545455,45.45454545,1617,1616,11,6,5,0,2,3,3,0,0,2,2,0,1,0,gRNA_CDK7_targ_2_2
HDR,17.70833333,82.29166667,1617,1616,1152,204,948,0,0,3,946,0,2,945,0,0,1,0,gRNA_CDK7_targ_2_2
Reference,1.53452685,98.46547315,1617,1616,391,6,385,0,15,16,370,0,0,369,15,0,1,0,gRNA_CDK7_targ_2_3
HDR,77.05943691,22.94056309,1617,1616,959,739,220,0,0,3,218,0,2,217,0,0,1,0,gRNA_CDK7_targ_2_3
Reference,0.0,100.0,1411,1409,1,0,1,0,0,0,1,0,0,1,0,0,0,0,gRNA_CDK7_targ_3_4
HDR,45.40034072,54.59965928,1411,1409,1174,533,641,0,0,1,641,0,0,640,0,0,1,0,gRNA_CDK7_targ_3_4
Reference,2.69590223,97.30409777,9975,9975,2782,75,2707,0,0,1,2706,0,1,2706,0,0,0,0,gRNA_CDK7_targ_4_5
HDR,30.50847458,69.49152542,9975,9975,3953,1206,2747,0,0,2,2747,0,0,2745,0,0,2,0,gRNA_CDK7_targ_4_5
Reference,0.0,100.0,2379,2379,25,0,25,0,3,0,22,3,0,22,0,0,0,0,gRNA_CDK7_targ_5_6
HDR,0.08514261,99.91485739,2379,2379,2349,2,2347,0,0,0,2347,0,0,2347,0,0,0,0,gRNA_CDK7_targ_5_6
Reference,6.25,93.75,5926,5818,16,1,15,0,0,2,15,0,0,13,0,0,2,0,gRNA_CDK7_targ_7_7
HDR,6.95742471,93.04257529,5926,5818,5778,402,5376,0,0,2,5375,0,1,5374,0,0,1,0,gRNA_CDK7_targ_7_7
Reference,0.14347202,99.85652798,5926,5818,697,1,696,0,0,3,696,0,0,693,0,0,3,0,gRNA_CDK7_targ_7_8
HDR,0.0,100.0,5926,5818,5084,0,5084,0,0,1,5084,0,0,5083,0,0,1,0,gRNA_CDK7_targ_7_8
Reference,7.14285714,92.85714286,5926,5818,14,1,13,0,0,2,13,0,0,11,0,0,2,0,gRNA_CDK7_targ_7_9
HDR,43.63600706,56.36399294,5926,5818,5099,2225,2874,0,0,1,2873,0,1,2873,0,0,0,0,gRNA_CDK7_targ_7_9
Reference,21.33333333,78.66666667,4205,4144,375,80,295,0,0,2,293,0,2,293,0,0,0,0,gRNA_CDK7_targ_8_10
HDR,58.35266821,41.64733179,4205,4144,2586,1509,1077,0,0,2,1075,0,2,1075,0,0,0,0,gRNA_CDK7_targ_8_10
Reference,43.11926606,56.88073394,3841,3840,109,47,62,0,6,6,56,0,0,56,6,0,0,0,gRNA_CDK7_targ_9_11
HDR,52.54083485,47.45916515,3841,3840,3306,1737,1569,0,93,70,1415,91,63,1406,0,2,7,0,gRNA_CDK7_targ_9_11
Reference,12.10592686,87.89407314,3433,3420,793,96,697,0,648,646,51,0,0,49,646,2,0,0,gRNA_CDK7_targ_10_12
HDR,76.28676471,23.71323529,3433,3420,2176,1660,516,0,0,1,515,0,1,515,0,0,0,0,gRNA_CDK7_targ_10_12
Reference,3.24232082,96.75767918,5382,5381,1758,57,1701,0,17,2,1683,16,2,1682,0,1,0,0,gRNA_CDK7_targ_13_13
HDR,54.46308725,45.53691275,5382,5381,2980,1623,1357,0,5,12,1344,5,8,1340,0,0,4,0,gRNA_CDK7_targ_13_13
Reference,71.42857143,28.57142857,922,922,7,5,2,0,0,0,2,0,0,2,0,0,0,0,gRNA_CDK7_targ_14_14
HDR,1.10253583,98.89746417,922,922,907,10,897,0,0,0,897,0,0,897,0,0,0,0,gRNA_CDK7_targ_14_14
Reference,12.03703704,87.96296296,2281,1563,108,13,95,0,0,56,44,0,51,39,0,0,5,0,gRNA_CDK7_targ_15_15
HDR,6.42504119,93.57495881,2281,1563,607,39,568,0,3,0,567,1,0,565,0,2,0,0,gRNA_CDK7_targ_15_15
Reference,1.91011236,98.08988764,2442,2069,890,17,873,0,10,82,794,1,78,781,0,9,4,0,gRNA_CDK7_targ_16_16
HDR,0.0,100.0,2442,2069,1155,0,1155,0,0,2,1154,0,1,1153,0,0,1,0,gRNA_CDK7_targ_16_16
Reference,2.15439856,97.84560144,1875,1875,1671,36,1635,0,0,3,1635,0,0,1632,0,0,3,0,gRNA_CDK7_targ_17_17
HDR,0.0,100.0,1875,1875,199,0,199,0,0,0,199,0,0,199,0,0,0,0,gRNA_CDK7_targ_17_17
Reference,8.26379542,91.73620458,5364,5364,3715,307,3408,0,1,1010,2427,0,981,2397,0,1,29,0,gRNA_CDK7_targ_18_18
HDR,0.0,100.0,5364,5364,1198,0,1198,0,2,2,1197,0,1,1194,0,2,1,0,gRNA_CDK7_targ_18_18
Reference,21.71145686,78.28854314,5364,5364,1414,307,1107,0,1,1011,127,0,980,95,0,1,31,0,gRNA_CDK7_targ_18_19
HDR,4.89869197,95.10130803,5364,5364,3899,191,3708,0,5,1,3708,0,0,3702,0,5,1,0,gRNA_CDK7_targ_18_19
Reference,18.36124402,81.63875598,5364,5364,1672,307,1365,0,0,1010,385,0,980,355,0,0,30,0,gRNA_CDK7_targ_18_20
HDR,0.0,100.0,5364,5364,2327,0,2327,0,6,1,2327,0,0,2320,0,6,1,0,gRNA_CDK7_targ_18_20
Reference,21.453529,78.546471,5364,5364,1431,307,1124,0,1,1016,142,0,982,107,0,1,34,0,gRNA_CDK7_targ_18_21
HDR,0.24570025,99.75429975,5364,5364,1628,4,1624,0,5,2,1623,0,1,1617,0,5,1,0,gRNA_CDK7_targ_18_21
Reference,11.85328185,88.14671815,5364,5364,2590,307,2283,0,0,1016,1301,0,982,1267,0,0,34,0,gRNA_CDK7_targ_18_22
HDR,0.0,100.0,5364,5364,1191,0,1191,0,5,2,1190,0,1,1184,0,5,1,0,gRNA_CDK7_targ_18_22
Reference,21.14325069,78.85674931,5364,5364,1452,307,1145,0,0,1014,163,0,982,131,0,0,32,0,gRNA_CDK7_targ_18_23
HDR,27.73543821,72.26456179,5364,5364,3674,1019,2655,0,5,2,2651,3,1,2648,0,2,1,0,gRNA_CDK7_targ_18_23
Reference,18.53864734,81.46135266,5364,5364,1656,307,1349,0,1,1016,367,0,982,332,0,1,34,0,gRNA_CDK7_targ_18_24
HDR,37.55919854,62.44080146,5364,5364,2745,1031,1714,0,5,2,1708,5,1,1707,0,0,1,0,gRNA_CDK7_targ_18_24
Reference,19.96644295,80.03355705,4615,4615,596,119,477,0,101,11,473,0,0,369,4,97,7,0,gRNA_CDK7_targ_19_25
HDR,0.02516356,99.97483644,4615,4615,3974,1,3973,0,271,4,3972,0,1,3699,0,270,2,1,gRNA_CDK7_targ_19_25
Reference,58.91089109,41.08910891,4615,4615,202,119,83,0,0,7,83,0,0,76,0,0,7,0,gRNA_CDK7_targ_19_26
HDR,0.0,100.0,4615,4615,3598,0,3598,0,271,4,3597,0,1,3324,0,270,2,1,gRNA_CDK7_targ_19_26
Reference,20.06745363,79.93254637,4615,4615,593,119,474,0,97,8,473,0,1,369,0,97,7,0,gRNA_CDK7_targ_19_27
HDR,70.6776283,29.3223717,4615,4615,4014,2837,1177,0,271,4,924,250,2,903,1,20,1,0,gRNA_CDK7_targ_19_27
