unique_id,Reads_in_input,Reads_lowqual,Reads_aligned_all_amplicons,Reads_aligned_WT,Reads_aligned_HDR,Reads_unaligned,WT,correct_edit,target_base_edit,byproduct_all,byproduct_INDEL,byproduct_sub,byproduct_ambiguous,corr_perc,target_base_edit_perc,WT_perc,byproduct_all_perc,byproduct_INDEL_perc,byproduct_sub_perc,byproduct_ambiguous_perc
gRNA_CDK19_targ_6273_3799,3900,0,3900,1079,2815,6,1007,2719,2815,174,0,168,6,69.71794871794872,72.17948717948718,25.82051282051282,4.461538461538462,0.0,4.3076923076923075,0.15384615384615385
gRNA_CDK19_targ_6274_3800,3043,1,3042,1301,1729,12,213,1,1729,2828,1,2563,264,0.03287310979618672,56.837606837606835,7.001972386587771,92.96515450361605,0.03287310979618672,84.25378040762656,8.678500986193294
gRNA_CDK19_targ_6275_3801,9313,0,9313,2577,6172,564,102,1,6172,9210,7,7839,1364,0.010737678513905294,66.27295178782347,1.0952432084183399,98.89401911306776,0.07516374959733706,84.17266187050359,14.646193492966821
gRNA_CDK19_targ_6275_3802,9313,0,9313,908,7651,754,102,1614,7651,7597,225,5809,1563,17.330613121443143,82.1539783098894,1.0952432084183399,81.57414367013853,2.415977665628691,62.37517448727586,16.782991517233974
gRNA_CDK19_targ_6275_3803,9313,0,9313,911,6425,1977,102,3702,6425,5509,225,2498,2786,39.750885858477396,68.98958445184151,1.0952432084183399,59.15387093310426,2.415977665628691,26.82272092773542,29.91517233974015
gRNA_CDK19_targ_6276_3804,7808,184,7624,1156,6372,96,360,1030,6372,6234,375,5731,128,13.5099685204617,83.5781741867786,4.72193074501574,81.76810073452256,4.918677859391395,75.17051416579224,1.6789087093389297
gRNA_CDK19_targ_6279_3805,5901,471,5430,62,4625,743,7,3,4625,5420,2,4639,779,0.05524861878453039,85.17495395948434,0.1289134438305709,99.8158379373849,0.036832412523020254,85.43278084714548,14.34622467771639
gRNA_CDK19_targ_6279_3806,5901,467,5434,12,3638,1784,7,0,3638,5427,6,3602,1819,0.0,66.94884063305115,0.12881854987118146,99.87118145012882,0.11041589988958411,66.28634523371365,33.474420316525574
gRNA_CDK19_targ_6279_3807,5901,471,5430,55,5361,14,7,2073,5361,3350,2,3303,45,38.17679558011049,98.7292817679558,0.1289134438305709,61.69429097605893,0.036832412523020254,60.828729281767956,0.8287292817679558
gRNA_CDK19_targ_6280_3808,1567,92,1475,0,1465,10,0,0,1465,1475,0,1289,186,0.0,99.32203389830508,0.0,100.0,0.0,87.38983050847457,12.610169491525426
gRNA_CDK19_targ_6280_3809,1567,92,1475,0,1470,5,0,0,1470,1475,0,1295,180,0.0,99.66101694915255,0.0,100.0,0.0,87.79661016949153,12.203389830508476
gRNA_CDK19_targ_6280_3810,1567,8,1559,0,1558,1,0,1215,1558,344,93,83,168,77.93457344451572,99.93585631815266,0.0,22.065426555484287,5.965362411802437,5.323925593329057,10.77613855035279
gRNA_CDK19_targ_6284_3811,27482,16,27466,1667,20508,5291,859,11148,20508,15459,226,9934,5299,40.58836379523775,74.66686084613704,3.1275030947353093,56.28413311002694,0.8228355057161583,36.16835360081556,19.29294400349523
gRNA_CDK19_targ_6286_3812,3571,0,3571,451,2943,177,2,921,2943,2648,382,2048,218,25.79109493139177,82.41388966676001,0.05600672080649678,74.15289834780174,10.697283674040884,57.350882105852705,6.104732567908149
gRNA_CDK19_targ_6287_3813,8169,0,8169,950,5443,1776,0,2,5443,8167,2,6245,1920,0.02448280083241523,66.62994246541804,0.0,99.97551719916758,0.02448280083241523,76.44754559921655,23.503488799118617
gRNA_CDK19_targ_6288_3814,8304,1,8303,2826,4664,813,407,24,4664,7872,21,6578,1273,0.2890521498253643,56.17246778272913,4.9018427074551365,94.8091051427195,0.25292063109719376,79.22437673130193,15.331807780320366
gRNA_CDK19_targ_6289_3815,5533,0,5533,1399,2337,1797,34,1,2337,5498,126,3258,2114,0.018073377914332188,42.23748418579433,0.6144948490872943,99.36743177299837,2.277245617205856,58.883065244894276,38.20712091089825
gRNA_CDK19_targ_6291_3816,10038,1,10037,772,9237,28,337,0,9237,9700,317,8925,458,0.0,92.0294908837302,3.3575769652286542,96.64242303477134,3.158314237321909,88.92099232838497,4.563116469064461
gRNA_CDK19_targ_6291_3817,10038,1,10037,367,8001,1669,337,0,8001,9700,0,8012,1688,0.0,79.71505429909335,3.3575769652286542,96.64242303477134,0.0,79.82464879944206,16.81777423532928
gRNA_CDK19_targ_6291_3818,10038,1,10037,2677,6967,393,337,0,6967,9700,1,8557,1142,0.0,69.41317126631463,3.3575769652286542,96.64242303477134,0.009963136395337252,85.25455813490088,11.377901763475142
gRNA_CDK19_targ_6291_3819,10038,1,10037,773,8939,325,337,1030,8939,8670,7,7915,748,10.26203048719737,89.0604762379197,3.3575769652286542,86.38039254757398,0.06974195476736077,78.85822456909435,7.452426023712265
gRNA_CDK19_targ_6291_3820,10038,1,10037,777,7355,1905,337,3,7355,9697,3,7362,2332,0.029889409186011757,73.2788681877055,3.3575769652286542,96.61253362558534,0.029889409186011757,73.34861014247285,23.23403407392647
gRNA_CDK19_targ_6291_3821,10038,1,10037,1633,6968,1436,337,0,6968,9700,3,7513,2184,0.0,69.42313440270998,3.3575769652286542,96.64242303477134,0.029889409186011757,74.85304373816878,21.759489887416557
gRNA_CDK19_targ_6291_3822,10038,1,10037,1095,8403,539,337,6467,8403,3233,5,1946,1282,64.43160306864601,83.72023513001892,3.3575769652286542,32.210819966125335,0.04981568197668626,19.388263425326294,12.772740858822356
