unique_id,Reads_in_input,Reads_lowqual,Reads_aligned_all_amplicons,Reads_aligned_WT,Reads_aligned_HDR,Reads_unaligned,WT,correct_edit,target_base_edit,byproduct_all,byproduct_INDEL,byproduct_sub,byproduct_ambiguous,corr_perc,target_base_edit_perc,WT_perc,byproduct_all_perc,byproduct_INDEL_perc,byproduct_sub_perc,byproduct_ambiguous_perc
gRNA_CDK19_targ_6273_3799,1606,0,1606,167,1434,5,123,1126,1434,357,0,352,5,70.1120797011208,89.29016189290162,7.658779576587796,22.229140722291408,0.0,21.91780821917808,0.311332503113325
gRNA_CDK19_targ_6274_3800,3870,6,3864,1638,2029,197,213,33,2029,3618,25,3392,201,0.8540372670807453,52.5103519668737,5.512422360248447,93.63354037267081,0.6469979296066253,87.78467908902692,5.201863354037267
gRNA_CDK19_targ_6275_3801,3784,0,3784,1143,2044,597,111,57,2044,3616,417,2544,655,1.5063424947145878,54.0169133192389,2.9334038054968286,95.56025369978859,11.020084566596195,67.23044397463002,17.309725158562365
gRNA_CDK19_targ_6275_3802,3784,0,3784,765,2501,518,111,453,2501,3220,397,2265,558,11.971458773784354,66.09408033826638,2.9334038054968286,85.09513742071881,10.491543340380549,59.85729386892178,14.746300211416491
gRNA_CDK19_targ_6275_3803,3784,0,3784,778,2126,880,111,1667,2126,2006,409,661,936,44.053911205073994,56.18393234672304,2.9334038054968286,53.01268498942917,10.808668076109937,17.468287526427062,24.735729386892178
gRNA_CDK19_targ_6276_3804,3404,118,3286,323,2868,95,74,146,2868,3066,181,2494,391,4.443091905051735,87.27936701156422,2.251978088861838,93.30493000608642,5.508216676810712,75.89774802191114,11.898965307364577
gRNA_CDK19_targ_6279_3805,1473,23,1450,41,1157,252,24,0,1157,1426,82,931,413,0.0,79.79310344827586,1.6551724137931034,98.34482758620689,5.655172413793103,64.20689655172413,28.48275862068966
gRNA_CDK19_targ_6279_3806,1473,23,1450,45,1058,347,24,0,1058,1426,84,840,502,0.0,72.9655172413793,1.6551724137931034,98.34482758620689,5.793103448275862,57.931034482758626,34.62068965517241
gRNA_CDK19_targ_6279_3807,1473,23,1450,44,1228,178,24,294,1228,1132,84,709,339,20.275862068965516,84.6896551724138,1.6551724137931034,78.06896551724138,5.793103448275862,48.89655172413793,23.379310344827587
gRNA_CDK19_targ_6280_3808,2047,7,2040,69,1896,75,0,0,1896,2040,0,1627,413,0.0,92.94117647058823,0.0,100.0,0.0,79.75490196078432,20.245098039215687
gRNA_CDK19_targ_6280_3809,2047,7,2040,1,1878,161,0,0,1878,2040,9,1532,499,0.0,92.05882352941175,0.0,100.0,0.4411764705882353,75.09803921568627,24.46078431372549
gRNA_CDK19_targ_6280_3810,2047,7,2040,1,1920,119,0,1405,1920,635,175,169,291,68.87254901960785,94.11764705882352,0.0,31.127450980392158,8.57843137254902,8.284313725490195,14.26470588235294
gRNA_CDK19_targ_6284_3811,13485,219,13266,690,11537,1039,149,4812,11537,8305,351,6620,1334,36.27317955676165,86.96668174280114,1.1231720186944067,62.60364842454395,2.645861601085482,49.90200512588572,10.055781697572742
gRNA_CDK19_targ_6286_3812,2426,0,2426,183,2111,132,122,308,2111,1996,91,1751,154,12.695795548227535,87.0156636438582,5.028854080791426,82.27535037098104,3.751030502885408,72.17642209398186,6.347897774113767
gRNA_CDK19_targ_6287_3813,3770,10,3760,129,1975,1656,11,3,1975,3746,86,1926,1734,0.07978723404255318,52.52659574468085,0.2925531914893617,99.62765957446808,2.2872340425531914,51.22340425531915,46.11702127659574
gRNA_CDK19_targ_6288_3814,4431,0,4431,2084,1978,369,1074,271,1978,3086,1,2716,369,6.116000902730761,44.64003610923042,24.238320920785377,69.64567817648386,0.022568269013766643,61.29541864139021,8.32769126607989
gRNA_CDK19_targ_6289_3815,4355,0,4355,867,3023,465,238,3,3023,4114,35,3608,471,0.06888633754305395,69.41446613088405,5.464982778415614,94.46613088404133,0.8036739380022963,82.84730195177956,10.815154994259473
gRNA_CDK19_targ_6291_3816,2999,49,2950,30,2597,323,28,1,2597,2921,15,2408,498,0.03389830508474576,88.03389830508475,0.9491525423728813,99.01694915254238,0.5084745762711864,81.62711864406779,16.88135593220339
gRNA_CDK19_targ_6291_3817,2999,49,2950,31,2431,488,28,0,2431,2922,1,2259,662,0.0,82.40677966101696,0.9491525423728813,99.05084745762713,0.03389830508474576,76.57627118644068,22.440677966101692
gRNA_CDK19_targ_6291_3818,2999,49,2950,998,1931,21,28,0,1931,2922,14,2712,196,0.0,65.45762711864407,0.9491525423728813,99.05084745762713,0.47457627118644063,91.93220338983052,6.644067796610169
gRNA_CDK19_targ_6291_3819,2999,49,2950,30,2670,250,28,493,2670,2429,185,1989,255,16.71186440677966,90.5084745762712,0.9491525423728813,82.33898305084746,6.271186440677965,67.42372881355932,8.64406779661017
gRNA_CDK19_targ_6291_3820,2999,49,2950,261,1933,756,28,0,1933,2922,185,1976,761,0.0,65.52542372881356,0.9491525423728813,99.05084745762713,6.271186440677965,66.98305084745762,25.796610169491522
gRNA_CDK19_targ_6291_3821,2999,49,2950,484,1932,534,28,0,1932,2922,184,2199,539,0.0,65.49152542372882,0.9491525423728813,99.05084745762713,6.237288135593221,74.54237288135593,18.271186440677965
gRNA_CDK19_targ_6291_3822,2999,49,2950,261,2445,244,28,1634,2445,1288,185,855,248,55.38983050847458,82.88135593220339,0.9491525423728813,43.66101694915254,6.271186440677965,28.983050847457626,8.40677966101695
gRNA_CDK19_targ_6292_3823,3281,3,3278,171,3091,16,5,2,3091,3271,149,3044,78,0.06101281269066504,94.29530201342283,0.1525320317266626,99.78645515558267,4.545454545454546,92.86150091519218,2.3794996949359364
gRNA_CDK19_targ_6292_3824,3281,3,3278,174,3063,41,5,1,3063,3272,150,3021,101,0.03050640634533252,93.4411226357535,0.1525320317266626,99.81696156192801,4.575960951799878,92.15985356924953,3.0811470408785846
gRNA_CDK19_targ_6292_3825,3281,3,3278,840,2310,128,5,0,2310,3273,120,2971,182,0.0,70.46979865771812,0.1525320317266626,99.84746796827334,3.6607687614399023,90.63453325198292,5.552165954850519
gRNA_CDK19_targ_6292_3826,3281,3,3278,174,3097,7,5,649,3097,2624,189,2404,31,19.798657718120804,94.47834045149482,0.1525320317266626,80.04881025015254,5.765710799267846,73.33740085417938,0.9456985967053081
gRNA_CDK19_targ_6292_3827,3281,3,3278,177,2397,704,5,0,2397,3273,187,2356,730,0.0,73.12385600976205,0.1525320317266626,99.84746796827334,5.704697986577181,71.87309334960341,22.26967663209274
gRNA_CDK19_targ_6292_3828,3281,3,3278,171,2395,712,5,0,2395,3273,121,2388,764,0.0,73.06284319707139,0.1525320317266626,99.84746796827334,3.691275167785235,72.84929835265406,23.306894447834043
gRNA_CDK19_targ_6292_3829,3281,3,3278,174,3062,42,5,2201,3062,1072,184,821,67,67.14460036607687,93.41061622940818,0.1525320317266626,32.70286760219646,5.613178767541183,25.045759609517997,2.043929225137279
gRNA_CDK19_targ_6293_3830,4301,0,4301,3436,860,5,827,5,860,3469,247,3189,33,0.1162520344106022,19.995349918623575,19.2280864915136,80.6556614740758,5.7428504998837475,74.14554754708207,0.7672634271099744
gRNA_CDK19_targ_6293_3831,4301,0,4301,1075,2680,546,827,1829,2680,1645,203,872,570,42.52499418739828,62.31109044408277,19.2280864915136,38.24691932108812,4.719832597070448,20.27435480120902,13.25273192280865
gRNA_CDK19_targ_6293_3832,4301,0,4301,1562,838,1901,827,708,838,2766,247,611,1908,16.46128807254127,19.483840967216924,19.2280864915136,64.31062543594514,5.7428504998837475,14.205998604975587,44.36177633108579
gRNA_CDK19_targ_6294_3833,4367,9,4358,746,2295,1317,595,1686,2295,2077,79,671,1327,38.68747131711795,52.66177145479578,13.653051858650759,47.6594768242313,1.812758145938504,15.396971087654887,30.44974759063791
gRNA_CDK19_targ_6294_3834,4367,9,4358,3815,294,249,595,0,294,3763,129,3052,582,0.0,6.746213859568609,13.653051858650759,86.34694814134924,2.960073428178063,70.0321248279027,13.354749885268472
gRNA_CDK19_targ_6294_3835,4367,9,4358,1830,312,2216,595,284,312,3479,131,806,2542,6.516750803120698,7.159247361174851,13.653051858650759,79.83019733822854,3.0059660394676455,18.494722349701696,58.3295089490592
gRNA_CDK19_targ_6295_3836,1775,0,1775,79,1536,160,77,1362,1536,336,0,175,161,76.73239436619718,86.53521126760563,4.338028169014085,18.929577464788732,0.0,9.859154929577464,9.070422535211268
gRNA_CDK19_targ_6296_3837,5482,5,5477,2365,2855,257,1869,2722,2855,886,63,524,299,49.69874018623334,52.12707686689794,34.12452072302356,16.17673909074311,1.150264743472704,9.567281358407888,5.459192988862515
gRNA_CDK19_targ_6299_3838,3081,0,3081,133,2671,277,63,1382,2671,1636,101,1249,286,44.85556637455372,86.69263226225252,2.044790652385589,53.09964297306069,3.278156442713405,40.53878610840636,9.282700421940929
gRNA_CDK19_targ_6300_3839,3368,0,3368,247,2740,381,121,631,2740,2616,66,1910,640,18.73515439429929,81.353919239905,3.5926365795724466,77.67220902612827,1.9596199524940616,56.710213776722085,19.002375296912113
