unique_id,Reads_in_input,Reads_lowqual,Reads_aligned_all_amplicons,Reads_aligned_WT,Reads_aligned_HDR,Reads_unaligned,WT,correct_edit,target_base_edit,byproduct_all,byproduct_INDEL,byproduct_sub,byproduct_ambiguous,corr_perc,target_base_edit_perc,WT_perc,byproduct_all_perc,byproduct_INDEL_perc,byproduct_sub_perc,byproduct_ambiguous_perc
gRNA_CDK19_targ_6273_3799,4647,0,4647,27,2483,2137,25,2422,2483,2200,0,63,2137,52.11964708414031,53.43232192812567,0.5379814934366258,47.34237142242307,0.0,1.355713363460297,45.98665805896277
gRNA_CDK19_targ_6274_3800,748,0,748,48,697,3,2,0,697,746,16,720,10,0.0,93.18181818181817,0.267379679144385,99.73262032085562,2.13903743315508,96.2566844919786,1.3368983957219251
gRNA_CDK19_targ_6275_3801,5294,0,5294,67,5206,21,7,0,5206,5287,19,5235,33,0.0,98.3377408386853,0.13222516055912353,99.86777483944088,0.35889686437476387,98.88553078957311,0.6233471854930109
gRNA_CDK19_targ_6275_3802,5294,0,5294,11,5259,24,7,36,5259,5251,1,5215,35,0.6800151114469211,99.33887419720439,0.13222516055912353,99.18775972799395,0.018889308651303362,98.50774461654703,0.6611258027956176
gRNA_CDK19_targ_6275_3803,5294,0,5294,13,5227,54,7,5044,5227,243,11,176,56,95.27767283717415,98.73441632036267,0.13222516055912353,4.5901020022667165,0.207782395164337,3.324518322629392,1.0578012844729883
gRNA_CDK19_targ_6276_3804,2556,0,2556,22,2522,12,5,18,2522,2533,2,2518,13,0.7042253521126761,98.6697965571205,0.19561815336463223,99.1001564945227,0.0782472613458529,98.51330203442879,0.5086071987480438
gRNA_CDK19_targ_6279_3805,5240,0,5240,4,4588,648,0,35,4588,5205,1,4552,652,0.6679389312977099,87.55725190839695,0.0,99.33206106870229,0.019083969465648856,86.8702290076336,12.442748091603054
gRNA_CDK19_targ_6279_3806,5240,0,5240,38,5174,28,0,2,5174,5238,1,5207,30,0.03816793893129771,98.74045801526718,0.0,99.9618320610687,0.019083969465648856,99.3702290076336,0.5725190839694656
gRNA_CDK19_targ_6279_3807,5240,0,5240,2,5198,40,0,4419,5198,821,1,776,44,84.33206106870229,99.19847328244275,0.0,15.667938931297709,0.019083969465648856,14.80916030534351,0.8396946564885497
gRNA_CDK19_targ_6280_3808,122,3,119,24,35,60,19,0,35,100,3,33,64,0.0,29.411764705882355,15.966386554621847,84.03361344537815,2.5210084033613445,27.73109243697479,53.78151260504202
gRNA_CDK19_targ_6280_3809,122,3,119,27,90,2,19,0,90,100,56,33,11,0.0,75.63025210084034,15.966386554621847,84.03361344537815,47.05882352941176,27.73109243697479,9.243697478991598
gRNA_CDK19_targ_6280_3810,122,3,119,24,91,4,19,25,91,75,59,9,7,21.008403361344538,76.47058823529412,15.966386554621847,63.02521008403361,49.57983193277311,7.563025210084033,5.88235294117647
gRNA_CDK19_targ_6284_3811,12513,1,12512,490,9206,2816,255,2895,9206,9362,154,6325,2883,23.137787723785166,73.57736572890026,2.0380434782608696,74.82416879795396,1.2308184143222507,50.55147058823529,23.04187979539642
gRNA_CDK19_targ_6286_3812,1042,0,1042,9,1026,7,2,6,1026,1034,0,1027,7,0.5758157389635317,98.46449136276392,0.19193857965451055,99.23224568138195,0.0,98.56046065259117,0.6717850287907869
