Amplicon,Unmodified%,Modified%,Reads_in_input,Reads_aligned_all_amplicons,Reads_aligned,Unmodified,Modified,Discarded,Insertions,Deletions,Substitutions,Only Insertions,Only Deletions,Only Substitutions,Insertions and Deletions,Insertions and Substitutions,Deletions and Substitutions,Insertions Deletions and Substitutions,Guide_ID
Reference,1.02040816,98.97959184,714,714,98,1,97,0,1,0,96,1,0,96,0,0,0,0,gRNA_CDK7_targ_2_1
HDR,0.0,100.0,714,714,580,0,580,0,0,1,580,0,0,579,0,0,1,0,gRNA_CDK7_targ_2_1
Reference,50.0,50.0,714,714,2,1,1,0,1,0,0,1,0,0,0,0,0,0,gRNA_CDK7_targ_2_2
HDR,13.36146273,86.63853727,714,714,711,95,616,0,0,1,616,0,0,615,0,0,1,0,gRNA_CDK7_targ_2_2
Reference,50.0,50.0,714,714,2,1,1,0,1,0,0,1,0,0,0,0,0,0,gRNA_CDK7_targ_2_3
HDR,91.07142857,8.92857143,714,714,616,561,55,0,0,1,54,0,1,54,0,0,0,0,gRNA_CDK7_targ_2_3
Reference,,,99,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,gRNA_CDK7_targ_3_4
HDR,86.31578947,13.68421053,99,98,95,82,13,0,0,0,13,0,0,13,0,0,0,0,gRNA_CDK7_targ_3_4
Reference,2.9988466,97.0011534,3692,3692,1734,52,1682,0,0,115,1568,0,114,1567,0,0,1,0,gRNA_CDK7_targ_4_5
HDR,57.93478261,42.06521739,3692,3692,1840,1066,774,0,0,1,773,0,1,773,0,0,0,0,gRNA_CDK7_targ_4_5
Reference,0.0,100.0,359,359,1,0,1,0,0,0,1,0,0,1,0,0,0,0,gRNA_CDK7_targ_5_6
HDR,0.28011204,99.71988796,359,359,357,1,356,0,0,0,356,0,0,356,0,0,0,0,gRNA_CDK7_targ_5_6
Reference,33.33333333,66.66666667,1856,1856,3,1,2,0,2,0,0,2,0,0,0,0,0,0,gRNA_CDK7_targ_7_7
HDR,14.20853593,85.79146407,1856,1856,1851,263,1588,0,104,2,1588,0,0,1482,0,104,2,0,gRNA_CDK7_targ_7_7
Reference,0.35971223,99.64028777,1856,1856,278,1,277,0,2,0,275,2,0,275,0,0,0,0,gRNA_CDK7_targ_7_8
HDR,0.0,100.0,1856,1856,1474,0,1474,0,1,2,1474,0,0,1471,0,1,2,0,gRNA_CDK7_targ_7_8
Reference,20.0,80.0,1856,1856,5,1,4,0,2,0,2,2,0,2,0,0,0,0,gRNA_CDK7_targ_7_9
HDR,68.37769328,31.62230672,1856,1856,1578,1079,499,0,104,2,497,0,2,393,0,104,0,0,gRNA_CDK7_targ_7_9
Reference,96.05781866,3.94218134,1681,1681,761,731,30,0,0,0,30,0,0,30,0,0,0,0,gRNA_CDK7_targ_8_10
HDR,45.68306011,54.31693989,1681,1681,915,418,497,0,1,1,496,1,0,495,0,0,1,0,gRNA_CDK7_targ_8_10
Reference,34.09090909,65.90909091,389,389,44,15,29,0,28,1,28,0,1,0,0,28,0,0,gRNA_CDK7_targ_9_11
HDR,35.1744186,64.8255814,389,389,344,121,223,0,0,0,223,0,0,223,0,0,0,0,gRNA_CDK7_targ_9_11
Reference,100.0,0.0,322,322,12,12,0,0,0,0,0,0,0,0,0,0,0,0,gRNA_CDK7_targ_10_12
HDR,78.06451613,21.93548387,322,322,310,242,68,0,60,0,11,57,0,8,0,3,0,0,gRNA_CDK7_targ_10_12
Reference,93.28358209,6.71641791,3340,3340,134,125,9,0,0,0,9,0,0,9,0,0,0,0,gRNA_CDK7_targ_13_13
HDR,27.28691851,72.71308149,3340,3340,3203,874,2329,0,0,5,2328,0,1,2324,0,0,4,0,gRNA_CDK7_targ_13_13
Reference,,,104,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,gRNA_CDK7_targ_14_14
HDR,0.0,100.0,104,104,103,0,103,0,0,0,103,0,0,103,0,0,0,0,gRNA_CDK7_targ_14_14
Reference,94.31818182,5.68181818,614,614,88,83,5,0,0,0,5,0,0,5,0,0,0,0,gRNA_CDK7_targ_15_15
HDR,0.57142857,99.42857143,614,614,525,3,522,0,12,60,451,12,59,450,0,0,1,0,gRNA_CDK7_targ_15_15
Reference,33.58547655,66.41452345,1451,1451,661,222,439,0,0,1,439,0,0,438,0,0,1,0,gRNA_CDK7_targ_16_16
HDR,0.0,100.0,1451,1451,712,0,712,0,0,0,712,0,0,712,0,0,0,0,gRNA_CDK7_targ_16_16
Reference,40.29006013,59.70993987,2976,2976,2827,1139,1688,0,0,3,1687,0,1,1685,0,0,2,0,gRNA_CDK7_targ_17_17
HDR,14.0,86.0,2976,2976,100,14,86,0,0,1,85,0,1,85,0,0,0,0,gRNA_CDK7_targ_17_17
Reference,6.66666667,93.33333333,354,353,15,1,14,0,2,0,14,0,0,12,0,2,0,0,gRNA_CDK7_targ_18_18
HDR,0.0,100.0,354,353,226,0,226,0,1,0,226,0,0,225,0,1,0,0,gRNA_CDK7_targ_18_18
Reference,100.0,0.0,354,353,1,1,0,0,0,0,0,0,0,0,0,0,0,0,gRNA_CDK7_targ_18_19
HDR,0.0,100.0,354,353,308,0,308,0,2,1,307,1,0,305,0,1,1,0,gRNA_CDK7_targ_18_19
Reference,2.5,97.5,354,353,40,1,39,0,0,0,39,0,0,39,0,0,0,0,gRNA_CDK7_targ_18_20
HDR,0.0,100.0,354,353,311,0,311,0,3,1,309,2,0,307,0,1,1,0,gRNA_CDK7_targ_18_20
Reference,12.5,87.5,354,353,8,1,7,0,1,0,7,0,0,6,0,1,0,0,gRNA_CDK7_targ_18_21
HDR,0.0,100.0,354,353,338,0,338,0,1,1,338,0,0,336,0,1,1,0,gRNA_CDK7_targ_18_21
Reference,33.33333333,66.66666667,354,353,3,1,2,0,0,0,2,0,0,2,0,0,0,0,gRNA_CDK7_targ_18_22
HDR,0.0,100.0,354,353,301,0,301,0,2,1,300,1,0,298,0,1,1,0,gRNA_CDK7_targ_18_22
Reference,2.5,97.5,354,353,40,1,39,0,0,0,39,0,0,39,0,0,0,0,gRNA_CDK7_targ_18_23
HDR,1.92307692,98.07692308,354,353,312,6,306,0,2,1,305,1,0,303,0,1,1,0,gRNA_CDK7_targ_18_23
Reference,25.0,75.0,354,353,4,1,3,0,1,0,3,0,0,2,0,1,0,0,gRNA_CDK7_targ_18_24
HDR,59.28338762,40.71661238,354,353,307,182,125,0,1,1,124,1,0,123,0,0,1,0,gRNA_CDK7_targ_18_24
Reference,100.0,0.0,435,435,1,1,0,0,0,0,0,0,0,0,0,0,0,0,gRNA_CDK7_targ_19_25
HDR,0.0,100.0,435,435,258,0,258,0,0,0,258,0,0,258,0,0,0,0,gRNA_CDK7_targ_19_25
Reference,100.0,0.0,435,435,1,1,0,0,0,0,0,0,0,0,0,0,0,0,gRNA_CDK7_targ_19_26
