gRNA_id,gene,T0_REP1,T0_REP2,T0_REP3,DMSO_REP1,DMSO_REP2,DMSO_REP3,KB_2000_REP1,KB_2000_REP2,KB_2000_REP3,KB_4000_REP1,KB_4000_REP2,KB_4000_REP3
gRNA_CDK7_targ_1,CDK7,20300.0,19597.0,37412.0,27029.0,30501.0,19049.0,16165.0,9009.0,11161.0,21182.0,28025.0,27834.0
gRNA_CDK7_targ_2,CDK7,10503.0,10838.0,23380.0,7896.0,21995.0,9500.0,3575.0,9409.0,25764.0,16096.0,35512.0,49831.0
gRNA_CDK7_targ_3,CDK7,8280.0,6229.0,14291.0,9510.0,6695.0,6312.0,7884.0,7211.0,1936.0,3083.0,17926.0,7300.0
gRNA_CDK7_targ_4,CDK7,13947.0,22121.0,52905.0,33734.0,31884.0,27029.0,17633.0,13412.0,26310.0,13859.0,74891.0,33324.0
gRNA_CDK7_targ_5,CDK7,7512.0,8729.0,15358.0,6718.0,17962.0,9451.0,3450.0,3781.0,11893.0,20196.0,27635.0,7374.0
gRNA_CDK7_targ_6,CDK7,17417.0,22251.0,51427.0,18531.0,35036.0,28215.0,5795.0,18031.0,14072.0,8489.0,19301.0,60688.0
gRNA_CDK7_targ_7,CDK7,12590.0,13009.0,31415.0,14005.0,25207.0,10920.0,11482.0,18656.0,11082.0,9648.0,22391.0,21853.0
gRNA_CDK7_targ_8,CDK7,9158.0,12975.0,25361.0,7768.0,14286.0,6232.0,782.0,12451.0,4807.0,3961.0,9788.0,2471.0
gRNA_CDK7_targ_9,CDK7,5034.0,8844.0,13864.0,7554.0,21333.0,11314.0,4517.0,1881.0,5746.0,14428.0,9684.0,14854.0
gRNA_CDK7_targ_10,CDK7,8076.0,10211.0,17736.0,3323.0,12586.0,3889.0,1021.0,1756.0,3042.0,7425.0,4047.0,5060.0
gRNA_CDK7_targ_11,CDK7,11624.0,16043.0,29390.0,13445.0,19232.0,18164.0,5047.0,8879.0,14175.0,20273.0,12647.0,15665.0
gRNA_CDK7_targ_12,CDK7,12999.0,18566.0,24713.0,8422.0,16529.0,9977.0,8337.0,9561.0,6563.0,432.0,42882.0,42390.0
gRNA_CDK7_targ_13,CDK7,11673.0,13240.0,40339.0,18249.0,28361.0,18010.0,2674.0,12802.0,23231.0,29290.0,24456.0,18757.0
gRNA_CDK7_targ_14,CDK7,6731.0,5290.0,10012.0,5360.0,9254.0,4851.0,674.0,3774.0,2646.0,8438.0,32785.0,9002.0
gRNA_CDK7_targ_15,CDK7,12896.0,14414.0,24730.0,9344.0,19911.0,6630.0,5657.0,7178.0,8892.0,12954.0,22666.0,15407.0
gRNA_CDK7_targ_16,CDK7,9231.0,10739.0,24906.0,14024.0,8030.0,19977.0,14287.0,11478.0,20488.0,38636.0,22276.0,29062.0
gRNA_CDK7_targ_17,CDK7,7153.0,8829.0,14640.0,8483.0,19607.0,7999.0,2293.0,11459.0,8213.0,17122.0,14000.0,6090.0
gRNA_CDK7_targ_18,CDK7,102192.0,73285.0,102987.0,33767.0,119111.0,116336.0,108353.0,28612.0,70423.0,158837.0,86223.0,16801.0
gRNA_CDK7_targ_19,CDK7,20368.0,29306.0,46031.0,30125.0,33233.0,28860.0,17478.0,15880.0,40452.0,33181.0,33248.0,55921.0
gRNA_CDK7_targ_20,CDK7,8193.0,16949.0,17648.0,7325.0,15904.0,23901.0,22427.0,10740.0,24769.0,37438.0,19401.0,8497.0
gRNA_CDK7_targ_21,CDK7,9316.0,9337.0,21719.0,14241.0,23852.0,16044.0,6137.0,13988.0,8527.0,3572.0,17629.0,21331.0
gRNA_CDK7_targ_22,CDK7,1557.0,2920.0,6802.0,3287.0,9148.0,684.0,756.0,322.0,1518.0,3441.0,4373.0,10061.0
gRNA_CDK7_targ_23,CDK7,35205.0,59572.0,115250.0,30074.0,57664.0,40145.0,27808.0,25791.0,63881.0,127904.0,129119.0,89954.0
gRNA_CDK7_targ_24,CDK7,14457.0,27689.0,41254.0,26957.0,19166.0,11452.0,4760.0,11210.0,13057.0,11100.0,32776.0,31350.0
gRNA_CDK7_targ_25,CDK7,7597.0,10099.0,14740.0,7932.0,11346.0,8654.0,3165.0,2204.0,8445.0,2172.0,19134.0,6002.0
gRNA_CDK7_targ_26,CDK7,13038.0,12026.0,36568.0,18368.0,17093.0,8282.0,6212.0,4818.0,15076.0,6256.0,12246.0,26064.0
gRNA_CDK7_targ_27,CDK7,11462.0,6102.0,20625.0,5215.0,14579.0,5167.0,2716.0,2082.0,945.0,3603.0,9778.0,1322.0
