gRNA_id,gene,CBE_T0_REP1,CBE_T0_REP2,CBE_T0_REP3,CBE_DMSO_REP1,CBE_DMSO_REP2,CBE_DMSO_REP3,CBE_SY-5609_10nM_REP1,CBE_SY-5609_10nM_REP2,CBE_SY-5609_10nM_REP3,CBE_SY-5609_100nM_REP1,CBE_SY-5609_100nM_REP2,CBE_SY-5609_100nM_REP3,ABE_T0_REP1,ABE_T0_REP2,ABE_T0_REP3,ABE_DMSO_REP1,ABE_DMSO_REP2,ABE_DMSO_REP3,ABE_SY-5609_10nM_REP1,ABE_SY-5609_10nM_REP2,ABE_SY-5609_10nM_REP3,ABE_SY-5609_100nM_REP1,ABE_SY-5609_100nM_REP2,ABE_SY-5609_100nM_REP3
gRNA_CDK7_targ_1,CDK7,13358.0,14811.0,26946.0,23047.0,21853.0,21052.0,14987.0,1901.0,1191.0,675.0,8416.0,5796.0,33337.0,20170.0,21590.0,25050.0,27060.0,10932.0,2559.0,24019.0,10975.0,15918.0,32075.0,21320.0
gRNA_CDK7_targ_2,CDK7,16703.0,12264.0,14510.0,16048.0,6906.0,13268.0,2079.0,966.0,455.0,540.0,2101.0,4512.0,11814.0,7846.0,6357.0,14374.0,7496.0,6606.0,396.0,7409.0,9359.0,7983.0,5172.0,5704.0
gRNA_CDK7_targ_3,CDK7,6068.0,4367.0,3238.0,13545.0,7710.0,12843.0,2325.0,4306.0,25.0,164.0,5644.0,2398.0,9035.0,8442.0,14161.0,17517.0,2770.0,5043.0,1808.0,6345.0,6389.0,11425.0,12816.0,3408.0
gRNA_CDK7_targ_4,CDK7,23458.0,15547.0,20382.0,20330.0,19124.0,19535.0,16114.0,4025.0,942.0,429.0,5776.0,3807.0,16409.0,12962.0,12332.0,27085.0,13564.0,9605.0,1136.0,10941.0,13683.0,12339.0,15897.0,9928.0
gRNA_CDK7_targ_5,CDK7,5597.0,2509.0,24294.0,4957.0,9151.0,11015.0,3669.0,8311.0,328.0,289.0,310.0,19419.0,10355.0,9386.0,8757.0,22505.0,11898.0,10775.0,832.0,5261.0,11940.0,6994.0,6799.0,3889.0
gRNA_CDK7_targ_6,CDK7,16066.0,14534.0,38501.0,17755.0,17361.0,13359.0,21405.0,473.0,1421.0,2421.0,2778.0,5668.0,20764.0,16800.0,17132.0,23307.0,22854.0,7124.0,2333.0,13153.0,9482.0,12337.0,27204.0,10179.0
gRNA_CDK7_targ_7,CDK7,7925.0,15867.0,20580.0,19240.0,15784.0,17563.0,1930.0,3072.0,195.0,954.0,1352.0,2022.0,15979.0,18246.0,24553.0,32533.0,21960.0,10676.0,1126.0,17913.0,20527.0,15659.0,16004.0,19758.0
gRNA_CDK7_targ_8,CDK7,6511.0,13110.0,13783.0,10487.0,6224.0,9559.0,11318.0,2554.0,3235.0,259.0,222.0,1942.0,6367.0,7324.0,6227.0,14378.0,7739.0,5808.0,422.0,1214.0,5575.0,8859.0,5405.0,33342.0
gRNA_CDK7_targ_9,CDK7,5985.0,7388.0,7384.0,8736.0,8905.0,8437.0,393.0,551.0,1923.0,35.0,1029.0,1130.0,8383.0,5119.0,6574.0,12939.0,5053.0,7831.0,542.0,3002.0,7011.0,5683.0,7058.0,5191.0
gRNA_CDK7_targ_10,CDK7,4538.0,5578.0,2440.0,4741.0,7352.0,3689.0,968.0,687.0,1758.0,120.0,1088.0,687.0,6072.0,3005.0,2755.0,5502.0,4006.0,1808.0,169.0,1496.0,576.0,1141.0,4868.0,10776.0
gRNA_CDK7_targ_11,CDK7,11386.0,7809.0,15769.0,22337.0,13900.0,20439.0,2399.0,5175.0,23357.0,1072.0,3210.0,1126.0,27659.0,18782.0,16611.0,31498.0,21004.0,17377.0,1577.0,23696.0,21956.0,32191.0,19116.0,20302.0
gRNA_CDK7_targ_12,CDK7,4380.0,10093.0,13466.0,16557.0,6964.0,18819.0,3578.0,3802.0,2222.0,229.0,1127.0,2881.0,36134.0,18867.0,11730.0,36507.0,24106.0,16273.0,2774.0,21406.0,24769.0,26086.0,22161.0,25596.0
gRNA_CDK7_targ_13,CDK7,14102.0,23696.0,13685.0,15422.0,12258.0,18736.0,1888.0,726.0,784.0,674.0,3445.0,4800.0,15660.0,14526.0,25908.0,21318.0,21089.0,9488.0,1406.0,13290.0,8080.0,16626.0,16713.0,18944.0
gRNA_CDK7_targ_14,CDK7,1578.0,7364.0,5403.0,4317.0,8235.0,2886.0,1048.0,338.0,174.0,34.0,1790.0,2340.0,276.0,1647.0,5544.0,5067.0,6261.0,3366.0,322.0,2651.0,84.0,1156.0,2181.0,7745.0
gRNA_CDK7_targ_15,CDK7,17547.0,11518.0,18321.0,12310.0,7221.0,9269.0,14941.0,1361.0,479.0,613.0,2420.0,2939.0,7512.0,7381.0,13150.0,14912.0,9754.0,2885.0,406.0,2792.0,11120.0,10517.0,9081.0,4392.0
gRNA_CDK7_targ_16,CDK7,13488.0,6931.0,19362.0,20976.0,10758.0,7721.0,1556.0,4227.0,443.0,211.0,11076.0,3302.0,8914.0,6267.0,15974.0,15511.0,5360.0,3119.0,1518.0,11697.0,5894.0,3269.0,4784.0,16867.0
gRNA_CDK7_targ_17,CDK7,8696.0,12454.0,15605.0,20737.0,10060.0,5777.0,3899.0,2026.0,327.0,399.0,2648.0,1089.0,6627.0,5302.0,7364.0,8248.0,1571.0,3293.0,337.0,1702.0,2949.0,1954.0,12188.0,5085.0
gRNA_CDK7_targ_18,CDK7,17399.0,22769.0,36820.0,23677.0,20634.0,22892.0,1770283.0,1477137.0,617839.0,206978.0,1058272.0,3345659.0,26292.0,25076.0,307372.0,85492.0,25055.0,55564.0,17806.0,25459.0,38366.0,18509.0,40434.0,107520.0
gRNA_CDK7_targ_19,CDK7,21210.0,18353.0,38080.0,16824.0,28954.0,25270.0,953736.0,721492.0,361554.0,139136.0,1220708.0,419537.0,23912.0,28838.0,68932.0,57986.0,23080.0,52355.0,10940.0,32555.0,32130.0,30543.0,26811.0,38137.0
gRNA_CDK7_targ_20,CDK7,7841.0,13661.0,24546.0,12445.0,10557.0,11606.0,715308.0,359336.0,151927.0,58709.0,185016.0,158047.0,11067.0,6882.0,37283.0,23081.0,9933.0,21143.0,7079.0,6964.0,8095.0,15099.0,12970.0,18850.0
gRNA_CDK7_targ_21,CDK7,7332.0,3648.0,19926.0,12738.0,9337.0,9529.0,5875.0,1819.0,3097.0,760.0,3984.0,2385.0,11798.0,8424.0,4761.0,15115.0,6855.0,9236.0,1466.0,6288.0,11198.0,6082.0,19082.0,13109.0
gRNA_CDK7_targ_22,CDK7,2695.0,1938.0,456.0,2436.0,1420.0,4173.0,394.0,1170.0,1171.0,100.0,8671.0,3664.0,713.0,1572.0,1778.0,7363.0,6515.0,1337.0,385.0,939.0,2093.0,1909.0,1822.0,6098.0
gRNA_CDK7_targ_23,CDK7,41202.0,29115.0,93069.0,57716.0,24333.0,36856.0,13591.0,9103.0,4149.0,1166.0,10762.0,9773.0,40424.0,37515.0,44404.0,57246.0,31723.0,22501.0,4651.0,36222.0,50080.0,35619.0,42185.0,25892.0
gRNA_CDK7_targ_24,CDK7,16580.0,20928.0,20360.0,30311.0,20972.0,21089.0,7403.0,3296.0,508.0,2125.0,3897.0,2496.0,19594.0,21878.0,18314.0,28623.0,16314.0,11302.0,1045.0,6213.0,14213.0,12344.0,7619.0,31142.0
gRNA_CDK7_targ_25,CDK7,6944.0,7486.0,16014.0,11380.0,13130.0,10099.0,1267.0,3820.0,370.0,317.0,788.0,576.0,7560.0,6600.0,8620.0,11933.0,6008.0,4808.0,496.0,3318.0,4842.0,7257.0,8041.0,8438.0
gRNA_CDK7_targ_26,CDK7,16940.0,18846.0,15878.0,19049.0,11646.0,14643.0,1160.0,7959.0,866.0,131.0,5933.0,1809.0,13920.0,11383.0,11309.0,21251.0,11750.0,7573.0,1056.0,10545.0,17277.0,13951.0,13360.0,7857.0
gRNA_CDK7_targ_27,CDK7,2067.0,3793.0,2930.0,2730.0,4717.0,5877.0,6495.0,69.0,118.0,269.0,723.0,542.0,2595.0,1570.0,3723.0,4565.0,1105.0,1628.0,437.0,1033.0,2910.0,1134.0,2980.0,4567.0
gRNA_CDK7_targ_28,CDK7,3805.0,6378.0,1973.0,5171.0,3338.0,4056.0,254.0,280.0,36.0,147.0,2899.0,175.0,672.0,1457.0,1309.0,3377.0,2085.0,1063.0,130.0,280.0,1985.0,663.0,1047.0,1300.0
gRNA_CDK7_targ_29,CDK7,3172.0,8517.0,9778.0,18598.0,10429.0,12224.0,1999.0,1279.0,415.0,263.0,3032.0,797.0,14381.0,8116.0,7667.0,12245.0,12909.0,6440.0,1066.0,5647.0,5113.0,6455.0,5553.0,14715.0
gRNA_CDK7_targ_30,CDK7,4467.0,4049.0,4576.0,8767.0,7447.0,7985.0,768.0,72.0,41.0,136.0,3987.0,652.0,6926.0,7313.0,8250.0,7427.0,2331.0,3438.0,140.0,3883.0,5733.0,3625.0,6997.0,11190.0
gRNA_CDK7_targ_31,CDK7,3972.0,2984.0,4484.0,14366.0,9680.0,1878.0,1195.0,559.0,309.0,538.0,1035.0,845.0,2355.0,726.0,4871.0,2481.0,3321.0,1548.0,114.0,322.0,2251.0,849.0,3538.0,273.0
gRNA_CDK7_targ_32,CDK7,2414.0,5024.0,6655.0,5210.0,6622.0,5835.0,799.0,169.0,120.0,92.0,3962.0,1335.0,2735.0,1713.0,3987.0,6916.0,3454.0,2242.0,296.0,1327.0,6508.0,882.0,1776.0,2587.0
gRNA_CDK7_targ_33,CDK7,4363.0,894.0,298.0,5339.0,7359.0,9598.0,187.0,1849.0,1220.0,107.0,87.0,308.0,2575.0,1640.0,5610.0,6336.0,2586.0,985.0,275.0,1915.0,3807.0,3121.0,5374.0,1992.0
gRNA_CDK7_targ_34,CDK7,3329.0,4866.0,5005.0,8209.0,3650.0,3534.0,1976.0,297.0,68.0,76.0,74.0,1283.0,3589.0,3585.0,4301.0,3247.0,2975.0,696.0,270.0,1025.0,961.0,346.0,424.0,16592.0
gRNA_CDK7_targ_35,CDK7,16745.0,20248.0,24369.0,17061.0,19283.0,20441.0,893.0,4344.0,292.0,1242.0,3727.0,7381.0,19945.0,14488.0,29297.0,27386.0,9329.0,6417.0,1202.0,8262.0,14663.0,18302.0,18334.0,15908.0
gRNA_CDK7_targ_36,CDK7,2009.0,2856.0,2612.0,6112.0,8818.0,7139.0,538.0,330.0,27.0,286.0,82.0,1022.0,5563.0,3501.0,7498.0,4428.0,5277.0,2336.0,171.0,2583.0,2844.0,2429.0,1883.0,327.0
gRNA_CDK7_targ_37,CDK7,3217.0,6048.0,1016.0,3590.0,7683.0,1526.0,318.0,20.0,20.0,10.0,403.0,1292.0,1212.0,1044.0,1279.0,904.0,1616.0,780.0,56.0,259.0,1272.0,698.0,907.0,5159.0
gRNA_CDK7_targ_38,CDK7,1376.0,728.0,2937.0,3454.0,5531.0,1751.0,208.0,47.0,26.0,38.0,261.0,19.0,776.0,127.0,548.0,1160.0,462.0,190.0,34.0,67.0,714.0,77.0,108.0,2127.0
gRNA_CDK7_targ_39,CDK7,5510.0,3229.0,8856.0,6332.0,6552.0,5091.0,767.0,56.0,84.0,201.0,5174.0,220.0,3144.0,2009.0,4669.0,3196.0,3638.0,1109.0,200.0,1688.0,2066.0,2248.0,2218.0,3192.0
