Cell Line,Drug,Concentration,Measurement,Measurement-Ref,Concentration_class
A2780,DMSO,,0.649,0.5728,LC50
A2780,DMSO,,0.6352,0.5585,LC50
A2780,DMSO,,0.6234,0.548,LC50
A2780,DMSO,,0.624,0.547,LC50
A2780,DMSO,,0.6177,0.5419,LC50
A2780,DMSO,,0.6191,0.5427,LC50
A2780,KI-CDK9d-32,7.2,0.3496,0.2908,LC50
A2780,KI-CDK9d-32,7.2,0.366,0.3069,LC50
A2780,KI-CDK9d-32,7.2,0.3557,0.2947,LC50
A2780,KI-CDK9d-32,7.2,0.3744,0.314,LC50
A2780,KI-CDK9d-32,7.2,0.3467,0.2863,LC50
A2780,KI-CDK9d-32,7.2,0.3363,0.2765,LC50
A2780,KI-CDK9d-32,32,0.1225,0.0779,LC90
A2780,KI-CDK9d-32,32,0.1242,0.0781,LC90
A2780,KI-CDK9d-32,32,0.1306,0.0836,LC90
A2780,KI-CDK9d-32,32,0.1278,0.0817,LC90
A2780,KI-CDK9d-32,32,0.1253,0.0792,LC90
A2780,KI-CDK9d-32,32,0.1259,0.0787,LC90
A2780,KB-0742,1030,0.7455,0.6609,LC50
A2780,KB-0742,1030,0.7104,0.6285,LC50
A2780,KB-0742,1030,0.7348,0.6498,LC50
A2780,KB-0742,1030,0.7518,0.666,LC50
A2780,KB-0742,1030,0.7627,0.6754,LC50
A2780,KB-0742,1030,0.7753,0.6865,LC50
A2780,KB-0742,2580,0.0914,0.0477,LC90
A2780,KB-0742,2580,0.0932,0.0489,LC90
A2780,KB-0742,2580,0.0909,0.0474,LC90
A2780,KB-0742,2580,0.093,0.0481,LC90
A2780,KB-0742,2580,0.0931,0.0487,LC90
A2780,KB-0742,2580,0.0963,0.048,LC90
A2780,SY-5609,5,0.5603,0.4891,LC50
A2780,SY-5609,5,0.5406,0.4707,LC50
A2780,SY-5609,5,0.542,0.4722,LC50
A2780,SY-5609,5,0.5389,0.4668,LC50
A2780,SY-5609,5,0.5608,0.4883,LC50
A2780,SY-5609,5,0.5762,0.5025,LC50
A2780,SY-5609,500,0.3208,0.2631,LC90
A2780,SY-5609,500,0.3121,0.2546,LC90
A2780,SY-5609,500,0.3019,0.2453,LC90
A2780,SY-5609,500,0.3217,0.2639,LC90
A2780,SY-5609,500,0.3015,0.2459,LC90
A2780,SY-5609,500,0.3031,0.2473,LC90
A2780,Senexin B,1000,0.5628,0.4788,LC50
A2780,Senexin B,1000,0.5358,0.4547,LC50
A2780,Senexin B,1000,0.5523,0.4701,LC50
A2780,Senexin B,1000,0.5547,0.4703,LC50
A2780,Senexin B,1000,0.5432,0.4601,LC50
A2780,Senexin B,1000,0.5609,0.4746,LC50
A2780,Senexin B,10000,0.3229,0.2634,LC90
A2780,Senexin B,10000,0.3064,0.2486,LC90
A2780,Senexin B,10000,0.2981,0.2406,LC90
A2780,Senexin B,10000,0.3054,0.2479,LC90
A2780,Senexin B,10000,0.3095,0.2516,LC90
A2780,Senexin B,10000,0.3021,0.2448,LC90
A2780,SEL120,4000,0.416,0.3528,LC50
A2780,SEL120,4000,0.4144,0.3515,LC50
A2780,SEL120,4000,0.429,0.3658,LC50
A2780,SEL120,4000,0.4333,0.3699,LC50
A2780,SEL120,4000,0.4447,0.3802,LC50
A2780,SEL120,4000,0.4737,0.4084,LC50
A2780,SEL120,10000,0.0597,0.0166,LC90
A2780,SEL120,10000,0.0589,0.0165,LC90
A2780,SEL120,10000,0.0588,0.016,LC90
A2780,SEL120,10000,0.0585,0.0157,LC90
A2780,SEL120,10000,0.0566,0.0165,LC90
A2780,SEL120,10000,0.0563,0.0153,LC90
A2780,None,0,1.0873,0.9611,LC50
A2780,None,0,1.0923,0.969,LC50
A2780,None,0,1.1115,0.9858,LC50
A2780,None,0,1.0831,0.9603,LC50
A2780,None,0,1.1145,0.9892,LC50
A2780,None,0,1.0854,0.9568,LC50
A2780,NO CELLS,,0.0551,0.0142,LC50
