Cell Line,Drug,Concentration,Measurement,Measurement-Ref
A2780,None,0,1.1267,0.9758
A2780,None,0,1.1668,1.0113
A2780,None,0,1.1585,1.0036
A2780,DMSO,0.01,1.178,1.021
A2780,DMSO,0.01,1.1918,1.0371
A2780,DMSO,0.01,1.1883,1.0338
A2780,DMSO,0.1,1.2229,1.0672
A2780,DMSO,0.1,1.2061,1.0525
A2780,DMSO,0.1,1.2388,1.0826
A2780,DMSO,1,1.0605,0.9544
A2780,DMSO,1,1.0876,0.9747
A2780,DMSO,1,1.0817,0.9725
A2780,KI-CDK9d-32,2,1.002,0.8712
A2780,KI-CDK9d-32,2,1.1573,1.0271
A2780,KI-CDK9d-32,2,1.1154,0.988
A2780,KI-CDK9d-32,5,0.8085,0.7158
A2780,KI-CDK9d-32,5,0.7873,0.6965
A2780,KI-CDK9d-32,5,0.8022,0.7099
A2780,KI-CDK9d-32,10,0.3613,0.3007
A2780,KI-CDK9d-32,10,0.3496,0.2912
A2780,KI-CDK9d-32,10,0.3413,0.2814
A2780,KI-CDK9d-32,20,0.1718,0.1236
A2780,KI-CDK9d-32,20,0.1741,0.125
A2780,KI-CDK9d-32,20,0.1564,0.1085
A2780,KI-CDK9d-32,100,0.1284,0.0832
A2780,KI-CDK9d-32,100,0.1398,0.0927
A2780,KI-CDK9d-32,100,0.1357,0.0893
A2780,KI-CDK9d-32,500,0.1423,0.0945
A2780,KI-CDK9d-32,500,0.1402,0.0937
A2780,KI-CDK9d-32,500,0.1349,0.0867
A2780,KI-CDK9d-32,1000,0.1364,0.0902
A2780,KI-CDK9d-32,1000,0.1335,0.0872
A2780,KI-CDK9d-32,1000,0.1391,0.0934
A2780,KI-CDK9d-32,2500,0.1212,0.075
A2780,KI-CDK9d-32,2500,0.1204,0.0754
A2780,KI-CDK9d-32,2500,0.1201,0.0741
A2780,KI-CDK9d-32N,10,1.1633,1.0122
A2780,KI-CDK9d-32N,10,1.1253,0.9836
A2780,KI-CDK9d-32N,10,1.1179,0.9819
A2780,KI-CDK9d-32N,100,1.0593,0.9302
A2780,KI-CDK9d-32N,100,1.0376,0.9131
A2780,KI-CDK9d-32N,100,1.019,0.8939
A2780,KI-CDK9d-32N,500,0.797,0.7063
A2780,KI-CDK9d-32N,500,0.8117,0.7202
A2780,KI-CDK9d-32N,500,0.795,0.7045
A2780,KI-CDK9d-32N,1000,0.1938,0.1436
A2780,KI-CDK9d-32N,1000,0.2216,0.1697
A2780,KI-CDK9d-32N,1000,0.1619,0.1138
A2780,KI-CDK9d-32N,2000,0.0962,0.0513
A2780,KI-CDK9d-32N,2000,0.0875,0.043
A2780,KI-CDK9d-32N,2000,0.0842,0.0404
A2780,KI-CDK9d-32N,4000,0.1118,0.0667
A2780,KI-CDK9d-32N,4000,0.1114,0.0667
A2780,KI-CDK9d-32N,4000,0.1101,0.0642
A2780,KI-CDK9d-32N,8000,0.0982,0.0538
A2780,KI-CDK9d-32N,8000,0.0979,0.0537
A2780,KI-CDK9d-32N,8000,0.0955,0.0517
A2780,KI-CDK9d-32N,10000,0.0919,0.0488
A2780,KI-CDK9d-32N,10000,0.094,0.0507
A2780,KI-CDK9d-32N,10000,0.0911,0.0492
A2780,KB-0742,10,1.2314,1.0723
A2780,KB-0742,10,1.1644,1.0213
A2780,KB-0742,10,1.1201,0.9816
A2780,KB-0742,100,1.0976,0.9621
A2780,KB-0742,100,1.0785,0.9466
A2780,KB-0742,100,1.0653,0.9316
A2780,KB-0742,500,1.072,0.9407
A2780,KB-0742,500,1.1067,0.9754
A2780,KB-0742,500,1.0597,0.9317
A2780,KB-0742,1000,1.0295,0.9159
A2780,KB-0742,1000,1.0894,0.9693
A2780,KB-0742,1000,1.027,0.9128
A2780,KB-0742,2000,0.1108,0.0622
A2780,KB-0742,2000,0.2196,0.1655
A2780,KB-0742,2000,0.2529,0.1983
A2780,KB-0742,4000,0.1231,0.077
A2780,KB-0742,4000,0.1169,0.071
A2780,KB-0742,4000,0.1195,0.0734
A2780,KB-0742,8000,0.1002,0.0548
A2780,KB-0742,8000,0.106,0.0606
A2780,KB-0742,8000,0.1003,0.0553
A2780,KB-0742,10000,0.1054,0.0616
A2780,KB-0742,10000,0.1102,0.0661
A2780,KB-0742,10000,0.1053,0.0619
