Cell Line,Drug,Concentration,Measurement,Measurement-Ref,Location,Dose #
A2780,Media Only,0,1.8854,1.7296,A1,No Drug
A2780,Media Only,0,1.8832,1.7259,A2,No Drug
A2780,Media Only,0,1.8709,1.7137,A3,No Drug
A2780,Media Only,0,1.9066,1.7451,A4,No Drug
A2780,Media Only,0,1.8745,1.7173,A5,No Drug
A2780,Media Only,0,1.8845,1.7275,A6,No Drug
A2780,DMSO,1,1.2558,1.1391,A7,No Drug
A2780,DMSO,1,1.2866,1.1684,A8,No Drug
A2780,DMSO,1,1.2911,1.1727,A9,No Drug
A2780,DMSO,1,1.3006,1.1811,A10,No Drug
A2780,DMSO,1,1.3252,1.2034,A11,No Drug
A2780,DMSO,1,1.3583,1.2371,A12,No Drug
A2780,KI-CDK9d-32,6,0.179,0.1271,B1,1
A2780,KI-CDK9d-32,6,0.1783,0.1285,B2,1
A2780,KI-CDK9d-32,6,0.1801,0.1292,B3,1
A2780,KI-CDK9d-32,8,0.1799,0.1302,B4,2
A2780,KI-CDK9d-32,8,0.182,0.1304,B5,2
A2780,KI-CDK9d-32,8,0.1821,0.1312,B6,2
A2780,KI-CDK9d-32,20,0.1795,0.1291,B7,3
A2780,KI-CDK9d-32,20,0.1755,0.1264,B8,3
A2780,KI-CDK9d-32,20,0.1779,0.1274,B9,3
A2780,KI-CDK9d-32,25,0.1788,0.1285,B10,4
A2780,KI-CDK9d-32,25,0.1808,0.1305,B11,4
A2780,KI-CDK9d-32,25,0.1733,0.1222,B12,4
A2780,KI-CDK9d-32N,600,0.9225,0.8291,C1,1
A2780,KI-CDK9d-32N,600,0.731,0.6487,C2,1
A2780,KI-CDK9d-32N,600,0.9189,0.8229,C3,1
A2780,KI-CDK9d-32N,700,0.7931,0.705,C4,2
A2780,KI-CDK9d-32N,700,0.7771,0.6909,C5,2
A2780,KI-CDK9d-32N,700,0.7917,0.7037,C6,2
A2780,KI-CDK9d-32N,1000,0.2996,0.2416,C7,3
A2780,KI-CDK9d-32N,1000,0.3128,0.2532,C8,3
A2780,KI-CDK9d-32N,1000,0.2877,0.231,C9,3
A2780,KI-CDK9d-32N,1500,0.1269,0.0786,C10,4
A2780,KI-CDK9d-32N,1500,0.1247,0.077,C11,4
A2780,KI-CDK9d-32N,1500,0.1216,0.0735,C12,4
A2780,KB-0742,1250,1.3349,1.2179,D1,1
