Cell Line,Drug,gRNA_number,Concentration (nM or % for DMSO),Measurement,Measurement-Ref
A549-CBE,KI-CDK9d-32,L156F,2.5,1.3971,1.283
A549-CBE,KI-CDK9d-32,L156F,2.5,1.4235,1.3055
A549-CBE,KI-CDK9d-32,L156F,2.5,1.3036,1.1909
A549-CBE,KI-CDK9d-32,L156F,5,1.3464,1.2311
A549-CBE,KI-CDK9d-32,L156F,5,1.2682,1.1579
A549-CBE,KI-CDK9d-32,L156F,5,1.3263,1.2156
A549-CBE,KI-CDK9d-32,L156F,10,1.3219,1.2109
A549-CBE,KI-CDK9d-32,L156F,10,1.32,1.2069
A549-CBE,KI-CDK9d-32,L156F,10,1.296,1.1838
A549-CBE,KI-CDK9d-32,L156F,20,1.3027,1.1916
A549-CBE,KI-CDK9d-32,L156F,20,1.1942,1.0905
A549-CBE,KI-CDK9d-32,L156F,20,1.3113,1.1933
A549-CBE,KI-CDK9d-32,L156F,100,1.2342,1.126
A549-CBE,KI-CDK9d-32,L156F,100,1.124,1.0202
A549-CBE,KI-CDK9d-32,L156F,100,1.1696,1.0641
A549-CBE,KI-CDK9d-32,L156F,500,0.9947,0.901
A549-CBE,KI-CDK9d-32,L156F,500,0.9778,0.8831
A549-CBE,KI-CDK9d-32,L156F,500,0.9625,0.868
A549-CBE,KI-CDK9d-32,L156F,1000,0.9918,0.8961
A549-CBE,KI-CDK9d-32,L156F,1000,0.9264,0.8362
A549-CBE,KI-CDK9d-32,L156F,1000,0.911,0.8194
A549-CBE,KI-CDK9d-32,L156F,2500,0.8985,0.8098
A549-CBE,KI-CDK9d-32,L156F,2500,0.873,0.7855
A549-CBE,KI-CDK9d-32,L156F,2500,0.9113,0.8204
A549-CBE,KI-CDK9d-32,6,2.5,1.3153,1.199
A549-CBE,KI-CDK9d-32,6,2.5,1.1968,1.0891
A549-CBE,KI-CDK9d-32,6,2.5,1.0871,0.9851
A549-CBE,KI-CDK9d-32,6,5,1.0551,0.9547
A549-CBE,KI-CDK9d-32,6,5,1.0857,0.9851
A549-CBE,KI-CDK9d-32,6,5,1.0356,0.9374
A549-CBE,KI-CDK9d-32,6,10,1.1318,1.0286
A549-CBE,KI-CDK9d-32,6,10,1.0767,0.9758
A549-CBE,KI-CDK9d-32,6,10,1.0462,0.9494
A549-CBE,KI-CDK9d-32,6,20,1.0176,0.9211
A549-CBE,KI-CDK9d-32,6,20,1.1808,1.0751
A549-CBE,KI-CDK9d-32,6,20,1.151,1.0458
A549-CBE,KI-CDK9d-32,6,100,0.8541,0.7666
A549-CBE,KI-CDK9d-32,6,100,0.8421,0.7542
A549-CBE,KI-CDK9d-32,6,100,0.8611,0.772
A549-CBE,KI-CDK9d-32,6,500,0.7147,0.6347
A549-CBE,KI-CDK9d-32,6,500,0.703,0.6247
A549-CBE,KI-CDK9d-32,6,500,0.71,0.6312
A549-CBE,KI-CDK9d-32,6,1000,0.6937,0.6139
A549-CBE,KI-CDK9d-32,6,1000,0.6305,0.5562
A549-CBE,KI-CDK9d-32,6,1000,0.6881,0.6106
A549-CBE,KI-CDK9d-32,6,2500,0.6094,0.5364
A549-CBE,KI-CDK9d-32,6,2500,0.6564,0.5812
A549-CBE,KI-CDK9d-32,6,2500,0.6227,0.5467
