Cell Line,Drug,Concentration (nM or % for DMSO),Measurement,Measurement-Ref,Error?
A549,DMSO,0.1,1.5389,1.4142,
A549,DMSO,0.1,1.5532,1.4273,
A549,DMSO,0.1,1.5024,1.3783,
A549,DMSO,0.1,1.5453,1.4206,
A549,DMSO,0.1,1.4911,1.3703,
A549,DMSO,0.1,1.469,1.3509,
A549,DMSO,0.1,1.5066,1.3839,
A549,DMSO,0.1,1.4771,1.3575,
A549,DMSO,0.1,1.5805,1.4542,
A549,DMSO,0.1,1.5346,1.4108,
A549,DMSO,0.1,1.4851,1.3631,
A549,DMSO,0.1,1.5572,1.4339,
A549,BSJ-4-116,1,1.5706,1.4456,
A549,BSJ-4-116,1,1.7518,1.609,
A549,BSJ-4-116,1,1.5478,1.4195,
A549,BSJ-4-116,10,1.5732,1.4458,
A549,BSJ-4-116,10,1.5148,1.3898,
A549,BSJ-4-116,10,1.4745,1.3512,
A549,BSJ-4-116,50,1.6842,1.5502,
A549,BSJ-4-116,50,1.4829,1.362,
A549,BSJ-4-116,50,1.7113,1.5756,
A549,BSJ-4-116,100,1.1726,1.0696,
A549,BSJ-4-116,100,1.3693,1.2528,
A549,BSJ-4-116,100,1.3124,1.2008,
A549,BSJ-4-116,150,0.8504,0.7642,
A549,BSJ-4-116,150,0.8677,0.779,
A549,BSJ-4-116,150,0.895,0.8059,
A549,BSJ-4-116,200,0.6564,0.5802,
A549,BSJ-4-116,200,0.6652,0.5889,
A549,BSJ-4-116,200,0.6687,0.5932,
A549,BSJ-4-116,300,0.4742,0.4099,
A549,BSJ-4-116,300,0.4563,0.3928,
A549,BSJ-4-116,300,0.4932,0.4282,
A549,BSJ-4-116,400,0.4143,0.3541,
A549,BSJ-4-116,400,0.4276,0.3664,
A549,BSJ-4-116,400,0.4325,0.3699,
A549,BSJ-4-116,500,0.4534,0.389,
A549,BSJ-4-116,500,0.4399,0.3763,
A549,BSJ-4-116,500,0.4166,0.354,
A549,BSJ-4-116,1000,0.4258,0.363,
A549,BSJ-4-116,1000,0.4275,0.3653,
A549,BSJ-4-116,1000,0.4401,0.3787,
A549,BSJ-4-116,2000,0.4318,0.3693,
A549,BSJ-4-116,2000,0.4235,0.3607,
A549,BSJ-4-116,2000,0.4185,0.3569,
A549,BSJ-4-116,4000,0.4166,0.3556,
A549,BSJ-4-116,4000,0.4054,0.3446,
A549,BSJ-4-116,4000,0.4346,0.3716,
A549,BSJ-4-116,10000,0.3566,0.2974,
A549,BSJ-4-116,10000,0.3443,0.286,
A549,BSJ-4-116,10000,0.3826,0.3223,
A549,CDK12-IN-2,50,1.4601,1.3366,
A549,CDK12-IN-2,50,1.3837,1.2647,
A549,CDK12-IN-2,50,1.342,1.227,
A549,CDK12-IN-2,100,1.5202,1.3914,
A549,CDK12-IN-2,100,1.386,1.2674,
A549,CDK12-IN-2,100,1.4972,1.3718,
A549,CDK12-IN-2,200,1.5951,1.4646,
A549,CDK12-IN-2,200,1.6632,1.5282,
A549,CDK12-IN-2,200,1.7941,1.65,
A549,CDK12-IN-2,500,1.6698,1.5337,
A549,CDK12-IN-2,500,1.6812,1.5433,
A549,CDK12-IN-2,500,1.584,1.452,
A549,CDK12-IN-2,1000,1.3813,1.2621,
A549,CDK12-IN-2,1000,1.5009,1.374,
A549,CDK12-IN-2,1000,1.464,1.3388,
A549,CDK12-IN-2,1500,1.2462,1.1351,
A549,CDK12-IN-2,1500,1.1897,1.081,
A549,CDK12-IN-2,1500,1.1487,1.0442,
A549,CDK12-IN-2,2000,0.9937,0.8984,
A549,CDK12-IN-2,2000,0.9511,0.8578,
A549,CDK12-IN-2,2000,1.109,1.0071,
A549,CDK12-IN-2,2500,0.8907,0.8004,
A549,CDK12-IN-2,2500,0.9136,0.822,
A549,CDK12-IN-2,2500,0.9762,0.8809,
A549,CDK12-IN-2,3000,0.5345,0.4666,
A549,CDK12-IN-2,3000,0.5242,0.4562,
A549,CDK12-IN-2,3000,0.5921,0.5202,
A549,CDK12-IN-2,3500,0.4665,0.4009,
A549,CDK12-IN-2,3500,0.4304,0.3667,
A549,CDK12-IN-2,3500,0.4729,0.4069,
A549,CDK12-IN-2,4000,0.3536,0.2953,
A549,CDK12-IN-2,4000,0.3683,0.3091,
A549,CDK12-IN-2,4000,0.353,0.2955,
NO CELLS,No drug,0,0.1218,0.0771,
NO CELLS,No drug,0,0.1188,0.0747,
