Cell Line,Drug,Concentration (nM or % for DMSO),Measurement,Measurement-Ref,Error?
A549-WT,DMSO,0.2,0.997,0.9001,
A549-WT,DMSO,0.2,1.0244,0.9252,
A549-WT,DMSO,0.2,1,0.9019,
A549-WT,DMSO,0.2,0.986,0.8892,
A549-WT,DMSO,0.2,0.9274,0.8335,
A549-WT,DMSO,0.2,0.9847,0.8886,
A549-WT,DMSO,0.2,0.9989,0.9031,
A549-WT,DMSO,0.2,0.9942,0.8993,
A549-WT,DMSO,0.2,1.0153,0.9184,
A549-WT,DMSO,0.2,0.9719,0.8754,
A549-WT,DMSO,0.2,0.9911,0.895,
A549-WT,DMSO,0.2,0.9455,0.8513,
A549-WT,Olaparib,10,0.9873,0.892,
A549-WT,Olaparib,10,1.0024,0.905,
A549-WT,Olaparib,10,1.0077,0.9095,
A549-WT,Olaparib,10,1.0033,0.9072,
A549-WT,Olaparib,50,0.9795,0.8828,
A549-WT,Olaparib,50,0.974,0.879,
A549-WT,Olaparib,50,1.0119,0.9145,
A549-WT,Olaparib,50,1.0022,0.9066,
A549-WT,Olaparib,100,0.9927,0.897,
A549-WT,Olaparib,100,0.9976,0.902,
A549-WT,Olaparib,100,0.9821,0.8874,
A549-WT,Olaparib,100,0.9688,0.8748,
A549-WT,Olaparib,200,0.9841,0.889,
A549-WT,Olaparib,200,0.9861,0.8901,
A549-WT,Olaparib,200,0.9956,0.8996,
A549-WT,Olaparib,200,0.9856,0.8893,
A549-WT,Olaparib,500,0.9901,0.8937,
A549-WT,Olaparib,500,0.8986,0.8068,
A549-WT,Olaparib,500,1.0027,0.9056,
A549-WT,Olaparib,500,0.9879,0.8925,
A549-WT,Olaparib,1000,0.9544,0.8613,
A549-WT,Olaparib,1000,1.0289,0.9306,
A549-WT,Olaparib,1000,0.9745,0.88,
A549-WT,Olaparib,1000,0.9895,0.8928,
A549-WT,Olaparib,2000,0.9325,0.8388,
A549-WT,Olaparib,2000,0.9085,0.8158,
A549-WT,Olaparib,2000,0.9966,0.8995,
A549-WT,Olaparib,2000,0.9686,0.8735,
A549-WT,Olaparib,5000,0.9453,0.8521,
A549-WT,Olaparib,5000,0.9588,0.8643,
A549-WT,Olaparib,5000,0.9127,0.8214,
A549-WT,Olaparib,5000,0.9018,0.8108,
A549-WT,Olaparib,10000,0.8222,0.7362,
A549-WT,Olaparib,10000,0.815,0.7291,
A549-WT,Olaparib,10000,0.8151,0.7296,
A549-WT,Olaparib,10000,0.7976,0.7127,
A549-WT,Olaparib,0,0.9589,0.8629,
A549-WT,Olaparib,0,1.038,0.9378,
A549-WT,Olaparib,0,0.994,0.8974,
A549-WT,Olaparib,0,0.9717,0.8758,
A549-WT,Olaparib,0,0.9883,0.893,
