Cell Line,Drug,Concentration (nM or % for DMSO),Measurement,Measurement-Ref
NT,Media Only,0,1.7217,1.5801
NT,Media Only,0,1.6025,1.4666
NT,Media Only,0,1.7474,1.6034
NT,Media Only,0,1.6633,1.5238
NT,Media Only,0,1.7173,1.5742
NT,Media Only,0,1.7232,1.5727
NT,DMSO,0.25,1.6031,1.4678
NT,DMSO,0.25,1.6174,1.481
NT,DMSO,0.25,1.6441,1.5065
NT,DMSO,0.25,1.5426,1.41
NT,DMSO,0.25,1.6675,1.5303
NT,DMSO,0.25,1.6242,1.4895
NT,SY-5609,1,1.5934,1.4591
NT,SY-5609,1,1.5335,1.4033
NT,SY-5609,1,1.5092,1.38
NT,SY-5609,5,1.3819,1.2591
NT,SY-5609,5,1.3521,1.2313
NT,SY-5609,5,1.312,1.1944
NT,SY-5609,10,1.0738,0.9684
NT,SY-5609,10,1.1158,1.0097
NT,SY-5609,10,1.0651,0.962
NT,SY-5609,20,1.0649,0.9614
NT,SY-5609,20,1.0805,0.9762
NT,SY-5609,20,1.1102,1.005
NT,SY-5609,50,1.0399,0.9384
NT,SY-5609,50,0.9948,0.8961
NT,SY-5609,50,0.9313,0.8355
NT,SY-5609,100,0.8916,0.7985
NT,SY-5609,100,0.9092,0.815
NT,SY-5609,100,0.8951,0.8017
NT,SY-5609,200,0.8333,0.7439
NT,SY-5609,200,0.8474,0.7561
NT,SY-5609,200,0.8837,0.7907
NT,SY-5609,500,0.8622,0.7708
NT,SY-5609,500,0.8861,0.7933
NT,SY-5609,500,0.9309,0.8361
NT,KB-0742,100,1.6194,1.4828
NT,KB-0742,100,1.4881,1.36
NT,KB-0742,100,1.4615,1.3347
NT,KB-0742,500,1.2922,1.1741
NT,KB-0742,500,1.263,1.1454
NT,KB-0742,500,1.1821,1.0684
NT,KB-0742,750,1.1473,1.0373
NT,KB-0742,750,1.1719,1.0605
NT,KB-0742,750,1.1799,1.0664
NT,KB-0742,1000,1.1949,1.0812
NT,KB-0742,1000,1.2293,1.1143
NT,KB-0742,1000,1.2009,1.0887
NT,KB-0742,1250,0.966,0.8679
NT,KB-0742,1250,0.9987,0.8988
NT,KB-0742,1250,0.9256,0.8304
NT,KB-0742,1500,0.6924,0.6104
NT,KB-0742,1500,0.6709,0.5908
NT,KB-0742,1500,0.6536,0.5745
NT,KB-0742,1750,0.4494,0.3829
NT,KB-0742,1750,0.4726,0.4047
NT,KB-0742,1750,0.4613,0.3935
NT,KB-0742,2000,0.3924,0.329
NT,KB-0742,2000,0.4221,0.3568
NT,KB-0742,2000,0.4185,0.3532
NT,KI-CDK9d-32,10,1.6435,1.5072
NT,KI-CDK9d-32,10,1.6097,1.4745
NT,KI-CDK9d-32,10,1.4385,1.3117
NT,KI-CDK9d-32,20,1.332,1.2114
NT,KI-CDK9d-32,20,1.2233,1.111
NT,KI-CDK9d-32,20,1.2572,1.141
NT,KI-CDK9d-32,50,1.025,0.9243
NT,KI-CDK9d-32,50,1.0932,0.9877
NT,KI-CDK9d-32,50,1.034,0.9324
NT,KI-CDK9d-32,100,0.8728,0.7804
NT,KI-CDK9d-32,100,0.9076,0.8129
NT,KI-CDK9d-32,100,0.9452,0.8455
NT,KI-CDK9d-32,200,0.686,0.6054
NT,KI-CDK9d-32,200,0.7498,0.6644
NT,KI-CDK9d-32,200,0.7192,0.6361
NT,KI-CDK9d-32,500,0.4778,0.4084
NT,KI-CDK9d-32,500,0.491,0.4218
NT,KI-CDK9d-32,500,0.4873,0.4185
NT,KI-CDK9d-32,1000,0.4618,0.3946
NT,KI-CDK9d-32,1000,0.4615,0.3939
NT,KI-CDK9d-32,1000,0.4471,0.3798
NT,KI-CDK9d-32,2000,0.4454,0.379
NT,KI-CDK9d-32,2000,0.4465,0.3791
