,cells+debris | Count,cells+debris/Single Cells/Single Cells2 | Count,cells+debris/Single Cells/Single Cells2/DAPI+ | Freq. of Parent (%),
Specimen_001_A1_A01.fcs,26571,24357,1.35,
Specimen_001_A2_A02.fcs,29463,26908,2.49,
Specimen_001_A3_A03.fcs,26921,24390,3.03,
Specimen_001_A4_A04.fcs,21027,18842,1.48,
Specimen_001_A5_A05.fcs,22274,20011,3.33,
Specimen_001_A6_A06.fcs,26207,22962,4.31,
Specimen_001_A7_A07.fcs,28656,25970,3.27,
Specimen_001_A8_A08.fcs,27491,24812,3.49,
Specimen_001_A9_A09.fcs,20396,18444,2.78,
Specimen_001_A10_A10.fcs,23202,21088,3.33,
Specimen_001_A11_A11.fcs,20913,18663,3.77,
Specimen_001_A12_A12.fcs,28630,25407,3.55,
Specimen_001_B1_B01.fcs,10888,8888,8.37,
Specimen_001_B2_B02.fcs,10641,8617,7.13,
Specimen_001_B3_B03.fcs,9453,7632,8.99,
Specimen_001_B4_B04.fcs,4808,3035,12.5,
Specimen_001_B5_B05.fcs,5609,3536,15.8,
Specimen_001_B6_B06.fcs,5340,3331,19.0,
Specimen_001_B7_B07.fcs,5517,3196,18.3,
Specimen_001_B8_B08.fcs,5356,3141,16.7,
Specimen_001_B9_B09.fcs,4237,2339,18.2,
Specimen_001_B10_B10.fcs,23676,21359,3.95,
Specimen_001_B11_B11.fcs,21905,19683,3.31,
Specimen_001_B12_B12.fcs,23988,21658,4.39,
Specimen_001_C1_C01.fcs,25692,23029,4.54,
Specimen_001_C2_C02.fcs,25452,22961,3.98,
Specimen_001_C3_C03.fcs,22680,20227,4.37,
Specimen_001_C4_C04.fcs,19133,16839,5.90,
Specimen_001_C5_C05.fcs,16311,14606,4.57,
Specimen_001_C6_C06.fcs,18734,16602,5.49,
Specimen_001_C7_C07.fcs,21421,19344,3.88,
Specimen_001_C8_C08.fcs,23342,21120,3.96,
Specimen_001_C9_C09.fcs,23581,21157,5.51,
Specimen_001_C10_C10.fcs,17312,15237,5.88,
Specimen_001_C11_C11.fcs,18705,16514,4.26,
Specimen_001_C12_C12.fcs,15726,13653,7.77,
Specimen_001_D1_D01.fcs,4736,2510,30.1,
Specimen_001_D2_D02.fcs,3350,1751,29.5,
Specimen_001_D3_D03.fcs,4351,2299,33.1,
Specimen_001_D4_D04.fcs,17169,15386,4.97,
Specimen_001_D5_D05.fcs,19497,17603,7.48,
Specimen_001_D6_D06.fcs,17116,15283,3.95,
Specimen_001_D7_D07.fcs,16792,14746,10.2,
Specimen_001_D8_D08.fcs,14411,12686,14.8,
Specimen_001_D9_D09.fcs,14120,12483,3.69,
Specimen_001_D10_D10.fcs,10696,8968,7.55,
Specimen_001_D11_D11.fcs,11381,9725,9.20,
Specimen_001_D12_D12.fcs,11682,9854,12.9,
Specimen_001_E1_E01.fcs,14721,12844,13.3,
Specimen_001_E2_E02.fcs,17270,15333,4.00,
Specimen_001_E3_E03.fcs,17337,15332,3.24,
Specimen_001_E4_E04.fcs,5498,2975,51.6,
Specimen_001_E5_E05.fcs,4875,2581,45.9,
Specimen_001_E6_E06.fcs,3980,2027,50.6,
Specimen_001_E7_E07.fcs,4374,1998,80.2,
Specimen_001_E8_E08.fcs,3735,1579,80.0,
Specimen_001_E9_E09.fcs,4247,2014,72.7,
Specimen_001_E10_E10.fcs,17356,15357,3.10,
Specimen_001_E11_E11.fcs,17098,14987,2.88,
Specimen_001_E12_E12.fcs,15996,14007,5.39,
Specimen_001_F1_F01.fcs,9602,7895,11.4,
Specimen_001_F2_F02.fcs,9365,7601,6.35,
Specimen_001_F3_F03.fcs,12434,10271,17.6,
Specimen_001_F4_F04.fcs,4052,647,49.6,
Specimen_001_F5_F05.fcs,3035,491,47.3,
Specimen_001_F6_F06.fcs,2445,374,42.5,
Specimen_001_F7_F07.fcs,9953,8144,15.5,
Specimen_001_F8_F08.fcs,9717,7978,6.18,
Specimen_001_F9_F09.fcs,9539,7631,7.23,
Specimen_001_F10_F10.fcs,7195,5307,20.0,
Specimen_001_F11_F11.fcs,7027,5242,22.4,
Specimen_001_F12_F12.fcs,6559,4889,17.8,
Specimen_001_G1_G01.fcs,4266,2574,50.4,
Specimen_001_G2_G02.fcs,4109,2588,43.3,
Specimen_001_G3_G03.fcs,4326,2538,39.0,
Specimen_001_G4_G04.fcs,19347,16752,3.23,
Specimen_001_G5_G05.fcs,20835,18252,3.14,
Specimen_001_G6_G06.fcs,19145,16206,4.02,
Specimen_001_G7_G07.fcs,14249,11721,5.91,
Specimen_001_G8_G08.fcs,9951,8112,6.78,
Specimen_001_G9_G09.fcs,11122,9164,6.17,
Specimen_001_G10_G10.fcs,2741,366,50.3,
Specimen_001_G11_G11.fcs,2987,667,64.2,
Specimen_001_G12_G12.fcs,3190,502,71.9,
Specimen_001_H1_H01.fcs,14980,11962,11.3,
Specimen_001_H2_H02.fcs,14020,11467,14.1,
Specimen_001_H3_H03.fcs,13254,10836,9.61,
Specimen_001_H4_H04.fcs,8024,4530,28.0,
Specimen_001_H5_H05.fcs,10619,6682,17.7,
Specimen_001_H6_H06.fcs,5438,2827,35.6,
Specimen_001_H7_H07.fcs,4551,1207,37.4,
Specimen_001_H8_H08.fcs,2469,652,37.1,
Specimen_001_H9_H09.fcs,3799,673,32.5,
Specimen_001_H10_H10.fcs,15495,13611,8.10,
Specimen_001_H11_H11.fcs,15497,13426,4.74,
Specimen_001_H12_H12.fcs,11455,9962,2.16,
Mean,13332,11121,17.3,
SD,7825,7749,19.5,
