unique_id,Reads_in_input,Reads_lowqual,Reads_aligned_all_amplicons,Reads_aligned_WT,Reads_aligned_HDR,Reads_unaligned,WT,correct_edit,target_base_edit,byproduct_all,byproduct_INDEL,byproduct_sub,byproduct_ambiguous,corr_perc,target_base_edit_perc,WT_perc,byproduct_all_perc,byproduct_INDEL_perc,byproduct_sub_perc,byproduct_ambiguous_perc
gRNA_CDK19_targ_6273_3799,3214,0,3214,26,3187,1,26,3122,3187,66,1,64,1,97.1375233354076,99.15992532669571,0.8089607965152459,2.0535158680771626,0.031113876789047916,1.9912881144990666,0.031113876789047916
gRNA_CDK19_targ_6274_3800,11039,0,11039,4275,6758,6,49,572,6758,10418,4,10396,18,5.181628770721986,61.21931334359997,0.4438807863031071,94.37449044297492,0.036235166228825076,94.17519702871637,0.16305824802971283
gRNA_CDK19_targ_6275_3801,7316,0,7316,4596,2051,669,34,0,2051,7282,2,6608,672,0.0,28.034445051940953,0.4647348277747403,99.53526517222527,0.027337342810278838,90.32258064516128,9.185347184253692
gRNA_CDK19_targ_6275_3802,7316,0,7316,400,6252,664,34,4102,6252,3180,6,2509,665,56.068890103881905,85.45653362493165,0.4647348277747403,43.46637506834335,0.08201202843083652,34.29469655549481,9.089666484417714
gRNA_CDK19_targ_6275_3803,7316,0,7316,1063,2058,4195,34,405,2058,6877,656,2019,4202,5.535811919081465,28.13012575177693,0.4647348277747403,93.9994532531438,8.96664844177146,27.59704756697649,57.435757244395845
gRNA_CDK19_targ_6276_3804,5694,1,5693,874,4815,4,520,1452,4815,3721,343,3370,8,25.505006147900932,84.57755137888635,9.1340242402951,65.36096961180397,6.024942912348498,59.195503249604776,0.14052344985069384
gRNA_CDK19_targ_6279_3805,2041,0,2041,18,2007,16,2,254,2007,1785,18,1737,30,12.444879960803528,98.33414992650663,0.09799118079372857,87.45712885840274,0.8819206271435571,85.10534051935326,1.4698677119059285
gRNA_CDK19_targ_6279_3806,2041,0,2041,264,1340,437,2,1,1340,2038,17,1570,451,0.04899559039686428,65.65409113179814,0.09799118079372857,99.8530132288094,0.8329250367466928,76.92307692307693,22.097011268985792
gRNA_CDK19_targ_6279_3807,2041,0,2041,4,1747,290,2,1233,1747,806,18,498,290,60.411562959333665,85.5952964233219,0.09799118079372857,39.490445859872615,0.8819206271435571,24.399804017638413,14.208721215090641
gRNA_CDK19_targ_6280_3808,3594,0,3594,1,3585,8,0,0,3585,3594,0,3576,18,0.0,99.74958263772955,0.0,100.0,0.0,99.4991652754591,0.5008347245409015
gRNA_CDK19_targ_6280_3809,3594,0,3594,0,66,3528,0,0,66,3594,0,59,3535,0.0,1.8363939899833055,0.0,100.0,0.0,1.6416249304396218,98.35837506956038
gRNA_CDK19_targ_6280_3810,3594,0,3594,1,3592,1,0,49,3592,3545,4,3534,7,1.3633834168057875,99.94435169727323,0.0,98.63661658319421,0.11129660545353368,98.33055091819699,0.19476905954368393
gRNA_CDK19_targ_6284_3811,15977,2,15975,282,13526,2167,209,8663,13526,7103,17,4904,2182,54.22848200312988,84.6697965571205,1.3082942097026604,44.46322378716745,0.10641627543035995,30.69796557120501,13.658841940532081
gRNA_CDK19_targ_6286_3812,2249,0,2249,451,1132,666,425,139,1132,1685,0,1019,666,6.180524677634504,50.333481547354374,18.897287683414852,74.92218763895065,0.0,45.309026233881724,29.613161405068922
gRNA_CDK19_targ_6287_3813,4832,0,4832,869,3951,12,75,2,3951,4755,779,3955,21,0.041390728476821195,81.76738410596026,1.5521523178807946,98.40645695364239,16.121688741721854,81.85016556291392,0.4346026490066225
gRNA_CDK19_targ_6288_3814,3538,0,3538,2852,577,109,1334,259,577,1945,1,1834,110,7.320520067834934,16.308648954211417,37.704918032786885,54.97456189937818,0.02826455624646693,51.83719615602035,3.1091011871113623
gRNA_CDK19_targ_6289_3815,9366,0,9366,2487,6692,187,241,272,6692,8853,1,8663,189,2.904121289771514,71.44992526158445,2.5731368780696133,94.52274183215887,0.010676916506512918,92.4941276959214,2.0179372197309418
gRNA_CDK19_targ_6291_3816,7825,1,7824,121,7687,16,116,1,7687,7707,4,7686,17,0.012781186094069532,98.24897750511248,1.4826175869120655,98.50460122699386,0.051124744376278126,98.2361963190184,0.217280163599182
gRNA_CDK19_targ_6291_3817,7825,1,7824,120,7518,186,116,0,7518,7708,4,7518,186,0.0,96.08895705521472,1.4826175869120655,98.51738241308794,0.051124744376278126,96.08895705521472,2.377300613496933
gRNA_CDK19_targ_6291_3818,7825,1,7824,2258,5558,8,116,0,5558,7708,0,7700,8,0.0,71.03783231083844,1.4826175869120655,98.51738241308794,0.0,98.41513292433538,0.10224948875255625
gRNA_CDK19_targ_6291_3819,7825,1,7824,120,7701,3,116,1920,7701,5788,4,5780,4,24.539877300613497,98.42791411042946,1.4826175869120655,73.97750511247445,0.051124744376278126,73.87525562372188,0.051124744376278126
gRNA_CDK19_targ_6291_3820,7825,1,7824,124,5562,2138,116,0,5562,7708,4,5565,2139,0.0,71.08895705521472,1.4826175869120655,98.51738241308794,0.051124744376278126,71.12730061349694,27.338957055214724
gRNA_CDK19_targ_6291_3821,7825,1,7824,291,5561,1972,116,2,5561,7706,0,5734,1972,0.025562372188139063,71.07617586912065,1.4826175869120655,98.4918200408998,0.0,73.28732106339469,25.204498977505114
gRNA_CDK19_targ_6291_3822,7825,1,7824,121,7524,179,116,5396,7524,2312,0,2132,180,68.96728016359918,96.16564417177914,1.4826175869120655,29.550102249488752,0.0,27.24948875255624,2.3006134969325154
gRNA_CDK19_targ_6292_3823,3259,1,3258,40,2901,317,34,0,2901,3224,0,2907,317,0.0,89.04235727440147,1.043585021485574,98.95641497851443,0.0,89.22651933701657,9.729895641497851
gRNA_CDK19_targ_6292_3824,3259,1,3258,40,2063,1155,34,1,2063,3223,0,2068,1155,0.03069367710251688,63.32105586249233,1.043585021485574,98.92572130141191,0.0,63.47452424800492,35.45119705340699
gRNA_CDK19_targ_6292_3825,3259,1,3258,1399,1819,40,34,0,1819,3224,0,3184,40,0.0,55.8317986494782,1.043585021485574,98.95641497851443,0.0,97.72866789441375,1.2277470841006752
gRNA_CDK19_targ_6292_3826,3259,1,3258,67,3188,3,34,231,3188,2993,26,2962,5,7.0902394106813995,97.85144260282382,1.043585021485574,91.86617556783303,0.798035604665439,90.914671577655,0.1534683855125844
gRNA_CDK19_targ_6292_3827,3259,1,3258,69,1830,1359,34,1,1830,3223,26,1836,1361,0.03069367710251688,56.16942909760589,1.043585021485574,98.92572130141191,0.798035604665439,56.353591160220994,41.774094536525475
gRNA_CDK19_targ_6292_3828,3259,1,3258,1192,1828,238,34,0,1828,3224,26,2957,241,0.0,56.10804174340086,1.043585021485574,98.95641497851443,0.798035604665439,90.76120319214242,7.397176181706569
gRNA_CDK19_targ_6292_3829,3259,1,3258,69,2064,1125,34,1495,2064,1729,26,575,1128,45.887047268262734,63.35174953959485,1.043585021485574,53.06936771025169,0.798035604665439,17.648864333947206,34.622467771639045
gRNA_CDK19_targ_6293_3830,7273,0,7273,7256,6,11,3352,2,6,3919,900,2794,225,0.027498968788670426,0.08249690636601127,46.088271689811634,53.88422934139969,12.374535954901692,38.416059397772585,3.093633988725423
gRNA_CDK19_targ_6293_3831,7273,0,7273,3474,2699,1100,3352,2447,2699,1474,228,143,1103,33.64498831293826,37.10985838031074,46.088271689811634,20.266739997250102,3.1348824419084287,1.9661762683899353,15.16568128695174
gRNA_CDK19_targ_6293_3832,7273,0,7273,4572,7,2694,3352,4,7,3917,900,300,2717,0.05499793757734085,0.0962463907603465,46.088271689811634,53.856730372611025,12.374535954901692,4.124845318300563,37.35734909940877
gRNA_CDK19_targ_6294_3833,5308,0,5308,459,3628,1221,331,2684,3628,2293,29,1043,1221,50.565184626978144,68.34966088922381,6.235870384325547,43.19894498869631,0.546345139412208,19.64958553127355,23.00301431801055
gRNA_CDK19_targ_6294_3834,5308,0,5308,4316,971,21,331,92,971,4885,51,4810,24,1.7332328560663148,18.293142426526,6.235870384325547,92.03089675960814,0.9608138658628486,90.61793519216278,0.45214770158251694
gRNA_CDK19_targ_6294_3835,5308,0,5308,1582,887,2839,331,858,887,4119,59,1220,2840,16.164280331574982,16.71062547098719,6.235870384325547,77.59984928409948,1.111529766390354,22.984174830444612,53.50414468726451
gRNA_CDK19_targ_6295_3836,901,14,887,770,113,4,694,110,113,83,0,78,5,12.401352874859075,12.73957158962796,78.24126268320181,9.357384441939121,0.0,8.793686583990981,0.5636978579481398
gRNA_CDK19_targ_6296_3837,2652,80,2572,2225,345,2,2158,334,345,80,0,78,2,12.986003110419908,13.413685847589424,83.90357698289269,3.1104199066874028,0.0,3.032659409020218,0.07776049766718507
gRNA_CDK19_targ_6299_3838,3776,0,3776,1,3675,100,1,3508,3675,267,0,166,101,92.90254237288136,97.32521186440678,0.026483050847457626,7.070974576271187,0.0,4.396186440677966,2.6747881355932206
gRNA_CDK19_targ_6300_3839,5707,0,5707,2099,3575,33,1114,2211,3575,2382,2,1387,993,38.74189591729455,62.64236902050114,19.519887857017697,41.73821622568775,0.03504468196951113,24.30348694585597,17.399684597862276
gRNA_CDK19_targ_6301_3840,4616,0,4616,202,4408,6,198,4299,4408,119,1,112,6,93.13258232235701,95.49393414211438,4.289428076256499,2.577989601386482,0.02166377816291161,2.4263431542461005,0.12998266897746968
gRNA_CDK19_targ_6302_3841,1215,337,878,313,364,201,9,299,364,570,258,98,214,34.054669703872435,41.45785876993166,1.0250569476082005,64.92027334851936,29.38496583143508,11.161731207289293,24.373576309794988
gRNA_CDK19_targ_6303_3842,1510,0,1510,1470,38,2,1429,37,38,44,2,40,2,2.4503311258278146,2.5165562913907285,94.63576158940398,2.913907284768212,0.13245033112582782,2.6490066225165565,0.13245033112582782
gRNA_CDK19_targ_6304_3843,1262,0,1262,233,605,424,218,597,605,447,0,11,436,47.305863708399364,47.93977812995245,17.27416798732171,35.41996830427892,0.0,0.8716323296354992,34.54833597464342
gRNA_CDK19_targ_6305_3844,4361,0,4361,12,4151,198,11,4057,4151,293,1,93,199,93.02912176106398,95.18459069020867,0.2522357257509745,6.71864251318505,0.022930520522815866,2.1325384086218757,4.563173584040358
